from date,CO,PM10,WD,AT,SR,WS,RH,NO,NO2,NOx,SO2,to date,station
01-Jan-2020 - 00:00,0.79,57.32,121.49,16.91,173.21,0.51,61.03,5.23,10.52,14.95,14.15,02-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Jan-2020 - 00:00,0.95,43.49,73.3,23.34,219.09,0.6,42.62,5.07,7.72,12.44,6.52,03-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Jan-2020 - 00:00,0.88,41.0,65.91,20.39,234.03,0.6,30.95,5.76,7.82,12.08,6.53,04-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Jan-2020 - 00:00,0.98,42.59,70.62,16.24,199.45,0.59,25.84,4.42,7.48,11.67,4.3,05-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Jan-2020 - 00:00,0.9,42.84,71.41,16.54,213.62,0.59,42.88,6.46,9.27,13.07,3.44,06-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Jan-2020 - 00:00,0.91,46.02,81.05,14.82,124.58,0.6,39.25,5.05,9.07,13.95,3.65,07-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Jan-2020 - 00:00,0.89,40.43,64.32,18.52,205.27,0.62,32.4,5.42,10.67,16.0,4.72,08-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Jan-2020 - 00:00,0.93,34.96,48.02,24.08,230.9,0.63,33.0,5.45,12.36,17.62,2.61,09-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Jan-2020 - 00:00,0.89,37.83,56.52,24.48,221.66,0.64,30.28,5.25,8.97,14.04,1.95,10-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Jan-2020 - 00:00,0.77,30.86,35.71,14.98,238.02,0.66,24.16,5.23,8.38,13.44,1.88,11-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Jan-2020 - 00:00,0.83,31.49,37.5,14.46,188.49,0.67,59.7,5.37,9.61,13.52,5.17,12-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Jan-2020 - 00:00,0.86,32.58,40.78,16.48,165.25,0.66,60.98,5.58,8.94,13.79,7.04,13-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Jan-2020 - 00:00,0.94,34.5,46.64,18.37,188.26,0.66,50.84,6.19,9.77,15.71,4.34,14-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Jan-2020 - 00:00,0.91,33.8,44.44,22.09,218.62,0.67,46.86,6.96,11.07,17.68,2.64,15-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Jan-2020 - 00:00,0.9,30.88,35.76,24.29,238.84,0.68,48.59,7.37,11.69,18.7,2.24,16-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Jan-2020 - 00:00,0.93,32.1,39.34,20.59,221.51,0.67,50.39,7.32,11.36,18.32,2.17,17-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Jan-2020 - 00:00,0.91,35.61,49.98,19.73,221.52,0.67,50.95,7.0,11.26,17.97,2.64,18-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Jan-2020 - 00:00,0.88,39.8,62.29,19.32,200.06,0.64,66.52,6.57,10.88,17.06,1.25,19-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Jan-2020 - 00:00,0.86,34.95,47.87,18.18,227.43,0.61,51.03,10.07,15.23,24.9,1.84,20-Jan-2020 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
