from date,PM10,PM2.5,SO2,CO,NOx,NO2,NO,to date,station
24-Jul-2020 - 00:00,33.29,11.07,3.2,0.43,10.78,9.78,1.0,25-Jul-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Jul-2020 - 00:00,23.28,12.0,2.55,0.59,7.59,6.6,0.99,26-Jul-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Jul-2020 - 00:00,15.44,10.31,2.8,0.42,7.91,6.93,0.99,27-Jul-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Jul-2020 - 00:00,40.73,14.27,3.27,0.52,11.89,10.9,0.99,28-Jul-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Jul-2020 - 00:00,41.49,15.76,3.11,0.51,10.2,9.2,1.0,29-Jul-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Jul-2020 - 00:00,19.91,8.23,3.79,0.37,9.93,8.94,0.99,30-Jul-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-Jul-2020 - 00:00,42.69,13.96,3.76,0.47,10.91,9.89,1.02,31-Jul-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
31-Jul-2020 - 00:00,35.15,14.39,3.6,0.6,10.75,9.76,0.99,01-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Aug-2020 - 00:00,29.07,8.69,3.12,0.51,7.61,6.62,0.99,02-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Aug-2020 - 00:00,20.91,7.99,3.06,0.51,7.37,6.38,1.0,03-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Aug-2020 - 00:00,15.63,7.06,2.76,0.41,7.69,6.7,0.99,04-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Aug-2020 - 00:00,14.85,7.04,2.75,0.85,8.66,7.67,0.99,05-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Aug-2020 - 00:00,11.07,6.03,3.05,0.47,9.64,8.62,1.02,06-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Aug-2020 - 00:00,8.96,5.83,3.29,0.63,9.2,8.21,0.99,07-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Aug-2020 - 00:00,8.76,7.03,2.87,0.46,9.0,8.0,1.0,08-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Aug-2020 - 00:00,10.68,7.16,2.78,0.54,8.14,7.14,1.0,09-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Aug-2020 - 00:00,13.52,5.3,3.16,0.49,7.87,6.86,1.01,10-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Aug-2020 - 00:00,26.16,14.54,3.61,0.62,14.32,13.31,1.01,11-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Aug-2020 - 00:00,44.21,12.23,3.43,0.5,11.49,10.46,1.03,12-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Aug-2020 - 00:00,10.27,4.5,4.02,0.61,10.91,9.89,1.02,13-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Aug-2020 - 00:00,36.05,5.77,2.84,0.29,11.17,10.14,1.03,14-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Aug-2020 - 00:00,9.02,3.69,3.08,0.24,9.72,8.7,1.02,15-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Aug-2020 - 00:00,,,,,,,,16-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Aug-2020 - 00:00,,,,,,,,17-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Aug-2020 - 00:00,,,,,,,,18-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Aug-2020 - 00:00,,,,,,,,19-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Aug-2020 - 00:00,12.24,4.96,2.67,0.51,,8.85,,20-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Aug-2020 - 00:00,11.72,7.74,3.03,0.62,,6.96,,21-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Aug-2020 - 00:00,6.6,7.14,2.91,0.37,,6.37,,22-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Aug-2020 - 00:00,,3.3,2.83,0.44,,6.03,,23-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Aug-2020 - 00:00,,5.65,2.96,0.37,,5.5,,24-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Aug-2020 - 00:00,,12.04,2.93,0.42,,7.7,,25-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Aug-2020 - 00:00,,12.55,3.04,0.35,,8.58,,26-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Aug-2020 - 00:00,,12.94,2.91,0.49,,7.99,,27-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Aug-2020 - 00:00,,10.72,2.61,0.47,,7.02,,28-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Aug-2020 - 00:00,,8.01,2.67,0.42,,6.35,,29-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Aug-2020 - 00:00,,5.26,3.03,0.48,,6.84,,30-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-Aug-2020 - 00:00,,4.08,3.07,0.3,,5.43,,31-Aug-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
31-Aug-2020 - 00:00,,11.64,2.92,0.45,,7.91,,01-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Sep-2020 - 00:00,,20.01,3.17,0.39,,8.77,,02-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Sep-2020 - 00:00,,16.24,3.22,0.61,,8.13,,03-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Sep-2020 - 00:00,,17.23,2.92,0.37,,9.72,,04-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Sep-2020 - 00:00,46.63,18.3,2.91,0.76,,9.21,,05-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Sep-2020 - 00:00,75.92,31.8,2.68,0.55,,10.56,,06-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Sep-2020 - 00:00,92.86,34.78,3.02,0.53,,11.59,,07-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Sep-2020 - 00:00,56.24,28.65,2.79,0.55,,10.94,,08-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Sep-2020 - 00:00,52.09,22.8,2.82,0.5,,9.62,,09-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Sep-2020 - 00:00,,22.08,3.17,0.49,,9.85,,10-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Sep-2020 - 00:00,,19.91,2.88,0.71,,9.81,,11-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Sep-2020 - 00:00,,22.47,2.7,0.44,,9.5,,12-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Sep-2020 - 00:00,,41.55,2.82,0.61,,11.57,,13-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Sep-2020 - 00:00,,27.1,2.83,0.58,,9.8,,14-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Sep-2020 - 00:00,,25.41,3.24,0.59,,10.62,,15-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Sep-2020 - 00:00,,21.13,2.98,0.5,,11.5,,16-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Sep-2020 - 00:00,,30.59,2.74,0.64,,10.86,,17-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Sep-2020 - 00:00,72.29,43.54,2.7,0.67,,12.18,,18-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Sep-2020 - 00:00,67.16,44.87,3.03,0.62,,11.62,,19-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Sep-2020 - 00:00,35.19,27.49,2.83,0.52,,10.46,,20-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Sep-2020 - 00:00,51.06,33.1,2.81,0.52,,9.81,,21-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Sep-2020 - 00:00,55.08,38.53,2.75,0.48,,11.26,,22-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Sep-2020 - 00:00,,21.15,2.99,0.72,,10.69,,23-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Sep-2020 - 00:00,,12.49,3.17,0.61,,9.06,,24-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Sep-2020 - 00:00,,9.97,3.06,0.64,,11.13,,25-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Sep-2020 - 00:00,,24.9,2.73,0.54,,11.59,,26-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Sep-2020 - 00:00,79.56,24.94,3.58,0.58,,11.37,,27-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Sep-2020 - 00:00,20.66,19.33,4.81,0.48,,10.24,,28-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Sep-2020 - 00:00,23.57,18.86,3.61,0.6,,11.99,,29-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Sep-2020 - 00:00,,31.72,4.92,0.61,,14.76,,30-Sep-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-Sep-2020 - 00:00,,40.9,4.92,0.51,,12.67,,01-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Oct-2020 - 00:00,,54.54,4.83,0.66,,14.48,,02-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Oct-2020 - 00:00,,51.58,5.06,0.58,,14.2,,03-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Oct-2020 - 00:00,,57.71,4.93,0.63,,16.34,,04-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Oct-2020 - 00:00,,63.38,4.91,0.64,,17.53,,05-Oct-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
