from date,PM10,PM2.5,SO2,CO,NOx,NO2,NO,to date,station
01-Jan-2020 - 00:00,,,,,,,,02-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Jan-2020 - 00:00,,,,,,,,03-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Jan-2020 - 00:00,,,,,,,,04-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Jan-2020 - 00:00,,,,,,,,05-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Jan-2020 - 00:00,,,,,,,,06-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Jan-2020 - 00:00,,,,,,,,07-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Jan-2020 - 00:00,,,,,,,,08-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Jan-2020 - 00:00,,,,,,,,09-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Jan-2020 - 00:00,,,,,,,,10-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Jan-2020 - 00:00,,,,,,,,11-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Jan-2020 - 00:00,,,,,,,,12-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Jan-2020 - 00:00,,,,,,,,13-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Jan-2020 - 00:00,,,,,,,,14-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Jan-2020 - 00:00,,,,,,,,15-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Jan-2020 - 00:00,,,,,,,,16-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Jan-2020 - 00:00,,,,,,,,17-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Jan-2020 - 00:00,,,,,,,,18-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Jan-2020 - 00:00,,,,,,,,19-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Jan-2020 - 00:00,,,,,,,,20-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Jan-2020 - 00:00,,,,,,,,21-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Jan-2020 - 00:00,102.54,36.75,1.45,0.98,20.73,19.79,1.0,22-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Jan-2020 - 00:00,64.26,34.12,1.65,0.95,21.21,20.19,1.02,23-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Jan-2020 - 00:00,46.14,21.09,1.9,0.75,22.64,21.57,1.07,24-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Jan-2020 - 00:00,83.22,22.46,1.87,0.98,29.94,28.9,1.04,25-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Jan-2020 - 00:00,106.52,26.81,1.82,1.2,32.92,31.85,1.06,26-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Jan-2020 - 00:00,97.87,24.93,1.93,1.09,32.36,31.11,1.25,27-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Jan-2020 - 00:00,79.2,18.19,1.85,0.97,23.31,22.34,0.99,28-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Jan-2020 - 00:00,83.14,22.18,1.85,0.9,22.18,21.22,0.97,29-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Jan-2020 - 00:00,75.04,16.73,1.86,0.79,20.94,19.95,1.01,30-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-Jan-2020 - 00:00,47.66,23.49,1.8,0.88,24.79,23.72,1.07,31-Jan-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
31-Jan-2020 - 00:00,89.34,29.95,1.9,0.88,34.9,33.78,1.14,01-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Feb-2020 - 00:00,70.9,22.54,1.84,0.57,30.85,29.93,0.94,02-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Feb-2020 - 00:00,66.81,22.01,1.87,0.62,27.2,26.21,0.99,03-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Feb-2020 - 00:00,90.71,23.1,1.77,0.69,24.73,23.77,0.99,04-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Feb-2020 - 00:00,66.32,30.64,3.36,0.76,29.49,28.19,1.59,05-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Feb-2020 - 00:00,62.83,38.0,1.87,0.77,32.07,30.23,1.93,06-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Feb-2020 - 00:00,60.19,27.66,1.95,0.83,26.69,23.25,4.19,07-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Feb-2020 - 00:00,67.92,30.07,1.98,0.75,22.68,21.13,1.66,08-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Feb-2020 - 00:00,67.64,31.72,1.85,0.68,28.84,27.41,1.59,09-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Feb-2020 - 00:00,66.98,31.34,1.87,0.74,35.34,34.03,1.31,10-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Feb-2020 - 00:00,74.71,33.11,1.76,0.79,33.87,32.67,1.2,11-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Feb-2020 - 00:00,61.46,31.44,1.81,0.83,30.84,29.7,1.14,12-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Feb-2020 - 00:00,73.42,29.53,2.01,0.76,38.91,37.51,1.4,13-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Feb-2020 - 00:00,103.26,37.48,1.9,1.06,38.97,37.62,1.36,14-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Feb-2020 - 00:00,78.41,33.92,1.79,0.81,31.65,30.53,1.12,15-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Feb-2020 - 00:00,78.31,29.65,1.99,0.83,30.56,29.5,1.08,16-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Feb-2020 - 00:00,95.75,30.96,1.93,0.82,45.81,44.27,1.55,17-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Feb-2020 - 00:00,137.61,39.57,1.91,0.98,50.98,47.98,3.01,18-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Feb-2020 - 00:00,126.97,38.08,2.2,1.19,53.12,50.62,2.52,19-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Feb-2020 - 00:00,109.13,34.65,1.96,1.14,42.12,39.72,2.41,20-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Feb-2020 - 00:00,61.29,24.4,2.09,0.74,24.07,22.96,1.12,21-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Feb-2020 - 00:00,78.21,34.12,1.83,0.82,21.25,20.19,1.06,22-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Feb-2020 - 00:00,77.05,40.91,2.14,1.09,23.53,22.49,1.04,23-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Feb-2020 - 00:00,60.18,37.11,1.73,0.16,20.4,19.38,1.02,24-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Feb-2020 - 00:00,60.09,31.03,1.95,0.56,22.78,21.71,1.07,25-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Feb-2020 - 00:00,79.11,27.96,2.01,1.08,25.19,24.05,1.13,26-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Feb-2020 - 00:00,105.37,35.3,1.87,1.05,30.96,29.61,1.34,27-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Feb-2020 - 00:00,66.96,34.72,2.02,0.66,31.19,30.22,0.99,28-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Feb-2020 - 00:00,73.36,35.06,1.74,0.7,27.94,26.86,1.08,29-Feb-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Feb-2020 - 00:00,99.21,42.55,2.16,0.76,24.67,23.67,1.0,01-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Mar-2020 - 00:00,41.41,18.58,1.96,0.64,17.93,16.92,1.02,02-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Mar-2020 - 00:00,33.6,20.41,1.91,0.53,17.85,16.81,1.04,03-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Mar-2020 - 00:00,59.52,25.86,1.44,0.65,21.78,20.75,1.03,04-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Mar-2020 - 00:00,61.26,27.97,1.73,0.62,21.98,20.88,1.1,05-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Mar-2020 - 00:00,73.11,25.25,1.95,0.62,23.59,22.54,1.05,06-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Mar-2020 - 00:00,85.48,34.05,1.87,0.61,20.52,19.48,1.06,07-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Mar-2020 - 00:00,83.27,26.76,2.0,0.65,21.67,20.62,1.05,08-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Mar-2020 - 00:00,68.83,24.52,1.74,0.54,22.81,21.76,1.05,09-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Mar-2020 - 00:00,58.21,24.41,1.89,0.68,22.09,21.06,1.03,10-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Mar-2020 - 00:00,38.1,18.42,2.0,0.58,14.5,13.46,1.04,11-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Mar-2020 - 00:00,41.45,18.7,1.96,0.76,17.68,16.65,1.04,12-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Mar-2020 - 00:00,51.93,20.69,1.89,0.71,18.43,17.4,1.03,13-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Mar-2020 - 00:00,65.83,18.61,1.87,0.68,20.3,19.27,1.03,14-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Mar-2020 - 00:00,71.73,23.95,1.84,0.57,22.07,21.01,1.06,15-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Mar-2020 - 00:00,80.57,23.93,1.63,0.33,20.94,19.93,1.01,16-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Mar-2020 - 00:00,73.66,26.54,1.82,0.46,26.01,25.0,1.02,17-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Mar-2020 - 00:00,82.17,25.77,1.83,0.57,24.31,23.29,1.02,18-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Mar-2020 - 00:00,71.75,24.99,1.86,0.59,23.66,22.67,1.0,19-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Mar-2020 - 00:00,70.91,23.29,2.15,0.65,17.69,16.71,1.01,20-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Mar-2020 - 00:00,62.53,20.98,1.7,0.42,15.56,14.07,1.82,21-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Mar-2020 - 00:00,78.3,26.35,1.9,0.57,19.73,18.71,1.04,22-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Mar-2020 - 00:00,55.82,24.0,1.91,0.48,13.97,12.99,0.99,23-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Mar-2020 - 00:00,73.23,27.46,1.92,0.46,16.71,15.63,1.08,24-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Mar-2020 - 00:00,82.42,29.47,1.9,0.49,14.54,13.51,1.03,25-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Mar-2020 - 00:00,57.5,24.81,1.89,0.44,10.68,9.63,1.05,26-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Mar-2020 - 00:00,24.33,14.11,1.81,0.52,10.95,9.95,0.99,27-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Mar-2020 - 00:00,26.86,17.69,1.86,0.59,11.18,10.16,1.03,28-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Mar-2020 - 00:00,14.87,9.23,1.92,0.43,11.83,10.75,1.08,29-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Mar-2020 - 00:00,23.63,11.82,1.93,0.41,11.96,10.93,1.04,30-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-Mar-2020 - 00:00,33.57,16.01,1.97,0.34,11.79,10.76,1.03,31-Mar-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
31-Mar-2020 - 00:00,39.82,18.56,1.91,0.51,12.43,11.5,0.95,01-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Apr-2020 - 00:00,44.69,20.51,1.92,0.49,11.39,10.39,1.01,02-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Apr-2020 - 00:00,48.55,18.53,1.66,0.4,9.06,8.12,0.97,03-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Apr-2020 - 00:00,42.54,23.28,1.94,0.45,10.53,9.5,1.03,04-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Apr-2020 - 00:00,44.04,16.77,1.99,0.47,11.3,10.29,1.01,05-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Apr-2020 - 00:00,41.68,17.23,1.99,0.35,11.49,10.52,0.98,06-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Apr-2020 - 00:00,49.66,20.25,1.93,0.57,13.29,12.3,1.0,07-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Apr-2020 - 00:00,66.66,28.46,2.0,0.56,14.53,13.51,1.03,08-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Apr-2020 - 00:00,63.76,26.44,1.94,0.67,13.73,12.68,1.05,09-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Apr-2020 - 00:00,68.11,29.62,1.95,0.55,14.94,13.88,1.06,10-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Apr-2020 - 00:00,61.6,28.72,1.88,0.45,12.15,11.15,1.0,11-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Apr-2020 - 00:00,54.29,23.64,2.08,0.58,13.26,12.23,1.03,12-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Apr-2020 - 00:00,71.28,32.1,2.06,0.64,14.47,13.46,1.02,13-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Apr-2020 - 00:00,61.21,22.75,1.98,0.77,16.78,15.75,1.03,14-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Apr-2020 - 00:00,75.57,31.49,1.95,0.61,16.17,15.07,1.1,15-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Apr-2020 - 00:00,52.43,21.7,2.02,0.57,11.83,10.86,0.98,16-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Apr-2020 - 00:00,51.49,28.01,2.19,1.12,13.35,12.38,0.97,17-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Apr-2020 - 00:00,,,,,,,,18-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Apr-2020 - 00:00,,,,,,,,19-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Apr-2020 - 00:00,,,,,,,,20-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Apr-2020 - 00:00,,,,,,,,21-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Apr-2020 - 00:00,,,,,,,,22-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Apr-2020 - 00:00,,,,,,,,23-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Apr-2020 - 00:00,,,,,,,,24-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Apr-2020 - 00:00,,,,,,,,25-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Apr-2020 - 00:00,107.84,42.62,1.67,0.06,15.06,14.01,1.08,26-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Apr-2020 - 00:00,54.48,28.38,2.03,0.56,9.7,8.72,0.99,27-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Apr-2020 - 00:00,40.47,21.03,2.0,0.9,8.95,7.91,1.04,28-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Apr-2020 - 00:00,39.19,22.0,2.08,0.47,10.73,9.72,1.02,29-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Apr-2020 - 00:00,70.12,33.74,1.97,0.76,12.13,11.1,1.02,30-Apr-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-Apr-2020 - 00:00,61.5,28.96,2.42,0.56,11.65,10.65,1.0,01-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-May-2020 - 00:00,68.97,28.94,2.9,0.52,11.56,10.5,1.06,02-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-May-2020 - 00:00,96.32,41.34,3.21,0.34,13.81,12.79,1.02,03-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-May-2020 - 00:00,86.39,37.35,1.85,0.38,11.34,10.39,0.99,04-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-May-2020 - 00:00,62.2,25.09,2.92,0.59,9.86,8.81,1.04,05-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-May-2020 - 00:00,53.63,18.5,3.21,0.37,9.93,8.97,0.99,06-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-May-2020 - 00:00,85.86,26.72,2.61,0.51,10.25,9.25,1.02,07-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-May-2020 - 00:00,47.81,21.15,3.24,0.41,11.67,10.65,1.02,08-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-May-2020 - 00:00,69.11,31.51,3.8,0.88,14.12,13.14,0.99,09-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-May-2020 - 00:00,102.71,38.61,2.74,0.56,16.1,15.12,0.99,10-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-May-2020 - 00:00,71.45,24.03,2.67,0.35,12.45,11.41,1.08,11-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-May-2020 - 00:00,27.68,13.2,2.95,0.38,10.16,9.07,1.11,12-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-May-2020 - 00:00,79.05,29.76,3.18,0.41,12.6,11.7,0.94,13-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-May-2020 - 00:00,79.78,31.33,2.58,0.59,15.1,14.06,1.04,14-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-May-2020 - 00:00,66.53,29.43,3.1,0.26,12.79,11.79,1.04,15-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-May-2020 - 00:00,48.51,23.13,3.01,0.55,11.75,10.71,1.05,16-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-May-2020 - 00:00,46.05,25.18,2.87,0.48,10.64,9.64,0.99,17-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-May-2020 - 00:00,44.95,23.4,3.0,0.48,12.07,11.07,1.01,18-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-May-2020 - 00:00,55.24,25.25,2.86,0.55,11.81,10.78,1.03,19-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-May-2020 - 00:00,90.87,32.7,3.3,0.45,13.57,12.55,1.02,20-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-May-2020 - 00:00,137.96,45.7,2.76,0.59,18.63,17.63,0.99,21-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-May-2020 - 00:00,99.78,37.45,4.03,0.4,17.45,16.44,1.02,22-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-May-2020 - 00:00,116.16,34.23,3.1,0.61,19.92,18.87,1.04,23-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-May-2020 - 00:00,106.42,38.63,3.11,0.52,15.38,14.33,1.05,24-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-May-2020 - 00:00,96.34,32.29,3.13,0.59,13.46,12.45,1.01,25-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-May-2020 - 00:00,108.38,31.5,3.12,0.4,14.71,13.72,0.99,26-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-May-2020 - 00:00,86.5,29.17,2.88,0.51,14.31,13.3,1.02,27-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-May-2020 - 00:00,96.23,30.1,3.3,0.37,13.06,12.05,1.01,28-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-May-2020 - 00:00,123.88,35.64,2.98,0.51,13.15,12.1,1.05,29-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-May-2020 - 00:00,107.22,36.1,2.96,0.43,14.16,13.11,1.05,30-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-May-2020 - 00:00,124.92,45.02,3.0,0.44,14.81,13.77,1.04,31-May-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
31-May-2020 - 00:00,98.16,43.8,2.79,0.54,12.52,11.53,0.99,01-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Jun-2020 - 00:00,85.28,30.44,2.85,0.57,16.13,15.06,1.07,02-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
02-Jun-2020 - 00:00,65.81,26.88,3.22,0.51,17.15,16.16,0.99,03-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Jun-2020 - 00:00,43.34,20.14,3.2,0.55,12.3,11.27,1.04,04-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Jun-2020 - 00:00,28.8,8.76,3.53,0.65,11.25,10.22,1.03,05-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Jun-2020 - 00:00,33.1,11.63,3.16,0.6,12.37,11.3,1.07,06-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Jun-2020 - 00:00,40.75,15.08,3.11,0.58,13.44,12.4,1.04,07-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Jun-2020 - 00:00,43.24,17.61,2.83,0.43,44.93,43.67,1.21,08-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Jun-2020 - 00:00,46.73,19.77,2.96,0.53,26.28,25.03,1.29,09-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Jun-2020 - 00:00,52.6,23.85,2.52,0.36,15.98,14.92,1.06,10-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Jun-2020 - 00:00,80.38,21.56,2.54,0.68,17.32,16.52,0.99,11-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Jun-2020 - 00:00,79.76,30.43,2.74,0.53,14.2,13.19,1.02,12-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Jun-2020 - 00:00,83.92,37.99,3.93,0.63,17.16,16.17,1.0,13-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Jun-2020 - 00:00,47.95,21.5,2.72,0.35,14.84,13.85,0.98,14-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Jun-2020 - 00:00,31.58,15.46,2.83,0.33,12.5,11.5,1.0,15-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Jun-2020 - 00:00,28.92,11.24,3.03,0.29,12.9,11.87,1.03,16-Jun-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
