from date,NO,NOx,NO2,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,47.86,74.75,26.88,24.29,199.56,133.67,5.36,1.22,46.02,27.79,39.51,32.13,21.68,68.72,,200.67,1.19,166.89,02-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Jan-2020 - 00:00,38.52,64.42,25.9,19.97,144.15,102.59,5.13,0.97,38.59,29.58,32.55,24.68,23.18,72.31,,197.53,1.78,143.96,03-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Jan-2020 - 00:00,42.79,69.67,26.88,17.99,157.17,107.16,5.57,1.06,98.56,22.45,36.38,32.56,22.39,71.27,,208.17,1.95,138.42,04-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Jan-2020 - 00:00,26.84,56.64,29.8,17.62,131.66,88.57,5.52,1.12,74.78,29.72,28.01,24.98,21.67,66.9,,200.31,2.65,124.57,05-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Jan-2020 - 00:00,69.03,88.53,19.5,17.36,160.3,96.91,7.25,1.29,,,,,24.11,64.27,,191.92,1.18,126.25,06-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Jan-2020 - 00:00,62.88,82.78,19.9,16.22,133.97,71.35,7.5,1.3,,,,,26.0,63.39,,191.51,1.45,156.49,07-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Jan-2020 - 00:00,61.29,80.99,19.7,16.16,160.77,106.16,9.44,1.54,,,,,25.46,73.89,,183.19,1.05,156.89,08-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Jan-2020 - 00:00,60.04,77.69,17.66,14.64,122.04,77.8,9.74,1.18,62.56,,,,24.76,73.83,,200.6,1.53,175.68,09-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Jan-2020 - 00:00,26.82,49.62,22.82,15.37,98.54,48.32,2.23,0.77,101.58,0.61,18.16,6.66,23.09,59.11,,202.13,2.6,108.62,10-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Jan-2020 - 00:00,33.44,51.63,18.19,10.1,131.71,66.47,1.83,0.78,67.6,,,,24.7,60.37,,191.84,1.36,129.51,11-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
