from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,AT,RH,BP,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Jan-2020 - 00:00,31.85,38.22,7.01,9.11,2.1,3.35,2.75,0.73,58.05,0.0,0.0,0.0,0.0,0.0,249.27,2.15,22.56,40.58,810.44,177.74,04-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Jan-2020 - 00:00,42.38,50.85,9.35,11.43,2.08,3.02,1.86,1.07,29.82,0.0,0.0,0.0,0.0,0.0,170.39,1.47,20.74,62.94,810.56,172.22,05-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Jan-2020 - 00:00,28.56,34.27,8.9,10.95,2.05,2.84,2.82,0.95,28.41,0.0,0.0,0.0,0.0,0.0,115.09,1.44,20.46,69.56,810.57,151.48,06-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Jan-2020 - 00:00,,,8.75,10.91,2.16,2.96,3.02,0.97,31.24,0.0,0.0,0.0,0.0,0.0,118.75,1.9,20.65,69.48,810.97,164.74,07-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Jan-2020 - 00:00,27.2,32.65,7.84,10.23,2.39,3.01,1.72,0.71,23.81,0.0,0.0,0.0,0.0,0.0,165.63,2.06,21.47,69.74,811.3,174.64,08-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Jan-2020 - 00:00,48.4,58.08,8.51,10.93,2.32,2.89,1.66,0.8,27.12,0.0,0.0,0.0,0.0,0.0,224.9,1.95,21.46,68.85,811.23,162.26,09-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Jan-2020 - 00:00,50.6,60.73,10.05,12.1,2.05,2.7,3.08,1.09,30.11,0.0,0.0,0.0,0.0,0.0,180.38,1.2,21.62,60.93,809.78,165.38,10-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Jan-2020 - 00:00,65.17,78.2,9.69,11.69,2.01,2.76,1.68,0.85,32.74,0.0,0.0,0.0,0.0,0.0,118.62,1.53,21.0,69.85,809.83,151.9,11-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Jan-2020 - 00:00,46.5,55.8,9.86,11.87,2.01,2.67,2.42,0.8,30.09,0.0,0.0,0.0,0.0,0.0,129.17,1.51,20.92,66.64,809.98,164.35,12-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Jan-2020 - 00:00,48.04,57.65,10.69,12.74,2.05,2.4,2.39,0.9,38.15,0.0,0.0,0.0,0.0,0.0,141.78,1.57,20.79,60.54,810.39,170.23,13-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Jan-2020 - 00:00,56.15,67.38,11.99,14.04,2.05,2.15,3.27,1.08,43.56,0.0,0.0,0.0,0.0,0.0,179.4,1.22,21.32,52.46,810.13,169.54,14-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Jan-2020 - 00:00,56.83,68.2,10.06,12.11,2.04,2.59,4.9,1.14,45.37,0.0,0.0,0.0,0.0,0.0,191.92,1.42,21.5,46.21,809.49,164.96,15-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Jan-2020 - 00:00,43.74,52.49,9.63,11.63,2.0,2.63,6.27,1.05,47.61,0.0,0.0,0.0,0.0,0.0,181.35,1.86,21.21,42.63,809.46,167.98,16-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Jan-2020 - 00:00,41.16,49.31,8.43,10.43,2.0,3.01,4.2,0.95,44.43,0.0,0.0,0.0,0.0,0.0,242.88,1.77,20.97,53.01,809.54,169.58,17-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
