from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,AT,RH,BP,SR,to date,station
17-Jan-2020 - 00:00,27.03,32.44,13.88,15.82,1.94,1.47,3.23,1.16,24.86,0.0,0.0,0.0,0.0,0.0,153.91,1.03,20.41,50.61,810.03,72.88,18-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Jan-2020 - 00:00,36.02,43.23,10.02,12.07,2.06,2.55,2.19,0.88,33.55,0.0,0.0,0.0,0.0,0.0,141.21,1.51,21.28,55.33,810.74,167.41,19-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Jan-2020 - 00:00,32.92,39.5,9.52,11.63,2.11,2.82,1.45,0.65,24.38,0.0,0.0,0.0,0.0,0.0,161.8,1.43,21.86,57.51,810.14,162.23,20-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Jan-2020 - 00:00,38.45,46.13,11.08,13.24,2.16,2.36,2.96,0.82,29.92,0.0,0.0,0.0,0.0,0.0,170.37,1.48,21.86,54.7,810.05,155.58,21-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Jan-2020 - 00:00,36.12,43.35,10.1,12.17,2.07,2.54,3.23,0.76,38.19,0.0,0.0,0.0,0.0,0.0,165.66,1.86,21.81,49.89,809.76,166.74,22-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Jan-2020 - 00:00,31.7,38.05,8.76,10.82,2.06,2.91,4.07,0.78,49.67,0.0,0.0,0.0,0.0,0.0,156.36,2.37,21.6,42.59,811.57,169.47,23-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Jan-2020 - 00:00,34.23,41.0,8.87,10.9,2.03,2.9,4.74,0.95,35.68,0.0,0.0,0.0,0.0,0.0,156.52,1.76,21.57,45.95,812.53,170.28,24-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Jan-2020 - 00:00,34.26,41.11,9.53,11.57,2.04,2.68,2.65,0.87,36.69,0.0,0.0,0.0,0.0,0.0,156.89,1.61,21.67,44.36,810.96,170.1,25-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Jan-2020 - 00:00,36.99,44.39,10.62,12.69,2.07,2.35,3.79,0.85,36.13,0.0,0.0,0.0,0.0,0.0,162.56,1.45,21.85,41.86,811.62,169.27,26-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Jan-2020 - 00:00,39.52,47.43,11.52,13.68,2.15,2.38,3.14,0.93,37.72,0.0,0.0,0.0,0.0,0.0,191.97,1.24,22.28,40.78,811.86,165.69,27-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Jan-2020 - 00:00,51.78,62.14,12.55,14.4,1.85,1.76,3.39,0.8,27.84,0.0,0.0,0.0,0.0,0.0,265.21,1.05,21.41,46.34,810.49,70.69,28-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Jan-2020 - 00:00,42.52,51.02,9.36,11.36,2.0,2.84,0.9,0.54,67.75,0.0,0.0,0.0,0.0,0.0,279.62,2.33,22.11,48.96,810.22,203.59,29-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Jan-2020 - 00:00,36.95,44.34,11.02,13.01,1.98,2.51,5.88,0.88,58.45,0.0,0.0,0.0,0.0,0.0,236.07,1.56,21.27,55.14,812.08,168.46,30-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Jan-2020 - 00:00,39.17,47.0,9.73,11.72,1.99,2.75,3.15,0.93,58.31,0.0,0.0,0.0,0.0,0.0,209.19,1.47,21.54,44.96,813.07,167.85,31-Jan-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
31-Jan-2020 - 00:00,47.67,57.2,11.31,13.34,2.03,2.36,2.9,0.9,55.83,0.0,0.0,0.0,0.0,0.0,195.62,1.56,21.69,43.91,812.63,166.62,01-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Feb-2020 - 00:00,50.84,61.01,9.78,11.81,2.03,2.78,4.26,1.0,67.55,0.0,0.0,0.0,0.0,0.0,249.84,1.94,21.48,45.52,814.41,164.92,02-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Feb-2020 - 00:00,47.3,56.76,9.44,11.41,1.97,2.8,2.44,0.95,53.91,0.0,0.0,0.0,0.0,0.0,191.39,1.94,21.64,50.41,812.86,155.5,03-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Feb-2020 - 00:00,50.16,60.2,10.51,12.56,2.05,2.53,3.02,0.83,47.23,0.0,0.0,0.0,0.0,0.0,209.24,1.66,21.84,50.69,812.43,166.77,04-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Feb-2020 - 00:00,45.26,54.31,10.31,12.42,2.11,2.62,2.72,0.87,49.86,0.0,0.0,0.0,0.0,0.0,208.73,1.76,21.89,48.44,811.54,170.39,05-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Feb-2020 - 00:00,38.16,45.8,9.82,11.87,2.05,2.68,3.13,1.0,54.41,0.0,0.0,0.0,0.0,0.0,208.49,1.65,22.14,43.52,811.41,164.8,06-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Feb-2020 - 00:00,37.18,44.61,8.7,10.73,2.04,2.99,1.72,0.92,54.22,0.0,0.0,0.0,0.0,0.0,285.13,2.26,20.95,58.6,811.17,74.33,07-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Feb-2020 - 00:00,58.18,69.81,10.25,12.1,1.97,2.74,1.8,0.73,70.4,0.0,0.0,0.0,0.0,0.0,274.18,2.33,21.96,42.74,813.96,220.45,08-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Feb-2020 - 00:00,57.16,68.59,10.19,12.18,1.98,2.68,10.45,1.06,53.4,0.0,0.0,0.0,0.0,0.0,227.03,1.61,20.95,45.92,814.23,160.84,09-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Feb-2020 - 00:00,57.96,69.57,8.68,10.66,1.98,3.03,1.97,0.66,33.08,0.0,0.0,0.0,0.0,0.0,115.0,1.93,21.18,62.96,813.12,171.58,10-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Feb-2020 - 00:00,46.93,56.31,8.86,10.92,2.06,3.0,2.17,0.77,36.75,0.0,0.0,0.0,0.0,0.0,130.57,2.33,21.49,60.45,813.42,176.18,11-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Feb-2020 - 00:00,37.85,45.42,8.93,10.91,1.98,2.95,1.85,0.71,32.83,0.0,0.0,0.0,0.0,0.0,124.55,2.12,21.23,62.25,811.86,151.11,12-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Feb-2020 - 00:00,37.71,45.25,9.49,11.5,2.01,2.81,2.78,0.83,39.85,0.0,0.0,0.0,0.0,0.0,127.99,1.98,21.47,54.21,811.73,159.95,13-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Feb-2020 - 00:00,51.64,61.97,14.12,16.94,2.82,2.68,3.49,1.18,40.27,0.0,0.0,0.0,0.0,0.0,126.82,1.44,21.95,49.44,812.42,170.57,14-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Feb-2020 - 00:00,65.93,78.81,17.73,19.4,2.16,2.48,3.46,0.93,44.04,0.0,0.0,0.0,0.0,0.0,160.67,1.38,23.18,31.07,815.49,223.86,15-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Feb-2020 - 00:00,74.49,89.38,14.97,17.04,2.08,1.84,6.46,1.02,49.64,0.0,0.0,0.0,0.0,0.0,171.38,1.25,22.6,34.69,812.91,163.4,16-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Feb-2020 - 00:00,73.33,88.0,21.46,23.41,1.96,0.31,4.87,1.14,19.18,0.0,0.0,0.0,0.0,0.0,170.77,1.06,21.45,37.99,812.0,68.09,17-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Feb-2020 - 00:00,72.32,86.79,12.99,15.1,2.04,2.2,7.74,0.99,60.58,0.0,0.0,0.0,0.0,0.0,132.73,1.59,23.62,30.43,811.26,186.31,18-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Feb-2020 - 00:00,69.69,83.63,13.98,16.2,2.22,2.12,9.5,1.03,62.34,0.0,0.0,0.0,0.0,0.0,127.89,1.46,22.51,34.7,814.78,166.24,19-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Feb-2020 - 00:00,60.17,72.2,12.3,14.37,2.06,2.11,8.29,0.85,58.14,0.0,0.0,0.0,0.0,0.0,155.43,1.49,22.61,31.94,816.69,168.45,20-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Feb-2020 - 00:00,65.25,78.3,10.42,12.4,1.99,2.56,4.83,0.72,57.14,0.0,0.0,0.0,0.0,0.0,173.91,1.98,22.31,40.5,816.95,173.68,21-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Feb-2020 - 00:00,49.34,59.21,10.05,12.05,2.01,2.67,4.31,0.84,46.88,0.0,0.0,0.0,0.0,0.0,153.73,1.93,22.3,38.63,818.56,175.37,22-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Feb-2020 - 00:00,43.0,51.6,10.35,12.35,2.0,2.56,5.05,0.8,41.51,0.0,0.0,0.0,0.0,0.0,146.83,1.86,22.28,33.83,816.41,174.02,23-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Feb-2020 - 00:00,40.53,48.64,9.96,11.97,2.01,2.68,4.1,0.92,39.0,0.0,0.0,0.0,0.0,0.0,157.82,1.88,22.42,36.47,816.46,178.62,24-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Feb-2020 - 00:00,45.27,54.27,10.09,12.11,2.02,2.6,8.7,0.78,44.2,0.0,0.0,0.0,0.0,0.0,201.02,1.8,22.8,37.08,812.43,179.64,25-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Feb-2020 - 00:00,66.97,80.37,11.69,13.77,2.08,2.4,7.07,0.86,44.53,0.0,0.0,0.0,0.0,0.0,188.29,1.45,22.68,34.28,809.75,176.39,26-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Feb-2020 - 00:00,92.0,110.4,12.06,14.24,2.19,2.22,6.03,1.1,44.2,0.0,0.0,0.0,0.0,0.0,137.55,1.39,22.23,30.74,811.76,176.03,27-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Feb-2020 - 00:00,72.26,87.71,11.02,13.1,2.07,2.37,6.91,0.94,45.6,0.0,0.0,0.0,0.0,0.0,118.75,1.68,22.32,34.27,814.38,174.76,28-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Feb-2020 - 00:00,57.48,68.98,9.15,11.11,1.95,2.88,3.68,0.83,52.15,0.0,0.0,0.0,0.0,0.0,137.56,2.02,22.49,41.37,810.03,176.95,29-Feb-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Feb-2020 - 00:00,57.48,68.98,10.02,11.99,1.97,2.64,3.5,0.75,50.06,0.0,0.0,0.0,0.0,0.0,161.77,2.08,22.63,46.76,809.12,175.82,01-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Mar-2020 - 00:00,53.16,63.8,9.55,11.52,1.98,2.82,4.95,0.81,59.13,0.0,0.0,0.0,0.0,0.0,156.78,1.96,22.45,50.08,809.61,176.33,02-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Mar-2020 - 00:00,44.11,52.93,10.42,12.42,2.0,2.59,1.9,0.6,48.55,0.0,0.0,0.0,0.0,0.0,146.83,1.62,22.13,56.48,809.28,197.08,03-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Mar-2020 - 00:00,47.62,57.14,9.56,11.55,1.99,2.78,4.75,0.86,60.78,0.0,0.0,0.0,0.0,0.0,215.26,1.62,22.85,39.95,809.16,189.54,04-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Mar-2020 - 00:00,38.75,46.5,9.1,11.16,2.06,2.82,4.67,0.99,63.2,0.0,0.0,0.0,0.0,0.0,242.01,1.93,22.52,34.87,809.14,195.11,05-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Mar-2020 - 00:00,60.27,72.33,9.18,11.2,2.02,2.83,5.91,1.07,62.27,0.0,0.0,0.0,0.0,0.0,214.56,1.64,22.16,39.67,809.13,176.05,06-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Mar-2020 - 00:00,41.5,49.8,9.18,11.23,2.06,2.83,4.01,0.62,43.79,0.0,0.0,0.0,0.0,0.0,280.79,2.3,21.6,53.34,809.16,125.07,07-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Mar-2020 - 00:00,31.73,38.08,8.39,10.73,2.34,2.96,3.28,0.69,18.58,0.0,0.0,0.0,0.0,0.0,241.14,1.6,20.4,60.85,809.12,64.2,08-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Mar-2020 - 00:00,37.88,45.45,9.33,11.41,2.08,2.82,2.63,0.71,41.65,0.0,0.0,0.0,0.0,0.0,265.0,2.1,24.2,33.51,809.08,204.85,10-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Mar-2020 - 00:00,41.79,50.16,10.28,12.3,2.03,2.63,3.15,0.89,40.4,0.0,0.0,0.0,0.0,0.0,220.02,1.81,23.12,40.54,809.11,200.58,11-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Mar-2020 - 00:00,31.96,38.35,9.88,11.95,2.07,2.84,2.83,0.72,30.17,0.0,0.0,0.0,0.0,0.0,219.52,1.62,22.69,48.12,809.07,169.98,12-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Mar-2020 - 00:00,29.84,35.81,9.48,11.47,2.01,2.82,5.01,0.79,35.12,0.0,0.0,0.0,0.0,0.0,213.58,1.54,22.75,42.72,809.09,198.09,13-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Mar-2020 - 00:00,30.77,36.93,9.43,11.41,1.98,2.85,2.99,0.77,39.45,0.0,0.0,0.0,0.0,0.0,219.78,1.64,22.86,44.21,809.08,194.84,14-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Mar-2020 - 00:00,38.63,46.41,10.53,12.53,1.99,2.59,7.21,1.25,44.84,0.0,0.0,0.0,0.0,0.0,182.96,1.38,23.02,29.63,809.09,201.52,15-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Mar-2020 - 00:00,42.7,51.24,10.37,12.42,2.05,2.59,3.91,0.93,36.91,0.0,0.0,0.0,0.0,0.0,149.44,1.63,23.47,34.99,809.08,188.61,16-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Mar-2020 - 00:00,40.46,48.56,9.88,11.91,2.02,2.72,4.96,0.71,33.16,0.0,0.0,0.0,0.0,0.0,154.02,1.85,23.56,39.13,809.08,187.49,17-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Mar-2020 - 00:00,43.05,51.66,11.02,12.95,2.01,2.41,5.18,0.74,30.2,0.0,0.0,0.0,0.0,0.0,168.5,1.88,23.66,38.36,809.07,169.85,18-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Mar-2020 - 00:00,40.54,53.03,10.92,12.98,2.06,2.61,7.76,0.97,45.25,0.0,0.0,0.0,0.0,0.0,203.91,8.38,23.92,35.65,809.07,175.91,19-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Mar-2020 - 00:00,39.97,63.96,13.12,15.33,2.21,2.48,6.57,0.99,81.54,0.0,0.0,0.0,0.0,0.0,188.15,29.26,23.54,33.63,809.06,178.36,20-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Mar-2020 - 00:00,37.51,60.02,9.02,10.98,1.96,2.98,5.95,1.0,96.39,0.0,0.0,0.0,0.0,0.0,207.67,29.62,23.66,22.19,809.06,201.23,21-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Mar-2020 - 00:00,40.3,64.49,11.01,13.03,2.03,2.9,4.77,1.11,68.13,0.0,0.0,0.0,0.0,0.0,206.37,29.35,23.08,21.35,809.09,194.29,22-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Mar-2020 - 00:00,52.43,83.97,8.88,10.88,2.0,2.96,5.0,0.9,86.47,0.0,0.0,0.0,0.0,0.0,178.89,29.29,23.51,22.83,809.09,196.24,23-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Mar-2020 - 00:00,49.53,79.24,10.23,12.32,2.09,2.64,6.04,0.93,77.35,0.0,0.0,0.0,0.0,0.0,165.03,29.31,23.99,30.96,809.09,198.62,24-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Mar-2020 - 00:00,46.17,73.88,8.62,10.67,2.05,3.09,4.17,0.72,78.66,0.0,0.0,0.0,0.0,0.0,180.96,29.97,23.71,39.38,809.06,170.8,25-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Mar-2020 - 00:00,39.22,62.76,7.86,9.91,2.05,3.33,4.07,0.54,90.07,0.0,0.0,0.0,0.0,0.0,140.03,29.97,23.55,41.79,809.64,191.55,26-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Mar-2020 - 00:00,35.92,57.48,6.71,8.82,2.12,3.55,3.18,0.78,66.24,0.0,0.0,0.0,0.0,0.0,181.83,29.2,22.1,56.27,809.06,72.09,27-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Mar-2020 - 00:00,58.24,93.19,7.48,9.5,2.01,3.39,11.47,0.82,117.94,0.0,0.0,0.0,0.0,0.0,159.04,30.53,24.56,23.0,809.29,450.89,28-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Mar-2020 - 00:00,53.14,84.24,7.65,9.74,2.09,3.26,6.94,0.86,99.48,0.0,0.0,0.0,0.0,0.0,129.25,29.57,24.57,24.21,809.06,53.46,30-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Apr-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
