from date,NO2,NH3,NOx,NO,CO,Ozone,SO2,Benzene,PM10,PM2.5,WD,WS,AT,to date,station
01-Jan-2020 - 00:00,18.3,52.95,26.17,16.39,1.2,40.8,2.84,0.0,76.2,40.69,107.13,0.77,16.65,02-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Jan-2020 - 00:00,13.39,42.12,21.06,13.04,1.26,36.98,3.06,79.27,47.48,28.78,106.27,0.91,16.6,03-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Jan-2020 - 00:00,15.63,43.55,24.25,17.27,1.32,29.04,3.47,3.43,53.85,35.89,134.87,0.54,16.82,04-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Jan-2020 - 00:00,12.61,67.92,33.46,27.05,1.34,20.64,3.72,0.0,103.93,62.23,142.56,0.41,18.7,05-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Jan-2020 - 00:00,9.83,68.44,40.22,31.27,1.45,25.71,3.11,0.0,123.99,63.64,138.5,0.47,17.56,06-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Jan-2020 - 00:00,16.2,74.73,34.79,26.28,1.44,27.1,3.36,0.0,108.11,49.72,123.99,0.49,15.53,07-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Jan-2020 - 00:00,21.54,55.2,43.78,29.34,1.49,24.26,4.95,0.0,143.76,69.99,135.54,0.41,15.96,08-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Jan-2020 - 00:00,16.81,53.5,34.17,23.51,1.54,28.1,4.26,0.0,112.43,67.17,117.67,0.56,16.9,09-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Jan-2020 - 00:00,10.76,37.79,31.61,23.58,1.52,23.67,4.28,0.0,113.99,80.29,161.94,0.4,17.94,10-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Jan-2020 - 00:00,15.85,42.67,25.38,26.54,1.14,17.47,4.24,0.0,84.71,50.88,133.44,0.52,16.06,11-Jan-2020 - 00:00,"GM Office, Brajrajnagar - OSPCB"
