from date,PM2.5,PM10,NO2,NOx,NO,CO,SO2,to date,station
27-Jun-2020 - 00:00,11.97,27.01,19.01,20.0,21.52,0.47,8.22,28-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Jun-2020 - 00:00,23.89,51.07,18.09,22.63,22.24,0.46,8.2,29-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Jun-2020 - 00:00,6.91,17.69,19.42,21.05,20.48,0.47,8.26,30-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Jun-2020 - 00:00,14.4,33.76,15.98,19.45,18.96,0.47,8.22,01-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Jul-2020 - 00:00,21.98,46.35,16.45,21.64,21.7,0.47,8.23,02-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Jul-2020 - 00:00,24.57,37.13,19.32,24.26,22.48,0.47,8.07,03-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Jul-2020 - 00:00,20.43,40.91,19.83,26.43,25.1,0.46,8.19,04-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Jul-2020 - 00:00,18.28,41.39,19.23,28.33,23.51,0.46,8.27,05-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Jul-2020 - 00:00,10.54,26.95,18.7,22.95,23.15,0.47,8.42,06-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Jul-2020 - 00:00,9.26,20.63,18.04,20.09,20.62,0.47,8.41,07-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Jul-2020 - 00:00,11.51,23.87,17.18,21.2,18.85,0.47,8.4,08-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Jul-2020 - 00:00,18.39,37.41,16.47,23.27,21.99,0.46,8.32,09-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Jul-2020 - 00:00,14.49,26.61,18.2,23.2,23.59,0.46,8.36,10-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Jul-2020 - 00:00,11.71,31.48,18.56,23.2,22.38,0.46,8.52,11-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Jul-2020 - 00:00,12.0,37.2,17.29,21.79,21.16,0.46,8.6,12-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Jul-2020 - 00:00,12.24,28.18,19.11,20.58,19.42,0.46,8.64,13-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Jul-2020 - 00:00,13.03,26.24,19.36,21.86,22.61,0.45,8.47,14-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Jul-2020 - 00:00,12.82,31.24,19.7,23.57,23.59,0.46,8.47,15-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Jul-2020 - 00:00,22.95,43.71,19.48,21.85,23.57,0.46,8.44,16-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Jul-2020 - 00:00,25.89,48.33,19.37,26.94,24.34,0.45,8.4,17-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Jul-2020 - 00:00,14.89,59.19,19.45,24.68,25.1,0.45,8.6,18-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Jul-2020 - 00:00,16.6,40.76,19.56,27.17,27.16,0.45,8.32,19-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Jul-2020 - 00:00,1.64,,16.65,25.74,25.36,0.47,8.18,20-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Jul-2020 - 00:00,8.95,25.25,16.84,23.06,24.41,0.47,8.24,21-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Jul-2020 - 00:00,13.0,27.95,17.57,21.59,21.91,0.48,8.31,22-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Jul-2020 - 00:00,15.67,31.37,16.84,19.42,22.05,0.48,8.24,23-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Jul-2020 - 00:00,14.47,28.7,18.08,21.07,19.33,0.47,8.24,24-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Jul-2020 - 00:00,13.94,27.22,15.84,19.13,22.58,0.47,8.23,25-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Jul-2020 - 00:00,15.19,31.94,17.42,20.25,21.76,0.48,8.08,26-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Jul-2020 - 00:00,19.78,35.73,19.54,21.29,22.59,0.47,8.19,27-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Jul-2020 - 00:00,14.5,24.39,17.77,23.88,25.04,0.47,8.23,28-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Jul-2020 - 00:00,11.89,24.15,17.73,22.48,23.46,0.47,8.3,29-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Jul-2020 - 00:00,6.55,14.76,18.74,19.71,23.38,0.47,8.39,30-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Jul-2020 - 00:00,19.74,35.51,17.65,21.89,22.59,0.47,8.22,31-Jul-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
31-Jul-2020 - 00:00,21.7,38.34,18.17,22.97,22.04,0.47,8.18,01-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Aug-2020 - 00:00,10.51,26.53,17.96,19.94,23.19,0.47,8.25,02-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Aug-2020 - 00:00,14.49,25.59,18.45,22.98,20.07,0.47,8.21,03-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Aug-2020 - 00:00,13.85,28.5,20.12,22.36,21.18,0.47,8.42,04-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Aug-2020 - 00:00,11.76,25.41,17.27,20.56,22.2,0.47,8.34,05-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Aug-2020 - 00:00,9.29,19.29,16.99,19.29,20.72,0.47,8.33,06-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Aug-2020 - 00:00,6.95,13.4,12.39,15.13,16.32,0.22,8.39,07-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Aug-2020 - 00:00,15.49,29.94,10.72,11.47,11.12,0.05,8.32,08-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Aug-2020 - 00:00,7.84,15.9,9.7,11.13,12.56,0.05,8.22,09-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Aug-2020 - 00:00,12.03,24.41,10.09,10.76,12.56,0.05,8.41,10-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Aug-2020 - 00:00,22.67,38.24,10.44,11.25,13.42,0.05,8.38,11-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Aug-2020 - 00:00,13.24,22.42,10.82,12.17,12.2,0.05,8.39,12-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Aug-2020 - 00:00,8.38,20.91,9.77,11.34,13.09,0.05,8.46,13-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Aug-2020 - 00:00,10.84,21.95,9.63,11.48,12.0,0.05,8.4,14-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Aug-2020 - 00:00,15.3,28.74,9.62,10.99,12.63,0.05,8.43,15-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Aug-2020 - 00:00,10.73,19.39,10.64,12.62,12.06,0.05,8.44,16-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Aug-2020 - 00:00,12.48,23.84,10.3,11.54,11.39,0.05,8.48,17-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Aug-2020 - 00:00,14.56,25.74,10.19,12.29,12.0,0.05,8.48,18-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Aug-2020 - 00:00,8.46,20.77,12.71,10.23,13.46,0.04,9.82,19-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Aug-2020 - 00:00,12.52,27.5,9.83,11.87,11.77,0.01,11.94,20-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Aug-2020 - 00:00,15.18,26.29,9.45,11.64,12.27,0.47,11.84,21-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Aug-2020 - 00:00,9.36,19.88,9.5,12.25,12.75,0.79,11.83,22-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Aug-2020 - 00:00,4.92,11.62,9.68,10.53,12.07,0.8,11.85,23-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Aug-2020 - 00:00,9.59,15.78,9.1,10.55,11.52,0.79,11.76,24-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Aug-2020 - 00:00,7.25,18.08,8.73,10.79,11.18,0.78,11.87,25-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Aug-2020 - 00:00,8.36,17.16,9.69,11.24,12.24,0.77,11.84,26-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Aug-2020 - 00:00,10.52,21.86,10.26,10.41,11.84,0.77,11.89,27-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Aug-2020 - 00:00,9.02,17.15,10.75,10.59,11.91,0.78,11.91,28-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Aug-2020 - 00:00,11.24,19.81,10.03,11.8,11.65,0.59,11.98,29-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Aug-2020 - 00:00,7.36,14.27,10.15,10.43,11.51,0.42,11.97,30-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Aug-2020 - 00:00,11.61,19.78,9.75,10.84,12.31,0.39,11.88,31-Aug-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
31-Aug-2020 - 00:00,11.64,23.16,9.54,11.29,13.14,0.38,11.87,01-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Sep-2020 - 00:00,11.89,20.17,10.37,11.51,12.47,0.37,11.86,02-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Sep-2020 - 00:00,11.85,25.76,9.32,11.28,11.23,0.38,11.96,03-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Sep-2020 - 00:00,16.37,27.47,9.96,11.57,11.56,0.37,11.93,04-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Sep-2020 - 00:00,12.22,19.35,10.0,11.55,12.96,0.37,11.91,05-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Sep-2020 - 00:00,15.65,25.83,10.72,12.79,12.97,0.36,11.85,06-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Sep-2020 - 00:00,20.49,35.43,9.55,12.78,14.06,0.34,12.01,07-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Sep-2020 - 00:00,19.74,38.68,11.11,12.44,13.62,0.33,11.96,08-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Sep-2020 - 00:00,20.36,35.65,11.22,12.81,13.75,0.33,11.99,09-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Sep-2020 - 00:00,14.76,28.9,10.74,12.49,12.85,0.33,12.09,10-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Sep-2020 - 00:00,13.88,23.45,9.39,10.63,13.03,0.34,12.14,11-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Sep-2020 - 00:00,24.68,41.56,9.74,10.74,11.03,0.36,12.06,12-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Sep-2020 - 00:00,34.91,61.25,10.11,11.24,12.38,0.37,11.78,13-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Sep-2020 - 00:00,32.36,49.77,9.92,12.37,12.31,0.35,12.04,14-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Sep-2020 - 00:00,27.6,46.73,9.47,12.7,14.04,0.33,12.11,15-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Sep-2020 - 00:00,25.92,43.92,9.85,14.15,13.78,0.29,12.21,16-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Sep-2020 - 00:00,27.99,46.57,10.94,14.57,13.59,0.28,12.41,17-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Sep-2020 - 00:00,32.63,60.27,11.41,13.68,14.32,0.28,12.42,18-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Sep-2020 - 00:00,36.11,67.99,10.56,14.17,14.57,0.29,12.58,19-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Sep-2020 - 00:00,32.05,56.98,10.28,12.69,13.67,0.29,12.68,20-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Sep-2020 - 00:00,42.67,69.6,9.3,11.14,12.87,0.34,12.69,21-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Sep-2020 - 00:00,27.12,46.4,9.27,11.36,12.48,0.33,12.52,22-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Sep-2020 - 00:00,7.23,14.81,9.36,10.47,12.17,0.33,12.57,23-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Sep-2020 - 00:00,10.14,18.95,8.8,10.31,11.03,0.33,12.54,24-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Sep-2020 - 00:00,8.43,19.23,9.43,10.8,11.42,0.33,12.31,25-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Sep-2020 - 00:00,19.05,35.72,9.94,10.27,12.06,0.33,12.32,26-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Sep-2020 - 00:00,25.07,48.84,9.19,11.33,12.04,0.34,12.32,27-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Sep-2020 - 00:00,24.73,47.39,9.32,11.15,11.92,0.33,12.27,28-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Sep-2020 - 00:00,23.5,47.38,9.6,10.99,12.94,0.32,12.16,29-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Sep-2020 - 00:00,23.62,60.51,9.42,11.07,12.66,0.31,12.06,30-Sep-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Sep-2020 - 00:00,29.41,68.9,9.76,12.16,11.98,0.31,12.33,01-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Oct-2020 - 00:00,22.55,47.56,9.06,11.06,11.79,0.32,12.0,02-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Oct-2020 - 00:00,28.25,55.38,10.05,11.79,11.9,0.33,12.03,03-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Oct-2020 - 00:00,33.96,56.17,10.83,11.74,12.26,0.36,12.06,04-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Oct-2020 - 00:00,30.69,51.77,10.22,11.73,13.03,0.38,11.98,05-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Oct-2020 - 00:00,26.97,45.61,10.0,11.69,12.51,0.36,11.97,06-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Oct-2020 - 00:00,22.09,43.72,10.04,12.35,12.74,0.36,11.95,07-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Oct-2020 - 00:00,23.12,41.58,10.36,11.69,14.07,0.36,12.0,08-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Oct-2020 - 00:00,20.35,37.02,10.63,11.5,12.79,0.37,11.96,09-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Oct-2020 - 00:00,19.22,33.98,10.98,11.39,13.6,0.37,11.9,10-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Oct-2020 - 00:00,22.14,36.96,10.68,12.64,12.87,0.37,11.99,11-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Oct-2020 - 00:00,20.51,37.95,9.83,12.31,13.45,0.35,11.94,12-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Oct-2020 - 00:00,26.71,50.67,10.8,13.04,13.45,0.35,11.99,13-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Oct-2020 - 00:00,24.53,44.43,10.15,13.23,14.33,0.36,11.99,14-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Oct-2020 - 00:00,18.44,53.06,9.89,12.47,13.98,0.37,11.94,15-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Oct-2020 - 00:00,17.7,63.85,10.65,13.0,14.0,0.35,12.09,16-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Oct-2020 - 00:00,21.26,49.9,10.55,12.39,13.14,0.36,11.99,17-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Oct-2020 - 00:00,20.61,35.49,10.15,12.63,13.59,0.37,12.0,18-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Oct-2020 - 00:00,25.61,47.63,10.09,12.63,13.68,0.37,11.97,19-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Oct-2020 - 00:00,26.04,49.75,10.52,13.48,14.12,0.38,12.01,20-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Oct-2020 - 00:00,27.53,55.55,9.4,13.16,13.91,0.39,12.0,21-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Oct-2020 - 00:00,17.46,37.8,10.03,12.55,13.22,0.39,11.89,22-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Oct-2020 - 00:00,21.45,41.02,9.55,11.3,13.1,0.38,11.79,23-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Oct-2020 - 00:00,24.05,46.05,9.97,12.25,12.39,0.43,11.64,24-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Oct-2020 - 00:00,25.28,47.96,10.11,12.46,12.59,0.44,11.62,25-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Oct-2020 - 00:00,21.49,43.42,9.93,13.43,14.83,0.43,11.52,26-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Oct-2020 - 00:00,21.7,41.34,10.78,13.14,13.87,0.44,11.54,27-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Oct-2020 - 00:00,22.15,47.86,9.81,12.26,13.36,0.46,11.59,28-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Oct-2020 - 00:00,24.96,52.38,10.14,11.96,14.47,0.49,11.59,29-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Oct-2020 - 00:00,29.6,58.51,9.3,11.48,13.53,0.52,11.5,30-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Oct-2020 - 00:00,23.8,46.75,9.68,11.09,12.77,0.55,11.47,31-Oct-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
31-Oct-2020 - 00:00,30.6,58.49,10.11,11.45,11.99,0.58,11.4,01-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Nov-2020 - 00:00,42.24,74.87,9.88,11.71,12.51,0.61,11.38,02-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Nov-2020 - 00:00,33.74,59.07,9.83,10.93,11.79,0.65,11.45,03-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Nov-2020 - 00:00,20.4,41.01,8.9,11.21,11.54,0.62,11.33,04-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Nov-2020 - 00:00,13.19,29.07,10.32,10.41,12.32,0.62,11.43,05-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Nov-2020 - 00:00,,,,,,,,06-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Nov-2020 - 00:00,,,,,,,,07-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Nov-2020 - 00:00,,,,,,,,08-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Nov-2020 - 00:00,,,,,,,,09-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Nov-2020 - 00:00,,,,,,,,10-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Nov-2020 - 00:00,7.65,23.23,7.97,10.44,10.49,0.84,11.36,11-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Nov-2020 - 00:00,19.49,33.9,9.59,10.92,12.72,0.92,11.45,12-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Nov-2020 - 00:00,22.02,40.88,8.76,11.39,12.37,0.89,11.54,13-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Nov-2020 - 00:00,22.31,41.64,9.34,11.46,12.04,0.88,11.47,14-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Nov-2020 - 00:00,31.98,55.82,9.18,11.2,12.24,0.91,11.44,15-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Nov-2020 - 00:00,28.36,47.59,9.2,11.6,12.53,0.93,11.46,16-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Nov-2020 - 00:00,23.82,42.18,9.07,10.6,12.48,0.93,11.54,17-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Nov-2020 - 00:00,20.25,42.49,8.94,10.48,12.0,0.97,11.58,18-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Nov-2020 - 00:00,,37.46,9.23,11.51,10.27,0.88,11.71,19-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Nov-2020 - 00:00,39.31,40.61,8.27,9.22,12.14,0.82,11.77,20-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Nov-2020 - 00:00,25.09,48.49,9.14,10.49,10.96,0.84,11.73,21-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Nov-2020 - 00:00,28.71,49.93,9.35,9.96,10.82,0.85,11.74,22-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Nov-2020 - 00:00,33.38,62.89,9.64,10.63,10.03,0.83,12.0,23-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Nov-2020 - 00:00,35.61,65.8,9.3,10.08,11.21,0.84,12.0,24-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Nov-2020 - 00:00,24.68,85.1,9.63,9.99,11.33,0.85,12.03,25-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Nov-2020 - 00:00,17.21,54.05,9.27,9.35,10.67,0.86,11.89,26-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Nov-2020 - 00:00,23.89,59.46,9.44,11.78,9.82,0.87,11.97,27-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Nov-2020 - 00:00,19.92,54.35,9.33,9.99,10.19,0.96,12.11,28-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Nov-2020 - 00:00,17.58,31.03,9.36,9.62,10.29,0.84,12.12,29-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Nov-2020 - 00:00,17.58,27.13,9.81,10.37,10.8,0.71,12.08,30-Nov-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Nov-2020 - 00:00,14.89,23.63,9.15,10.45,10.08,0.69,11.94,01-Dec-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Dec-2020 - 00:00,11.96,15.9,5.45,4.75,3.7,0.68,11.87,02-Dec-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
