from date,MP-Xylene,Benzene,Toluene,O Xylene,NO,NO2,NOx,NH3,WS,SO2,CO,PM10,PM2.5,Ozone,Eth-Benzene,BP,RH,SR,VWS,WD,to date,station
30-Jan-2020 - 00:00,3.91,2.31,6.27,1.73,13.13,48.65,35.95,22.49,0.91,10.71,1.05,100.23,39.08,31.03,0.46,737.17,41.96,159.86,1.25,185.48,31-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
31-Jan-2020 - 00:00,3.05,2.1,5.3,0.36,10.09,51.07,34.77,22.2,0.72,12.84,1.13,87.85,41.42,29.53,0.05,735.09,47.61,128.17,1.19,132.65,01-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Feb-2020 - 00:00,5.89,3.74,10.45,2.04,20.11,49.81,42.15,23.15,1.16,10.7,1.07,144.19,54.86,36.54,0.98,737.26,43.45,211.96,1.27,119.62,02-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Feb-2020 - 00:00,3.95,3.02,7.2,1.43,11.3,46.08,33.1,22.11,0.94,11.31,1.43,137.77,58.05,40.3,0.69,738.45,48.2,167.51,1.26,119.14,03-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Feb-2020 - 00:00,4.29,3.27,7.59,0.93,11.09,46.53,33.27,21.75,0.95,12.17,1.14,128.63,53.17,40.24,0.78,737.46,44.18,157.68,1.22,98.36,04-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Feb-2020 - 00:00,5.24,4.64,8.67,0.86,5.12,45.86,28.06,21.1,1.01,12.27,0.99,134.11,56.8,45.53,0.92,735.69,46.6,139.04,1.23,82.89,05-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Feb-2020 - 00:00,5.01,3.3,8.28,0.73,13.78,60.0,42.4,23.44,0.99,11.84,1.14,135.78,58.36,42.61,0.38,736.45,40.85,206.68,1.32,142.35,06-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Feb-2020 - 00:00,4.32,3.01,7.83,0.82,7.26,50.86,32.61,30.93,0.9,12.1,1.18,142.6,65.08,37.33,0.66,735.64,47.9,114.41,1.23,109.82,07-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Feb-2020 - 00:00,4.14,3.04,7.53,0.53,5.95,49.5,30.63,33.95,1.3,12.02,1.05,139.25,60.48,45.34,0.51,737.43,48.2,170.25,1.27,107.32,08-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Feb-2020 - 00:00,4.13,2.58,7.61,0.82,6.08,52.39,31.69,34.01,1.11,12.06,1.54,119.35,63.31,41.81,0.73,739.17,41.82,139.51,1.23,87.63,09-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Feb-2020 - 00:00,3.28,3.59,5.98,0.45,16.61,53.66,41.51,37.31,0.54,12.37,1.23,139.66,69.24,44.17,0.39,739.59,42.79,170.16,1.22,111.74,10-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Feb-2020 - 00:00,0.48,1.81,0.53,2.11,26.55,57.31,51.01,42.44,0.57,11.76,1.13,182.01,85.47,40.84,0.69,738.29,43.02,207.32,1.23,123.19,11-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Feb-2020 - 00:00,1.75,0.34,0.5,4.61,36.54,58.38,58.13,52.72,0.69,13.51,1.58,155.8,66.15,58.13,0.38,738.36,35.27,244.75,1.34,134.1,12-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Feb-2020 - 00:00,0.98,0.38,1.48,0.43,36.74,74.65,68.47,56.02,0.71,12.27,1.35,196.86,71.43,36.34,0.34,738.55,40.45,147.88,1.27,130.5,13-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Feb-2020 - 00:00,12.82,5.81,18.79,4.77,105.41,84.7,126.63,81.23,0.72,14.61,1.3,255.14,100.48,34.84,3.76,736.75,36.24,182.43,1.33,212.37,14-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Feb-2020 - 00:00,6.64,2.83,9.02,1.81,16.86,61.58,44.69,38.01,1.08,15.75,0.75,182.05,92.65,44.46,1.25,734.91,32.07,186.7,1.37,292.81,15-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
15-Feb-2020 - 00:00,6.69,3.04,13.24,1.63,21.75,68.75,52.89,47.26,0.81,15.12,0.78,159.21,75.78,39.23,1.22,734.89,25.84,187.43,1.36,276.03,16-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Feb-2020 - 00:00,8.85,4.11,13.29,2.94,60.26,81.85,91.08,73.59,0.47,15.86,0.96,183.87,74.26,34.88,2.07,736.6,20.39,201.91,1.33,140.51,17-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Feb-2020 - 00:00,14.37,7.65,21.13,5.88,115.26,104.87,145.47,111.54,0.58,16.29,1.46,250.72,109.88,26.61,4.13,737.28,25.03,180.92,1.32,145.77,18-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Feb-2020 - 00:00,13.98,5.99,20.24,4.99,93.12,95.65,124.64,97.8,0.62,15.55,1.49,213.24,82.87,33.98,4.16,735.56,24.61,202.22,1.31,143.44,19-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Feb-2020 - 00:00,18.34,8.64,25.12,6.9,61.28,75.76,88.72,71.97,0.85,16.03,0.99,208.92,83.52,45.04,5.78,733.58,30.06,189.44,1.35,91.32,20-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Feb-2020 - 00:00,4.91,2.62,6.06,0.8,4.37,45.25,27.14,26.85,1.42,14.45,1.11,132.55,51.79,51.73,0.33,732.53,40.4,170.04,1.34,118.72,21-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Feb-2020 - 00:00,4.42,3.34,5.94,0.58,5.63,45.57,28.16,27.47,1.2,14.12,1.22,217.65,95.83,29.24,0.13,734.79,82.84,42.86,1.27,275.71,22-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Feb-2020 - 00:00,4.31,2.66,6.68,0.5,5.67,46.07,28.62,28.0,1.42,13.81,1.08,112.81,65.5,37.56,0.59,738.32,72.76,168.38,1.32,62.02,23-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Feb-2020 - 00:00,3.58,2.47,5.47,0.14,3.52,43.05,25.31,26.3,1.19,14.05,0.96,123.34,61.43,50.14,0.07,737.28,68.57,148.33,1.35,69.74,24-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Feb-2020 - 00:00,6.09,2.82,8.59,0.83,12.59,55.4,39.04,52.98,0.91,15.8,0.88,123.96,72.3,40.46,0.86,734.97,54.11,172.01,1.37,161.66,25-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Feb-2020 - 00:00,6.36,3.04,8.72,1.11,17.25,67.23,46.95,57.55,0.78,15.31,1.11,146.14,75.23,41.94,0.9,734.4,49.97,188.46,1.36,189.41,26-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
26-Feb-2020 - 00:00,6.2,3.11,8.23,0.92,11.66,61.21,40.28,37.67,0.99,17.87,1.43,138.1,64.47,45.32,1.03,734.53,39.03,189.07,1.4,121.91,27-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Feb-2020 - 00:00,5.6,3.05,8.0,1.05,12.38,50.81,36.7,33.4,1.02,15.12,1.13,128.44,59.74,52.89,0.93,734.33,39.86,163.1,1.4,119.28,28-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Feb-2020 - 00:00,5.46,4.1,7.92,0.84,5.02,46.07,28.03,28.13,1.3,15.74,1.03,141.38,59.45,58.37,0.74,733.17,51.36,124.41,1.34,83.51,29-Feb-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
29-Feb-2020 - 00:00,4.24,3.39,6.25,0.72,8.04,44.45,29.57,28.19,1.55,14.21,1.37,139.0,55.93,55.23,0.63,731.95,54.71,141.97,1.37,90.46,01-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Mar-2020 - 00:00,1.87,1.37,3.65,0.06,2.41,33.88,19.59,20.06,1.88,14.57,0.94,80.96,26.85,65.38,0.12,733.5,57.09,200.41,1.33,86.09,02-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Mar-2020 - 00:00,3.88,2.53,5.82,0.28,6.7,42.62,27.85,36.32,0.77,14.99,1.17,110.48,45.19,58.42,0.42,733.41,53.29,144.05,1.38,93.05,03-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Mar-2020 - 00:00,5.1,2.81,7.01,0.59,5.64,40.62,25.45,50.06,1.06,14.69,1.08,156.68,70.85,63.99,0.72,732.51,48.85,171.99,1.41,123.38,04-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Mar-2020 - 00:00,4.44,3.34,6.73,0.53,3.13,40.01,23.39,46.99,1.41,13.51,0.92,133.92,61.2,68.22,0.55,731.67,51.37,192.3,1.34,87.65,05-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Mar-2020 - 00:00,6.04,3.01,8.59,1.57,8.89,44.25,30.24,57.65,1.58,14.01,1.19,90.46,39.67,43.5,1.34,730.9,64.74,218.15,1.31,80.29,06-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Mar-2020 - 00:00,0.98,0.87,1.73,0.15,11.11,46.41,32.88,61.87,0.58,15.16,0.99,86.86,33.92,39.04,0.0,730.33,75.9,168.13,1.24,139.86,07-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Mar-2020 - 00:00,0.0,0.0,0.0,0.0,21.21,60.09,48.4,86.0,0.06,14.82,1.09,104.05,37.2,30.4,0.0,734.33,70.72,246.78,1.29,210.23,08-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Mar-2020 - 00:00,1.42,0.83,2.48,0.19,10.23,48.46,33.35,62.62,0.07,15.32,1.02,82.52,33.18,50.02,0.26,736.02,52.91,267.13,1.36,135.7,09-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Mar-2020 - 00:00,4.0,1.66,5.69,0.08,16.62,52.1,40.08,72.57,0.06,15.28,1.02,89.24,36.29,51.5,0.03,734.36,38.46,250.96,1.39,226.16,10-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Mar-2020 - 00:00,1.38,1.58,3.05,0.0,2.09,29.91,17.21,35.51,0.07,15.44,0.94,90.93,36.78,65.62,0.0,732.72,39.55,207.09,1.29,58.48,11-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Mar-2020 - 00:00,1.08,1.18,2.65,0.0,2.51,30.27,17.75,36.54,0.07,14.21,0.98,71.55,36.82,59.71,0.0,730.74,54.92,244.68,1.3,118.1,12-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Mar-2020 - 00:00,2.32,1.15,3.78,0.1,9.52,51.58,34.07,66.16,0.07,12.94,0.68,145.38,61.87,42.42,0.14,732.72,38.84,241.7,1.33,156.45,13-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Mar-2020 - 00:00,4.01,1.57,5.65,0.57,29.24,63.23,56.19,98.05,0.06,15.04,0.8,283.31,100.47,41.28,0.27,734.5,24.62,241.9,1.35,246.09,14-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Mar-2020 - 00:00,2.57,1.45,4.08,0.07,6.95,48.92,31.75,61.63,0.07,12.5,1.93,230.31,82.3,51.17,0.03,735.52,40.22,295.86,1.37,309.02,15-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
15-Mar-2020 - 00:00,1.92,1.12,3.52,0.05,3.94,42.87,25.57,50.88,0.07,13.0,3.73,115.99,66.15,59.35,0.0,736.13,43.2,246.01,1.36,141.87,16-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Mar-2020 - 00:00,2.74,1.46,4.72,0.39,4.47,46.38,27.79,55.41,0.08,13.53,0.88,101.22,68.49,74.41,0.35,736.34,44.59,220.71,1.39,137.39,17-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Mar-2020 - 00:00,4.65,2.13,6.98,0.72,8.9,54.93,35.81,72.24,0.07,14.78,0.97,108.78,65.79,68.47,0.5,736.4,40.84,258.75,1.39,100.69,18-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Mar-2020 - 00:00,6.71,3.37,10.04,1.71,24.88,55.21,48.77,84.82,0.07,13.84,1.12,123.81,68.8,61.72,1.43,735.27,33.94,257.8,1.43,109.84,19-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Mar-2020 - 00:00,9.87,3.97,13.37,3.32,27.33,57.49,52.19,98.91,0.08,13.36,1.15,127.04,69.17,56.64,2.19,732.72,30.53,233.66,1.46,152.74,20-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Mar-2020 - 00:00,4.59,2.17,6.81,0.82,4.26,37.93,23.35,45.68,0.59,14.04,0.61,113.13,66.32,75.02,0.6,731.5,34.84,193.83,1.42,93.73,21-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Mar-2020 - 00:00,1.05,0.73,3.11,0.0,3.21,34.77,20.71,41.73,0.96,14.06,0.85,79.98,42.01,71.52,0.0,732.42,43.4,260.5,1.44,157.34,22-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Mar-2020 - 00:00,0.75,1.25,2.33,0.24,1.48,24.44,13.87,28.49,0.96,10.84,0.52,70.47,36.16,80.81,0.0,733.46,36.88,271.69,1.48,119.52,23-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Mar-2020 - 00:00,1.33,1.35,2.71,0.14,2.37,21.81,13.24,28.2,0.93,8.98,0.76,79.68,41.14,66.55,0.15,733.52,44.47,151.03,1.39,111.77,24-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Mar-2020 - 00:00,2.73,1.84,5.46,0.27,3.12,23.1,14.55,30.21,0.93,7.68,0.6,78.91,41.4,53.97,0.57,732.27,38.73,189.5,1.46,135.12,25-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Mar-2020 - 00:00,0.91,1.16,2.4,0.0,1.95,15.5,9.59,20.93,0.93,8.69,0.49,62.74,27.8,45.02,0.0,732.68,44.73,239.98,0.8,92.79,26-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
26-Mar-2020 - 00:00,0.07,0.32,0.74,0.0,1.62,13.67,8.38,19.02,0.98,7.39,0.57,39.24,20.32,37.4,0.0,734.09,58.97,170.27,-0.08,230.96,27-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Mar-2020 - 00:00,0.0,0.0,0.19,0.0,1.47,13.09,8.13,18.43,0.85,7.03,0.64,20.45,8.37,12.8,0.0,734.75,88.81,83.19,-0.2,182.76,28-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Mar-2020 - 00:00,0.02,0.0,0.98,0.0,1.81,15.12,9.22,20.7,0.93,9.2,0.66,34.24,15.72,12.92,0.0,735.03,72.38,293.1,-0.1,124.58,29-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
29-Mar-2020 - 00:00,0.02,0.04,1.64,0.0,1.53,14.46,8.71,19.34,0.94,9.3,0.46,42.47,12.58,10.83,0.0,733.92,58.8,295.64,-0.03,180.06,30-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
30-Mar-2020 - 00:00,0.16,0.0,1.27,0.0,1.43,14.54,8.63,19.29,0.94,7.89,0.6,46.48,14.08,11.16,0.0,733.9,63.93,293.37,-0.01,123.38,31-Mar-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
31-Mar-2020 - 00:00,1.03,0.29,1.86,0.09,2.58,18.8,11.79,25.05,1.03,11.12,0.57,55.77,20.87,13.51,0.17,732.62,65.21,246.94,-0.02,107.11,01-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Apr-2020 - 00:00,0.36,0.15,1.27,0.0,1.27,13.34,7.89,17.71,0.95,8.85,0.37,82.51,40.66,12.14,0.0,732.48,51.88,284.06,-0.02,196.91,02-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Apr-2020 - 00:00,0.0,0.01,0.35,0.0,1.13,13.91,8.08,18.25,0.87,25.04,0.67,52.59,25.09,15.83,0.0,732.76,39.26,305.41,0.0,239.64,03-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Apr-2020 - 00:00,0.0,0.04,0.48,0.0,1.23,14.55,8.46,18.74,0.94,23.74,0.76,47.54,21.6,10.75,0.0,733.53,27.84,318.64,0.02,161.04,04-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Apr-2020 - 00:00,0.36,0.28,1.35,0.05,3.11,20.76,13.09,28.17,0.92,16.1,0.77,64.33,22.75,10.45,0.0,733.38,42.6,293.59,0.01,129.39,05-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Apr-2020 - 00:00,0.6,0.39,1.87,0.0,1.88,16.95,10.25,22.63,0.99,12.35,0.6,68.6,31.38,10.74,0.0,733.87,32.15,295.08,0.01,89.88,06-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Apr-2020 - 00:00,0.39,0.38,1.68,0.02,1.77,14.43,9.02,19.03,0.99,12.88,0.57,83.49,36.42,31.29,0.02,733.01,24.61,273.75,0.02,127.83,07-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Apr-2020 - 00:00,0.0,0.0,0.3,0.0,1.95,11.39,7.69,15.74,0.98,12.22,0.49,79.81,32.44,34.23,0.0,731.43,29.66,266.17,0.07,103.34,08-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Apr-2020 - 00:00,0.02,0.01,0.38,0.0,2.02,12.97,8.6,17.33,0.91,12.83,0.52,64.07,25.55,34.44,0.0,732.29,27.16,294.66,0.01,192.57,09-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Apr-2020 - 00:00,0.1,0.02,0.52,0.0,2.25,13.53,9.0,18.32,0.97,12.6,0.52,65.47,26.79,34.23,0.0,732.95,26.61,296.49,0.02,157.86,10-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Apr-2020 - 00:00,0.36,0.21,1.94,0.0,2.71,16.18,10.82,22.3,0.88,13.64,0.53,70.7,31.27,35.06,0.0,733.22,22.5,282.38,0.02,109.17,11-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Apr-2020 - 00:00,0.23,0.25,1.53,0.0,2.21,14.45,9.51,19.16,1.0,13.56,0.48,90.39,34.99,34.15,0.0,733.99,21.92,283.7,0.07,198.26,12-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Apr-2020 - 00:00,0.0,0.2,0.27,0.0,2.56,13.81,9.45,18.84,0.91,13.53,0.57,91.4,32.76,35.23,0.0,733.07,25.87,295.59,0.08,231.17,13-Apr-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
