from date,MP-Xylene,Benzene,Toluene,O Xylene,NO,NO2,NOx,NH3,WS,SO2,CO,PM10,PM2.5,Ozone,Eth-Benzene,BP,RH,SR,VWS,WD,to date,station
01-Jan-2020 - 00:00,3.86,3.83,7.04,0.48,3.62,59.61,33.53,22.31,1.92,9.72,1.01,216.23,112.67,37.69,1.06,738.16,57.6,125.99,1.17,43.88,02-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Jan-2020 - 00:00,6.95,4.15,10.17,1.81,11.51,62.84,42.07,23.14,1.31,9.27,1.25,134.34,74.0,30.86,2.13,738.58,61.26,63.27,1.16,37.05,03-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Jan-2020 - 00:00,7.26,4.35,11.44,1.67,13.81,68.92,47.08,23.92,0.66,8.96,1.1,175.9,60.63,20.93,1.77,737.2,63.11,37.11,1.15,89.76,04-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Jan-2020 - 00:00,2.92,2.53,5.85,0.0,5.06,49.78,30.06,21.23,0.83,8.54,0.43,142.82,65.86,36.17,0.1,736.88,69.64,173.94,1.24,90.64,05-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Jan-2020 - 00:00,3.27,2.87,6.68,0.38,10.83,53.12,36.44,22.86,0.66,11.65,1.13,143.23,68.54,31.45,0.38,737.41,67.94,48.29,1.21,150.58,06-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Jan-2020 - 00:00,5.22,3.21,8.51,0.85,12.29,56.91,39.59,22.98,0.73,11.02,0.66,153.14,63.47,26.02,0.82,737.43,65.56,115.33,1.22,108.12,07-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Jan-2020 - 00:00,3.67,2.65,6.65,0.47,4.66,48.94,29.69,21.11,1.33,9.82,0.72,136.4,63.04,35.63,0.33,735.44,61.23,111.21,1.23,71.9,08-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Jan-2020 - 00:00,3.3,3.35,6.09,0.2,10.57,48.05,33.58,,1.07,9.68,0.72,172.09,87.09,22.03,0.05,734.08,83.39,74.54,1.21,232.12,09-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Jan-2020 - 00:00,4.16,2.43,6.51,0.4,8.28,51.86,33.96,,1.04,12.15,0.65,95.04,43.48,33.86,0.18,738.36,47.87,205.85,1.27,154.9,10-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Jan-2020 - 00:00,4.61,3.18,7.84,1.25,10.76,53.42,36.54,,0.73,10.12,0.76,122.35,53.57,32.32,1.03,738.69,51.31,153.22,1.15,148.91,11-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Jan-2020 - 00:00,5.69,3.49,9.52,1.27,26.53,57.54,51.78,,0.45,13.32,1.83,151.41,59.29,30.4,1.24,738.04,46.57,109.49,1.16,127.54,12-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Jan-2020 - 00:00,7.21,4.39,11.06,1.6,23.06,58.12,48.24,,0.38,10.45,2.16,179.55,70.57,19.58,1.68,736.65,52.85,68.43,1.09,99.5,13-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Jan-2020 - 00:00,7.76,4.34,12.53,2.07,25.15,46.97,44.28,,1.07,10.47,1.06,199.5,68.5,23.86,1.5,732.61,58.67,104.15,1.22,165.3,14-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Jan-2020 - 00:00,1.65,1.81,3.64,0.04,8.62,37.02,26.11,,0.88,11.27,0.69,153.43,43.39,34.72,0.07,734.92,66.82,147.81,1.23,199.85,15-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
15-Jan-2020 - 00:00,2.34,2.06,4.57,0.05,4.72,38.38,23.83,,1.59,10.4,0.62,119.51,55.55,33.44,0.09,735.36,72.56,115.77,1.24,40.8,16-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Jan-2020 - 00:00,3.37,2.65,6.68,0.16,6.73,43.87,28.42,21.89,1.2,9.0,0.7,126.6,57.45,30.69,0.06,734.78,65.82,75.73,1.23,65.8,17-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Jan-2020 - 00:00,3.51,3.01,7.0,0.5,15.56,47.67,38.18,22.62,0.57,9.05,0.71,135.88,62.31,24.28,0.46,735.93,72.01,123.11,1.18,184.89,18-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Jan-2020 - 00:00,4.97,3.29,8.29,0.75,13.31,45.69,34.54,22.73,0.75,8.82,0.47,122.23,51.44,27.53,0.78,736.61,80.93,118.27,1.19,129.17,19-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Jan-2020 - 00:00,4.42,3.35,8.27,0.81,24.64,52.65,47.25,23.58,0.63,10.72,0.9,151.05,70.21,27.98,0.84,737.9,57.35,118.18,1.17,154.73,20-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Jan-2020 - 00:00,3.73,3.19,6.76,0.42,13.16,53.42,39.42,22.59,0.73,9.76,0.69,156.94,67.01,32.39,0.28,737.02,50.1,129.84,1.18,117.93,21-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Jan-2020 - 00:00,3.79,3.8,7.1,0.36,5.26,41.08,25.67,20.93,1.23,8.19,0.68,105.58,59.84,29.63,0.55,736.94,65.65,161.82,1.19,82.98,22-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Jan-2020 - 00:00,3.88,3.69,7.49,0.27,7.38,48.89,31.47,22.15,1.15,13.22,0.75,128.46,67.14,30.82,0.27,738.87,64.42,138.13,1.24,141.82,23-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Jan-2020 - 00:00,4.13,2.95,8.23,0.89,19.3,46.39,39.71,22.21,0.73,16.51,0.83,111.33,53.68,28.95,0.79,738.89,48.7,160.65,1.22,279.6,24-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Jan-2020 - 00:00,5.94,3.22,10.03,1.03,25.24,58.48,50.8,24.66,0.9,17.3,1.01,121.72,52.64,27.3,0.98,736.83,33.51,208.05,1.25,238.72,25-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Jan-2020 - 00:00,7.54,4.41,12.91,1.96,56.52,61.28,77.34,27.83,0.33,16.63,1.36,141.94,59.05,25.98,1.34,736.27,35.14,151.35,1.19,168.07,26-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
26-Jan-2020 - 00:00,10.58,6.47,15.66,3.52,44.12,58.96,75.52,27.15,0.6,14.75,1.71,173.9,55.19,27.35,2.74,735.06,42.48,160.74,1.25,119.96,27-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Jan-2020 - 00:00,3.68,3.11,5.96,0.24,5.11,45.69,27.97,21.01,1.14,15.39,1.99,109.63,24.57,38.38,0.15,732.51,49.89,158.54,1.28,85.86,28-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Jan-2020 - 00:00,3.22,2.75,5.67,0.1,7.36,46.18,30.03,21.55,1.12,14.8,0.82,122.66,48.2,29.65,0.0,731.46,55.61,128.05,1.27,171.96,29-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
29-Jan-2020 - 00:00,4.71,1.97,7.48,0.7,13.77,51.51,38.34,22.12,1.17,12.94,0.56,89.0,36.88,29.21,0.35,736.89,32.39,249.58,1.33,195.81,30-Jan-2020 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
