from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
01-Jan-2020 - 00:00,94.67,138.03,15.87,9.9,10.5,19.13,5.03,0.41,35.84,2.69,2.49,1.98,9.08,348.29,225.71,0.33,89.8,02-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Jan-2020 - 00:00,80.58,112.83,12.52,9.95,10.4,18.79,9.19,0.32,10.06,2.77,2.8,1.9,10.94,344.07,263.09,0.33,86.29,03-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Jan-2020 - 00:00,79.71,113.34,11.67,9.75,10.17,18.27,12.01,0.62,26.24,2.69,3.09,1.82,12.3,354.11,244.81,0.25,74.13,04-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Jan-2020 - 00:00,93.85,131.24,7.6,9.33,9.87,19.1,12.01,0.07,36.91,3.32,3.65,2.0,12.53,348.16,194.74,0.23,76.77,05-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Jan-2020 - 00:00,62.83,91.46,11.09,9.48,9.71,17.61,12.12,0.28,32.22,2.2,2.39,1.85,11.66,343.52,241.76,0.26,86.55,06-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Jan-2020 - 00:00,33.11,46.43,6.78,10.38,10.34,20.39,11.88,0.61,37.89,1.74,1.78,2.0,9.95,345.01,251.65,0.48,97.61,07-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Jan-2020 - 00:00,35.98,45.26,7.59,9.66,9.83,19.25,12.01,0.56,9.57,1.76,1.7,2.0,10.5,345.0,243.81,0.3,99.24,08-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Jan-2020 - 00:00,24.34,33.18,6.26,9.87,10.13,18.45,11.98,0.63,22.78,1.47,1.47,1.85,10.23,350.72,277.99,0.47,97.13,09-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Jan-2020 - 00:00,59.81,84.01,20.68,9.66,9.97,19.54,11.94,0.7,23.61,2.23,1.96,1.97,10.22,369.73,193.21,0.25,88.44,10-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Jan-2020 - 00:00,54.73,75.24,6.72,9.7,9.82,19.47,12.03,0.47,41.01,2.1,2.07,2.0,10.87,367.09,238.63,0.42,77.35,11-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Jan-2020 - 00:00,55.45,81.04,11.14,9.5,10.12,19.57,12.02,0.74,34.64,2.03,2.14,2.0,11.97,372.93,274.01,0.4,71.79,12-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Jan-2020 - 00:00,43.43,71.13,18.26,9.5,10.01,18.78,12.07,0.79,18.19,2.29,2.81,1.94,14.92,373.35,236.42,0.35,66.73,13-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Jan-2020 - 00:00,48.33,62.91,5.83,9.56,9.97,19.56,12.07,0.39,25.82,1.8,2.04,2.0,11.08,361.03,179.14,0.72,99.2,14-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Jan-2020 - 00:00,30.4,83.94,6.75,9.2,9.88,17.85,11.98,0.68,19.64,1.45,1.57,1.86,11.09,375.82,245.71,0.39,92.68,15-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Jan-2020 - 00:00,53.37,155.24,7.19,9.83,9.77,19.35,12.03,0.72,,2.0,1.84,1.94,8.72,367.16,195.75,0.33,98.89,16-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Jan-2020 - 00:00,47.58,85.03,7.73,9.47,9.85,19.32,12.0,0.93,,2.32,2.22,2.0,10.37,376.82,237.47,0.28,92.35,17-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Jan-2020 - 00:00,77.12,109.66,7.34,9.66,10.08,19.72,12.05,0.9,,2.51,2.45,2.0,11.01,372.97,178.97,0.32,95.27,18-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Jan-2020 - 00:00,67.75,97.66,6.71,9.4,9.98,18.71,12.02,0.58,,2.13,2.26,1.93,11.51,367.41,207.32,0.24,94.38,19-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Jan-2020 - 00:00,56.86,81.45,6.54,9.29,9.96,19.18,11.96,0.64,,2.05,2.17,2.0,12.18,373.49,248.96,0.38,88.68,20-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Jan-2020 - 00:00,65.52,110.94,7.99,9.61,10.21,19.14,11.93,0.67,16.23,2.12,2.04,1.94,13.63,379.2,227.7,0.29,71.73,21-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Jan-2020 - 00:00,35.5,66.54,15.25,9.45,10.06,19.17,12.03,0.65,23.28,1.82,1.89,1.95,13.44,368.14,188.56,0.52,80.69,22-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Jan-2020 - 00:00,21.29,40.34,7.61,9.71,10.03,19.53,11.9,0.79,40.48,1.59,1.84,2.0,12.96,375.58,302.81,0.63,74.89,23-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Jan-2020 - 00:00,28.61,53.53,7.16,9.54,10.07,18.12,11.97,0.75,39.46,1.55,1.57,1.87,12.4,364.03,266.73,0.43,70.08,24-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Jan-2020 - 00:00,44.68,79.39,8.43,9.6,9.89,19.16,11.99,0.6,44.43,1.87,1.85,2.0,12.72,373.01,264.81,0.44,61.07,25-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Jan-2020 - 00:00,71.01,128.81,10.98,10.26,10.22,20.16,11.99,0.7,42.63,2.33,2.28,2.0,13.49,368.45,216.71,0.3,61.17,26-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Jan-2020 - 00:00,45.22,83.65,15.98,9.88,10.63,18.22,11.82,0.75,38.62,1.89,2.09,1.83,14.35,374.57,228.9,0.34,69.18,27-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Jan-2020 - 00:00,62.08,93.84,11.48,10.11,10.81,19.72,12.32,0.61,30.87,2.09,2.07,2.0,13.74,370.89,169.81,0.38,83.47,28-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Jan-2020 - 00:00,40.8,53.12,10.21,10.89,10.77,20.47,11.96,0.64,24.24,1.65,1.67,2.0,12.57,365.72,129.97,0.6,97.17,29-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Jan-2020 - 00:00,21.3,39.13,6.95,9.59,10.71,19.58,11.82,1.0,28.39,1.66,1.91,2.0,12.48,373.34,174.79,0.45,94.39,30-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
30-Jan-2020 - 00:00,25.42,59.09,6.81,9.94,10.31,19.31,11.84,0.52,30.95,1.68,1.79,1.96,12.37,374.88,278.81,0.44,91.2,31-Jan-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
31-Jan-2020 - 00:00,21.69,140.11,10.13,10.19,10.12,19.24,12.09,0.48,27.01,1.98,1.71,1.95,11.4,373.81,224.86,0.32,91.77,01-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,02-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Feb-2020 - 00:00,152.36,75.94,14.03,56.79,79.8,69.17,24.8,1.41,18.39,3.07,3.73,1.75,13.48,350.4,224.46,0.12,80.29,04-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Feb-2020 - 00:00,44.37,100.02,6.6,26.68,20.09,35.76,14.21,0.45,38.49,2.02,2.06,2.0,12.73,368.11,191.35,0.4,78.46,05-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Feb-2020 - 00:00,55.27,94.64,7.49,17.5,12.29,27.12,12.1,0.55,32.15,1.76,1.71,2.05,13.51,379.0,247.12,0.46,72.62,06-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Feb-2020 - 00:00,74.41,129.58,9.02,18.25,11.41,26.86,12.14,0.45,40.09,1.85,1.76,1.94,12.85,375.91,182.77,0.29,75.65,07-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Feb-2020 - 00:00,61.87,100.71,7.24,18.13,13.45,28.82,12.0,0.32,40.93,1.81,1.84,2.0,13.86,371.16,235.79,0.28,74.44,08-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Feb-2020 - 00:00,96.79,157.26,9.61,17.86,11.5,26.5,12.38,0.95,43.38,2.21,2.2,1.95,13.56,372.48,210.2,0.32,74.0,09-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Feb-2020 - 00:00,110.83,156.93,9.95,17.34,11.18,27.49,12.01,0.15,42.78,2.93,2.58,2.0,14.54,373.18,216.15,0.26,74.26,10-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Feb-2020 - 00:00,71.42,124.91,7.92,16.94,10.09,26.34,12.05,1.11,42.76,1.98,2.12,1.98,14.66,375.96,254.94,0.33,76.54,11-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Feb-2020 - 00:00,81.78,187.77,9.26,17.67,10.6,27.13,11.95,0.23,36.62,2.28,2.21,2.0,15.57,378.42,230.37,0.32,77.85,12-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Feb-2020 - 00:00,38.75,134.18,2.08,18.04,13.3,27.68,12.36,0.51,37.3,1.7,1.76,2.0,16.18,375.1,307.73,0.59,74.46,13-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Feb-2020 - 00:00,41.97,117.27,10.43,17.4,11.13,26.52,12.11,0.78,35.33,1.63,1.63,2.05,17.86,380.71,288.44,0.57,71.39,14-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Feb-2020 - 00:00,32.78,100.8,8.3,16.88,10.38,26.88,11.86,0.66,40.14,1.59,1.69,2.0,17.07,375.14,278.84,0.63,62.77,15-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Feb-2020 - 00:00,43.66,127.07,10.71,17.44,10.4,27.36,11.94,0.8,42.72,1.98,2.29,2.0,17.22,376.26,260.86,0.43,51.74,16-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Feb-2020 - 00:00,69.02,153.35,9.97,17.3,10.41,26.36,12.1,0.39,46.36,2.37,2.69,1.98,18.34,376.24,220.63,0.29,59.55,17-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Feb-2020 - 00:00,66.41,145.97,10.08,18.08,11.49,27.8,12.01,0.91,45.31,2.12,2.43,1.96,18.08,371.66,233.82,0.38,58.43,18-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Feb-2020 - 00:00,59.48,144.98,11.22,17.4,11.48,27.01,12.17,0.72,51.53,1.99,2.06,2.0,18.21,369.96,242.44,0.39,48.69,19-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Feb-2020 - 00:00,56.34,140.65,11.23,17.04,10.93,27.21,11.93,0.53,,1.87,2.06,2.0,17.39,371.51,112.22,0.89,67.59,20-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Feb-2020 - 00:00,48.15,119.89,13.97,18.38,10.73,27.56,12.12,0.75,,1.75,1.96,1.98,17.97,368.28,123.26,0.8,69.42,21-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Feb-2020 - 00:00,17.35,76.11,10.67,17.34,11.37,27.45,12.04,0.83,,1.51,1.83,2.0,17.29,386.9,167.39,0.68,73.72,22-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Feb-2020 - 00:00,34.41,99.31,10.25,29.32,25.64,38.37,17.44,0.67,,1.65,2.13,1.88,18.6,385.38,266.97,0.33,75.21,23-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Feb-2020 - 00:00,43.44,111.11,9.56,23.23,19.55,35.73,13.61,0.72,,1.76,2.06,2.0,19.64,383.86,261.84,0.36,69.88,24-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Feb-2020 - 00:00,54.01,131.54,14.47,19.8,12.79,27.56,12.45,0.63,,1.72,2.04,1.9,19.7,382.6,219.31,0.31,75.37,25-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Feb-2020 - 00:00,59.72,136.74,9.62,19.34,13.09,29.5,12.25,0.78,31.19,1.82,1.95,2.0,19.93,383.34,253.14,0.34,75.9,26-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Feb-2020 - 00:00,70.48,155.25,9.78,21.19,14.75,29.72,12.52,0.28,30.09,1.77,1.88,1.9,19.99,383.03,185.96,0.34,77.89,27-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Feb-2020 - 00:00,59.31,134.68,7.46,18.51,13.82,27.2,12.39,1.4,27.73,1.73,2.13,2.0,19.85,381.98,125.13,0.5,83.74,28-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Feb-2020 - 00:00,66.54,141.08,12.15,17.56,11.78,26.49,12.17,0.6,29.79,1.69,1.96,1.96,19.16,374.53,101.19,1.02,83.01,29-Feb-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Feb-2020 - 00:00,24.44,80.65,11.05,19.16,12.39,29.08,12.15,0.62,30.11,1.51,1.91,2.0,18.19,388.69,116.56,1.33,75.99,01-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Mar-2020 - 00:00,22.69,84.49,22.08,17.9,12.46,27.81,12.13,0.84,29.62,1.45,1.88,1.98,19.44,391.09,189.58,0.41,72.6,02-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Mar-2020 - 00:00,32.8,98.75,9.93,17.61,11.92,27.44,12.01,0.79,29.54,1.57,1.83,1.98,20.74,390.16,281.17,0.38,69.92,03-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Mar-2020 - 00:00,34.65,106.57,10.64,18.18,11.26,27.5,11.81,0.6,30.01,1.63,1.83,1.98,20.79,385.55,252.66,0.39,67.68,04-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Mar-2020 - 00:00,54.14,132.31,14.26,17.25,10.75,26.39,11.83,0.43,32.52,1.77,1.8,1.94,20.28,386.57,171.56,0.52,74.3,05-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Mar-2020 - 00:00,21.44,73.44,14.34,17.75,11.95,28.14,11.87,0.73,29.79,1.43,1.57,2.0,16.87,372.27,153.84,0.82,81.91,06-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Mar-2020 - 00:00,17.75,61.07,11.33,17.57,11.1,26.9,11.96,0.75,27.57,1.37,1.44,1.98,14.24,368.85,116.93,1.01,97.63,07-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Mar-2020 - 00:00,17.3,61.96,8.52,17.75,11.37,27.16,12.17,0.82,29.24,1.39,1.52,1.98,13.73,369.18,90.83,1.07,97.34,08-Mar-2020 - 00:00,"Golden Temple, Amritsar - PPCB"
