from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,BP,PM2.5,PM10,RF,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,3.03,0.39,1.24,0.72,2.59,732.72,63.37,110.29,0.0,85.13,12.59,192.79,1.38,1.38,23.79,8.99,16.2,25.17,27.8,15.11,02-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Jan-2020 - 00:00,2.95,0.67,2.18,1.17,3.93,732.58,49.67,98.13,0.0,88.2,15.67,117.98,1.33,0.58,9.03,8.46,13.39,21.85,30.61,15.95,03-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Jan-2020 - 00:00,2.49,0.62,1.95,1.03,3.96,733.2,42.47,94.36,0.0,97.0,15.51,105.87,1.56,0.53,11.23,9.14,15.89,25.03,29.76,16.7,04-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Jan-2020 - 00:00,2.44,0.61,1.88,1.0,3.75,732.46,33.97,80.45,0.0,92.37,13.89,173.53,1.24,0.54,10.39,8.48,21.25,29.73,27.33,15.8,05-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Jan-2020 - 00:00,1.79,0.3,1.02,0.61,2.7,732.92,42.1,91.87,0.0,98.05,14.71,131.34,1.43,0.48,10.86,7.79,15.1,22.81,35.81,16.34,06-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Jan-2020 - 00:00,1.55,0.35,1.0,0.6,2.52,733.12,36.43,81.63,0.0,87.68,15.22,179.62,1.41,0.47,18.05,7.3,16.43,23.73,26.92,15.96,07-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Jan-2020 - 00:00,2.36,0.38,1.2,0.69,2.85,732.83,42.35,88.36,0.0,76.41,15.34,153.3,1.17,0.45,15.6,7.38,17.19,24.57,25.63,17.61,08-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Jan-2020 - 00:00,1.72,0.31,0.63,0.53,1.97,733.47,37.29,72.24,0.0,48.25,13.67,117.16,1.38,0.36,13.23,7.11,13.77,20.88,17.42,14.97,09-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Jan-2020 - 00:00,0.55,0.14,0.31,0.44,0.83,735.23,24.48,58.37,0.0,107.51,11.62,89.0,2.03,0.3,13.26,6.7,15.72,22.36,39.85,17.7,10-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Jan-2020 - 00:00,1.03,0.21,0.69,0.58,1.44,734.46,27.94,67.57,0.0,110.08,11.59,91.22,1.86,0.35,15.15,6.55,14.48,21.03,40.92,19.43,11-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Jan-2020 - 00:00,1.85,0.31,1.02,0.73,2.18,732.88,36.83,83.77,0.0,102.03,12.79,128.09,1.22,0.4,15.78,6.83,17.32,24.15,35.03,18.97,12-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Jan-2020 - 00:00,2.03,0.44,1.38,0.86,2.83,732.97,37.13,83.49,0.0,107.31,14.14,181.6,1.32,0.42,14.95,6.83,15.59,22.4,35.78,18.8,13-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Jan-2020 - 00:00,1.98,0.43,1.28,0.79,2.73,733.7,40.69,90.4,0.0,93.21,15.72,143.79,1.51,0.4,14.65,6.73,17.38,24.1,29.91,18.49,14-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Jan-2020 - 00:00,0.49,0.13,0.31,0.43,0.96,736.01,28.42,64.79,0.0,108.39,14.1,56.42,2.4,0.29,17.57,6.6,28.58,35.18,42.88,14.66,15-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Jan-2020 - 00:00,1.32,0.72,1.07,0.96,1.9,735.09,34.89,72.12,0.0,99.73,13.12,66.72,2.09,0.32,17.53,6.68,23.82,30.5,39.25,14.62,16-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Jan-2020 - 00:00,0.89,0.2,0.44,0.37,1.53,735.16,37.13,72.97,0.01,53.26,12.59,73.15,2.15,0.38,15.85,6.85,20.21,27.06,32.62,11.1,17-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Jan-2020 - 00:00,0.95,0.19,0.39,0.36,1.49,734.19,38.04,73.35,0.01,107.69,14.47,77.63,1.82,0.41,14.33,6.96,23.42,30.38,33.24,13.61,18-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Jan-2020 - 00:00,1.37,0.24,0.43,0.37,2.34,733.59,45.25,83.77,0.0,94.0,14.34,114.17,1.63,0.44,13.15,6.59,24.56,31.15,31.28,12.83,19-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Jan-2020 - 00:00,1.21,0.19,0.48,0.4,1.65,734.86,44.57,81.98,0.0,115.25,12.25,98.16,2.01,0.45,14.43,6.84,19.74,26.58,42.07,12.94,20-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Jan-2020 - 00:00,1.58,0.22,0.57,0.42,1.72,733.11,48.54,89.87,0.0,107.89,11.6,101.47,1.4,0.46,15.09,6.93,24.49,31.41,27.58,11.49,21-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Jan-2020 - 00:00,1.89,0.26,0.61,0.44,2.3,733.19,60.71,90.31,0.0,100.51,12.47,153.93,1.49,0.48,14.93,6.56,18.8,25.38,27.03,13.11,22-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Jan-2020 - 00:00,1.89,0.31,0.86,0.53,2.74,734.46,55.9,84.45,0.0,112.28,13.93,122.63,1.84,0.44,16.32,6.82,19.76,26.58,34.43,13.2,23-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Jan-2020 - 00:00,0.79,0.42,0.73,0.61,1.14,734.0,42.11,69.88,0.0,118.95,15.08,161.15,1.41,0.32,15.24,6.64,18.7,25.34,42.08,11.69,24-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Jan-2020 - 00:00,0.84,0.42,0.72,0.59,1.33,734.1,41.09,69.58,0.0,120.88,15.38,193.72,1.4,0.34,15.35,6.79,20.01,26.79,42.4,12.35,25-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Jan-2020 - 00:00,1.74,0.62,1.41,0.9,2.48,732.91,52.13,89.33,0.0,113.24,14.34,170.37,1.24,0.4,15.62,6.7,21.88,28.58,35.96,11.01,26-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Jan-2020 - 00:00,1.61,2.35,1.95,1.01,2.39,733.23,52.81,86.94,0.0,114.63,15.96,153.81,1.45,0.4,15.49,6.82,20.53,27.35,37.52,12.41,27-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Jan-2020 - 00:00,1.89,0.56,1.17,0.74,2.59,733.21,57.65,95.71,0.0,103.9,16.6,129.0,1.33,0.4,13.89,6.79,24.29,31.08,33.22,13.29,28-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Jan-2020 - 00:00,1.72,0.55,0.95,0.69,2.04,730.66,59.3,90.28,0.0,93.1,15.72,120.98,1.52,0.38,17.27,23.45,22.66,46.09,26.5,12.89,29-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Jan-2020 - 00:00,1.05,0.44,0.81,0.62,1.65,729.54,43.8,72.03,0.0,121.37,15.3,93.72,1.93,0.33,23.65,33.87,29.02,61.26,32.26,14.88,30-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Jan-2020 - 00:00,0.96,0.4,0.62,0.54,1.48,730.47,45.29,76.47,0.0,122.9,14.67,112.59,1.73,0.33,28.75,32.98,35.11,68.09,37.83,18.47,31-Jan-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
31-Jan-2020 - 00:00,1.12,0.41,0.61,0.56,1.96,728.67,47.45,80.47,0.0,118.13,14.32,117.83,1.47,0.34,36.71,33.51,41.84,75.35,36.61,15.84,01-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Feb-2020 - 00:00,1.18,0.47,0.84,0.64,2.15,730.75,47.49,77.31,0.0,119.61,14.36,162.66,1.55,0.34,36.66,24.66,33.85,58.48,29.23,13.14,02-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Feb-2020 - 00:00,1.06,0.42,0.7,0.58,1.81,732.04,46.93,76.35,0.0,132.49,14.19,136.32,1.83,0.34,32.21,29.39,31.06,60.33,38.68,15.71,03-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Feb-2020 - 00:00,1.58,0.6,1.35,0.87,2.48,731.08,50.68,81.98,0.0,127.56,13.9,163.33,1.22,0.39,25.2,50.33,48.67,98.99,35.09,16.55,04-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Feb-2020 - 00:00,2.32,0.77,1.99,1.13,3.55,729.74,55.48,89.59,0.0,119.4,14.42,184.38,1.31,0.45,18.6,47.11,44.38,91.48,34.65,17.76,05-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Feb-2020 - 00:00,1.44,0.37,0.68,0.51,2.06,730.01,57.16,91.18,0.0,111.6,15.28,130.53,1.64,0.36,21.28,27.92,39.62,67.53,44.53,15.83,06-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Feb-2020 - 00:00,1.37,0.39,0.89,0.61,2.05,729.43,53.09,86.02,0.0,123.17,14.42,125.98,1.34,0.36,19.62,30.68,41.95,72.63,37.84,14.25,07-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Feb-2020 - 00:00,1.08,0.29,0.35,0.39,1.36,731.07,50.36,81.42,0.0,121.01,14.8,112.33,1.65,0.32,20.98,16.92,31.83,48.75,46.73,14.2,08-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Feb-2020 - 00:00,1.24,0.38,0.71,0.51,1.89,732.8,54.85,84.09,0.0,131.33,14.33,103.25,1.84,0.36,19.23,25.85,44.14,69.99,42.67,15.83,09-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Feb-2020 - 00:00,1.71,0.44,0.98,0.65,2.36,733.08,55.13,85.21,0.0,133.3,14.47,145.58,1.32,0.39,17.59,37.33,49.57,86.9,39.09,15.8,10-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Feb-2020 - 00:00,1.8,0.43,1.03,0.68,2.56,731.55,56.39,91.11,0.0,130.14,15.29,151.31,1.41,0.4,18.6,33.21,51.78,84.99,34.96,14.76,11-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Feb-2020 - 00:00,1.92,0.55,1.29,0.76,2.61,731.7,58.14,94.37,0.0,135.38,16.32,141.08,1.45,0.4,20.55,26.58,49.06,78.85,43.67,14.93,12-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Feb-2020 - 00:00,2.74,0.91,2.42,1.32,3.95,731.62,60.63,96.79,0.0,135.35,17.47,138.33,1.21,1.43,20.91,58.51,58.64,117.15,27.95,14.99,13-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Feb-2020 - 00:00,1.75,0.78,1.55,0.84,2.54,729.53,53.58,91.21,0.0,145.55,20.59,171.41,1.31,1.14,24.17,41.47,66.78,108.25,35.98,17.47,14-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Feb-2020 - 00:00,0.75,0.26,0.73,0.44,1.22,727.6,44.83,82.2,0.0,149.01,20.17,156.92,1.49,0.73,17.83,19.31,28.99,48.29,55.52,17.71,15-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Feb-2020 - 00:00,1.39,0.41,1.46,0.68,2.2,727.65,44.01,77.18,0.0,156.33,20.21,177.08,1.23,0.5,14.64,34.78,46.04,80.82,39.88,18.85,16-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Feb-2020 - 00:00,1.7,0.52,1.77,0.8,3.1,729.59,47.52,85.78,0.0,154.81,19.72,140.98,1.56,0.21,15.35,40.55,57.27,97.82,33.48,25.13,17-Feb-2020 - 00:00,"Moti Doongri, Alwar - RSPCB"
