from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,WS,WD,to date,station
02-Feb-2020 - 00:00,29.43,73.0,8.31,11.86,3.55,8.37,8.33,0.61,40.43,1.59,17.97,0.94,1.12,1.35,155.36,46.35,1.11,67.78,03-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Feb-2020 - 00:00,34.37,85.83,9.34,13.55,4.21,9.11,8.32,0.76,37.25,1.59,17.95,0.94,1.12,1.35,144.62,50.82,0.8,73.3,04-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Feb-2020 - 00:00,37.07,91.18,11.32,16.02,4.7,5.69,8.36,0.89,25.46,1.6,17.95,0.95,1.12,1.35,155.12,46.35,0.54,184.72,05-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Feb-2020 - 00:00,44.23,94.56,12.38,18.16,5.8,6.52,8.33,0.94,25.2,1.59,18.0,0.95,1.12,1.36,153.51,49.82,0.73,126.01,06-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Feb-2020 - 00:00,33.66,72.0,8.52,11.5,2.98,8.45,8.36,0.76,35.2,1.6,17.93,0.94,1.12,1.36,154.06,48.1,0.55,101.4,07-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Feb-2020 - 00:00,45.39,103.34,8.57,17.02,8.45,6.4,7.37,1.11,32.87,1.42,16.06,0.84,1.0,1.21,152.05,46.29,0.71,98.68,08-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Feb-2020 - 00:00,48.06,96.89,6.63,9.74,3.11,6.15,6.68,0.81,42.93,1.31,14.72,0.77,0.92,1.11,161.7,43.76,1.08,102.65,09-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Feb-2020 - 00:00,33.95,70.89,4.83,7.32,2.49,6.02,6.68,0.79,47.51,1.3,14.73,0.77,0.92,1.11,161.81,45.17,1.18,90.43,10-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Feb-2020 - 00:00,38.14,87.33,9.11,15.59,6.49,6.79,6.63,1.05,37.65,1.38,15.61,0.81,0.97,1.17,158.64,46.01,0.96,121.25,11-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Feb-2020 - 00:00,52.9,109.39,16.46,28.86,12.39,7.87,10.18,1.18,32.91,1.28,14.44,0.76,0.9,1.08,151.3,51.09,0.77,100.3,12-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Feb-2020 - 00:00,59.82,121.37,18.27,38.17,19.9,8.51,7.14,1.32,29.82,1.16,13.05,0.69,0.82,0.98,153.88,52.81,0.82,76.77,13-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Feb-2020 - 00:00,48.32,97.3,18.07,31.14,13.08,6.37,5.62,1.04,22.2,1.16,13.1,0.69,0.82,0.98,153.81,53.42,0.53,170.98,14-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Feb-2020 - 00:00,35.68,80.7,15.17,20.3,5.13,7.44,7.09,0.88,32.41,1.16,13.06,0.68,0.81,0.99,155.48,53.96,0.44,163.27,15-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Feb-2020 - 00:00,43.78,101.61,19.28,29.95,10.67,7.28,6.17,1.05,29.0,1.16,13.03,0.69,0.81,0.98,155.52,53.1,0.6,96.28,16-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Feb-2020 - 00:00,42.92,99.6,19.29,32.62,13.35,8.75,6.04,1.05,28.48,1.16,13.07,0.68,0.81,0.98,152.91,51.89,0.84,102.85,17-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Feb-2020 - 00:00,32.02,86.27,40.17,70.08,81.46,17.93,7.16,1.1,37.42,1.16,13.07,0.69,0.82,0.98,162.37,52.27,0.98,80.0,18-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Feb-2020 - 00:00,45.44,109.22,15.64,81.15,72.17,5.92,10.0,1.17,26.69,1.16,13.1,0.68,0.82,0.98,162.57,47.96,0.67,93.33,19-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Feb-2020 - 00:00,65.34,132.86,21.15,58.8,37.67,6.62,16.36,1.2,28.72,1.16,13.1,0.68,0.82,0.98,136.96,55.04,0.64,132.85,20-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Feb-2020 - 00:00,58.02,121.19,20.4,54.76,34.59,4.66,9.46,1.37,17.95,1.16,13.07,0.69,0.82,0.99,170.05,49.49,0.8,151.67,21-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Feb-2020 - 00:00,35.37,86.6,16.09,32.88,16.8,5.87,9.15,0.93,25.78,1.16,13.05,0.69,0.82,0.99,156.2,50.79,0.65,111.03,22-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Feb-2020 - 00:00,27.02,75.78,13.99,22.13,8.15,5.96,6.55,0.86,35.11,1.16,13.1,0.69,0.82,0.98,164.15,51.97,0.85,85.9,23-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Feb-2020 - 00:00,40.25,86.43,13.41,19.26,5.85,5.87,7.59,0.88,37.61,1.16,13.11,0.68,0.82,0.99,152.06,54.4,0.88,74.9,24-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Feb-2020 - 00:00,47.17,97.24,14.11,22.31,8.2,6.16,5.37,0.96,31.01,1.16,13.08,0.69,0.82,0.98,158.93,51.89,0.79,117.89,25-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Feb-2020 - 00:00,48.15,111.98,15.02,26.28,11.26,6.12,5.68,1.18,30.45,1.16,13.1,0.69,0.82,0.98,157.83,52.39,0.74,103.06,26-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Feb-2020 - 00:00,60.52,127.68,14.24,38.58,24.48,5.31,6.23,1.38,26.81,1.16,13.07,0.69,0.82,0.98,151.27,55.04,0.62,118.84,27-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Feb-2020 - 00:00,63.92,105.9,20.08,53.74,33.82,5.02,14.99,1.49,26.71,1.16,13.07,0.69,0.82,0.99,155.24,55.46,0.65,108.74,28-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Feb-2020 - 00:00,56.24,134.52,21.17,45.9,24.75,4.87,10.43,1.29,20.27,1.16,13.08,0.69,0.82,0.98,131.95,55.37,0.47,112.36,29-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Feb-2020 - 00:00,40.64,92.17,18.17,36.3,18.14,5.33,12.22,1.04,22.74,1.16,13.08,0.69,0.82,0.99,154.21,54.13,0.61,189.43,01-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Mar-2020 - 00:00,34.94,81.69,23.18,43.71,31.84,5.72,11.11,0.94,22.25,1.16,13.07,0.68,0.81,0.99,163.29,56.72,0.66,166.41,02-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Mar-2020 - 00:00,28.87,78.15,14.31,36.77,22.87,5.51,9.43,1.0,21.09,1.16,13.1,0.68,0.82,0.99,159.11,53.1,0.72,161.78,03-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Mar-2020 - 00:00,41.32,90.9,17.98,38.69,20.71,7.6,10.53,1.04,19.89,1.41,16.88,0.78,0.93,1.13,146.73,50.8,0.75,151.0,04-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Mar-2020 - 00:00,28.64,74.96,11.82,18.88,7.06,10.6,22.3,0.69,23.56,1.59,19.66,0.85,1.02,1.23,161.09,55.59,1.27,232.93,05-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Mar-2020 - 00:00,32.4,80.9,8.68,15.86,10.01,11.43,12.6,0.56,24.18,1.6,19.62,0.86,1.02,1.23,147.7,54.67,1.4,207.92,06-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Mar-2020 - 00:00,25.43,73.12,6.84,16.35,9.95,9.21,6.54,0.56,23.22,1.5,18.13,0.83,0.99,1.2,174.48,51.15,1.33,213.02,07-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Mar-2020 - 00:00,34.04,78.58,13.01,37.16,25.75,8.04,5.06,0.8,25.99,1.31,14.74,0.77,0.92,1.1,208.09,45.92,0.71,136.39,08-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Mar-2020 - 00:00,33.05,74.62,12.82,26.57,13.75,7.52,6.02,0.86,33.12,1.31,14.7,0.78,0.92,1.11,210.99,51.26,0.85,133.57,09-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Mar-2020 - 00:00,29.55,65.68,7.2,11.46,4.26,9.63,7.28,0.72,34.3,1.31,14.73,0.77,0.92,1.11,203.58,51.8,1.31,114.37,10-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Mar-2020 - 00:00,36.33,74.79,7.08,11.93,4.86,9.93,12.63,0.66,22.97,1.31,14.71,0.77,0.92,1.11,199.18,55.81,1.69,175.37,11-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Mar-2020 - 00:00,23.16,67.05,6.47,11.18,4.73,9.71,9.28,0.63,25.75,1.3,14.72,0.77,0.92,1.11,175.61,52.73,1.63,223.12,12-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Mar-2020 - 00:00,24.04,75.62,7.59,12.0,4.41,8.73,12.93,0.76,22.18,1.3,14.7,0.77,0.92,1.11,220.94,48.73,1.16,208.1,13-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Mar-2020 - 00:00,31.36,90.7,7.15,10.95,3.8,9.39,9.61,0.75,18.85,1.47,16.62,0.92,1.16,1.25,192.02,51.46,0.62,179.23,14-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Mar-2020 - 00:00,26.39,85.61,6.9,10.86,3.96,8.68,5.37,0.81,30.21,1.5,15.74,1.03,0.91,1.35,222.18,44.22,0.77,71.88,15-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Mar-2020 - 00:00,24.86,89.08,7.89,14.08,6.19,8.27,6.02,0.91,35.42,1.45,14.7,1.03,0.72,1.36,206.55,44.78,1.0,95.31,16-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Mar-2020 - 00:00,26.53,74.55,9.51,14.24,4.73,8.62,6.94,0.97,21.33,1.45,14.78,1.03,0.72,1.35,215.28,51.41,1.02,72.38,17-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Mar-2020 - 00:00,34.53,96.21,10.88,20.65,9.77,8.41,7.68,1.21,26.92,1.45,14.72,1.03,0.71,1.35,216.07,58.65,0.99,88.68,18-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Mar-2020 - 00:00,35.02,90.88,11.11,19.34,8.23,8.48,12.59,1.19,24.05,1.45,14.69,1.03,0.71,1.36,209.67,51.97,0.8,113.82,19-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Mar-2020 - 00:00,48.53,103.51,11.65,19.77,8.12,7.58,19.85,1.18,23.32,1.28,15.72,0.83,0.77,1.13,202.08,50.81,0.89,155.34,20-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Mar-2020 - 00:00,32.21,75.3,8.57,15.29,6.71,9.95,22.52,1.02,16.6,1.16,16.37,0.69,0.82,0.99,222.24,51.84,1.45,223.94,21-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Mar-2020 - 00:00,34.83,83.85,7.26,14.17,6.95,10.05,14.9,1.02,14.16,1.16,16.35,0.68,0.82,0.98,208.02,53.17,0.94,204.49,22-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Mar-2020 - 00:00,35.62,87.9,5.44,13.35,7.91,10.24,12.71,0.95,14.84,1.16,16.35,0.68,0.82,0.98,207.65,58.27,0.83,195.34,23-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Mar-2020 - 00:00,33.79,79.14,6.5,15.44,8.94,11.04,6.89,0.93,28.01,1.16,16.32,0.69,0.82,0.98,204.33,52.86,0.7,178.44,24-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Mar-2020 - 00:00,27.19,72.95,4.5,12.48,7.96,11.92,6.09,0.8,28.97,1.16,16.37,0.68,0.82,0.98,195.25,54.84,0.48,230.6,25-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Mar-2020 - 00:00,25.87,73.32,4.93,14.43,9.59,12.26,5.08,0.8,20.65,1.16,16.34,0.69,0.82,0.98,107.78,58.42,0.66,110.12,26-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Mar-2020 - 00:00,26.38,74.48,4.78,15.75,13.24,12.77,4.29,0.73,19.57,1.16,16.3,0.69,0.82,0.99,126.0,57.28,0.75,160.18,27-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Mar-2020 - 00:00,17.95,28.98,4.26,13.82,9.65,12.03,3.35,0.67,15.78,1.17,16.33,0.69,0.81,0.98,181.41,57.5,0.57,146.7,28-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Mar-2020 - 00:00,28.86,52.77,5.62,14.56,8.94,12.39,3.79,0.68,14.25,1.16,16.38,0.69,0.82,0.98,245.01,53.35,0.44,146.94,29-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Mar-2020 - 00:00,25.32,54.31,6.38,13.75,7.38,10.91,4.12,0.72,20.85,1.13,19.2,0.41,0.63,0.63,249.54,53.24,0.59,100.93,30-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Mar-2020 - 00:00,30.16,57.14,6.71,14.55,7.84,9.93,4.5,0.73,16.15,1.1,21.89,0.14,0.45,0.28,246.69,52.6,0.84,125.91,31-Mar-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Mar-2020 - 00:00,37.32,73.15,5.56,12.09,6.53,10.08,7.69,0.73,23.33,1.11,21.88,0.14,0.45,0.28,238.29,54.73,0.84,206.4,01-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Apr-2020 - 00:00,29.1,72.16,4.89,11.49,6.6,10.22,5.88,0.66,18.56,1.11,21.89,0.14,0.45,0.28,237.38,55.19,0.88,232.01,02-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Apr-2020 - 00:00,24.77,63.15,5.88,12.72,6.84,9.58,4.72,0.71,19.44,1.34,18.09,0.4,0.7,0.76,250.36,49.14,0.65,141.73,03-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Apr-2020 - 00:00,29.82,62.22,6.82,13.27,6.45,9.03,4.76,0.81,16.91,1.45,16.34,0.51,0.82,0.99,260.0,52.59,0.89,95.04,04-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Apr-2020 - 00:00,29.31,60.23,6.34,11.89,5.55,9.18,4.72,0.8,20.68,1.45,16.36,0.51,0.81,0.98,247.65,55.17,0.68,126.11,05-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Apr-2020 - 00:00,29.33,60.08,7.21,13.38,6.18,9.33,5.55,0.87,20.67,1.45,16.39,0.52,0.82,0.98,242.77,52.47,0.5,147.0,06-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Apr-2020 - 00:00,36.23,72.45,6.54,12.49,5.94,9.15,6.91,0.9,24.12,1.45,16.43,0.51,0.82,0.99,238.17,55.6,0.61,171.02,07-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Apr-2020 - 00:00,31.54,78.47,4.5,9.49,4.99,9.24,8.12,0.8,19.33,1.45,16.35,0.51,0.82,0.99,238.08,57.5,1.07,229.36,08-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Apr-2020 - 00:00,33.56,90.78,4.23,9.84,5.61,9.61,6.63,0.79,21.24,1.45,16.35,0.51,0.81,0.98,230.99,58.03,1.04,221.4,09-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Apr-2020 - 00:00,29.43,76.44,4.96,10.99,6.04,9.18,6.84,0.8,20.77,1.21,13.63,0.52,0.71,0.9,229.12,56.6,0.75,213.33,10-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Apr-2020 - 00:00,26.3,66.96,4.48,10.55,6.07,9.2,7.4,0.82,24.97,1.09,12.25,0.51,0.66,0.86,236.43,54.34,0.78,196.67,11-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Apr-2020 - 00:00,26.36,63.21,4.63,10.12,5.49,8.89,5.67,0.83,16.22,1.09,12.27,0.51,0.66,0.86,234.36,54.68,0.41,164.57,12-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Apr-2020 - 00:00,24.95,61.98,3.51,8.8,5.29,9.36,6.1,0.83,22.47,1.09,12.25,0.51,0.66,0.86,241.25,52.59,0.56,126.38,13-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Apr-2020 - 00:00,22.24,54.44,4.31,9.83,5.52,9.58,5.87,0.86,23.29,1.09,12.26,0.51,0.66,0.86,235.76,54.18,0.53,182.11,14-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Apr-2020 - 00:00,25.63,57.88,3.77,8.99,5.22,9.32,5.38,0.86,21.13,1.09,12.29,0.51,0.66,0.86,232.29,55.89,0.63,200.38,15-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Apr-2020 - 00:00,24.09,58.82,3.96,9.01,5.05,8.32,5.28,0.87,24.16,0.94,13.88,0.63,0.77,0.98,223.32,57.05,0.71,245.21,16-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Apr-2020 - 00:00,33.89,74.27,4.05,9.8,5.75,9.25,7.37,0.88,23.86,0.87,14.73,0.69,0.82,1.04,225.92,58.57,0.86,224.9,17-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Apr-2020 - 00:00,25.41,73.27,3.83,9.6,5.77,8.4,6.31,0.84,19.42,0.87,14.72,0.68,0.81,1.04,202.05,59.46,0.96,230.18,18-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Apr-2020 - 00:00,20.82,62.14,2.9,8.44,5.54,9.0,6.84,0.81,24.8,0.87,14.67,0.69,0.82,1.05,132.64,55.18,0.73,243.27,19-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Apr-2020 - 00:00,17.03,52.58,2.55,8.42,5.88,9.82,7.49,0.77,23.09,1.18,15.62,0.69,0.92,0.95,229.83,55.2,0.93,259.57,20-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Apr-2020 - 00:00,21.39,54.42,3.2,8.78,5.58,9.07,7.95,0.8,21.97,1.45,16.35,0.69,1.02,0.86,244.51,57.4,1.05,225.03,21-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Apr-2020 - 00:00,21.02,63.49,2.4,8.02,5.63,8.96,5.18,0.77,22.75,1.45,16.33,0.69,1.02,0.86,230.72,56.07,0.68,187.49,22-Apr-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
