from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,WS,WD,to date,station
01-Jan-2020 - 00:00,50.08,78.39,12.82,30.42,18.47,4.15,5.16,0.27,39.34,1.68,20.93,1.1,1.17,1.35,101.59,59.05,0.92,83.67,02-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Jan-2020 - 00:00,41.34,74.04,15.25,34.02,18.77,4.53,2.91,0.38,35.31,1.69,20.94,1.1,1.17,1.35,107.88,63.12,0.8,81.11,03-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Jan-2020 - 00:00,40.38,80.06,19.42,33.29,13.87,3.7,4.77,0.52,25.21,1.68,20.93,1.1,1.17,1.36,108.03,66.74,0.61,111.87,04-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Jan-2020 - 00:00,40.8,86.26,17.77,35.15,17.39,3.75,5.52,0.83,26.29,1.69,20.92,1.1,1.17,1.35,118.64,59.49,0.7,90.95,05-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Jan-2020 - 00:00,42.55,70.35,16.32,23.18,6.87,3.44,1.24,0.38,21.13,1.68,20.98,1.11,1.17,1.35,11.56,58.92,0.56,112.4,06-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Jan-2020 - 00:00,33.25,80.47,13.28,46.69,33.43,3.49,7.0,0.52,30.51,1.86,23.04,1.21,1.3,1.51,178.46,51.24,0.84,79.73,07-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Jan-2020 - 00:00,41.59,73.54,12.03,28.8,16.85,1.99,8.37,0.66,20.39,2.06,24.9,1.34,1.43,1.68,10.56,55.69,0.44,188.13,08-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Jan-2020 - 00:00,36.65,66.38,10.68,24.3,13.64,5.82,5.67,0.52,30.95,2.05,24.98,1.32,1.43,1.67,124.01,50.28,0.65,262.32,09-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Jan-2020 - 00:00,26.73,65.3,9.76,22.37,12.61,8.61,4.03,0.43,26.33,2.04,25.01,1.32,1.43,1.67,141.86,50.2,0.93,70.33,10-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Jan-2020 - 00:00,24.26,62.33,8.5,18.63,10.13,8.73,6.05,0.41,37.0,1.83,22.61,1.19,1.28,1.48,142.38,48.93,1.44,79.94,11-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Jan-2020 - 00:00,24.48,50.97,8.38,17.71,9.34,8.78,6.34,0.5,41.96,1.69,20.9,1.1,1.17,1.35,124.8,54.0,1.28,83.74,12-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Jan-2020 - 00:00,28.89,50.06,9.32,18.7,9.38,9.52,6.08,0.61,39.19,1.69,20.87,1.1,1.17,1.35,117.49,50.0,0.95,96.06,13-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Jan-2020 - 00:00,47.11,84.58,15.61,31.22,15.61,6.71,5.87,0.78,19.04,1.83,22.46,1.22,1.26,1.47,77.77,60.95,0.75,192.67,14-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Jan-2020 - 00:00,23.09,42.53,13.82,27.89,14.08,8.15,5.18,0.59,31.0,1.92,23.42,1.3,1.32,1.55,139.9,50.19,0.54,190.85,15-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Jan-2020 - 00:00,27.52,55.82,14.42,29.64,16.24,7.88,6.38,0.63,34.1,1.92,23.41,1.3,1.32,1.54,141.29,44.55,0.75,201.26,16-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Jan-2020 - 00:00,34.47,67.05,20.22,35.94,25.74,8.55,6.36,0.71,29.21,1.92,23.43,1.3,1.32,1.54,137.69,50.06,0.97,250.59,17-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Jan-2020 - 00:00,51.59,83.8,17.35,28.21,15.76,7.21,7.51,0.92,17.79,1.92,23.34,1.3,1.32,1.55,122.19,51.87,0.54,143.67,18-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Jan-2020 - 00:00,36.94,109.47,12.35,19.99,8.44,6.91,7.46,0.69,25.79,1.92,23.42,1.3,1.32,1.55,136.4,50.95,0.63,86.48,19-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Jan-2020 - 00:00,28.4,68.69,10.0,17.64,7.88,8.3,8.41,0.69,28.33,1.93,23.43,1.3,1.32,1.55,144.29,43.04,0.95,102.02,20-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Jan-2020 - 00:00,27.44,66.1,10.4,17.46,7.67,7.37,6.61,0.73,27.73,1.92,23.4,1.3,1.32,1.54,153.31,44.13,1.0,104.13,21-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Jan-2020 - 00:00,35.8,75.77,16.66,27.22,13.14,7.55,8.67,0.79,20.55,1.92,23.4,1.3,1.32,1.55,148.17,43.54,0.5,107.68,22-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Jan-2020 - 00:00,34.68,71.3,12.8,18.38,5.58,6.85,8.66,0.76,23.52,1.92,23.38,1.3,1.32,1.55,145.53,44.85,0.83,89.57,23-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Jan-2020 - 00:00,32.33,64.52,8.03,11.35,3.32,6.75,6.61,0.64,38.32,1.87,23.88,1.19,1.28,1.51,144.73,54.64,1.13,82.63,24-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Jan-2020 - 00:00,28.03,65.04,9.44,14.95,5.52,6.39,11.35,0.54,33.62,1.76,23.01,1.25,1.18,1.6,151.7,56.59,0.86,71.93,25-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Jan-2020 - 00:00,43.62,79.99,11.24,21.42,10.18,5.73,8.36,0.53,28.42,1.71,22.06,1.36,1.13,1.7,117.46,57.81,0.59,103.15,26-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Jan-2020 - 00:00,53.67,95.77,14.93,37.23,22.3,7.58,8.34,0.81,22.22,1.71,22.11,1.36,1.13,1.7,148.41,53.07,0.51,121.68,27-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Jan-2020 - 00:00,44.9,76.41,14.7,26.68,11.98,8.45,8.32,0.54,22.85,1.7,22.15,1.37,1.13,1.7,124.94,53.53,0.76,212.78,28-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Jan-2020 - 00:00,16.26,48.69,7.82,10.35,2.54,9.99,8.36,0.24,28.14,1.71,22.11,1.36,1.13,1.7,130.56,53.06,1.3,241.19,29-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Jan-2020 - 00:00,26.29,54.28,11.33,16.7,5.37,8.41,8.31,0.39,22.52,1.7,22.08,1.36,1.13,1.7,149.11,48.95,0.5,168.57,30-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Jan-2020 - 00:00,33.11,68.0,13.07,29.02,22.26,9.1,8.32,0.51,24.28,1.7,22.1,1.37,1.13,1.7,154.89,51.0,0.74,97.45,31-Jan-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Jan-2020 - 00:00,45.31,87.01,11.93,20.13,8.72,7.38,8.28,0.59,28.45,1.63,19.65,1.12,1.13,1.5,152.04,50.88,0.62,108.79,01-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Feb-2020 - 00:00,33.6,81.17,10.72,19.42,8.7,7.48,8.34,0.73,33.25,1.59,18.01,0.94,1.12,1.35,159.78,43.93,0.82,99.2,02-Feb-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
