from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
07-Jul-2020 - 00:00,13.93,20.92,5.03,10.52,5.49,5.02,1.24,0.8,5.43,0.03,0.01,0.25,0.91,0.44,27.49,92.67,0.79,109.1,742.24,75.02,0.03,08-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
08-Jul-2020 - 00:00,20.23,39.11,4.88,8.44,3.65,4.97,0.69,0.7,16.52,0.02,0.01,0.25,0.68,0.28,30.12,81.84,0.27,197.94,742.25,184.04,0.0,09-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
09-Jul-2020 - 00:00,13.69,25.88,4.98,9.82,4.83,5.0,1.13,0.42,7.98,0.01,0.0,0.14,0.52,0.24,27.48,88.24,0.34,222.5,742.24,88.48,0.21,10-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
10-Jul-2020 - 00:00,15.72,28.42,5.01,10.06,5.06,5.0,1.47,0.57,16.01,0.07,0.0,0.22,1.2,0.7,28.03,85.57,0.53,240.51,742.23,171.94,0.26,11-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
11-Jul-2020 - 00:00,18.34,26.63,5.02,10.26,5.24,5.0,1.69,0.82,26.29,0.02,0.0,0.1,0.48,0.2,27.71,87.86,0.53,233.43,742.23,129.9,0.03,12-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
12-Jul-2020 - 00:00,25.17,40.06,5.01,9.94,5.04,5.0,1.65,0.46,35.68,0.01,0.0,0.15,0.58,0.25,30.12,79.27,0.33,230.49,742.23,235.44,0.0,13-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
13-Jul-2020 - 00:00,21.11,34.59,5.02,10.18,5.16,5.0,0.83,0.64,76.27,0.02,0.0,0.34,0.72,0.38,29.05,82.2,0.42,179.07,742.23,174.96,0.09,14-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
14-Jul-2020 - 00:00,23.48,45.42,4.97,9.62,4.65,4.99,1.05,0.75,62.62,0.02,0.01,0.17,0.64,0.29,28.12,87.43,0.46,142.91,742.24,169.32,0.1,15-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
15-Jul-2020 - 00:00,21.94,32.94,4.99,9.88,4.98,4.98,2.11,0.7,44.63,0.02,0.0,0.16,0.46,0.22,29.44,80.75,1.11,72.19,742.24,256.12,0.0,16-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
16-Jul-2020 - 00:00,21.77,39.39,4.99,9.78,4.89,5.0,1.32,0.8,42.11,0.02,0.39,0.13,0.49,0.25,30.62,73.35,0.89,87.24,746.43,209.27,0.0,17-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
17-Jul-2020 - 00:00,20.28,41.16,4.98,9.09,4.83,4.99,0.89,0.67,25.51,0.03,1.26,0.23,1.11,0.47,30.64,73.95,0.77,89.24,747.59,178.06,0.0,18-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
18-Jul-2020 - 00:00,24.11,48.5,4.76,6.66,3.51,4.88,3.04,0.7,24.25,0.12,1.13,0.62,3.73,2.08,31.03,74.38,0.33,153.63,745.94,227.45,0.0,19-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
19-Jul-2020 - 00:00,19.03,32.82,5.01,5.28,5.14,5.0,1.37,0.4,14.16,0.03,0.65,0.16,1.07,0.66,26.79,89.93,0.3,202.63,745.24,44.59,0.21,20-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
20-Jul-2020 - 00:00,17.3,34.23,5.0,10.02,5.01,5.0,0.92,0.77,5.32,0.09,1.28,0.18,2.61,1.47,26.65,91.35,0.23,225.96,745.24,58.51,0.39,21-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
21-Jul-2020 - 00:00,17.7,28.69,4.62,7.24,4.67,4.94,1.93,0.59,6.88,0.08,1.19,0.26,2.18,1.13,27.13,89.03,0.33,249.36,745.25,144.24,0.03,22-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
22-Jul-2020 - 00:00,13.81,26.87,5.01,10.14,5.13,5.0,0.74,0.31,8.37,0.08,1.28,0.0,2.54,0.55,29.11,79.94,0.31,239.1,745.25,244.08,0.0,23-Jul-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
