from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,115.14,185.33,49.37,37.33,86.7,48.23,57.78,1.3,34.0,,,,,,18.71,74.61,0.25,178.05,-0.02,,63.07,0.0,02-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Jan-2020 - 00:00,93.05,179.38,37.91,14.23,52.15,37.78,53.89,0.92,30.12,,,,,,20.02,76.84,0.36,146.39,-0.02,,62.43,0.0,03-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Jan-2020 - 00:00,42.71,98.39,22.77,5.98,28.75,31.0,38.34,0.38,21.55,,,,,,17.41,96.57,0.68,96.13,-0.02,,48.08,0.05,04-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Jan-2020 - 00:00,41.65,85.55,28.36,26.86,55.23,36.64,31.62,0.87,10.41,,,,,,17.33,97.53,0.22,174.66,-0.02,,54.54,0.0,05-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Jan-2020 - 00:00,89.41,155.3,34.14,50.82,84.98,44.89,32.52,1.33,11.66,,,,,,17.26,96.88,0.21,198.7,-0.02,,58.38,0.0,06-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Jan-2020 - 00:00,73.31,115.65,34.21,32.53,66.78,36.73,32.04,0.93,37.98,,,,,,17.03,79.86,0.34,162.63,-0.02,,65.66,0.0,07-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Jan-2020 - 00:00,88.49,170.48,34.25,13.49,47.76,30.04,32.74,0.88,40.3,,,,,,16.57,84.8,0.32,153.29,-0.02,,66.96,0.0,08-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Jan-2020 - 00:00,81.73,169.45,34.18,15.15,49.34,31.29,32.09,0.97,43.17,,,,,,18.29,80.1,0.3,139.34,-0.02,,65.23,0.0,09-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Jan-2020 - 00:00,64.24,138.88,33.26,13.11,46.4,31.72,31.59,0.9,32.73,,,,,,18.6,89.47,0.28,172.93,-0.02,,60.12,0.0,10-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Jan-2020 - 00:00,67.39,148.37,31.17,9.74,40.92,28.17,34.73,0.76,40.81,,,,,,18.33,77.19,0.32,97.33,-0.02,,68.31,0.0,11-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Jan-2020 - 00:00,61.25,132.93,27.91,13.71,41.65,27.3,31.48,0.75,48.01,,,,,,16.46,81.22,0.32,126.61,-0.02,,69.86,0.0,12-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Jan-2020 - 00:00,75.11,145.69,34.65,25.84,60.56,33.29,32.36,1.09,51.76,,,,,,17.24,77.01,0.4,183.46,-0.02,,66.74,0.0,13-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Jan-2020 - 00:00,79.98,165.69,43.66,33.51,77.2,37.79,31.18,1.22,53.29,,,,,,17.57,68.9,0.4,194.83,-0.02,,67.49,0.0,14-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Jan-2020 - 00:00,116.09,165.29,56.27,69.84,126.18,55.27,30.31,1.95,43.91,,,,,,18.13,75.13,0.27,193.36,-0.02,,65.04,0.0,15-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Jan-2020 - 00:00,132.68,237.57,64.24,69.23,133.53,57.72,27.85,2.14,42.8,,,,,,19.23,77.89,0.39,189.01,-0.02,,61.82,0.0,16-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Jan-2020 - 00:00,104.07,182.13,54.59,58.01,112.6,53.4,17.49,1.73,54.53,,,,,,20.42,79.67,0.3,195.99,-0.02,,61.46,0.0,17-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Jan-2020 - 00:00,97.11,170.3,48.99,50.86,99.76,48.54,17.35,1.5,58.06,,,,,,21.15,79.78,0.55,194.63,-0.02,,62.49,0.0,18-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Jan-2020 - 00:00,78.89,167.45,51.41,45.39,96.84,45.68,26.78,1.43,55.63,,,,,,21.58,72.72,0.54,221.15,-0.02,,65.69,0.0,19-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Jan-2020 - 00:00,72.69,150.22,34.41,25.59,60.04,35.36,18.41,0.87,61.25,,,,,,21.41,77.26,0.55,116.07,-0.02,,67.46,0.0,20-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Jan-2020 - 00:00,54.98,115.22,26.91,9.01,35.93,26.83,17.79,0.7,65.51,,,,,,19.26,77.25,1.46,102.47,-0.02,,69.3,0.0,21-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Jan-2020 - 00:00,56.21,123.4,35.68,14.33,50.03,28.56,19.64,0.82,67.24,,,,,,18.69,72.61,0.97,151.78,-0.02,,67.13,0.0,22-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Jan-2020 - 00:00,79.03,166.39,46.07,17.42,63.52,32.74,19.4,1.09,60.81,,,,,,19.2,80.04,0.96,216.92,-0.02,,64.97,0.0,23-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Jan-2020 - 00:00,99.77,186.28,42.11,10.34,52.47,31.31,25.15,0.98,58.46,,,,,,20.26,80.78,0.63,189.52,-0.02,,60.89,0.0,24-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Jan-2020 - 00:00,63.99,139.23,37.67,12.22,49.9,29.3,21.54,0.78,65.95,,,,,,19.4,58.87,0.8,128.87,-0.01,,69.15,0.0,25-Jan-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
