from date,PM10,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
16-Jul-2020 - 00:00,87.33,1.68,124.5,67.33,109.44,4.64,18.15,13.21,25.06,20.58,32.07,0.75,1.22,6.9,6.49,1.19,2.61,1.17,1.45,17-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jul-2020 - 00:00,102.29,0.06,131.96,72.89,248.78,4.56,15.06,11.24,22.87,30.04,31.86,1.19,1.3,10.81,6.12,1.22,2.22,1.13,1.7,18-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Jul-2020 - 00:00,126.39,-1.19,123.6,71.88,296.59,5.34,15.22,11.93,16.96,36.24,32.37,1.01,1.0,8.35,5.7,0.99,1.51,0.71,1.44,19-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Jul-2020 - 00:00,74.45,-0.24,226.49,77.25,140.82,6.42,18.4,14.91,14.03,19.43,30.67,0.88,0.63,6.88,3.54,0.82,2.03,0.77,0.9,20-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Jul-2020 - 00:00,67.85,-0.16,215.98,77.96,138.19,5.14,17.58,12.96,23.14,15.65,28.49,0.77,0.96,6.14,2.54,0.56,0.98,0.4,0.51,21-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Jul-2020 - 00:00,52.99,-0.12,174.21,86.68,118.66,6.18,21.59,15.43,20.75,19.04,26.45,0.83,1.05,5.27,3.88,0.79,1.19,0.56,0.64,22-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Jul-2020 - 00:00,102.54,-0.22,223.26,90.88,112.03,7.33,20.86,15.96,9.74,17.26,26.42,1.52,0.68,5.97,3.1,0.77,1.24,0.54,0.45,23-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Jul-2020 - 00:00,115.54,-0.09,225.0,77.27,146.64,7.37,20.12,15.6,14.26,23.95,29.08,1.3,0.46,6.36,2.42,0.58,1.22,0.5,0.54,24-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Jul-2020 - 00:00,107.86,-0.59,140.95,76.3,207.49,6.56,22.61,16.26,21.33,33.32,29.69,0.66,0.92,7.39,2.62,0.58,1.16,0.51,0.54,25-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Jul-2020 - 00:00,80.43,-1.06,126.51,78.62,72.16,5.81,17.61,12.99,19.97,20.67,30.18,0.51,0.9,4.49,1.34,0.28,0.48,0.2,0.3,26-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Jul-2020 - 00:00,87.56,-0.23,142.09,73.2,151.22,6.11,21.17,15.14,24.33,26.79,31.44,0.72,0.52,7.11,1.37,0.31,0.59,0.25,0.33,27-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Jul-2020 - 00:00,118.81,-0.15,260.0,67.94,27.04,6.2,19.83,14.5,16.03,33.56,32.7,1.19,0.97,7.43,1.11,0.24,0.49,0.2,0.2,28-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Jul-2020 - 00:00,99.8,-0.07,254.38,67.11,255.97,6.7,18.02,13.95,16.83,23.8,32.98,0.83,0.98,6.4,0.61,0.2,0.32,0.12,0.13,29-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Jul-2020 - 00:00,108.59,-0.08,192.91,70.14,134.51,6.9,20.31,15.32,14.25,32.8,31.04,0.95,0.98,7.09,0.91,0.4,0.51,0.2,0.16,30-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Jul-2020 - 00:00,58.81,0.08,206.4,78.66,107.19,6.69,21.9,16.0,16.38,16.8,28.5,0.56,1.08,8.2,0.91,0.26,0.38,0.14,0.14,31-Jul-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Jul-2020 - 00:00,85.12,-0.11,143.97,75.7,113.9,6.71,26.49,18.46,22.42,25.12,30.54,0.74,0.69,8.44,2.23,1.28,1.62,0.69,0.47,01-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Aug-2020 - 00:00,73.37,-0.05,161.79,80.02,103.78,6.21,20.72,14.97,14.67,30.12,30.04,0.79,0.67,8.66,3.07,1.08,1.52,0.62,0.71,02-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Aug-2020 - 00:00,61.4,-0.26,229.23,78.84,171.41,10.93,17.94,17.28,11.37,29.59,30.9,0.99,0.79,8.63,3.34,1.27,2.34,0.83,0.65,03-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Aug-2020 - 00:00,70.32,-0.1,241.41,71.17,149.47,7.15,16.19,13.33,8.56,23.27,31.75,0.88,0.88,8.25,1.74,0.69,1.03,0.33,0.39,04-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Aug-2020 - 00:00,68.26,0.03,203.21,66.65,155.91,6.45,20.82,15.22,11.3,27.71,32.21,1.01,0.72,7.46,2.43,0.42,0.62,0.14,0.41,05-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Aug-2020 - 00:00,91.65,-0.01,116.16,73.66,93.57,6.56,22.66,16.3,14.29,35.09,31.33,0.71,0.78,8.94,5.37,0.98,1.8,0.79,1.13,06-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Aug-2020 - 00:00,72.47,0.07,120.47,63.95,177.53,6.34,19.37,14.36,10.47,22.91,32.66,0.61,2.13,8.88,2.8,0.44,0.53,0.15,0.32,07-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Aug-2020 - 00:00,49.07,-0.12,139.6,75.46,162.8,7.13,19.08,14.85,15.49,17.26,30.64,0.33,1.52,8.65,1.46,0.38,0.61,0.24,0.39,08-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Aug-2020 - 00:00,103.76,-0.23,185.86,74.13,117.84,8.68,21.84,17.56,20.47,39.45,31.91,0.43,0.32,7.55,3.05,0.74,1.37,0.52,0.64,09-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Aug-2020 - 00:00,63.31,-0.34,217.19,87.72,97.1,7.46,16.41,13.7,11.42,23.96,29.44,0.37,0.55,8.76,2.53,0.58,1.09,0.4,0.52,10-Aug-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
