from date,PM10,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
04-Oct-2020 - 00:00,193.95,-0.03,268.7,51.72,146.95,5.58,28.98,19.69,52.35,27.68,27.86,0.64,0.61,8.03,4.19,1.1,1.28,0.12,0.8,05-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Oct-2020 - 00:00,243.02,-0.05,266.85,51.14,147.04,7.73,33.59,23.95,39.32,33.03,27.65,0.81,0.81,8.73,13.14,2.42,2.72,0.29,1.87,06-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Oct-2020 - 00:00,214.27,-0.03,241.12,49.94,147.76,5.78,32.22,21.67,42.18,27.06,27.56,0.78,0.76,7.91,10.11,2.28,2.6,0.3,1.67,07-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Oct-2020 - 00:00,227.35,0.01,230.25,50.63,138.58,10.01,31.53,24.66,51.48,33.5,28.11,0.95,0.7,9.44,8.6,2.49,3.06,0.38,1.77,08-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Oct-2020 - 00:00,216.67,-0.01,275.0,51.59,135.66,6.27,32.19,22.1,45.6,27.12,27.9,1.02,0.71,9.22,7.88,1.82,2.1,0.22,1.65,09-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Oct-2020 - 00:00,224.09,0.04,258.77,50.01,121.54,5.36,33.6,22.1,54.04,29.67,27.86,0.88,0.54,9.41,8.49,2.1,2.07,0.2,1.81,10-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Oct-2020 - 00:00,235.11,0.03,270.36,53.18,123.55,6.41,35.72,24.14,43.24,54.48,27.57,0.71,0.56,7.84,10.29,2.39,2.77,0.27,1.87,11-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Oct-2020 - 00:00,234.47,0.02,256.12,53.27,121.36,7.88,36.99,25.95,39.32,50.05,27.4,0.81,0.63,8.92,8.31,2.42,3.23,0.35,2.04,12-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Oct-2020 - 00:00,259.64,0.03,217.31,51.96,115.71,25.6,41.25,42.4,32.71,57.47,27.0,1.22,0.38,9.33,16.59,3.16,5.77,0.56,2.82,13-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Oct-2020 - 00:00,297.79,0.01,152.9,58.63,106.62,31.0,39.13,45.58,40.4,64.78,28.1,1.04,0.4,10.51,30.4,6.3,11.13,1.56,5.57,14-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Oct-2020 - 00:00,295.18,0.02,135.64,61.23,71.55,13.0,41.48,32.46,41.2,64.62,28.55,1.1,0.26,10.3,47.0,6.58,10.03,1.44,7.57,15-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Oct-2020 - 00:00,305.73,0.1,219.16,42.27,115.36,11.41,35.78,28.12,31.55,85.07,28.26,1.0,0.49,9.1,17.98,3.59,5.73,0.79,3.3,16-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Oct-2020 - 00:00,236.04,0.13,204.43,38.16,118.9,12.27,34.86,28.36,40.64,71.79,26.42,0.85,0.4,12.05,10.93,2.64,3.71,0.4,1.96,17-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Oct-2020 - 00:00,304.65,0.05,207.25,44.64,107.07,15.93,42.03,35.09,38.82,94.33,26.12,0.77,0.3,11.74,17.94,3.23,5.66,0.59,2.79,18-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Oct-2020 - 00:00,285.88,0.02,277.6,43.25,117.63,11.57,40.61,30.83,32.43,87.86,26.08,0.95,0.57,10.35,13.45,2.95,4.15,0.38,2.41,19-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Oct-2020 - 00:00,281.63,0.06,299.64,37.71,123.09,9.52,37.93,27.75,35.29,71.33,26.08,0.91,0.68,10.68,15.3,2.47,3.05,0.22,2.1,20-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Oct-2020 - 00:00,281.78,0.07,218.49,39.4,124.85,32.27,43.08,48.7,29.89,79.02,24.79,0.94,0.5,11.84,16.15,3.73,6.29,0.73,2.97,21-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Oct-2020 - 00:00,315.5,0.03,166.67,39.72,123.34,52.39,46.31,66.52,29.61,95.94,25.41,0.91,0.3,14.11,49.52,11.99,17.51,2.33,6.67,22-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Oct-2020 - 00:00,411.71,0.11,151.0,42.71,68.16,41.32,54.88,62.22,30.0,108.26,25.26,0.95,0.24,15.49,70.11,13.1,19.97,6.96,11.37,23-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Oct-2020 - 00:00,452.02,-0.01,189.12,46.16,110.13,30.29,39.2,45.06,38.95,106.55,24.39,1.13,0.33,15.84,59.48,10.01,16.88,11.05,10.95,24-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Oct-2020 - 00:00,426.66,-0.11,228.83,51.05,109.17,49.17,41.07,61.12,31.37,114.98,23.73,1.29,0.43,14.12,53.49,9.49,16.07,10.6,9.59,25-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Oct-2020 - 00:00,414.68,-0.16,173.39,51.53,107.51,52.96,41.79,64.58,39.08,111.72,23.71,1.35,0.28,15.71,42.9,10.86,21.1,11.53,8.91,26-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Oct-2020 - 00:00,387.46,-0.08,250.09,46.25,87.47,44.13,42.29,57.73,31.4,93.87,24.58,1.15,0.45,12.78,32.31,7.44,15.17,9.67,7.08,27-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Oct-2020 - 00:00,349.68,-0.09,261.76,45.9,106.58,10.34,33.97,26.28,32.88,74.6,22.56,0.69,0.56,12.09,18.44,4.27,6.01,2.86,3.86,28-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Oct-2020 - 00:00,419.65,-0.03,204.15,50.13,98.22,48.27,43.91,61.96,32.63,85.8,21.44,1.25,0.34,15.3,37.26,8.28,17.84,10.8,7.66,29-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Oct-2020 - 00:00,502.9,-0.03,189.65,54.21,94.72,44.92,50.38,62.72,33.76,98.25,21.75,1.2,0.21,13.36,42.39,9.78,19.38,10.86,8.9,30-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Oct-2020 - 00:00,491.9,-0.05,243.56,53.22,118.72,30.84,48.66,50.53,25.67,119.54,21.6,1.12,0.47,11.23,25.83,4.5,9.32,5.2,5.18,31-Oct-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Oct-2020 - 00:00,516.73,-0.0,282.15,46.62,106.66,11.52,42.54,31.54,22.47,121.05,22.36,0.79,0.63,11.24,15.21,3.45,5.62,2.76,4.06,01-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Nov-2020 - 00:00,397.17,0.1,251.72,41.27,109.2,22.07,37.37,37.51,27.73,88.83,21.18,0.8,0.63,12.64,12.44,4.01,6.03,2.84,3.45,02-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Nov-2020 - 00:00,333.98,-0.02,225.53,43.38,99.93,52.82,42.7,64.96,24.76,77.28,20.2,1.0,0.44,13.32,26.54,6.66,13.28,6.78,5.47,03-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Nov-2020 - 00:00,330.44,-0.07,208.18,43.38,109.54,58.28,45.82,70.99,27.76,91.63,20.45,1.17,0.4,14.18,45.11,12.69,21.22,11.91,7.75,04-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Nov-2020 - 00:00,537.44,-0.07,207.48,55.62,72.06,62.09,55.02,78.95,16.93,112.94,19.44,1.19,0.37,13.63,28.58,7.43,17.05,9.63,7.49,05-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Nov-2020 - 00:00,486.84,-0.12,207.39,54.39,92.43,57.39,55.01,75.16,25.02,90.14,20.18,1.39,0.33,13.56,36.17,8.16,17.02,8.86,7.62,06-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Nov-2020 - 00:00,505.24,-0.09,207.32,53.71,82.04,96.7,57.08,107.72,27.67,83.48,20.32,1.37,0.31,14.4,39.75,13.58,27.45,15.46,10.11,07-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Nov-2020 - 00:00,578.94,-0.15,223.15,56.53,88.74,61.31,54.64,78.1,39.0,86.63,20.11,1.43,0.4,12.58,33.3,7.43,16.08,10.59,8.14,08-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Nov-2020 - 00:00,522.51,-0.21,181.46,60.32,71.52,71.1,54.72,85.99,32.91,80.2,19.1,1.19,0.25,14.67,30.35,8.58,19.02,10.24,7.92,09-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Nov-2020 - 00:00,826.28,-0.27,205.98,71.66,66.09,53.51,60.03,74.74,26.81,108.19,18.22,1.74,0.25,12.05,37.16,8.33,17.97,9.87,10.92,10-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Nov-2020 - 00:00,607.37,-0.23,160.79,69.79,72.15,50.05,52.49,67.91,34.68,184.76,19.17,1.61,0.22,13.76,37.24,10.76,21.91,12.14,15.55,11-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Nov-2020 - 00:00,406.68,-0.28,148.59,65.01,92.27,112.89,53.5,118.78,23.89,147.61,20.0,2.03,0.35,18.77,93.44,21.95,43.68,26.7,23.45,12-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Nov-2020 - 00:00,461.4,-0.31,160.87,67.63,81.09,133.23,75.91,146.95,28.77,142.37,20.23,1.58,0.22,21.57,94.54,22.72,44.65,26.5,20.15,13-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Nov-2020 - 00:00,423.9,-0.12,225.31,60.47,92.5,23.6,59.21,50.35,28.67,94.19,20.44,1.25,0.25,14.2,24.24,6.19,11.95,6.43,5.42,14-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Nov-2020 - 00:00,591.83,-0.24,172.03,63.19,76.15,11.35,53.18,37.35,32.47,110.33,19.32,1.03,0.25,14.98,15.19,3.93,9.16,4.55,5.89,15-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Nov-2020 - 00:00,395.32,-0.42,139.83,58.18,76.72,4.9,34.21,22.0,56.63,82.83,21.16,1.29,1.01,11.99,6.12,2.15,2.39,1.22,3.2,16-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Nov-2020 - 00:00,166.48,-0.16,153.71,76.07,65.26,7.46,27.63,20.62,39.33,41.16,20.28,0.41,0.87,11.56,4.91,1.42,1.66,0.92,1.59,17-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Nov-2020 - 00:00,173.5,0.1,315.55,67.38,100.93,9.34,34.36,25.73,25.32,59.78,19.67,0.8,0.63,10.0,8.06,2.06,2.04,0.87,1.76,18-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Nov-2020 - 00:00,214.31,0.14,264.09,60.23,98.34,6.49,34.84,23.7,33.25,77.55,18.49,1.12,0.49,9.22,8.55,1.93,1.8,0.79,1.78,19-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Nov-2020 - 00:00,286.11,0.12,202.07,54.86,95.48,9.73,44.77,31.57,37.6,100.78,17.9,0.96,0.38,12.91,20.33,3.29,5.28,2.28,4.05,20-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Nov-2020 - 00:00,306.9,0.12,319.03,52.16,100.5,6.58,44.42,28.86,35.41,114.49,17.86,0.75,0.73,10.02,11.74,2.21,2.49,0.87,2.59,21-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Nov-2020 - 00:00,303.4,0.16,303.22,51.23,101.8,10.78,40.32,30.04,28.17,90.98,16.81,0.92,0.78,9.97,15.47,3.01,5.3,2.58,3.25,22-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Nov-2020 - 00:00,296.97,0.12,246.29,53.11,98.07,28.55,42.85,45.57,28.59,106.39,15.6,0.94,0.53,11.62,17.02,3.81,6.03,2.9,3.29,23-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Nov-2020 - 00:00,362.09,0.13,189.9,54.59,90.26,45.23,51.77,63.71,32.45,120.5,15.89,1.11,0.23,14.95,33.83,7.82,14.61,7.99,9.16,24-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Nov-2020 - 00:00,553.55,0.11,159.57,61.23,70.65,101.93,70.55,119.05,35.68,186.06,16.49,1.53,0.22,15.62,97.23,18.93,38.0,23.96,26.19,25-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Nov-2020 - 00:00,459.2,0.14,112.51,58.07,43.83,17.82,64.12,48.32,30.11,154.41,17.96,0.96,0.57,9.75,29.56,5.89,11.37,6.74,7.72,26-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Nov-2020 - 00:00,213.45,0.1,174.67,62.87,90.52,9.15,30.71,23.58,21.6,76.39,19.01,0.73,0.83,10.7,11.5,2.31,2.72,1.31,2.84,27-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Nov-2020 - 00:00,172.54,0.07,300.19,60.51,101.08,9.05,32.15,24.29,26.17,63.85,18.23,0.81,0.69,9.5,9.81,2.78,2.35,1.2,1.92,28-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Nov-2020 - 00:00,262.76,0.12,258.91,59.19,100.38,23.78,37.52,38.95,28.21,70.77,17.17,0.89,0.64,10.64,14.12,3.21,5.0,2.67,3.59,29-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Nov-2020 - 00:00,268.5,0.11,225.05,59.41,97.03,44.35,45.11,59.45,27.3,61.45,16.01,1.19,0.37,11.52,18.62,4.59,8.64,4.32,4.63,30-Nov-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Nov-2020 - 00:00,396.19,0.1,214.4,62.78,89.15,78.99,54.27,92.05,24.65,85.33,16.36,1.25,0.34,14.34,31.49,7.56,17.05,9.26,8.21,01-Dec-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Dec-2020 - 00:00,628.77,,159.65,82.6,4.8,197.29,65.17,192.5,13.59,192.81,13.01,1.77,0.11,44.26,93.02,16.06,39.37,23.47,21.66,02-Dec-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
