from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
26-Jan-2020 - 00:00,23.56,39.86,17.61,72.1,3.87,0.95,11.11,109.99,174.68,9.62,44.74,3.34,7.85,12.72,142.12,76.42,0.0,0.65,229.72,27-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Jan-2020 - 00:00,31.69,50.57,18.72,80.42,7.41,1.11,2.12,110.65,168.5,9.77,43.97,5.45,11.17,11.31,85.47,98.12,0.01,0.35,138.63,28-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Jan-2020 - 00:00,24.6,34.36,10.23,82.17,4.87,0.97,9.86,58.33,110.66,5.91,39.59,2.56,6.01,13.45,114.24,94.34,0.14,0.61,129.39,29-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Jan-2020 - 00:00,21.96,28.49,6.55,70.52,3.89,0.54,12.43,36.66,73.09,4.54,37.9,2.12,5.25,13.62,279.65,77.6,0.0,0.52,207.28,30-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-Jan-2020 - 00:00,17.91,21.38,3.42,58.99,4.55,0.47,13.4,44.99,95.55,3.66,33.1,1.36,3.28,12.72,205.09,77.34,0.0,1.07,286.94,31-Jan-2020 - 00:00,"Sector-12, Karnal - HSPCB"
31-Jan-2020 - 00:00,19.53,34.42,14.87,63.9,2.67,0.75,9.75,62.22,127.4,5.86,35.9,3.24,8.03,10.2,174.62,89.69,0.0,0.76,240.28,01-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Feb-2020 - 00:00,18.77,60.09,41.32,77.28,6.4,0.77,8.83,72.15,142.95,7.2,38.05,3.19,6.98,9.57,193.16,87.65,0.0,0.53,230.45,02-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Feb-2020 - 00:00,16.07,19.42,3.38,48.39,3.11,0.62,14.41,73.53,123.24,4.75,32.78,1.8,4.55,11.54,170.77,85.15,0.0,0.84,270.63,03-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Feb-2020 - 00:00,25.83,70.89,45.06,88.42,8.47,1.12,11.06,87.57,196.08,8.4,40.81,7.36,15.91,12.31,193.09,68.84,0.0,0.57,242.43,04-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Feb-2020 - 00:00,29.05,66.38,37.33,81.39,13.84,0.92,10.97,122.43,223.73,9.95,41.07,5.93,13.2,12.55,207.15,69.7,0.0,0.44,134.24,05-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Feb-2020 - 00:00,18.32,21.5,3.22,50.67,8.33,0.55,14.35,85.32,169.51,4.37,23.9,1.82,3.64,12.86,208.95,75.59,0.0,0.94,266.95,06-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Feb-2020 - 00:00,39.48,59.14,19.9,46.75,10.06,0.68,12.77,74.2,159.74,4.41,18.26,1.08,3.36,12.13,197.33,74.96,0.0,0.7,253.98,07-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Feb-2020 - 00:00,58.1,112.54,54.45,52.36,8.01,0.69,10.26,90.73,172.49,4.66,18.68,0.98,3.18,12.36,189.31,75.65,0.0,0.54,245.73,08-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Feb-2020 - 00:00,38.14,43.78,5.59,42.3,9.02,0.62,15.44,87.8,163.28,3.86,16.37,0.47,1.44,13.29,191.53,75.97,0.0,0.86,274.96,09-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Feb-2020 - 00:00,42.62,47.06,4.01,31.71,7.62,0.71,15.13,90.78,152.2,4.62,17.7,0.57,1.7,13.57,193.78,69.98,0.0,0.65,269.38,10-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Feb-2020 - 00:00,55.56,66.78,11.22,33.09,8.07,0.92,12.34,97.9,177.72,6.09,21.57,1.49,4.88,13.62,188.63,69.3,0.0,0.6,276.16,11-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Feb-2020 - 00:00,57.54,65.64,7.18,35.14,7.37,0.83,14.73,111.53,190.3,5.99,19.35,1.12,3.96,14.0,186.82,72.52,0.0,0.58,271.55,12-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Feb-2020 - 00:00,31.25,36.34,4.73,34.17,11.23,0.62,17.6,88.3,147.5,3.86,16.92,0.58,2.12,15.85,203.88,77.86,0.0,1.35,268.92,13-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Feb-2020 - 00:00,25.14,29.65,4.52,31.0,12.19,0.53,15.5,49.85,118.17,3.22,16.05,0.46,1.44,15.61,194.14,82.58,0.0,1.54,272.49,14-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Feb-2020 - 00:00,22.18,26.49,4.28,31.7,13.08,0.54,18.4,64.24,130.88,2.9,15.12,0.46,1.78,16.34,240.65,76.0,0.0,1.74,271.28,15-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Feb-2020 - 00:00,12.37,15.12,2.75,34.34,11.16,0.5,16.39,53.83,113.6,2.9,15.61,0.69,1.84,15.67,226.43,68.79,0.0,1.4,263.7,16-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Feb-2020 - 00:00,20.3,24.34,3.5,38.76,11.13,0.68,18.07,81.68,151.03,4.57,21.61,1.01,2.67,17.34,197.23,73.97,0.0,0.71,263.71,17-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Feb-2020 - 00:00,19.25,26.59,7.35,39.45,10.77,0.62,17.31,79.74,146.21,4.37,20.01,1.08,2.79,16.83,145.94,70.64,0.0,0.99,262.92,18-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Feb-2020 - 00:00,20.14,23.87,3.73,38.59,9.56,0.69,15.04,69.08,145.58,5.0,21.75,1.55,3.99,17.42,45.96,67.08,0.0,0.93,250.17,19-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-Feb-2020 - 00:00,27.7,56.25,28.09,59.16,17.06,0.88,14.49,113.65,206.71,8.17,24.95,1.73,4.04,16.61,134.65,69.18,0.0,0.47,115.69,20-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Feb-2020 - 00:00,25.12,29.26,3.73,40.58,10.1,0.7,17.52,101.47,205.86,5.54,17.91,0.9,2.42,18.37,72.57,67.17,0.09,0.55,103.46,21-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Feb-2020 - 00:00,14.23,17.34,3.25,33.03,22.99,0.31,14.47,25.8,40.94,1.47,16.28,0.34,0.85,15.32,586.35,92.35,0.12,0.64,77.03,22-Feb-2020 - 00:00,"Sector-12, Karnal - HSPCB"
