from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
19-Apr-2020 - 00:00,11.88,10.0,4.46,21.66,3.04,0.26,24.74,23.67,36.89,1.1,11.65,0.22,0.67,26.66,,43.49,0.0,0.46,143.51,20-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Apr-2020 - 00:00,13.97,9.25,2.53,27.13,12.67,0.35,29.06,57.8,195.22,2.69,12.33,0.35,0.99,24.59,,53.99,0.0,0.83,201.09,21-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Apr-2020 - 00:00,9.72,6.54,1.83,19.85,8.53,0.28,28.34,29.73,40.94,1.12,10.31,0.17,0.53,25.66,,47.01,0.0,0.47,199.57,22-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-Apr-2020 - 00:00,16.15,10.44,2.3,24.25,11.68,0.32,26.38,42.55,48.45,1.46,12.41,0.25,0.78,27.45,,40.83,0.0,0.35,182.31,23-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Apr-2020 - 00:00,13.14,8.31,1.8,26.45,40.88,0.45,38.78,44.84,66.34,3.94,13.31,0.39,1.06,28.53,509.3,38.35,0.0,0.96,162.13,24-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Apr-2020 - 00:00,15.91,10.71,3.02,23.96,76.02,0.51,39.98,74.43,101.17,4.24,13.98,0.3,0.93,27.64,280.82,44.94,0.0,0.39,189.25,25-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Apr-2020 - 00:00,13.18,8.43,1.93,23.34,81.87,0.43,39.46,67.97,97.88,3.83,12.21,0.26,0.75,28.34,299.35,46.23,0.0,0.55,195.46,26-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Apr-2020 - 00:00,8.03,5.57,1.72,21.63,84.13,0.38,39.88,58.74,83.8,2.67,10.29,0.17,0.42,22.68,276.53,79.35,0.13,0.52,233.47,27-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Apr-2020 - 00:00,5.48,4.19,1.69,17.68,7.45,0.29,40.82,24.88,40.61,1.44,9.18,0.13,0.38,22.07,332.16,81.68,0.0,0.49,271.84,28-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Apr-2020 - 00:00,8.91,6.13,1.79,16.62,11.45,0.31,44.85,27.9,51.46,1.69,11.52,0.2,0.63,26.27,400.41,62.0,0.0,0.38,240.63,29-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Apr-2020 - 00:00,11.63,7.72,2.05,23.84,25.54,0.51,63.3,77.7,102.08,4.03,14.61,0.37,1.14,28.24,327.37,63.99,0.0,0.33,200.83,30-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-Apr-2020 - 00:00,10.95,7.88,2.75,28.5,29.95,0.48,56.92,73.96,99.69,3.92,14.02,0.23,0.71,29.08,354.3,63.41,0.0,0.37,234.31,01-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-May-2020 - 00:00,9.75,6.95,2.38,23.82,34.56,0.4,56.79,57.98,103.67,3.05,13.36,0.19,0.55,28.65,372.88,65.0,0.0,0.35,218.31,02-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-May-2020 - 00:00,6.95,4.99,1.69,21.99,34.81,0.3,51.5,58.39,99.81,1.82,11.17,0.14,0.4,28.26,317.62,65.53,0.0,0.48,222.63,03-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-May-2020 - 00:00,7.04,5.12,1.81,21.91,40.16,0.35,51.24,49.5,81.54,2.41,11.74,0.14,0.37,29.14,340.25,63.46,0.0,0.64,188.94,04-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-May-2020 - 00:00,8.95,6.14,2.1,23.01,1.8,0.55,43.25,24.09,51.65,1.28,13.97,0.3,0.92,26.4,382.57,63.12,0.0,0.51,203.19,05-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-May-2020 - 00:00,11.36,8.58,3.33,26.5,6.39,0.39,52.74,46.69,80.71,2.36,16.37,0.43,1.4,28.95,386.79,52.62,0.0,0.58,107.66,06-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-May-2020 - 00:00,8.3,5.78,1.8,24.11,10.49,0.39,52.27,56.67,80.86,2.87,14.18,0.34,1.03,26.79,305.08,62.33,0.24,0.43,220.9,07-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-May-2020 - 00:00,15.21,10.55,3.28,28.25,31.07,0.45,62.33,36.63,50.17,2.16,16.53,0.64,1.79,30.45,552.1,44.48,0.0,0.45,170.83,08-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-May-2020 - 00:00,18.26,16.78,8.66,35.86,47.03,0.6,61.93,88.41,108.88,5.2,21.5,1.04,3.31,29.44,382.5,53.04,0.0,0.39,214.27,09-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-May-2020 - 00:00,15.76,10.28,2.56,33.89,48.43,0.61,59.98,83.86,122.38,5.92,16.07,0.36,0.75,29.28,359.37,65.8,0.0,0.33,227.8,10-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-May-2020 - 00:00,9.74,6.52,1.81,28.06,54.49,0.44,49.17,55.07,95.17,3.95,14.22,0.26,0.6,25.42,167.92,74.95,0.09,0.56,227.7,11-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-May-2020 - 00:00,8.61,5.47,1.76,23.76,1.96,0.3,48.94,25.86,38.32,1.81,12.36,0.24,0.66,24.18,335.64,73.88,0.01,0.53,251.85,12-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-May-2020 - 00:00,10.05,6.04,1.72,22.65,31.78,0.31,48.01,28.64,45.65,1.7,14.26,0.42,1.03,26.98,331.04,68.33,0.0,0.46,204.79,13-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-May-2020 - 00:00,12.82,7.76,2.06,27.42,77.83,0.48,28.37,65.85,101.05,4.01,24.14,1.03,2.99,27.26,171.42,70.67,0.0,0.43,159.38,14-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-May-2020 - 00:00,13.5,8.96,2.37,32.25,69.68,0.54,26.78,68.87,103.61,6.06,22.06,1.08,2.62,27.8,313.71,67.33,0.0,0.44,194.29,15-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-May-2020 - 00:00,7.13,5.21,1.84,21.55,5.31,0.22,31.4,32.02,57.95,1.21,16.86,0.51,1.53,29.67,359.62,40.89,0.0,1.02,83.99,16-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-May-2020 - 00:00,8.75,5.97,1.77,20.32,10.6,0.34,36.78,39.97,67.01,1.39,16.1,0.4,1.0,30.86,415.06,37.22,0.0,1.07,56.84,17-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-May-2020 - 00:00,12.56,7.58,1.7,20.91,22.37,0.61,35.31,69.42,110.18,2.9,18.35,0.55,0.76,31.43,261.94,34.46,0.0,0.57,98.75,18-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-May-2020 - 00:00,16.95,10.58,2.24,24.43,19.24,0.63,25.47,94.49,116.23,3.01,21.78,1.1,1.34,32.08,367.52,29.11,0.0,0.56,108.16,19-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-May-2020 - 00:00,20.08,15.15,6.16,24.91,23.51,0.45,19.43,69.5,100.8,3.58,19.04,0.96,1.97,31.78,395.02,24.13,0.0,0.52,231.62,20-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-May-2020 - 00:00,12.99,8.49,2.2,20.41,32.7,0.41,31.21,63.05,90.9,2.17,16.39,0.54,1.49,31.32,441.14,23.78,0.0,0.9,74.19,21-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-May-2020 - 00:00,11.38,7.33,1.85,19.41,46.03,0.51,36.73,83.72,132.95,2.67,15.76,0.63,1.75,32.81,423.19,24.14,0.0,1.15,57.36,22-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-May-2020 - 00:00,23.77,16.15,4.62,26.16,61.16,0.72,37.15,92.81,135.23,5.68,23.04,1.87,5.06,33.97,376.37,26.49,0.0,0.38,171.23,23-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-May-2020 - 00:00,19.1,12.3,2.67,32.35,87.73,0.77,39.08,96.93,160.72,9.28,18.34,0.99,2.54,33.42,314.07,42.63,0.0,0.36,239.67,24-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-May-2020 - 00:00,12.43,7.99,1.87,25.48,61.23,0.4,40.7,55.37,189.15,2.85,15.05,0.49,1.13,34.84,387.94,27.54,0.0,0.62,144.0,25-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-May-2020 - 00:00,10.38,6.81,1.72,20.22,65.08,0.47,45.26,64.8,113.48,2.37,14.54,0.56,1.48,35.74,416.34,24.16,0.0,1.04,88.0,26-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-May-2020 - 00:00,16.07,10.54,2.9,22.86,63.69,0.43,56.48,43.84,72.95,3.47,16.87,1.09,2.93,36.16,405.18,23.98,0.0,0.68,147.05,27-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-May-2020 - 00:00,14.42,9.22,2.1,21.33,73.37,0.38,48.13,50.99,123.24,2.41,11.52,0.53,1.34,34.55,349.23,28.31,0.0,0.48,194.65,28-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-May-2020 - 00:00,10.55,7.05,2.0,22.08,79.67,0.45,38.85,44.31,132.56,2.07,10.67,0.34,0.71,30.48,379.45,48.15,0.0,0.67,131.95,29-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-May-2020 - 00:00,10.79,6.79,1.92,23.89,1.49,0.29,35.35,23.24,33.26,1.34,10.79,0.37,0.8,26.0,17.56,71.21,0.08,0.89,123.6,30-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-May-2020 - 00:00,13.87,9.49,3.08,24.39,4.83,0.31,38.89,33.22,49.44,1.68,10.85,0.38,0.75,27.65,387.25,69.74,0.0,0.56,128.14,31-May-2020 - 00:00,"Sector-12, Karnal - HSPCB"
31-May-2020 - 00:00,7.65,5.35,1.8,22.2,6.92,0.25,40.54,21.85,33.31,0.86,9.1,0.17,0.35,24.3,331.59,73.92,0.31,0.62,132.65,01-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Jun-2020 - 00:00,12.34,9.53,3.87,24.81,36.21,0.32,34.02,16.1,25.53,1.41,12.13,0.48,1.22,26.78,394.93,66.4,0.0,0.37,111.7,02-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Jun-2020 - 00:00,15.33,11.63,4.53,26.5,66.25,0.37,45.32,36.5,51.69,1.71,14.73,0.71,1.84,27.99,381.71,71.17,0.0,0.6,211.55,03-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Jun-2020 - 00:00,13.06,8.67,2.36,23.55,73.36,0.34,50.94,41.62,61.51,1.86,16.23,0.73,1.89,29.6,443.71,59.02,0.0,0.53,161.36,04-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Jun-2020 - 00:00,11.8,7.92,2.23,23.97,75.42,0.37,47.51,47.49,77.46,3.28,13.07,0.58,1.22,28.94,412.84,64.99,0.0,0.66,94.61,05-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Jun-2020 - 00:00,10.67,8.25,3.33,39.82,76.13,0.34,53.49,34.59,51.12,2.45,7.91,0.3,0.57,27.16,515.52,73.95,0.0,0.56,107.98,06-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Jun-2020 - 00:00,15.71,11.33,4.03,60.68,85.36,0.36,51.65,38.31,54.77,2.5,10.33,0.31,0.67,28.39,565.06,74.44,0.0,0.47,89.16,07-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Jun-2020 - 00:00,13.98,9.48,2.88,55.85,66.99,0.45,54.75,35.65,63.31,4.08,12.71,0.34,0.31,26.13,565.06,81.33,0.01,0.51,170.69,08-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Jun-2020 - 00:00,20.19,14.53,5.2,57.4,3.0,0.46,60.74,35.12,65.89,2.4,15.66,0.91,2.39,29.56,537.34,63.78,0.0,0.39,166.76,09-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Jun-2020 - 00:00,22.88,18.75,8.47,38.08,36.01,0.51,68.76,52.35,94.15,3.34,17.15,1.19,2.95,32.21,534.24,61.98,0.0,0.53,213.93,10-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Jun-2020 - 00:00,15.72,10.5,2.84,24.51,62.74,0.41,82.45,58.71,160.13,2.2,15.26,0.78,2.11,33.2,685.06,56.48,0.0,0.54,203.47,11-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Jun-2020 - 00:00,19.17,12.08,3.61,15.84,54.36,0.48,59.46,60.33,207.61,2.88,16.18,0.93,2.43,32.85,555.04,61.01,0.0,0.43,158.67,12-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Jun-2020 - 00:00,18.31,11.55,2.78,14.09,54.48,0.55,66.97,62.45,98.18,3.58,13.27,0.8,1.8,33.07,450.59,63.05,0.0,0.61,142.13,13-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Jun-2020 - 00:00,17.44,11.73,2.86,12.69,71.8,0.58,40.74,77.26,108.92,5.43,13.04,0.45,1.02,31.45,527.38,71.41,0.0,0.48,137.12,14-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Jun-2020 - 00:00,26.27,16.95,5.39,13.64,51.99,0.41,43.31,48.61,69.67,1.24,11.76,0.51,0.84,35.01,557.55,48.53,0.0,0.67,167.69,16-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Jun-2020 - 00:00,23.71,15.08,3.36,6.1,63.48,0.41,34.95,39.64,67.2,1.01,4.81,0.2,0.55,33.28,457.99,58.55,0.0,0.57,165.97,17-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Jun-2020 - 00:00,20.67,13.31,3.21,4.91,62.64,0.34,26.66,38.52,71.95,0.67,3.62,0.1,0.28,32.5,494.92,69.45,0.0,0.49,122.17,18-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Jun-2020 - 00:00,19.13,12.77,3.31,4.51,69.24,0.39,27.59,40.29,71.0,0.97,4.03,0.11,0.32,33.07,552.75,66.45,0.0,0.51,127.83,19-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-Jun-2020 - 00:00,17.66,11.76,3.12,3.17,69.36,0.37,23.59,47.72,88.19,0.78,3.94,0.11,0.28,32.54,358.29,75.5,0.0,0.58,108.07,20-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Jun-2020 - 00:00,17.19,11.67,3.04,2.22,72.43,0.33,26.11,42.23,92.0,0.52,3.68,0.09,0.24,31.73,336.45,68.65,0.0,0.53,166.52,21-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Jun-2020 - 00:00,16.52,10.8,2.71,1.22,77.41,0.27,28.42,42.94,88.27,0.63,3.29,0.07,0.15,30.03,263.16,76.75,0.01,0.56,109.59,22-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-Jun-2020 - 00:00,20.51,10.81,2.5,0.95,60.83,0.4,31.26,34.56,52.19,0.73,3.9,0.16,0.31,29.61,441.37,74.78,0.2,0.48,135.02,23-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Jun-2020 - 00:00,22.48,9.59,3.26,23.82,73.48,0.37,16.8,41.99,59.95,0.77,3.45,0.08,0.2,31.0,470.8,76.64,0.0,0.5,127.89,24-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Jun-2020 - 00:00,17.28,11.01,2.94,23.65,70.87,0.34,17.78,34.06,53.98,0.76,5.8,0.24,0.46,30.95,698.76,81.85,0.0,0.6,106.38,25-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Jun-2020 - 00:00,21.57,14.39,3.08,26.23,68.14,0.41,10.8,35.48,55.11,2.35,13.66,0.59,1.6,30.33,345.83,77.97,0.0,0.38,178.64,26-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Jun-2020 - 00:00,20.73,13.45,4.17,26.38,2.98,0.4,18.79,48.23,72.8,2.29,14.47,0.67,1.9,28.72,366.88,86.0,0.0,0.53,139.34,27-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Jun-2020 - 00:00,12.43,9.13,2.71,25.86,4.07,0.26,18.7,40.79,84.46,1.28,18.43,0.29,0.74,32.66,306.68,72.68,0.0,0.97,210.42,28-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Jun-2020 - 00:00,11.81,7.88,2.42,25.48,1.85,0.38,23.36,63.85,162.49,1.13,13.78,0.32,0.69,34.42,425.47,67.96,0.0,1.04,253.09,29-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Jun-2020 - 00:00,11.61,8.54,3.09,26.11,27.14,0.37,24.36,69.73,190.4,1.73,12.27,0.55,1.46,31.16,329.23,77.34,0.0,0.62,137.21,30-Jun-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-Jun-2020 - 00:00,11.25,8.05,2.7,25.88,57.09,0.36,20.25,30.37,59.23,1.44,11.87,0.38,1.01,30.72,292.53,77.54,0.0,0.56,115.27,01-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Jul-2020 - 00:00,13.75,9.45,2.83,25.92,61.12,0.46,25.34,49.11,78.83,2.24,13.51,0.49,1.35,32.26,324.14,77.0,0.0,0.47,120.43,02-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Jul-2020 - 00:00,13.01,8.88,2.6,26.02,64.09,0.49,31.19,52.04,86.53,2.44,13.6,0.96,2.12,33.38,315.43,72.05,0.0,0.73,197.79,03-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Jul-2020 - 00:00,12.96,8.79,2.53,25.94,62.96,0.53,24.46,62.58,86.72,3.15,15.45,0.57,1.71,33.34,363.83,79.35,0.0,0.49,131.46,04-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Jul-2020 - 00:00,11.23,7.88,2.51,25.94,66.18,0.34,31.68,28.81,46.69,1.75,11.51,0.32,0.82,30.98,389.37,78.8,0.0,0.69,106.3,05-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Jul-2020 - 00:00,10.62,7.42,2.34,26.0,66.58,0.36,18.1,37.44,37.8,1.42,9.56,0.23,0.52,28.57,,96.16,0.0,1.07,70.52,06-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Jul-2020 - 00:00,13.78,15.64,11.18,24.98,57.6,0.43,28.23,37.91,56.19,1.91,38.43,1.0,3.0,32.81,419.78,70.22,0.0,0.46,106.33,07-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Jul-2020 - 00:00,10.25,9.52,5.55,26.05,58.41,0.26,12.49,22.69,31.74,1.42,22.31,0.58,1.78,29.16,241.89,86.72,0.0,0.57,116.0,08-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Jul-2020 - 00:00,9.05,7.03,3.76,25.97,56.17,0.25,8.82,9.3,18.48,1.07,20.38,0.71,2.2,27.72,91.28,88.94,0.04,0.72,106.66,09-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Jul-2020 - 00:00,9.64,6.77,2.75,25.97,65.53,0.39,22.45,24.67,36.88,2.12,23.67,0.77,2.35,30.58,,81.18,0.0,0.48,196.26,10-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Jul-2020 - 00:00,11.42,8.06,2.82,25.16,64.24,0.34,24.33,39.0,56.48,2.25,22.14,1.9,2.99,33.58,513.72,75.03,0.0,1.16,230.74,11-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Jul-2020 - 00:00,8.18,6.29,2.65,24.6,61.59,0.26,25.33,25.53,42.11,1.14,20.63,0.65,1.15,29.4,509.41,82.7,0.14,0.76,201.65,12-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Jul-2020 - 00:00,7.39,5.53,2.33,29.51,55.11,0.42,26.62,22.4,30.72,1.49,20.05,0.42,0.44,25.31,438.07,92.12,0.38,0.92,164.07,13-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Jul-2020 - 00:00,15.54,11.6,4.34,31.44,19.96,0.43,23.77,32.12,69.92,1.61,25.11,1.21,3.23,31.24,540.57,75.97,0.0,0.89,262.41,14-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Jul-2020 - 00:00,11.5,10.16,5.04,25.12,16.49,0.37,22.28,38.38,73.78,2.0,25.92,1.15,3.24,31.85,399.05,77.23,0.0,0.45,192.18,15-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Jul-2020 - 00:00,11.01,8.3,3.44,27.85,19.64,0.32,25.06,36.11,71.68,2.19,23.8,1.19,3.28,30.63,430.99,87.22,0.0,0.53,96.45,16-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Jul-2020 - 00:00,9.7,7.68,3.32,30.24,9.44,0.36,18.7,34.51,56.84,1.79,23.7,1.04,2.59,30.61,301.13,92.06,0.01,0.49,98.44,17-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Jul-2020 - 00:00,12.14,10.37,5.02,30.1,37.8,0.36,17.5,33.13,40.95,2.14,20.64,0.85,2.17,30.2,242.56,93.7,0.11,0.46,103.1,18-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Jul-2020 - 00:00,9.76,8.16,3.82,30.19,80.44,0.33,14.9,23.38,32.05,1.24,18.73,0.54,1.32,28.36,177.89,93.37,0.0,0.53,95.12,19-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
19-Jul-2020 - 00:00,7.44,6.62,3.47,30.34,87.42,0.31,18.16,25.62,32.83,0.58,6.52,0.11,0.28,29.89,313.8,86.39,0.0,0.65,207.42,20-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
20-Jul-2020 - 00:00,8.2,6.38,2.79,31.44,77.99,0.34,25.35,22.61,37.2,0.31,4.12,0.1,0.18,29.2,362.96,89.5,0.0,0.8,237.76,21-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
21-Jul-2020 - 00:00,6.37,5.35,2.79,32.45,0.45,0.32,16.44,18.52,37.22,0.42,6.18,0.1,0.07,24.26,109.13,91.49,0.71,0.59,199.49,22-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
22-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
23-Jul-2020 - 00:00,3.18,7.25,4.97,9.5,42.42,0.69,17.41,31.0,52.33,0.67,4.71,0.13,0.34,30.66,423.36,78.18,0.06,0.69,210.5,24-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
24-Jul-2020 - 00:00,3.09,7.04,3.86,10.1,51.17,0.29,14.13,28.87,45.83,0.57,5.03,0.06,0.21,29.12,332.69,82.16,0.0,0.52,100.58,25-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
25-Jul-2020 - 00:00,3.1,7.0,3.84,10.12,81.62,0.29,11.51,21.85,44.06,0.44,5.23,0.03,0.12,29.6,340.39,84.64,0.0,0.57,104.9,26-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
26-Jul-2020 - 00:00,3.19,7.0,3.8,10.11,90.62,0.33,15.31,30.1,37.16,0.55,5.89,0.05,0.15,29.7,242.46,89.55,0.04,0.4,128.35,27-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
27-Jul-2020 - 00:00,3.11,6.74,3.61,12.83,72.66,0.55,19.42,52.98,96.63,0.76,5.84,0.13,0.34,31.71,367.71,84.09,0.0,0.75,238.48,28-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
28-Jul-2020 - 00:00,3.62,9.28,6.47,14.49,44.83,0.94,24.57,26.36,75.56,0.5,10.93,0.13,0.29,32.06,236.95,87.07,0.0,0.92,244.51,29-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Jul-2020 - 00:00,3.19,7.09,3.88,10.11,79.05,0.49,31.51,26.2,52.72,0.8,38.17,0.37,0.78,30.01,239.54,91.14,0.0,0.46,114.49,30-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-Jul-2020 - 00:00,3.16,7.1,3.92,10.12,86.79,0.38,20.11,12.14,21.39,0.64,16.56,0.33,0.85,26.52,127.3,95.9,0.93,0.46,161.17,31-Jul-2020 - 00:00,"Sector-12, Karnal - HSPCB"
31-Jul-2020 - 00:00,3.2,7.03,3.8,10.1,88.58,0.49,24.31,30.62,52.22,0.98,8.01,0.22,0.57,29.78,229.86,86.3,0.0,0.39,138.19,01-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Aug-2020 - 00:00,3.17,6.98,3.77,10.11,99.84,0.41,19.41,20.81,42.89,0.67,8.85,0.16,0.42,29.13,268.22,90.42,0.0,0.61,207.9,02-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Aug-2020 - 00:00,3.18,6.69,3.48,10.83,44.32,0.38,25.95,17.5,34.0,0.34,19.98,0.12,0.24,32.28,189.25,81.33,0.0,0.9,281.0,03-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Aug-2020 - 00:00,3.18,6.96,3.73,10.13,55.37,0.37,26.19,23.61,47.02,0.6,46.38,0.4,0.78,31.87,189.26,87.65,0.0,0.59,238.23,04-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Aug-2020 - 00:00,3.18,7.0,3.78,10.1,62.01,0.37,25.51,20.18,40.38,0.92,48.09,0.85,1.5,29.66,290.33,85.7,0.09,0.64,176.91,05-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Aug-2020 - 00:00,3.32,7.04,3.74,10.08,94.99,0.44,24.32,29.95,45.79,2.02,85.79,1.13,2.85,30.86,339.56,88.59,0.0,0.5,89.44,06-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Aug-2020 - 00:00,7.17,8.52,4.4,10.3,92.6,0.35,22.44,16.38,32.27,1.72,89.64,1.13,2.8,31.59,280.7,81.26,0.0,0.51,95.8,07-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Aug-2020 - 00:00,8.29,7.58,4.05,10.68,4.63,0.28,14.14,14.86,29.76,1.34,99.16,1.18,3.04,30.55,334.0,86.92,0.0,0.54,89.95,08-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Aug-2020 - 00:00,10.46,10.39,6.15,10.26,14.41,0.47,17.95,25.3,42.07,1.89,79.66,1.11,2.89,31.56,220.88,86.57,0.0,0.46,193.48,09-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Aug-2020 - 00:00,6.82,6.98,4.27,10.32,0.21,0.38,18.28,26.07,38.89,1.58,59.44,0.83,2.29,29.38,110.08,96.14,0.03,0.49,198.5,10-Aug-2020 - 00:00,"Sector-12, Karnal - HSPCB"
