from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,103.51,151.78,52.45,13.84,39.15,27.77,6.04,1.09,32.48,17.81,1.4,95.92,80.5,704.04,194.78,0.0,02-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
02-Jan-2020 - 00:00,85.76,128.01,39.81,18.99,36.61,25.44,4.56,1.06,30.56,16.7,1.23,119.59,90.23,705.48,142.01,0.0,03-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
03-Jan-2020 - 00:00,90.21,145.17,55.3,38.38,60.63,20.03,10.45,1.27,32.28,17.21,1.07,128.37,82.88,705.14,175.64,0.0,04-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
04-Jan-2020 - 00:00,74.77,154.32,60.28,30.17,56.59,22.98,6.31,0.92,37.51,16.7,1.36,91.44,75.73,704.58,230.16,0.0,05-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
05-Jan-2020 - 00:00,53.56,89.74,59.92,18.2,46.67,17.2,7.45,0.83,38.49,16.93,1.53,80.49,68.74,705.58,247.47,0.0,06-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
06-Jan-2020 - 00:00,46.68,108.22,64.86,28.89,57.99,16.79,12.19,0.87,40.05,19.21,1.16,122.59,53.07,705.58,232.53,0.0,07-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
07-Jan-2020 - 00:00,56.29,133.68,68.27,19.08,51.82,19.84,9.56,1.14,39.66,22.2,1.01,174.01,56.22,703.16,214.75,0.0,08-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
08-Jan-2020 - 00:00,83.92,166.56,69.71,24.93,57.35,24.55,16.87,1.2,36.19,21.18,1.27,221.62,70.05,701.5,210.35,0.0,09-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
09-Jan-2020 - 00:00,62.41,112.73,53.55,11.59,37.91,20.07,13.15,0.7,33.13,15.67,1.91,119.26,62.14,705.6,246.69,0.0,10-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
10-Jan-2020 - 00:00,48.52,87.23,55.03,12.87,39.74,18.95,14.02,0.69,33.52,14.29,1.8,79.3,60.71,706.32,251.7,0.0,11-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
11-Jan-2020 - 00:00,50.54,100.32,62.76,21.87,51.16,19.37,12.28,0.81,34.18,17.21,1.29,99.5,56.69,705.72,232.96,0.0,12-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
12-Jan-2020 - 00:00,69.67,155.33,80.43,54.9,87.42,24.56,10.06,1.14,35.59,20.48,0.71,111.46,58.24,703.98,219.1,0.0,13-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
13-Jan-2020 - 00:00,75.59,155.95,80.61,55.42,87.92,25.48,9.12,1.07,34.76,21.58,1.02,218.2,61.7,701.38,209.39,0.0,14-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
14-Jan-2020 - 00:00,83.76,163.41,66.98,39.72,67.93,25.91,19.6,1.19,32.19,21.06,0.74,198.5,75.72,701.6,188.84,0.0,15-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
15-Jan-2020 - 00:00,64.11,123.45,46.48,11.01,33.68,22.73,10.21,0.81,31.39,21.7,1.38,154.09,72.96,701.49,202.09,0.0,16-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
16-Jan-2020 - 00:00,57.51,115.6,60.78,23.94,51.79,18.12,7.7,0.99,30.17,19.07,1.46,264.05,61.73,701.45,215.74,0.0,17-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
17-Jan-2020 - 00:00,76.07,125.17,60.56,14.05,43.63,21.51,8.15,0.81,31.74,16.71,1.33,159.69,68.99,703.69,228.88,0.0,18-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
18-Jan-2020 - 00:00,71.7,120.54,64.54,17.19,48.3,20.83,8.21,0.94,31.26,16.74,1.37,107.85,70.78,704.16,244.54,0.0,19-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
19-Jan-2020 - 00:00,54.49,95.49,58.04,8.51,37.79,17.26,8.44,0.52,30.71,16.36,1.63,91.71,66.26,705.3,249.46,0.0,20-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
20-Jan-2020 - 00:00,54.48,110.03,65.46,13.98,46.18,17.34,8.3,0.9,31.41,17.44,1.3,88.8,64.9,704.6,241.75,0.0,21-Jan-2020 - 00:00,"Chhoti Gwaltoli, Indore - MPPCB"
