from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
27-Jan-2020 - 00:00,167.12,20.58,11.31,31.59,42.91,21.77,0.42,4.24,5.66,4.31,748.54,96.23,0.01,159.7,0.45,96.48,28-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-Jan-2020 - 00:00,47.24,16.38,9.19,22.36,31.55,21.0,0.29,13.57,5.24,4.2,741.85,95.13,0.02,122.76,1.87,19.44,29-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
29-Jan-2020 - 00:00,102.85,15.03,9.35,21.6,30.95,19.61,0.38,10.66,5.48,4.31,753.72,95.74,0.0,178.42,0.67,46.86,30-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
30-Jan-2020 - 00:00,147.58,29.47,9.33,20.57,29.91,18.0,0.59,10.46,5.37,4.19,752.26,94.49,0.0,303.57,1.23,75.33,31-Jan-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
31-Jan-2020 - 00:00,181.77,37.32,9.68,25.13,34.81,17.84,0.53,7.65,5.44,4.21,762.39,94.78,0.0,257.72,0.9,86.44,01-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
01-Feb-2020 - 00:00,166.13,38.21,11.71,30.08,41.78,18.27,0.59,9.94,5.49,4.3,751.9,94.66,0.0,249.26,0.72,84.13,02-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Feb-2020 - 00:00,183.35,43.99,8.39,20.55,28.93,16.23,0.49,17.28,5.45,4.3,700.27,87.46,0.0,280.69,1.3,79.88,03-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Feb-2020 - 00:00,233.68,33.91,11.48,30.19,41.68,17.01,0.66,10.63,5.54,4.23,697.41,87.13,0.0,221.64,0.59,108.24,04-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Feb-2020 - 00:00,107.0,14.11,12.01,28.12,40.13,14.03,0.51,9.34,5.43,4.17,725.19,91.89,0.0,190.64,0.66,54.11,05-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Feb-2020 - 00:00,253.79,56.45,8.66,19.04,27.71,15.46,0.55,20.92,5.28,4.18,654.72,81.02,0.0,288.02,1.44,131.81,06-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Feb-2020 - 00:00,245.23,51.27,10.28,24.15,34.42,15.45,0.36,13.26,5.28,4.04,642.37,80.4,0.0,251.25,0.68,122.73,07-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Feb-2020 - 00:00,130.69,52.63,10.48,30.87,41.34,17.6,0.44,11.77,5.57,4.31,636.34,84.57,0.0,249.77,0.73,91.08,08-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Feb-2020 - 00:00,136.24,41.39,10.0,28.52,38.52,17.43,0.45,15.23,5.67,4.3,669.56,83.61,0.0,256.28,0.83,95.01,09-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Feb-2020 - 00:00,122.63,23.48,9.46,25.54,34.99,17.1,0.54,16.22,5.67,4.3,682.2,85.6,0.0,199.48,0.47,85.39,10-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Feb-2020 - 00:00,151.33,33.89,9.97,26.9,36.86,16.25,0.48,17.49,5.74,4.31,533.84,83.02,0.0,236.53,0.81,105.15,11-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Feb-2020 - 00:00,187.13,44.46,11.7,28.07,39.77,14.18,0.61,13.83,5.79,4.3,406.2,80.22,0.0,247.42,0.76,117.17,12-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Feb-2020 - 00:00,216.76,48.86,9.47,11.98,21.45,10.22,0.51,17.99,5.33,4.17,526.1,80.34,0.0,294.06,1.76,97.32,13-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Feb-2020 - 00:00,250.61,72.41,8.63,7.88,16.52,9.21,0.48,10.81,5.42,4.3,554.84,79.44,0.0,291.78,1.83,65.45,14-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Feb-2020 - 00:00,202.76,76.39,8.45,5.87,14.3,8.97,0.42,14.71,5.5,4.3,300.61,78.6,0.0,294.86,1.79,48.7,15-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Feb-2020 - 00:00,243.16,100.28,8.49,6.0,14.48,8.98,0.63,12.51,4.5,4.02,307.35,68.03,0.0,279.8,1.46,76.58,16-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
