from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,114.88,247.22,86.81,89.5,165.42,22.03,16.0,1.35,48.27,16.84,40.43,22.95,22.36,68.07,,313.46,1.29,219.67,02-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
02-Jan-2020 - 00:00,96.34,196.79,80.7,13.05,93.75,23.97,11.1,0.79,48.38,13.16,28.23,17.98,23.57,72.17,,321.17,1.77,226.2,03-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
03-Jan-2020 - 00:00,85.07,191.69,89.43,29.34,118.77,18.84,11.35,0.9,47.45,13.46,29.12,17.55,23.11,69.1,,299.8,1.87,239.23,04-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
04-Jan-2020 - 00:00,84.04,190.86,90.07,24.02,114.1,14.53,12.02,0.87,44.93,13.39,33.2,23.67,22.18,67.58,,316.97,1.92,262.98,05-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
05-Jan-2020 - 00:00,85.25,204.44,75.56,50.92,126.48,15.17,13.54,1.03,45.84,13.51,33.72,22.38,24.03,66.68,,336.99,1.39,186.66,06-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
06-Jan-2020 - 00:00,70.36,179.99,74.2,38.44,112.64,30.42,7.82,0.89,48.9,11.99,30.54,17.04,25.95,65.08,,320.03,1.87,188.86,07-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
07-Jan-2020 - 00:00,82.15,214.64,88.19,71.86,159.65,52.87,6.74,1.13,39.72,14.44,35.52,20.15,26.34,71.12,,308.59,1.7,213.47,08-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
08-Jan-2020 - 00:00,72.66,186.63,60.59,82.86,127.14,27.77,9.85,1.17,23.71,14.33,51.5,26.55,26.25,70.13,,342.9,1.86,246.57,09-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
09-Jan-2020 - 00:00,56.99,171.64,85.71,9.88,95.59,8.73,8.63,0.79,62.48,14.45,30.08,12.12,25.38,56.98,,393.27,2.67,290.96,10-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
10-Jan-2020 - 00:00,70.39,207.28,84.24,56.47,121.4,8.55,10.11,1.13,34.94,17.13,35.46,16.04,24.98,60.88,,318.25,1.46,182.09,11-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
11-Jan-2020 - 00:00,88.1,250.21,85.35,57.84,130.82,47.76,8.59,1.2,30.94,16.83,38.7,17.23,26.57,64.4,,313.51,1.8,167.14,12-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
12-Jan-2020 - 00:00,106.97,250.27,69.98,73.71,132.18,55.07,16.21,1.44,39.78,20.48,47.91,19.48,26.48,71.22,,313.86,1.65,210.77,13-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
13-Jan-2020 - 00:00,61.14,141.42,57.83,14.19,72.01,34.24,5.65,0.72,28.29,13.77,24.82,7.07,25.76,77.97,,309.6,1.91,243.22,14-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
14-Jan-2020 - 00:00,43.82,124.33,55.23,31.8,87.03,13.32,5.09,0.65,26.78,12.7,28.85,13.76,24.61,71.96,,320.83,1.98,220.52,15-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
15-Jan-2020 - 00:00,38.43,116.93,60.33,31.47,91.79,7.56,4.44,0.56,33.87,10.82,25.09,17.02,22.88,60.36,,353.85,2.42,265.63,16-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
16-Jan-2020 - 00:00,34.12,117.91,64.81,21.0,85.81,10.17,4.48,0.56,28.19,11.2,23.83,16.95,21.0,63.5,,357.59,2.22,221.25,17-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
17-Jan-2020 - 00:00,63.79,162.61,80.77,42.11,122.88,9.83,5.93,0.84,34.5,13.61,29.82,19.81,20.04,58.0,,372.78,2.03,244.87,18-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
18-Jan-2020 - 00:00,81.63,225.58,115.95,45.48,161.43,12.08,7.74,1.08,31.85,15.51,35.15,25.04,22.66,60.5,,346.99,1.51,231.09,19-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
19-Jan-2020 - 00:00,89.51,292.59,98.67,125.62,203.32,16.98,12.17,1.73,33.49,18.94,47.89,28.26,24.24,67.18,,336.13,1.45,226.28,20-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
20-Jan-2020 - 00:00,88.8,264.6,97.36,104.21,179.58,30.5,10.95,1.69,45.8,17.11,46.51,25.48,25.44,68.1,,349.87,1.57,207.86,21-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
21-Jan-2020 - 00:00,117.07,333.64,96.35,187.6,232.34,27.13,15.91,2.21,33.23,20.16,58.6,36.04,24.92,69.28,,329.53,1.67,240.37,22-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
22-Jan-2020 - 00:00,101.47,307.7,92.17,110.78,198.29,21.86,19.06,1.92,28.49,19.3,55.46,35.31,26.11,62.6,,326.55,1.47,207.21,23-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
23-Jan-2020 - 00:00,98.48,253.96,96.19,83.04,177.88,25.14,15.93,1.32,37.53,15.9,45.15,29.75,27.21,60.91,,334.65,1.62,222.19,24-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
24-Jan-2020 - 00:00,76.8,215.4,92.13,71.59,150.47,23.08,11.12,1.14,42.34,13.86,35.85,24.6,27.58,60.18,,342.36,1.7,216.78,25-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
25-Jan-2020 - 00:00,94.66,289.34,102.24,114.3,200.96,25.76,13.8,1.52,45.81,18.72,45.7,26.71,27.06,64.32,,337.64,1.57,236.96,26-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
26-Jan-2020 - 00:00,89.85,312.11,101.43,94.12,177.91,33.08,15.98,1.77,38.32,20.96,46.83,25.9,26.44,67.06,,321.19,1.5,233.51,27-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
27-Jan-2020 - 00:00,45.05,144.07,61.62,25.61,87.21,30.05,7.12,0.79,27.68,10.62,23.76,11.66,25.02,73.08,,369.35,2.19,280.48,28-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
28-Jan-2020 - 00:00,32.8,125.56,44.47,47.37,91.84,17.83,4.77,0.58,17.98,12.14,22.21,10.85,24.31,73.0,,330.5,2.03,221.79,29-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
29-Jan-2020 - 00:00,31.07,121.87,54.8,12.16,66.96,11.7,2.4,0.4,29.46,6.98,22.5,11.9,23.01,63.46,,378.1,2.32,237.55,30-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
30-Jan-2020 - 00:00,51.93,186.55,82.46,39.75,122.21,7.95,9.27,0.78,37.73,11.46,37.15,19.19,22.15,59.12,,359.09,1.99,225.1,31-Jan-2020 - 00:00,"Sion, Mumbai - MPCB"
31-Jan-2020 - 00:00,62.68,235.74,96.29,71.67,163.58,10.41,12.77,1.19,36.75,14.48,43.38,22.09,22.48,64.53,,367.9,2.11,257.12,01-Feb-2020 - 00:00,"Sion, Mumbai - MPCB"
01-Feb-2020 - 00:00,73.65,279.74,109.17,113.84,204.17,11.59,12.82,1.55,26.53,14.76,44.37,22.78,23.28,67.43,,350.84,1.48,212.18,02-Feb-2020 - 00:00,"Sion, Mumbai - MPCB"
02-Feb-2020 - 00:00,66.88,255.27,72.49,104.0,162.24,24.48,14.15,1.35,38.27,17.87,50.51,24.91,24.82,69.73,,375.99,1.52,184.64,03-Feb-2020 - 00:00,"Sion, Mumbai - MPCB"
03-Feb-2020 - 00:00,66.72,238.31,81.89,66.64,148.53,37.2,9.98,1.33,32.12,15.8,45.08,20.95,23.95,79.74,,308.53,1.6,232.72,04-Feb-2020 - 00:00,"Sion, Mumbai - MPCB"
