from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,220.85,349.1,80.76,57.94,82.45,51.1,14.55,1.44,17.17,,,,,,9.86,1.78,223.52,74.56,740.26,78.9,0.0,02-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-Jan-2020 - 00:00,131.68,207.79,119.52,54.34,107.78,40.47,14.93,0.75,12.96,,,,,,17.14,1.11,112.13,64.33,740.0,23.93,0.0,04-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-Jan-2020 - 00:00,200.25,254.09,88.26,42.68,81.64,48.23,17.5,0.67,19.32,,,,,,14.6,1.63,120.86,74.82,739.6,58.33,0.0,05-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-Jan-2020 - 00:00,188.36,239.84,75.36,8.48,45.42,49.94,26.92,0.62,23.96,,,,,,13.96,2.57,85.73,71.17,740.07,64.71,0.0,06-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-Jan-2020 - 00:00,149.96,175.98,73.81,8.69,45.73,48.75,13.41,0.57,13.72,,,,,,12.92,2.16,122.16,85.94,740.25,34.22,0.03,07-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-Jan-2020 - 00:00,61.38,110.74,41.82,2.96,22.97,34.6,11.49,0.56,16.07,,,,,,14.22,2.35,238.46,90.36,740.24,47.62,0.01,08-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-Jan-2020 - 00:00,52.76,90.83,43.86,5.29,26.56,31.7,7.19,0.62,15.92,,,,,,12.86,1.96,184.81,95.5,740.24,33.7,0.82,09-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-Jan-2020 - 00:00,98.15,129.37,36.76,6.25,20.87,23.68,7.36,0.36,17.46,,,,,,10.02,2.68,102.75,90.9,740.33,41.42,0.01,10-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-Jan-2020 - 00:00,108.92,135.17,39.46,5.9,25.79,27.23,6.02,0.6,21.51,,,,,,10.98,2.94,91.72,68.54,740.0,67.93,0.0,11-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-Jan-2020 - 00:00,176.71,212.64,67.93,8.37,40.42,37.68,14.46,0.72,23.57,,,,,,12.02,2.1,106.84,76.25,740.3,68.31,0.0,12-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-Jan-2020 - 00:00,309.43,364.87,90.81,18.11,57.02,49.12,14.81,1.67,20.11,,,,,,13.85,1.35,200.15,69.94,740.31,66.11,0.0,13-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-Jan-2020 - 00:00,247.36,312.35,70.35,6.06,40.62,54.18,9.78,1.42,15.54,,,,,,11.93,2.72,260.68,87.27,740.16,50.56,0.04,14-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
14-Jan-2020 - 00:00,158.22,247.38,58.55,12.82,39.9,37.92,8.8,1.02,14.78,,,,,,12.4,2.01,113.13,91.07,740.2,45.39,0.0,15-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
15-Jan-2020 - 00:00,109.2,175.13,43.13,9.73,30.57,37.64,8.2,0.54,14.72,,,,,,11.64,2.17,119.32,83.84,740.21,51.53,0.01,16-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
