from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,WS,WD,RH,BP,SR,RF,to date,station
16-Jan-2020 - 00:00,104.54,163.93,36.22,10.77,28.01,37.94,7.73,0.69,11.55,,,,,,11.61,1.98,138.93,94.25,740.12,41.05,0.17,17-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
17-Jan-2020 - 00:00,52.81,88.02,29.73,6.91,20.68,30.33,8.25,0.31,15.93,,,,,,13.08,2.16,123.11,89.33,740.14,50.18,0.23,18-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
18-Jan-2020 - 00:00,66.02,121.72,37.15,16.08,31.38,29.17,5.65,0.64,13.23,,,,,,11.55,1.59,130.78,91.88,740.17,46.86,0.01,19-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
19-Jan-2020 - 00:00,134.95,233.35,40.91,6.17,26.45,43.37,8.24,0.6,18.62,,,,,,10.36,2.96,83.95,83.34,740.12,59.77,0.01,20-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
20-Jan-2020 - 00:00,157.09,296.22,60.11,11.83,39.73,52.56,9.74,1.11,17.81,,,,,,12.2,2.15,97.61,84.43,740.16,55.02,0.0,21-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
21-Jan-2020 - 00:00,214.12,386.83,81.5,48.78,83.01,60.43,10.58,1.94,10.28,,,,,,11.7,1.19,185.73,93.57,740.0,35.28,0.02,22-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
22-Jan-2020 - 00:00,125.56,200.15,49.24,11.9,33.62,41.93,10.08,0.99,12.07,,,,,,11.15,2.37,91.0,88.54,740.19,51.82,0.01,23-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
23-Jan-2020 - 00:00,62.22,134.84,29.37,3.05,18.11,35.21,9.25,0.45,12.93,,,,,,12.22,3.97,82.83,66.76,739.96,76.82,0.01,24-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
24-Jan-2020 - 00:00,79.81,157.6,44.51,5.08,27.82,43.86,13.25,0.44,11.16,,,,,,13.08,3.67,79.76,57.8,739.81,77.22,0.0,25-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
25-Jan-2020 - 00:00,181.32,342.71,72.88,11.68,48.26,61.73,15.08,0.93,8.11,,,,,,11.71,1.7,157.43,72.03,740.0,64.24,0.0,26-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
26-Jan-2020 - 00:00,138.19,328.5,70.83,18.06,52.35,56.2,13.77,0.98,8.18,,,,,,13.23,2.02,86.13,72.04,740.0,55.27,0.0,27-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
27-Jan-2020 - 00:00,142.52,341.8,75.66,14.5,51.75,63.29,20.14,1.03,8.87,,,,,,14.15,1.71,149.22,78.61,740.0,49.4,0.02,28-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
28-Jan-2020 - 00:00,75.62,156.13,39.96,5.65,22.31,40.26,9.7,0.53,8.92,,,,,,14.23,2.81,223.71,87.41,739.9,32.76,0.31,29-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
29-Jan-2020 - 00:00,39.79,96.5,45.96,13.23,33.65,32.07,8.07,0.44,9.23,,,,,,14.21,2.15,173.22,82.6,740.09,74.88,0.02,30-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
30-Jan-2020 - 00:00,48.49,146.79,37.71,5.64,24.64,29.15,5.88,0.51,12.0,,,,,,13.8,3.23,95.38,69.94,740.0,85.7,0.01,31-Jan-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
31-Jan-2020 - 00:00,51.4,152.98,44.88,11.05,31.84,31.2,7.48,0.57,9.56,,,,,,11.29,2.47,97.18,78.51,740.12,60.74,0.0,01-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
01-Feb-2020 - 00:00,63.09,177.02,50.2,39.44,58.77,29.6,5.94,0.85,4.47,,,,,,7.32,1.34,103.85,94.93,740.0,44.8,0.01,02-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-Feb-2020 - 00:00,78.27,270.08,27.38,3.54,17.47,36.67,11.41,1.35,17.64,,,,,,18.06,0.77,101.46,51.68,740.0,102.5,0.0,06-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-Feb-2020 - 00:00,114.73,204.21,38.49,8.43,27.18,48.39,10.6,1.51,13.02,,,,,,14.69,0.57,90.17,66.31,740.0,76.09,0.0,07-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-Feb-2020 - 00:00,125.5,252.33,48.35,25.64,46.54,46.49,12.18,1.58,11.89,,,,,,15.35,0.53,125.07,63.22,740.0,74.35,0.0,08-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-Feb-2020 - 00:00,120.74,238.83,36.94,6.11,24.62,47.91,8.84,1.58,12.6,,,,,,15.57,0.66,95.86,69.78,739.99,74.02,0.0,09-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-Feb-2020 - 00:00,126.62,232.25,40.75,8.58,28.5,49.31,8.39,1.58,14.16,,,,,,16.2,0.58,88.04,64.71,740.0,74.89,0.01,10-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-Feb-2020 - 00:00,135.59,262.17,40.89,6.78,27.1,53.14,9.25,1.59,14.14,,,,,,16.17,0.61,87.45,65.61,740.0,75.2,0.0,11-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-Feb-2020 - 00:00,150.11,287.0,41.43,6.93,27.15,54.61,13.82,1.64,16.96,,,,,,17.09,0.57,98.72,62.69,739.96,76.93,0.0,12-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-Feb-2020 - 00:00,127.53,290.04,26.11,3.23,16.2,55.07,8.1,1.52,14.71,,,,,,18.1,0.78,79.99,66.48,740.0,73.7,0.0,13-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-Feb-2020 - 00:00,70.4,160.43,14.53,1.69,9.09,45.31,9.78,1.28,13.18,,,,,,20.02,0.88,78.29,67.84,739.98,78.19,0.0,14-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
14-Feb-2020 - 00:00,63.4,126.6,13.22,1.37,8.14,44.15,6.66,1.13,11.69,,,,,,16.88,0.79,81.6,81.4,740.0,22.0,0.0,15-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
15-Feb-2020 - 00:00,101.85,238.35,38.42,7.51,25.77,50.39,11.64,1.59,14.57,,,,,,21.0,0.64,87.24,51.91,739.94,36.29,0.0,16-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
16-Feb-2020 - 00:00,139.28,269.17,42.17,14.59,34.31,61.71,11.23,1.72,13.0,,,,,,19.53,0.58,92.28,62.57,739.98,77.85,0.0,17-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
17-Feb-2020 - 00:00,122.66,266.92,30.07,4.72,19.83,55.15,12.69,1.54,15.88,,,,,,20.04,0.72,80.83,58.68,739.99,79.44,0.0,18-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
18-Feb-2020 - 00:00,109.28,252.12,24.4,13.37,23.82,56.03,19.12,1.52,16.24,,,,,,19.67,0.71,76.41,51.76,739.88,80.59,0.0,19-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
19-Feb-2020 - 00:00,164.54,341.78,18.47,18.64,23.68,71.21,16.94,1.79,15.68,,,,,,19.94,0.64,272.79,57.93,740.0,72.91,0.0,20-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
20-Feb-2020 - 00:00,129.21,247.58,8.58,2.37,5.55,57.94,15.93,1.63,21.25,,,,,,20.99,0.8,261.6,66.28,740.0,69.39,0.1,21-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
21-Feb-2020 - 00:00,18.81,32.95,12.22,2.21,11.19,32.27,6.04,1.2,17.97,,,,,,17.36,0.85,216.52,84.27,740.05,38.48,0.62,22-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
22-Feb-2020 - 00:00,47.96,141.35,63.65,45.64,66.81,38.77,11.48,1.53,12.6,,,,,,20.69,0.52,181.71,66.93,740.05,80.09,0.0,23-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
23-Feb-2020 - 00:00,70.41,151.04,39.43,13.83,29.46,35.75,14.36,1.51,14.09,,,,,,21.22,0.53,140.62,68.28,739.83,80.45,0.0,24-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
24-Feb-2020 - 00:00,48.49,104.54,36.24,10.09,27.01,29.65,10.76,1.65,11.56,,,,,,20.73,0.59,114.92,64.39,739.86,90.93,0.0,25-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
25-Feb-2020 - 00:00,126.15,253.26,55.41,19.28,45.14,51.18,19.09,2.07,13.98,,,,,,21.01,0.49,184.15,72.94,739.79,100.03,0.0,26-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
26-Feb-2020 - 00:00,102.36,214.76,43.15,8.33,29.71,48.87,13.38,1.8,13.23,,,,,,20.65,0.58,222.5,75.89,740.0,77.36,0.0,27-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
27-Feb-2020 - 00:00,122.88,211.19,25.49,5.14,17.75,46.95,8.62,1.86,15.3,,,,,,20.68,0.57,267.88,79.01,739.58,75.03,0.0,28-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
28-Feb-2020 - 00:00,103.07,219.24,20.96,4.92,15.14,42.07,10.7,1.8,13.32,,,,,,20.88,0.7,275.43,79.77,739.36,73.59,0.0,29-Feb-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
29-Feb-2020 - 00:00,97.91,164.56,17.42,4.92,13.29,41.23,8.66,1.59,12.28,,,,,,20.39,0.7,242.34,81.24,739.47,63.93,0.57,01-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
01-Mar-2020 - 00:00,44.93,187.55,60.61,57.02,69.05,24.94,10.83,1.65,11.64,,,,,,22.76,0.47,164.54,62.65,740.25,87.65,0.0,02-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-Mar-2020 - 00:00,83.89,210.42,55.53,30.44,54.29,40.89,16.34,2.03,11.09,,,,,,23.09,0.48,108.93,64.98,739.54,89.51,0.0,03-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-Mar-2020 - 00:00,87.25,218.83,48.62,17.8,40.33,37.68,15.19,1.74,12.23,,,,,,23.01,0.54,112.77,60.78,739.59,96.29,0.0,04-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-Mar-2020 - 00:00,92.09,182.73,40.72,29.18,45.39,36.97,11.15,1.78,15.13,,,,,,22.53,0.58,188.76,62.07,739.61,87.38,0.15,05-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-Mar-2020 - 00:00,36.92,87.24,27.43,5.22,16.86,26.53,16.93,1.35,13.53,,,,,,21.75,0.74,225.66,67.74,740.26,75.36,0.09,06-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-Mar-2020 - 00:00,12.34,95.91,13.3,4.56,8.86,18.75,8.44,1.35,15.78,,,,,,17.88,1.0,240.95,84.44,740.1,70.9,1.27,07-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-Mar-2020 - 00:00,30.14,65.65,27.3,13.17,22.38,20.71,7.3,1.44,10.56,,,,,,19.06,0.64,266.03,79.85,740.17,65.87,0.05,08-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-Mar-2020 - 00:00,45.61,123.29,33.65,25.8,34.75,23.55,9.1,1.42,12.15,,,,,,20.51,0.63,102.27,68.46,740.0,103.74,0.0,09-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-Mar-2020 - 00:00,52.71,117.57,27.41,9.53,16.57,26.39,5.97,0.99,4.21,,,,,,15.47,0.69,79.39,91.39,740.5,27.83,0.0,10-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-Mar-2020 - 00:00,49.29,132.4,28.56,4.49,17.27,26.21,8.98,1.19,17.98,,,,,,24.24,0.94,280.02,58.17,739.48,82.06,0.02,12-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-Mar-2020 - 00:00,64.84,190.55,31.55,6.01,21.67,28.8,7.28,1.32,12.2,,,,,,23.48,0.65,226.05,67.99,739.51,89.29,0.01,13-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-Mar-2020 - 00:00,53.6,131.26,22.1,7.5,17.84,29.28,9.57,1.43,13.2,,,,,,22.42,0.8,233.46,68.01,739.46,108.74,0.03,14-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
14-Mar-2020 - 00:00,20.94,70.0,17.78,7.24,15.34,20.15,7.44,1.31,15.63,,,,,,20.76,0.71,195.85,66.2,740.0,102.04,0.04,15-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
15-Mar-2020 - 00:00,38.71,92.0,28.88,14.48,26.14,23.37,10.79,1.44,12.32,,,,,,19.73,0.52,158.05,67.77,739.25,98.12,0.01,16-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
16-Mar-2020 - 00:00,55.1,133.58,27.57,8.14,21.28,28.18,14.29,1.51,14.04,,,,,,21.44,0.64,96.12,65.39,739.48,99.84,0.0,17-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
17-Mar-2020 - 00:00,67.39,201.96,32.14,7.72,23.37,32.04,20.63,1.61,15.4,,,,,,22.49,0.74,87.2,63.96,739.52,104.78,0.0,18-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
18-Mar-2020 - 00:00,78.1,190.04,35.09,8.35,25.45,34.76,20.43,1.73,15.96,,,,,,23.63,0.73,91.19,61.39,739.6,104.67,0.0,19-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
19-Mar-2020 - 00:00,90.42,209.95,44.67,11.16,32.83,39.85,18.23,1.86,15.08,,,,,,24.47,0.62,93.65,62.28,739.77,101.9,0.0,20-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
20-Mar-2020 - 00:00,105.64,278.07,42.29,13.94,33.82,35.65,24.58,2.53,19.64,,,,,,26.4,0.49,165.38,51.22,740.0,95.43,0.0,21-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
21-Mar-2020 - 00:00,156.26,314.71,52.17,7.5,33.86,49.79,30.68,3.91,15.07,,,,,,26.04,0.54,171.8,59.2,739.96,89.64,0.0,22-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
22-Mar-2020 - 00:00,61.26,121.42,21.07,5.41,15.61,33.6,17.64,1.85,18.02,,,,,,24.95,0.54,148.55,55.04,739.95,97.0,0.0,23-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
23-Mar-2020 - 00:00,73.97,148.72,29.12,6.97,21.16,38.21,26.28,1.5,14.27,,,,,,25.59,0.51,107.22,54.92,740.0,120.77,0.0,24-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
24-Mar-2020 - 00:00,68.07,167.8,27.68,6.09,18.99,39.85,17.16,1.68,12.73,,,,,,26.02,0.52,146.2,55.13,740.0,85.5,0.0,25-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
25-Mar-2020 - 00:00,37.84,92.93,10.0,4.24,8.14,32.04,8.62,2.05,15.47,,,,,,26.99,0.64,113.5,54.03,740.0,107.48,0.0,26-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
26-Mar-2020 - 00:00,42.11,99.21,7.15,4.35,6.76,34.5,12.85,1.87,10.5,,,,,,25.25,0.78,87.0,65.78,740.0,80.65,0.0,27-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
27-Mar-2020 - 00:00,27.29,56.58,6.31,4.36,5.6,30.92,5.53,1.21,9.72,,,,,,23.02,0.67,144.18,77.34,740.0,46.88,0.32,28-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
28-Mar-2020 - 00:00,14.07,33.12,5.12,4.57,4.6,26.47,5.65,1.09,10.31,,,,,,22.85,0.68,116.13,74.26,740.0,100.94,0.0,29-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
29-Mar-2020 - 00:00,24.6,113.88,5.47,4.3,4.45,25.82,7.77,1.23,12.47,,,,,,23.83,0.84,87.83,62.36,740.0,103.28,0.0,30-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
30-Mar-2020 - 00:00,35.69,164.83,7.2,4.3,5.36,28.06,9.15,1.13,16.04,,,,,,24.83,0.79,85.85,54.42,740.0,140.05,0.0,31-Mar-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
31-Mar-2020 - 00:00,37.91,84.74,4.99,4.33,5.04,30.74,9.99,1.16,15.18,,,,,,25.21,0.71,97.69,55.85,740.0,117.15,0.0,01-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
01-Apr-2020 - 00:00,29.03,79.0,4.68,4.25,4.22,25.63,8.54,1.2,15.6,,,,,,27.12,0.64,124.58,46.84,740.0,104.75,0.0,02-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
02-Apr-2020 - 00:00,29.68,83.96,7.91,4.08,4.31,25.71,6.54,1.59,15.34,,,,,,25.37,0.81,95.94,52.59,740.01,120.92,0.0,03-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
03-Apr-2020 - 00:00,30.79,80.12,6.36,4.15,5.35,24.17,9.77,1.13,19.12,,,,,,24.47,0.74,88.57,41.49,740.0,124.31,0.0,04-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
04-Apr-2020 - 00:00,48.19,117.07,10.8,4.25,8.94,33.08,13.5,1.42,16.35,,,,,,25.54,0.69,87.09,43.62,740.0,120.9,0.0,05-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
05-Apr-2020 - 00:00,71.89,146.61,26.69,5.41,15.08,38.45,12.33,2.44,16.19,,,,,,26.85,0.57,118.63,44.22,740.0,113.5,0.0,06-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
06-Apr-2020 - 00:00,74.2,155.28,16.07,4.03,10.24,38.67,12.46,2.32,16.15,,,,,,28.21,0.67,102.78,43.24,740.0,106.99,0.0,07-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
07-Apr-2020 - 00:00,35.18,115.88,4.37,4.06,4.82,29.46,7.1,2.23,15.64,,,,,,26.89,0.79,100.19,45.65,740.0,113.09,0.0,08-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
08-Apr-2020 - 00:00,41.38,121.83,13.76,4.72,8.87,28.47,12.17,1.8,14.36,,,,,,26.52,0.73,96.4,40.89,740.0,115.24,0.0,09-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
09-Apr-2020 - 00:00,65.87,172.05,17.58,4.31,11.8,38.63,15.3,2.25,15.04,,,,,,26.38,0.61,87.84,43.11,740.0,108.56,0.0,10-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
10-Apr-2020 - 00:00,109.55,203.26,21.29,5.99,16.18,57.59,23.98,2.97,9.78,,,,,,24.57,0.53,90.64,52.79,740.0,80.52,0.0,11-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
11-Apr-2020 - 00:00,64.69,167.25,22.58,3.64,10.49,38.68,8.19,1.68,18.72,,,,,,33.06,0.6,119.69,30.44,740.0,130.19,0.0,12-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
12-Apr-2020 - 00:00,54.72,144.87,23.25,4.27,13.77,39.63,10.0,2.18,13.66,,,,,,29.1,0.66,81.07,40.66,740.0,110.07,0.0,13-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
13-Apr-2020 - 00:00,86.95,208.27,29.26,5.26,18.43,52.25,20.48,2.4,13.3,,,,,,30.49,0.61,78.01,37.42,740.03,83.91,0.0,14-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
14-Apr-2020 - 00:00,99.65,299.12,38.76,13.29,28.34,52.19,19.87,2.33,12.79,,,,,,32.77,0.47,148.85,36.21,740.0,96.17,0.0,15-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
15-Apr-2020 - 00:00,101.12,306.9,27.91,3.79,16.57,47.43,13.77,2.32,14.54,,,,,,32.39,0.56,235.36,37.43,740.02,81.12,0.0,16-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
16-Apr-2020 - 00:00,123.8,324.48,42.84,7.13,23.71,54.09,18.26,2.33,13.87,,,,,,32.18,0.52,141.76,37.15,740.0,92.23,0.0,17-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
17-Apr-2020 - 00:00,42.41,180.99,23.04,3.82,13.36,37.21,8.72,1.91,15.5,,,,,,30.97,0.68,159.65,33.45,740.0,93.33,0.0,18-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
18-Apr-2020 - 00:00,18.99,88.57,7.44,3.58,5.92,29.36,3.62,1.84,16.21,,,,,,29.36,0.74,204.64,40.21,740.02,94.85,0.02,19-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
19-Apr-2020 - 00:00,27.56,86.09,33.49,8.14,22.66,32.73,6.33,1.55,14.4,,,,,,29.19,0.56,138.86,42.57,740.14,111.26,0.18,20-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
20-Apr-2020 - 00:00,70.56,224.51,39.28,12.67,29.73,43.45,13.34,2.32,12.79,,,,,,28.73,0.59,154.17,41.82,740.0,94.99,0.0,21-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
21-Apr-2020 - 00:00,45.62,116.79,21.79,4.16,12.79,34.62,13.19,2.01,15.04,,,,,,27.69,0.55,101.28,45.2,740.0,106.78,0.0,22-Apr-2020 - 00:00,"Pallavpuram Phase 2, Meerut - UPPCB"
