from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,SR,RH,RF,WS,WD,to date,station
05-Feb-2020 - 00:00,42.67,70.31,83.74,85.94,2.19,,8.78,0.31,44.76,0.0,0.0,0.03,0.0,27.3,192.69,68.99,0.0,7.63,264.1,06-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Feb-2020 - 00:00,42.09,56.22,63.54,65.62,1.81,18.84,9.65,0.27,47.5,0.01,0.0,0.03,0.0,27.24,219.14,66.01,0.0,6.32,256.74,07-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Feb-2020 - 00:00,37.91,49.63,56.66,57.55,0.94,20.9,8.5,0.22,50.08,0.01,0.0,0.01,0.0,26.59,201.18,73.72,0.0,6.83,199.88,08-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Feb-2020 - 00:00,35.03,45.35,46.01,46.72,0.7,,7.55,0.16,52.94,0.0,0.0,0.0,0.0,27.1,225.85,74.78,0.0,7.15,180.36,09-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Feb-2020 - 00:00,26.85,33.58,37.73,38.24,0.53,,6.54,0.09,47.72,0.0,0.0,0.0,0.0,26.86,209.26,70.12,0.0,8.09,258.03,10-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Feb-2020 - 00:00,36.67,46.53,30.14,30.54,0.4,,9.36,0.2,50.44,0.0,0.0,0.01,0.0,26.8,181.63,69.1,0.0,9.38,268.4,11-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Feb-2020 - 00:00,32.57,48.35,21.62,20.92,0.93,1.59,11.57,0.41,48.4,0.0,0.0,0.0,0.0,26.76,211.96,67.6,0.0,10.97,263.35,12-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Feb-2020 - 00:00,36.45,50.5,22.29,22.57,0.28,0.71,13.06,0.61,43.92,0.0,0.0,0.0,0.0,27.01,216.75,66.85,0.0,10.14,260.56,13-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Feb-2020 - 00:00,47.17,59.64,33.13,33.59,0.47,,11.45,0.62,56.32,0.0,0.0,0.01,0.0,27.48,207.18,67.14,0.0,7.66,264.88,14-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Feb-2020 - 00:00,46.01,58.66,42.03,42.68,0.64,,14.21,0.81,55.64,0.01,0.0,0.02,0.0,27.97,242.34,57.17,0.0,5.17,211.04,15-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Feb-2020 - 00:00,55.0,65.84,42.57,43.2,0.63,,14.06,0.78,77.69,0.01,0.0,0.01,0.0,28.05,232.57,56.84,0.0,5.77,230.05,16-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Feb-2020 - 00:00,42.9,48.48,34.84,35.32,0.46,,13.11,0.66,73.73,0.0,0.0,0.0,0.0,27.7,244.03,54.36,0.0,7.16,258.71,17-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Feb-2020 - 00:00,35.95,48.92,28.89,29.24,0.37,,12.26,0.69,59.59,0.0,0.0,0.0,0.0,26.89,252.97,56.03,0.0,7.81,257.47,18-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Feb-2020 - 00:00,41.44,54.44,28.09,28.47,0.37,,14.62,0.73,60.73,0.0,0.0,0.0,0.0,26.56,251.95,56.44,0.0,8.39,250.54,19-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Feb-2020 - 00:00,48.48,62.63,29.72,30.1,0.38,,14.93,0.7,64.75,0.0,0.0,0.0,0.0,26.68,243.39,54.63,0.0,7.98,249.56,20-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Feb-2020 - 00:00,45.37,51.91,16.69,16.95,0.23,0.25,11.32,0.55,44.1,0.0,0.01,0.0,0.0,23.63,250.77,74.39,0.0,10.29,252.59,21-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Feb-2020 - 00:00,24.55,31.05,23.66,23.88,0.37,7.04,13.3,1.03,55.21,0.0,0.0,0.0,0.0,30.16,334.64,43.58,0.0,11.31,270.89,22-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Feb-2020 - 00:00,34.34,42.11,29.11,29.45,0.32,,12.56,0.88,39.52,0.0,0.0,0.0,0.0,27.64,192.32,58.63,0.0,9.9,263.4,23-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Feb-2020 - 00:00,41.98,44.7,30.42,30.72,0.32,,9.56,0.92,57.69,0.0,0.0,0.0,0.0,27.15,197.21,59.57,0.0,9.45,267.05,24-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Feb-2020 - 00:00,51.37,66.0,32.1,32.46,0.34,,11.07,0.97,60.27,0.0,0.0,0.0,0.0,27.61,243.81,60.7,0.0,8.94,259.29,25-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Feb-2020 - 00:00,43.17,80.87,37.57,38.04,0.47,,8.87,1.04,59.27,0.01,0.0,0.0,0.0,28.04,246.04,54.78,0.0,7.51,232.55,26-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Feb-2020 - 00:00,40.15,56.65,28.15,28.47,0.34,,9.1,0.92,48.3,0.01,0.0,0.0,0.0,27.95,241.86,52.39,0.0,8.69,260.07,27-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Feb-2020 - 00:00,39.34,53.41,31.01,31.36,0.36,,10.78,0.83,63.17,0.0,0.0,0.0,0.0,28.76,240.16,45.97,0.0,8.63,258.51,28-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Feb-2020 - 00:00,36.29,50.31,21.99,22.22,0.23,,8.88,0.77,56.42,0.0,0.0,0.0,0.0,28.2,236.63,49.65,0.0,9.63,265.5,29-Feb-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Feb-2020 - 00:00,43.3,53.66,31.4,31.81,0.41,,8.83,0.93,56.89,0.0,0.0,0.0,0.0,27.99,191.83,51.81,0.0,7.78,255.93,01-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Mar-2020 - 00:00,33.77,42.26,32.92,33.35,0.43,,7.63,0.8,57.63,0.0,0.0,0.0,0.0,28.47,239.5,49.51,0.0,8.38,243.91,02-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Mar-2020 - 00:00,36.9,50.84,37.96,38.46,0.5,,8.35,0.84,61.25,0.0,0.0,0.0,0.0,28.37,242.19,54.83,0.0,7.0,199.24,03-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Mar-2020 - 00:00,46.02,56.57,36.89,37.36,0.48,,9.24,0.8,68.52,0.0,0.0,0.0,0.0,28.42,226.21,55.32,0.0,7.71,160.31,04-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Mar-2020 - 00:00,44.71,58.12,41.28,41.86,0.59,,8.34,0.74,49.68,0.0,0.0,0.0,0.0,28.87,210.94,61.78,0.0,7.2,116.75,05-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Mar-2020 - 00:00,44.38,54.69,36.0,36.42,0.49,,6.73,0.82,27.12,0.0,0.0,0.01,0.0,25.82,22.47,78.96,0.0,7.33,95.87,06-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Mar-2020 - 00:00,32.19,53.24,41.58,42.2,0.61,,8.14,0.58,42.55,0.0,0.0,0.05,0.0,30.06,94.85,48.26,0.0,9.16,84.78,07-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Mar-2020 - 00:00,42.71,55.98,42.93,43.59,0.67,,8.88,0.55,33.61,0.0,0.0,0.0,0.0,29.07,223.4,54.85,0.0,7.06,103.51,08-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Mar-2020 - 00:00,30.0,38.62,40.94,41.54,0.59,,7.56,0.54,37.87,0.0,0.0,0.0,0.0,28.7,194.25,59.82,0.0,6.04,215.85,09-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Mar-2020 - 00:00,31.77,47.91,37.49,38.0,0.52,,8.57,0.67,41.28,0.0,0.0,0.0,0.0,28.95,210.17,60.25,0.0,6.86,193.36,10-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Mar-2020 - 00:00,28.87,47.08,36.7,37.23,0.5,,7.94,0.75,42.4,0.0,0.0,0.0,0.0,29.08,247.39,54.57,0.0,7.2,211.62,11-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Mar-2020 - 00:00,32.85,61.24,39.74,40.32,0.59,,7.55,0.75,41.82,0.0,0.0,0.0,0.0,28.84,233.93,57.91,0.0,6.16,195.19,12-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Mar-2020 - 00:00,36.38,60.28,40.45,41.05,0.6,,7.8,0.82,39.68,0.0,0.0,0.0,0.0,28.63,244.44,58.56,0.0,6.76,187.58,13-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Mar-2020 - 00:00,36.06,61.97,40.28,40.91,0.64,9.19,9.4,0.77,33.54,0.0,0.0,0.0,0.0,29.03,254.39,50.71,0.0,7.07,251.33,14-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Mar-2020 - 00:00,32.41,54.62,56.41,57.23,0.86,,8.92,0.69,41.25,0.0,0.0,0.0,0.0,29.66,268.02,44.32,0.0,7.33,243.87,15-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Mar-2020 - 00:00,37.86,51.13,53.53,54.28,0.74,,10.87,0.65,49.21,0.0,0.0,0.0,0.0,28.96,220.1,50.47,0.0,7.43,249.61,16-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Mar-2020 - 00:00,36.0,73.05,47.2,46.81,0.61,9.38,9.94,0.73,36.28,0.0,0.0,0.0,0.0,29.53,236.21,49.73,0.0,8.09,262.28,17-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Mar-2020 - 00:00,28.98,44.81,37.85,38.23,0.36,3.27,8.92,0.56,33.84,0.0,0.0,0.0,0.0,29.22,210.45,50.26,0.0,10.1,263.31,18-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Mar-2020 - 00:00,32.14,46.75,47.4,48.03,0.63,,9.27,0.77,39.36,0.0,0.0,0.01,0.0,29.58,269.82,47.84,0.0,9.3,242.8,19-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Mar-2020 - 00:00,39.42,48.06,71.3,72.37,1.06,,7.72,0.85,33.35,0.0,0.0,0.0,0.0,29.74,249.8,54.56,0.0,6.47,200.65,20-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Mar-2020 - 00:00,44.75,59.92,61.59,62.45,0.85,,6.99,0.8,36.45,0.0,0.0,0.01,0.0,28.61,205.64,62.72,0.0,9.32,98.67,21-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Mar-2020 - 00:00,36.41,44.9,60.04,44.15,0.85,,6.88,0.66,28.57,0.0,0.0,0.0,0.0,30.0,289.54,53.58,0.0,6.56,180.43,22-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Mar-2020 - 00:00,-4.1,1.6,39.65,20.13,1.45,7.07,8.2,0.98,22.35,0.0,0.0,0.0,0.0,25.91,23.69,69.77,0.0,9.53,134.7,24-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Mar-2020 - 00:00,23.64,26.46,53.76,54.33,0.59,,7.73,0.82,33.98,0.0,0.0,0.0,0.0,29.32,255.1,58.81,0.0,6.22,212.3,25-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Mar-2020 - 00:00,30.44,30.02,59.1,59.71,0.61,,7.02,0.59,37.26,0.0,0.03,0.0,0.0,29.1,241.13,57.45,0.0,6.26,211.69,26-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Mar-2020 - 00:00,26.74,28.55,54.06,54.58,0.51,,7.27,0.55,39.74,0.0,0.04,0.0,0.0,29.36,230.43,52.17,0.0,7.46,259.87,27-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Mar-2020 - 00:00,23.79,25.72,56.19,56.73,0.55,,7.15,0.57,40.42,0.0,0.01,0.0,0.0,29.55,266.45,50.15,0.0,7.2,236.2,28-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Mar-2020 - 00:00,27.26,29.78,61.63,62.26,0.63,,7.75,0.58,39.56,0.0,0.04,0.0,0.0,29.83,274.27,53.1,0.0,6.86,223.07,29-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Mar-2020 - 00:00,29.07,29.41,66.59,67.34,0.75,,6.76,0.6,37.09,0.0,0.03,0.0,0.0,29.87,283.09,55.58,0.0,6.36,174.83,30-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-Mar-2020 - 00:00,28.47,29.83,65.67,66.39,0.73,,7.14,0.61,38.06,0.0,0.04,0.0,0.0,30.29,280.6,55.81,0.0,6.69,199.01,31-Mar-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
31-Mar-2020 - 00:00,27.25,28.25,67.44,68.22,0.77,,8.83,0.58,46.84,0.0,0.03,0.0,0.0,30.58,283.94,46.57,0.0,6.32,245.85,01-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Apr-2020 - 00:00,34.87,32.87,55.74,56.3,0.57,,8.7,0.62,49.71,0.0,0.04,0.0,0.0,30.12,283.59,49.15,0.0,8.39,243.4,02-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Apr-2020 - 00:00,34.53,34.86,67.15,67.88,0.74,,6.62,0.6,44.12,0.0,0.05,0.0,0.0,30.57,274.69,52.23,0.0,6.88,200.11,03-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Apr-2020 - 00:00,34.54,33.09,66.37,67.13,0.75,,6.27,0.56,42.31,0.0,0.03,0.0,0.0,30.19,271.96,58.17,0.0,7.38,180.07,04-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Apr-2020 - 00:00,24.82,25.99,66.75,67.52,0.77,,6.12,0.56,42.06,0.0,0.02,0.0,0.0,30.49,279.72,54.31,0.0,6.31,203.44,05-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Apr-2020 - 00:00,22.93,25.48,63.24,63.96,0.73,,6.03,0.56,31.91,0.0,0.02,0.01,0.0,29.25,225.03,65.9,0.0,6.7,180.07,06-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Apr-2020 - 00:00,22.41,24.4,61.16,61.86,0.7,,6.39,0.57,40.59,0.0,0.08,0.0,0.0,29.55,246.62,65.25,0.0,7.28,110.9,07-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Apr-2020 - 00:00,14.61,15.75,62.35,63.06,0.71,,5.94,0.52,21.31,0.0,0.05,0.0,0.0,25.63,144.17,83.62,0.0,7.93,96.18,08-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Apr-2020 - 00:00,20.74,22.03,59.16,59.8,0.64,,6.14,0.57,23.19,0.0,0.07,0.0,0.0,27.6,267.02,72.03,0.0,8.03,111.61,09-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Apr-2020 - 00:00,21.08,22.51,62.06,62.8,0.77,2.08,6.3,0.52,22.26,0.0,0.06,0.0,0.0,28.59,271.26,67.88,0.0,7.9,121.85,10-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Apr-2020 - 00:00,10.43,11.77,66.27,67.1,0.83,,5.77,0.54,32.53,0.0,0.04,0.0,0.0,28.02,229.41,59.36,0.0,7.36,220.02,11-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Apr-2020 - 00:00,18.37,20.02,64.68,65.47,0.79,,6.46,0.58,22.06,0.0,0.03,0.0,0.0,29.61,264.17,56.22,0.0,7.91,244.13,12-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Apr-2020 - 00:00,30.24,95.42,72.62,73.54,0.95,,6.12,0.62,22.77,0.0,0.06,0.0,0.0,29.95,270.9,53.7,0.0,5.95,244.13,13-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Apr-2020 - 00:00,32.97,36.29,77.73,78.78,1.06,,6.32,0.65,23.41,0.0,0.06,0.0,0.0,30.17,282.89,53.57,0.0,5.22,201.68,14-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Apr-2020 - 00:00,32.03,33.73,78.0,79.08,1.07,,6.49,0.63,23.63,0.0,0.07,0.0,0.0,30.58,282.04,52.71,0.0,6.09,197.29,15-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Apr-2020 - 00:00,21.32,22.56,73.1,74.08,0.97,,6.08,0.6,19.83,0.0,0.06,0.0,0.0,30.32,258.92,59.91,0.0,6.44,177.25,16-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Apr-2020 - 00:00,24.41,26.4,75.73,76.74,1.02,,6.07,0.64,20.09,0.0,0.05,0.0,0.0,30.22,265.78,64.07,0.0,6.6,147.85,17-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Apr-2020 - 00:00,28.46,31.05,75.59,76.63,1.03,,6.01,0.65,20.94,0.0,0.02,0.0,0.0,30.47,245.98,63.76,0.0,6.22,140.34,18-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Apr-2020 - 00:00,26.81,28.97,73.68,74.69,1.0,,6.15,0.66,19.47,0.0,0.04,0.0,0.0,30.37,224.5,64.95,0.0,6.8,132.91,19-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Apr-2020 - 00:00,23.08,24.26,78.18,79.24,1.08,,6.76,0.68,19.78,0.0,0.02,0.0,0.0,30.63,211.08,60.92,0.0,6.5,185.72,20-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Apr-2020 - 00:00,18.75,20.88,69.78,70.72,0.93,,6.81,0.68,16.94,0.0,0.02,0.0,0.0,30.75,250.85,59.06,0.0,7.59,237.77,21-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Apr-2020 - 00:00,17.91,20.58,74.06,75.08,1.03,,6.98,0.69,17.42,0.0,0.01,0.0,0.0,30.71,255.19,63.37,0.0,6.53,192.75,22-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Apr-2020 - 00:00,21.6,25.28,70.46,71.42,0.94,,7.26,0.7,20.01,0.0,0.01,0.0,0.0,29.94,262.63,66.2,0.0,7.58,109.98,23-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Apr-2020 - 00:00,18.48,21.91,67.09,67.94,0.86,,7.07,0.73,22.19,0.0,0.0,0.0,0.0,29.91,252.61,68.21,0.0,8.0,109.52,24-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Apr-2020 - 00:00,25.14,28.3,70.74,71.65,0.93,,6.34,0.77,19.29,0.0,0.0,0.0,0.0,29.99,215.04,70.8,0.0,8.53,101.49,25-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Apr-2020 - 00:00,23.61,27.38,47.49,48.22,0.74,1.6,6.46,0.75,23.27,0.0,0.0,0.0,0.0,29.78,244.66,65.83,0.0,10.57,74.25,26-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Apr-2020 - 00:00,23.89,31.17,40.85,41.8,0.91,6.73,6.4,0.84,23.46,0.0,0.01,0.0,0.0,28.62,187.14,64.16,0.0,6.69,184.21,27-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Apr-2020 - 00:00,21.58,25.37,27.41,28.09,0.69,,6.28,0.85,23.96,0.0,0.0,0.0,0.0,29.2,292.81,69.64,0.0,7.26,118.36,28-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Apr-2020 - 00:00,2.82,,49.49,50.61,1.52,15.9,6.06,1.48,27.97,0.0,0.01,0.0,0.0,29.39,239.45,70.88,0.0,5.6,144.3,30-Apr-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-Apr-2020 - 00:00,19.7,21.11,32.59,33.3,0.72,,5.94,1.53,18.11,0.0,0.03,0.0,0.0,28.78,280.38,68.76,0.0,7.23,111.84,01-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-May-2020 - 00:00,19.77,22.85,39.08,39.88,0.81,,6.44,1.48,18.92,0.0,0.0,0.0,0.0,28.98,262.04,69.86,0.0,7.68,105.48,02-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-May-2020 - 00:00,25.11,28.63,37.07,37.88,0.8,1.82,6.35,1.46,17.05,0.0,0.0,0.0,0.0,29.08,245.54,76.36,0.0,9.42,85.46,03-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-May-2020 - 00:00,25.13,26.07,41.63,42.52,0.9,,6.32,1.49,20.28,0.0,0.02,0.0,0.0,30.1,251.2,75.69,0.0,7.16,120.25,04-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-May-2020 - 00:00,29.01,31.9,43.25,44.17,0.93,,6.09,1.53,20.66,0.0,0.01,0.0,0.0,30.33,248.5,78.77,0.0,6.73,109.38,05-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-May-2020 - 00:00,30.92,34.45,44.15,45.07,0.95,,6.06,1.48,23.06,0.0,0.02,0.0,0.0,30.26,233.18,78.25,0.0,6.41,141.41,06-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-May-2020 - 00:00,23.43,26.12,33.78,34.48,0.73,,6.14,1.41,27.45,0.0,0.01,0.0,0.0,29.53,269.25,77.23,0.0,8.03,100.59,07-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-May-2020 - 00:00,23.76,29.61,39.25,40.09,0.86,,6.24,1.4,22.3,0.0,0.03,0.0,0.0,29.24,251.28,80.8,0.0,8.04,93.88,08-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-May-2020 - 00:00,25.97,30.22,44.52,45.47,0.98,,6.49,1.42,18.89,0.0,0.04,0.0,0.0,28.99,209.1,84.98,0.0,6.73,113.29,09-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-May-2020 - 00:00,28.98,35.5,34.43,39.17,0.98,9.65,6.33,0.9,21.74,0.0,0.05,0.0,0.0,30.61,219.95,74.16,0.0,6.03,157.32,10-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-May-2020 - 00:00,23.75,28.32,7.41,6.72,,12.0,6.22,0.08,16.62,0.0,0.04,0.0,0.0,31.49,259.65,68.49,0.0,6.12,177.29,11-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-May-2020 - 00:00,32.42,40.51,,,,18.7,5.84,0.07,13.95,0.0,0.02,0.0,0.0,30.7,316.92,69.74,0.0,7.06,206.97,12-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-May-2020 - 00:00,4.29,7.94,10.02,0.27,,12.27,6.32,0.66,26.27,0.0,0.03,0.0,0.0,32.12,269.77,42.78,0.0,9.2,118.69,14-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-May-2020 - 00:00,18.75,25.24,21.72,9.1,,4.65,5.85,0.89,23.5,0.0,0.01,0.0,0.0,30.23,251.04,70.95,0.0,7.22,145.24,15-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-May-2020 - 00:00,27.11,36.87,22.79,12.98,,7.03,5.86,0.84,21.65,0.0,0.01,0.0,0.0,29.05,247.15,68.75,0.0,10.04,77.06,16-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-May-2020 - 00:00,20.27,25.23,15.24,7.87,,6.45,5.69,0.87,24.9,0.0,0.0,0.0,0.0,27.97,192.92,79.34,0.0,10.41,74.56,17-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-May-2020 - 00:00,18.02,32.43,23.67,14.7,,8.74,5.87,0.88,23.87,0.0,0.0,0.0,0.0,27.38,212.44,78.9,0.0,10.49,90.2,18-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-May-2020 - 00:00,17.67,20.94,16.66,12.32,,9.28,6.04,0.96,27.19,0.0,0.0,0.0,0.0,24.99,137.73,82.21,0.0,12.68,75.54,19-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-May-2020 - 00:00,30.53,38.93,8.09,3.4,,11.95,5.95,0.95,17.0,0.0,0.0,0.0,0.0,27.31,221.04,77.77,0.0,15.84,72.08,20-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-May-2020 - 00:00,25.06,36.68,22.51,30.33,,8.07,5.85,0.91,18.18,0.0,0.0,0.0,0.0,28.25,260.28,72.04,0.0,16.04,70.26,21-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-May-2020 - 00:00,13.83,21.09,54.87,43.38,,,5.36,0.81,13.76,0.0,0.0,0.0,0.0,28.08,313.4,72.44,0.0,13.67,72.6,22-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-May-2020 - 00:00,6.93,11.46,36.62,24.99,,4.55,7.23,1.09,19.42,0.0,0.0,0.03,0.0,30.4,305.5,39.22,0.0,15.21,68.47,23-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-May-2020 - 00:00,21.08,39.45,47.45,35.9,,0.23,6.61,0.95,15.53,0.0,0.0,0.01,0.0,29.25,233.31,37.67,0.0,13.66,66.65,24-May-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
