from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,SR,RH,RF,WS,WD,to date,station
19-Oct-2020 - 00:00,25.67,35.53,23.19,23.22,0.1,7.77,6.79,0.5,14.19,0.0,0.0,0.0,0.0,26.33,218.1,83.42,0.0,7.19,241.83,20-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Oct-2020 - 00:00,25.49,32.54,24.55,24.59,0.07,7.46,6.64,0.49,11.55,0.0,0.0,0.01,0.0,25.15,201.09,88.97,0.0,8.67,243.36,21-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Oct-2020 - 00:00,25.02,45.24,21.25,21.72,0.08,7.84,6.8,0.51,12.63,0.0,0.0,0.01,0.0,24.85,199.17,75.77,0.0,9.85,241.14,22-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Oct-2020 - 00:00,40.15,81.72,19.56,19.51,0.08,8.2,7.05,0.48,14.26,0.0,0.0,0.0,0.0,24.92,202.85,86.77,0.0,12.09,245.5,23-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Oct-2020 - 00:00,23.43,35.52,13.87,14.07,,1.93,7.12,0.44,9.58,0.0,0.0,0.01,0.0,24.93,212.2,86.03,0.0,10.98,243.98,24-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Oct-2020 - 00:00,19.51,27.61,15.86,16.22,,1.5,6.81,0.38,11.19,0.0,0.0,0.0,0.0,26.14,245.56,79.32,0.0,10.3,242.1,25-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Oct-2020 - 00:00,20.56,28.42,18.12,17.97,,1.1,6.84,0.36,11.09,0.0,0.0,0.0,0.0,25.98,236.42,79.37,0.0,6.76,225.76,26-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Oct-2020 - 00:00,24.18,28.51,18.94,18.79,,0.02,6.55,0.4,11.03,0.0,0.0,0.0,0.0,26.71,232.94,83.55,0.0,4.97,216.48,27-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Oct-2020 - 00:00,42.37,65.5,22.55,22.41,,0.22,6.4,0.58,15.53,0.0,0.0,0.0,0.0,27.37,161.27,79.23,0.0,3.36,195.27,28-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Oct-2020 - 00:00,49.75,58.82,23.48,23.33,,,5.39,0.79,17.43,0.0,0.0,0.0,0.0,27.4,187.47,76.63,0.0,3.52,181.07,29-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Oct-2020 - 00:00,53.63,64.32,24.09,23.93,,,5.72,0.85,17.88,0.0,0.0,0.0,0.0,27.96,223.45,67.16,0.0,3.68,157.41,30-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-Oct-2020 - 00:00,42.99,49.44,25.96,25.8,,,6.75,0.72,23.44,0.0,0.0,0.0,0.0,27.74,228.04,61.2,0.0,3.62,138.61,31-Oct-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
31-Oct-2020 - 00:00,55.02,57.96,22.11,21.93,,,6.57,1.16,28.11,0.0,0.0,0.01,0.0,27.96,210.08,66.18,0.0,4.43,213.66,01-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Nov-2020 - 00:00,48.53,52.73,23.2,23.0,,0.22,6.27,0.65,20.84,0.0,0.0,0.0,0.0,27.3,183.86,72.83,0.0,4.34,181.48,02-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Nov-2020 - 00:00,50.0,54.28,21.21,21.01,,0.7,7.14,0.59,17.91,0.0,0.0,0.0,0.0,27.34,208.64,73.24,0.0,5.29,212.92,03-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Nov-2020 - 00:00,64.08,65.36,26.22,26.01,,,7.09,0.97,20.91,0.0,0.0,0.0,0.0,26.63,172.39,76.06,0.0,3.9,161.64,04-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Nov-2020 - 00:00,35.47,49.46,24.55,24.31,,4.86,6.8,0.87,15.22,0.0,0.0,0.0,0.0,27.42,203.78,74.91,0.0,3.72,173.16,05-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Nov-2020 - 00:00,31.21,38.23,18.8,18.57,,1.32,6.87,0.76,10.57,0.0,0.0,0.0,0.0,25.86,168.07,79.74,0.0,2.58,164.05,06-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Nov-2020 - 00:00,26.57,32.99,20.19,19.97,,,7.17,0.8,4.12,0.0,0.0,0.0,0.0,26.18,158.23,80.01,0.0,3.14,238.83,07-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Nov-2020 - 00:00,38.13,44.41,17.62,17.4,,1.09,7.16,0.84,6.21,0.0,0.0,0.0,0.0,27.09,209.08,75.87,0.0,5.12,251.22,08-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Nov-2020 - 00:00,24.03,36.49,20.11,19.89,,1.48,6.05,0.7,6.29,0.0,0.0,0.0,0.0,25.51,158.45,82.67,0.0,4.43,230.37,09-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Nov-2020 - 00:00,56.32,61.67,20.45,20.23,,,6.47,0.91,12.09,0.0,0.0,0.0,0.0,27.1,199.9,73.82,0.0,3.9,252.42,10-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Nov-2020 - 00:00,62.17,69.61,17.83,17.6,,1.64,6.96,0.89,21.54,0.0,0.0,0.01,0.0,25.67,223.57,63.86,0.0,4.94,247.97,11-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Nov-2020 - 00:00,50.74,55.6,18.33,18.1,,,6.92,0.89,19.61,0.0,0.0,0.0,0.0,25.81,249.56,60.13,0.0,4.74,215.41,12-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Nov-2020 - 00:00,39.53,44.03,17.37,17.15,,,7.12,0.84,13.54,0.0,0.0,0.0,0.0,27.62,190.64,68.17,0.0,5.39,238.88,13-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Nov-2020 - 00:00,13.35,16.77,26.21,25.57,,,6.5,0.54,5.77,0.0,0.0,0.0,0.0,25.81,138.37,83.04,0.0,7.25,259.05,14-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Nov-2020 - 00:00,19.5,21.8,33.61,33.32,,,6.62,0.5,8.42,0.0,0.0,0.0,0.0,26.59,199.39,76.1,0.0,7.65,256.35,15-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Nov-2020 - 00:00,16.69,27.17,36.66,36.38,,,8.25,0.48,8.93,0.0,0.0,0.0,0.0,26.33,162.05,76.34,0.0,6.25,259.47,16-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Nov-2020 - 00:00,12.89,16.21,32.85,32.63,,,8.6,0.59,6.39,0.0,0.0,0.0,0.0,25.29,155.12,84.0,0.0,7.7,213.72,17-Nov-2020 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
