from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,BP,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,station
26-Jan-2020 - 00:00,1.08,28.79,4.71,17.83,21.97,10.74,70.13,-0.41,4.0,176.87,,32.5,201.63,2.75,0.0,0.1,0.0,0.0,27-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
27-Jan-2020 - 00:00,1.12,29.15,9.37,15.57,24.67,5.17,69.08,-0.44,3.2,209.9,,40.33,170.47,6.78,0.0,0.09,0.0,0.0,28-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
28-Jan-2020 - 00:00,1.08,31.62,9.62,13.99,23.38,5.2,67.72,-0.44,3.27,181.25,,46.47,172.97,6.5,0.0,0.09,0.0,0.0,29-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
29-Jan-2020 - 00:00,1.06,23.15,6.85,14.75,20.95,5.44,71.74,-0.43,3.48,165.11,,44.85,180.62,5.82,0.0,0.09,0.0,0.0,30-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
30-Jan-2020 - 00:00,1.06,25.41,7.67,13.75,21.24,6.17,72.07,-0.42,3.99,183.54,,38.01,182.78,0.99,0.0,0.0,0.0,0.0,31-Jan-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
31-Jan-2020 - 00:00,1.05,26.73,6.91,12.56,19.18,6.66,71.51,-0.41,3.93,158.88,,24.83,176.63,0.0,0.0,0.0,0.0,0.0,01-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
01-Feb-2020 - 00:00,1.04,25.89,6.57,13.27,19.56,5.33,69.59,-0.42,3.98,133.75,,31.11,199.25,0.53,0.0,0.0,0.0,0.0,02-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
02-Feb-2020 - 00:00,0.97,23.58,4.73,9.31,13.39,7.31,68.83,-0.44,3.01,78.29,,29.34,197.98,0.11,0.0,0.0,0.0,0.0,03-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
03-Feb-2020 - 00:00,0.93,21.38,4.79,10.25,14.56,6.58,69.34,-0.44,3.04,125.98,,24.31,213.11,0.0,0.0,0.0,0.0,0.0,04-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
04-Feb-2020 - 00:00,1.02,24.04,4.86,14.69,18.88,6.44,72.23,-0.44,2.97,150.32,,27.61,182.23,2.76,0.0,0.0,0.0,0.0,05-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
05-Feb-2020 - 00:00,1.05,26.34,5.14,17.59,21.54,6.01,66.08,-0.44,2.88,154.66,,27.26,257.85,3.7,0.0,0.0,0.0,0.0,06-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
06-Feb-2020 - 00:00,1.07,32.38,8.3,14.97,22.8,5.7,63.21,-0.43,3.31,179.52,,28.27,211.72,3.28,0.0,0.11,0.0,0.0,07-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
07-Feb-2020 - 00:00,1.06,31.05,8.67,13.33,21.72,5.73,62.59,-0.43,3.54,176.0,,29.59,187.77,2.74,0.0,0.0,0.0,0.0,08-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
08-Feb-2020 - 00:00,1.02,35.01,6.55,12.76,18.9,7.21,60.85,-0.44,3.03,165.61,,33.04,203.78,1.64,0.0,0.24,0.0,0.0,09-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
09-Feb-2020 - 00:00,0.98,40.65,5.0,10.32,14.8,6.02,65.28,-0.47,1.9,124.79,,31.29,157.95,1.55,0.0,0.0,0.0,0.0,10-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
10-Feb-2020 - 00:00,0.96,48.15,4.28,9.33,12.93,5.32,64.24,-0.47,1.78,47.75,,31.56,243.33,0.24,0.0,0.0,0.0,0.0,11-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
11-Feb-2020 - 00:00,0.99,31.37,4.11,9.68,13.22,6.08,69.79,-0.47,1.99,53.22,,26.63,165.32,0.73,0.0,0.0,0.0,0.0,12-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
12-Feb-2020 - 00:00,0.99,38.33,4.2,9.0,12.51,6.05,70.96,-0.45,2.65,40.16,,32.42,180.76,0.0,0.0,0.0,0.0,0.0,13-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
13-Feb-2020 - 00:00,1.04,31.02,8.51,10.26,18.47,8.0,69.92,-0.42,3.98,105.55,,41.77,252.98,0.26,0.0,0.0,0.0,0.0,14-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
14-Feb-2020 - 00:00,1.1,53.32,10.19,11.07,21.07,7.09,67.32,-0.42,3.68,173.34,999.86,55.18,241.35,0.87,0.0,0.0,0.0,0.0,15-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
15-Feb-2020 - 00:00,1.11,37.39,10.45,15.17,25.28,5.94,62.38,-0.42,3.95,167.66,1000.0,48.61,236.87,2.24,0.01,0.0,0.0,0.0,16-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
16-Feb-2020 - 00:00,1.0,21.52,6.77,13.08,19.25,6.05,63.88,-0.43,3.53,119.76,,36.7,249.93,1.89,0.0,0.0,0.0,0.0,17-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
17-Feb-2020 - 00:00,1.0,21.42,7.32,17.49,23.99,5.25,60.51,-0.43,3.31,180.16,,24.57,245.52,1.66,0.0,0.0,0.0,0.0,18-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
18-Feb-2020 - 00:00,1.02,35.06,8.58,16.52,24.38,7.01,61.58,-0.45,2.47,192.22,,37.6,234.02,3.51,0.0,0.09,0.0,0.0,19-Feb-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
