from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,BP,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,station
10-Apr-2020 - 00:00,0.73,20.07,1.99,10.43,10.91,34.88,67.68,-0.42,3.97,140.29,999.72,59.34,381.26,0.0,0.0,0.0,0.0,0.0,11-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
11-Apr-2020 - 00:00,0.76,8.02,1.17,9.99,9.3,34.55,68.06,-0.44,3.14,151.37,999.93,7.82,274.85,0.0,0.0,0.0,0.0,0.0,12-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
12-Apr-2020 - 00:00,0.77,14.84,1.45,9.64,9.7,16.69,69.91,-0.43,3.31,157.77,999.35,7.06,291.31,0.0,0.0,0.0,0.0,0.0,13-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
13-Apr-2020 - 00:00,0.75,17.16,2.18,9.2,10.69,17.22,68.98,-0.43,3.57,169.31,998.78,9.37,302.77,0.0,0.0,0.0,0.0,0.0,14-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
14-Apr-2020 - 00:00,0.76,14.57,1.78,8.68,9.36,12.67,68.89,-0.43,3.65,159.74,998.86,10.63,269.87,0.0,0.0,0.0,0.0,0.0,15-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
15-Apr-2020 - 00:00,0.74,14.59,1.65,8.81,9.31,8.62,66.9,-0.43,3.67,167.83,999.07,9.56,287.85,0.0,0.0,0.0,0.0,0.0,16-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
16-Apr-2020 - 00:00,0.76,13.86,1.64,8.66,9.11,6.63,70.96,-0.42,4.19,173.91,998.72,8.08,282.27,0.0,0.0,0.0,0.0,0.0,17-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
17-Apr-2020 - 00:00,0.76,14.63,1.51,8.08,8.55,6.58,70.62,-0.41,4.5,171.66,998.25,6.24,251.94,0.0,0.0,0.0,0.0,0.0,18-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
18-Apr-2020 - 00:00,0.75,13.59,1.86,7.94,9.15,7.64,68.7,-0.42,4.34,164.98,998.68,7.59,279.31,0.0,0.0,0.0,0.0,0.0,19-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
19-Apr-2020 - 00:00,0.76,14.51,1.3,8.2,8.25,5.62,69.36,-0.43,3.77,153.93,998.78,3.79,281.78,0.0,0.0,0.0,0.0,0.0,20-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
20-Apr-2020 - 00:00,0.77,13.63,1.54,8.15,8.43,6.11,68.41,-0.43,3.46,171.0,998.7,7.32,291.39,0.03,0.0,0.0,0.0,0.0,21-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
21-Apr-2020 - 00:00,0.76,16.69,1.41,8.47,8.91,6.13,65.24,-0.43,3.77,168.88,998.36,3.11,294.35,0.0,0.0,0.0,0.0,0.0,22-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
22-Apr-2020 - 00:00,0.76,15.64,1.63,8.1,8.62,5.21,68.5,-0.41,4.46,172.99,998.53,9.31,269.93,0.0,0.0,0.0,0.0,0.0,23-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
23-Apr-2020 - 00:00,0.77,14.91,1.54,7.92,8.11,5.99,74.23,-0.41,4.65,171.37,997.67,5.56,277.98,0.0,0.0,0.0,0.0,0.0,24-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
24-Apr-2020 - 00:00,0.76,17.29,1.6,7.57,7.92,5.9,76.05,-0.41,4.82,177.96,997.55,6.14,269.0,0.0,0.0,0.0,0.0,0.0,25-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
25-Apr-2020 - 00:00,0.77,19.81,1.96,7.69,8.64,3.18,72.75,-0.41,4.79,176.23,997.07,4.98,236.64,0.0,0.0,0.0,0.0,0.0,26-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
26-Apr-2020 - 00:00,0.78,19.87,1.55,8.29,8.83,9.18,81.83,-0.43,3.54,171.28,998.09,7.21,99.13,0.0,0.0,0.0,0.0,0.0,27-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
27-Apr-2020 - 00:00,0.76,16.97,1.49,8.7,9.06,5.9,77.16,-0.43,3.91,178.01,998.55,6.99,221.61,0.0,0.0,0.0,0.0,0.0,28-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
28-Apr-2020 - 00:00,0.75,11.46,1.57,8.94,9.48,3.92,74.4,-0.42,3.92,158.5,998.42,6.23,278.33,0.13,0.05,0.0,0.0,0.0,29-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
29-Apr-2020 - 00:00,0.76,29.65,1.91,8.16,9.25,5.19,62.48,-0.43,3.06,213.09,998.21,8.58,253.78,0.0,0.0,0.08,0.0,0.0,30-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
30-Apr-2020 - 00:00,0.78,25.15,1.92,7.96,8.72,6.8,72.17,-0.41,4.54,170.11,998.29,10.41,273.38,0.0,0.0,0.0,0.0,0.0,01-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
01-May-2020 - 00:00,0.79,31.43,1.82,8.26,9.14,4.43,69.43,-0.41,4.83,178.53,997.94,13.42,266.72,0.0,0.0,0.0,0.0,0.0,02-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
02-May-2020 - 00:00,0.78,24.94,1.63,8.51,9.2,4.44,70.36,-0.41,4.64,163.7,997.07,12.95,234.51,0.0,0.05,0.0,0.0,0.0,03-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
03-May-2020 - 00:00,0.75,22.98,1.64,7.91,8.33,6.28,69.51,-0.4,5.0,166.08,997.06,8.92,269.51,0.0,0.0,0.0,0.0,0.0,04-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
04-May-2020 - 00:00,0.76,21.08,1.56,8.13,8.64,2.34,67.81,-0.41,4.73,162.96,998.04,5.78,264.99,0.0,0.0,0.0,0.0,0.0,05-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
05-May-2020 - 00:00,0.76,20.93,1.66,8.39,9.31,3.75,67.84,-0.4,4.9,161.94,997.85,6.48,254.03,0.06,0.0,0.0,0.0,0.0,06-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
06-May-2020 - 00:00,0.72,17.83,1.76,7.78,8.56,16.52,68.67,-0.41,4.76,169.98,997.52,10.08,219.82,0.0,0.0,0.0,0.0,0.0,07-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
07-May-2020 - 00:00,0.75,11.39,2.02,7.62,8.67,3.07,67.71,-0.41,4.67,163.57,997.64,6.8,209.59,0.03,0.0,0.0,0.0,0.0,08-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
08-May-2020 - 00:00,0.75,20.25,1.59,8.55,9.02,5.91,66.18,-0.41,4.57,169.23,997.72,11.78,254.03,0.0,0.0,0.0,0.0,0.0,09-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
09-May-2020 - 00:00,0.71,11.44,1.57,8.05,8.58,1.67,67.98,-0.41,4.33,165.6,997.92,8.73,274.78,0.0,0.0,0.16,0.0,0.0,10-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
10-May-2020 - 00:00,0.73,15.1,1.62,8.05,8.7,2.08,69.24,-0.42,3.65,151.87,997.73,8.85,263.97,0.0,0.0,0.0,0.0,0.0,11-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
11-May-2020 - 00:00,0.7,14.03,1.66,7.78,8.79,4.13,71.08,-0.42,3.4,129.71,997.96,6.89,243.22,0.02,0.0,0.0,0.0,0.0,12-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
12-May-2020 - 00:00,0.72,26.18,1.55,8.11,8.56,3.43,70.65,-0.42,3.87,145.92,997.6,6.4,247.49,0.06,0.0,0.0,0.0,0.0,13-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
13-May-2020 - 00:00,0.72,20.02,1.58,8.27,8.74,3.36,66.19,-0.42,3.75,178.97,996.94,9.75,278.06,0.0,0.0,0.0,0.0,0.0,14-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
14-May-2020 - 00:00,0.83,32.08,1.42,8.31,8.55,3.57,69.38,-0.43,3.19,126.42,996.2,6.19,305.19,0.0,0.03,0.01,0.0,0.0,15-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
15-May-2020 - 00:00,0.92,25.04,2.01,8.52,9.33,4.25,68.95,-0.43,3.66,68.33,994.66,11.18,274.73,0.0,0.0,0.0,0.0,0.0,16-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
16-May-2020 - 00:00,0.93,23.09,1.86,8.07,9.1,3.21,69.92,-0.42,3.89,112.71,993.74,6.7,234.17,0.0,0.0,0.0,0.0,0.0,17-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
17-May-2020 - 00:00,0.94,24.43,1.89,7.89,8.91,3.37,68.47,-0.43,3.62,171.51,992.42,4.72,203.84,0.0,0.0,0.0,0.0,0.0,18-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
18-May-2020 - 00:00,0.99,42.5,2.42,8.8,10.43,3.63,59.47,-0.42,3.19,221.49,990.02,14.78,137.75,0.0,0.0,0.0,0.0,0.0,19-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
19-May-2020 - 00:00,1.0,54.5,2.25,9.04,10.27,2.99,54.86,-0.41,3.84,253.94,988.62,17.5,221.27,0.04,0.0,0.0,0.0,0.0,20-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
20-May-2020 - 00:00,1.02,35.17,2.76,8.02,10.19,2.54,47.31,-0.41,3.6,236.69,989.97,21.4,228.13,0.0,0.0,0.0,0.04,0.08,21-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
21-May-2020 - 00:00,0.96,43.07,2.5,8.32,10.26,10.61,52.44,-0.39,5.18,198.18,992.39,20.14,289.15,0.04,0.0,0.0,0.0,0.19,22-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
22-May-2020 - 00:00,1.0,57.09,2.82,8.02,10.39,17.04,63.25,-0.39,5.54,185.43,993.36,11.94,288.68,0.0,0.0,0.0,0.0,0.0,23-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
23-May-2020 - 00:00,0.98,42.5,2.58,7.99,9.83,15.26,72.33,-0.38,5.82,174.84,994.26,18.28,261.3,0.0,0.0,0.0,0.0,0.0,24-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
24-May-2020 - 00:00,0.99,41.0,1.52,8.58,8.87,19.88,75.06,-0.39,5.45,161.23,995.53,12.98,276.77,0.0,0.0,0.0,0.0,0.0,25-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
25-May-2020 - 00:00,0.94,43.23,1.88,8.58,8.91,12.06,74.49,-0.39,5.36,163.23,996.76,16.18,238.58,0.0,0.0,0.03,0.04,0.03,26-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
26-May-2020 - 00:00,1.01,30.03,1.89,8.38,9.15,14.52,73.22,-0.39,5.47,164.12,996.59,16.96,254.59,0.0,0.0,0.0,0.0,0.0,27-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
27-May-2020 - 00:00,0.99,22.06,2.37,8.25,9.14,15.18,74.72,-0.38,5.95,171.9,995.78,12.44,249.83,0.0,0.0,0.08,0.0,0.0,28-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
28-May-2020 - 00:00,0.98,18.39,2.24,8.16,9.95,14.4,69.76,-0.38,5.92,179.1,994.23,24.79,281.02,0.0,0.0,0.0,0.0,0.0,29-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
29-May-2020 - 00:00,1.02,57.9,2.2,8.42,9.25,14.1,58.91,-0.39,5.69,181.05,994.46,23.25,298.8,0.0,0.0,0.0,0.02,0.0,30-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
30-May-2020 - 00:00,0.97,54.29,2.02,7.91,9.17,11.22,69.26,-0.38,5.74,177.89,995.88,22.14,307.09,0.0,0.0,0.0,0.0,0.0,31-May-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
31-May-2020 - 00:00,0.99,52.39,2.13,8.04,9.41,12.98,69.48,-0.38,6.17,176.28,996.87,8.84,282.29,0.0,0.0,0.0,0.0,0.0,01-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
01-Jun-2020 - 00:00,1.02,53.31,2.24,8.46,9.73,16.36,67.1,-0.39,5.5,177.26,997.3,12.26,214.91,0.05,0.0,0.18,0.39,0.31,02-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
02-Jun-2020 - 00:00,0.99,51.63,2.08,8.61,9.9,14.28,63.8,-0.38,5.75,181.48,996.68,10.68,263.3,0.0,0.0,0.0,0.17,0.0,03-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
03-Jun-2020 - 00:00,0.95,54.04,2.33,8.56,9.96,5.89,58.56,-0.38,6.02,185.08,995.85,11.85,278.06,0.29,0.14,0.12,0.0,0.0,04-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
04-Jun-2020 - 00:00,0.97,48.57,2.21,8.39,9.86,6.78,63.69,-0.39,5.61,185.54,995.58,11.13,270.22,0.0,0.0,0.0,0.0,0.0,05-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
05-Jun-2020 - 00:00,0.96,53.66,2.38,8.88,10.11,9.65,64.82,-0.39,5.48,193.88,995.51,16.66,256.87,0.0,0.23,0.18,0.06,0.05,06-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
06-Jun-2020 - 00:00,0.98,62.29,2.65,8.08,10.14,8.77,67.2,-0.39,5.41,190.01,994.88,16.43,187.15,0.0,0.0,0.0,0.0,0.0,07-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
07-Jun-2020 - 00:00,1.0,53.0,2.09,9.09,10.19,6.58,66.42,-0.4,4.36,190.86,994.23,11.85,130.01,0.0,0.0,0.0,0.0,0.0,08-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
08-Jun-2020 - 00:00,1.1,49.56,2.0,8.5,9.49,10.72,56.72,-0.39,5.06,197.23,993.7,18.14,231.31,0.0,0.23,0.15,0.18,0.0,09-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
09-Jun-2020 - 00:00,1.04,52.56,1.77,8.81,9.26,8.7,63.5,-0.39,5.02,207.44,993.3,13.54,116.66,0.0,0.0,0.0,0.0,0.0,10-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
10-Jun-2020 - 00:00,1.03,41.03,1.69,9.65,10.46,11.23,62.61,-0.4,4.58,229.94,992.41,23.58,55.92,0.0,0.0,0.0,0.0,0.0,11-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
11-Jun-2020 - 00:00,1.07,30.12,1.45,9.8,9.85,10.57,74.78,-0.4,4.37,224.31,991.86,15.65,82.87,0.0,0.0,0.0,0.0,0.0,12-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
12-Jun-2020 - 00:00,1.02,40.03,4.14,10.18,13.75,10.56,63.95,-0.39,4.62,222.65,991.45,11.25,164.0,0.0,0.0,0.0,0.0,0.0,13-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
13-Jun-2020 - 00:00,0.98,47.76,4.73,9.88,13.54,9.12,59.95,-0.38,5.71,206.6,992.06,14.77,281.64,0.0,0.0,0.0,0.0,0.0,14-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
14-Jun-2020 - 00:00,1.01,43.14,1.58,9.31,9.96,5.73,63.51,-0.39,4.92,208.3,992.88,14.1,240.76,0.0,0.0,0.0,0.0,0.0,15-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
15-Jun-2020 - 00:00,1.01,46.79,1.87,8.91,9.51,6.9,58.67,-0.39,4.7,214.89,992.84,15.79,211.83,0.0,0.08,0.07,0.0,0.0,16-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
16-Jun-2020 - 00:00,1.03,47.5,8.69,10.36,18.63,2.76,68.26,-0.38,5.91,191.49,992.35,16.01,227.27,0.0,0.0,0.0,0.0,0.0,17-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
17-Jun-2020 - 00:00,1.06,49.02,1.41,8.83,8.79,18.62,66.48,-0.38,5.52,202.54,992.98,16.91,238.62,0.0,0.0,0.0,0.0,0.0,18-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
18-Jun-2020 - 00:00,1.05,43.82,2.08,8.99,10.01,23.07,63.58,-0.39,4.55,210.04,994.59,18.79,172.34,0.0,0.0,0.0,0.0,0.0,19-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
19-Jun-2020 - 00:00,1.03,5.3,10.25,9.72,19.09,8.63,65.49,-0.39,4.54,209.62,994.52,17.7,245.08,0.0,0.1,0.05,0.17,0.0,20-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
20-Jun-2020 - 00:00,0.97,4.99,1.95,8.26,9.15,7.25,66.69,-0.39,4.53,217.41,994.24,10.89,97.08,0.0,0.0,0.0,0.0,0.0,21-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
21-Jun-2020 - 00:00,1.01,23.45,3.82,8.56,11.95,6.31,73.07,-0.4,4.12,204.97,993.63,15.08,112.44,0.0,0.0,0.0,0.0,0.0,22-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
22-Jun-2020 - 00:00,0.99,48.47,3.5,9.09,12.23,7.95,65.9,-0.39,4.36,223.65,992.59,21.14,199.8,0.0,0.08,0.12,0.0,0.0,23-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
23-Jun-2020 - 00:00,0.99,49.17,3.0,7.17,9.49,15.13,74.04,-0.39,4.7,224.58,994.43,12.36,214.82,0.0,0.0,0.2,0.36,0.0,24-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
24-Jun-2020 - 00:00,0.98,63.02,3.79,5.34,8.31,9.9,77.53,-0.39,4.8,186.57,994.82,17.79,268.55,0.0,0.0,0.0,0.0,0.0,25-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
25-Jun-2020 - 00:00,0.96,56.87,2.2,4.54,5.8,14.64,79.97,-0.4,4.13,193.48,994.11,21.16,136.3,0.0,0.0,0.06,0.04,0.0,26-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
26-Jun-2020 - 00:00,0.95,62.28,2.11,4.78,6.05,7.8,80.25,-0.39,5.32,179.17,993.66,22.88,265.67,0.0,0.18,0.12,0.17,0.14,27-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
27-Jun-2020 - 00:00,1.01,69.63,2.44,4.34,6.08,12.0,81.93,-0.4,5.12,154.7,993.71,23.41,184.64,0.0,0.2,0.14,0.0,0.0,28-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
28-Jun-2020 - 00:00,0.95,49.85,3.6,5.3,7.84,8.97,84.53,-0.41,4.42,188.06,993.81,28.89,153.52,0.0,0.0,0.0,0.0,0.0,29-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
29-Jun-2020 - 00:00,1.03,39.17,3.15,4.81,6.84,11.04,80.49,-0.42,3.8,183.08,992.96,16.06,262.57,0.0,0.0,0.0,0.0,0.0,30-Jun-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
30-Jun-2020 - 00:00,0.97,42.27,3.15,5.12,7.09,14.8,78.43,-0.42,3.57,210.88,992.79,21.08,258.43,0.28,0.0,0.45,0.85,0.15,01-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
01-Jul-2020 - 00:00,0.99,37.34,6.91,4.54,10.43,11.82,75.04,-0.43,3.38,224.27,993.62,14.85,116.32,0.12,0.32,0.2,0.0,0.18,02-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
02-Jul-2020 - 00:00,1.03,31.55,11.11,3.03,12.97,4.77,81.06,-0.43,3.38,206.89,993.31,15.3,109.32,0.45,0.71,0.0,0.0,0.0,03-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
03-Jul-2020 - 00:00,0.96,24.98,9.9,2.64,10.46,20.41,77.44,-0.41,4.31,211.56,992.8,13.26,90.91,0.0,0.0,0.0,0.0,0.0,04-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
04-Jul-2020 - 00:00,0.96,3.73,9.6,2.97,10.82,7.3,86.69,-0.42,4.09,203.23,992.91,13.58,148.35,0.0,0.0,0.0,0.0,0.0,05-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
05-Jul-2020 - 00:00,0.98,3.66,9.98,2.43,10.94,3.99,78.0,-0.42,4.24,202.76,992.73,13.89,92.32,0.0,0.0,0.0,0.0,0.0,06-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
06-Jul-2020 - 00:00,1.02,17.26,11.14,2.47,12.25,3.61,68.39,-0.43,3.7,204.81,992.77,16.8,139.05,0.0,0.0,0.0,0.0,0.0,07-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
07-Jul-2020 - 00:00,1.01,40.27,9.59,2.78,10.88,2.37,62.27,-0.43,3.73,198.78,994.38,12.3,307.77,0.05,0.07,0.04,0.0,0.07,08-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
08-Jul-2020 - 00:00,0.97,39.03,8.8,2.75,9.66,2.43,66.15,-0.45,2.7,206.89,995.68,14.92,282.12,0.0,0.0,0.0,0.0,0.0,09-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
09-Jul-2020 - 00:00,1.02,38.73,9.81,3.06,12.05,4.71,65.7,-0.45,2.22,207.2,995.01,11.6,290.86,0.0,0.0,0.0,0.0,0.0,10-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
10-Jul-2020 - 00:00,0.99,31.79,10.73,2.78,13.34,13.84,79.02,-0.45,2.49,225.1,995.97,9.88,146.82,1.78,0.53,1.47,0.91,1.59,11-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
11-Jul-2020 - 00:00,1.02,21.31,7.67,3.61,10.24,8.16,84.55,-0.44,3.15,200.71,995.6,9.78,105.07,0.0,0.0,0.0,0.0,0.0,12-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
12-Jul-2020 - 00:00,0.97,17.07,7.03,3.48,9.83,8.31,74.08,-0.44,2.91,211.26,994.53,16.95,291.79,0.37,13.6,0.46,17.34,13.94,13-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
13-Jul-2020 - 00:00,0.98,32.33,6.51,3.66,9.35,7.19,80.03,-0.43,3.3,209.49,993.84,22.52,175.4,0.0,0.0,0.0,0.0,0.0,14-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
14-Jul-2020 - 00:00,1.01,43.22,6.33,4.1,9.63,5.05,77.43,-0.44,3.09,167.79,993.49,20.07,79.92,0.24,0.01,0.36,0.0,0.28,15-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
15-Jul-2020 - 00:00,1.03,39.81,6.54,4.24,10.12,4.22,73.84,-0.43,3.54,206.44,993.14,19.36,96.44,0.71,0.04,1.05,0.0,0.81,16-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
16-Jul-2020 - 00:00,1.04,32.18,6.99,4.53,10.9,5.15,74.77,-0.44,3.07,213.74,992.71,24.5,54.58,0.15,0.0,0.29,0.01,0.22,17-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
17-Jul-2020 - 00:00,0.98,37.1,7.47,5.19,12.06,5.1,74.8,-0.44,3.14,188.29,992.91,37.16,161.58,0.0,0.0,0.0,0.0,0.0,18-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
18-Jul-2020 - 00:00,0.99,36.86,7.05,4.02,10.24,5.95,71.87,-0.44,2.73,210.71,994.36,31.93,75.23,0.0,0.0,0.0,0.0,0.0,19-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
19-Jul-2020 - 00:00,0.98,27.23,7.16,4.29,10.53,5.84,86.1,-0.45,2.79,167.26,995.18,21.49,58.67,0.0,0.0,0.0,0.0,0.0,20-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
20-Jul-2020 - 00:00,0.98,24.78,6.38,3.97,9.52,3.51,73.43,-0.42,3.89,186.88,994.61,25.48,289.49,0.0,0.0,0.0,0.0,0.0,21-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
21-Jul-2020 - 00:00,0.98,19.13,4.95,3.56,7.72,2.7,73.82,-0.42,3.85,167.7,995.45,32.79,321.92,0.0,0.0,0.0,0.0,0.0,22-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
22-Jul-2020 - 00:00,0.95,39.85,4.77,4.28,8.33,1.88,71.27,-0.42,4.35,182.58,995.76,28.37,214.59,0.16,0.0,0.23,0.0,0.12,23-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
23-Jul-2020 - 00:00,0.95,32.4,5.02,3.81,7.97,2.33,70.47,-0.41,4.47,182.89,995.14,34.2,214.73,0.0,0.0,0.0,0.0,0.0,24-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
24-Jul-2020 - 00:00,0.98,31.03,5.55,3.62,8.47,2.43,71.36,-0.42,4.24,192.37,995.68,26.86,191.76,0.0,0.0,0.0,0.0,0.0,25-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
25-Jul-2020 - 00:00,0.94,33.15,6.06,3.69,9.0,3.32,70.52,-0.43,3.22,192.81,996.79,25.88,249.85,0.0,0.0,0.0,0.0,0.0,26-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
26-Jul-2020 - 00:00,0.99,19.55,5.58,2.81,7.33,5.63,69.25,-0.47,1.6,200.62,997.65,27.87,263.66,0.0,0.0,0.0,0.0,0.0,27-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
27-Jul-2020 - 00:00,1.02,32.71,5.44,3.17,7.53,3.45,67.32,-0.48,1.35,188.68,996.18,34.16,171.1,0.3,0.12,0.54,0.51,0.24,28-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
28-Jul-2020 - 00:00,1.07,29.58,5.93,3.76,8.73,6.87,73.0,-0.48,1.36,230.78,993.99,27.53,175.66,0.34,0.09,0.53,0.44,0.53,29-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
29-Jul-2020 - 00:00,1.06,22.88,6.21,3.33,8.57,5.12,88.16,-0.47,1.73,214.59,993.76,32.1,19.0,0.33,0.15,0.72,0.03,0.11,30-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
30-Jul-2020 - 00:00,1.03,36.3,6.27,3.2,8.64,2.4,75.39,-0.45,2.8,206.15,993.88,34.29,49.34,0.1,0.23,0.48,0.12,0.11,31-Jul-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
