from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
13-May-2020 - 00:00,30.65,981.48,161.97,61.76,50.68,118.17,157.84,0.91,2.79,12.91,39.05,19.2,2.71,12.43,14.69,85.92,0.69,14-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-May-2020 - 00:00,31.43,980.64,115.33,44.3,48.64,195.38,197.71,0.88,2.03,10.1,34.73,23.9,3.83,15.84,11.75,71.7,0.58,15-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-May-2020 - 00:00,32.19,980.21,111.35,45.95,41.82,204.28,313.0,1.14,1.67,10.15,31.66,19.39,3.17,12.89,15.8,82.36,0.52,16-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-May-2020 - 00:00,33.13,979.06,148.47,74.07,38.08,214.22,303.89,1.05,2.31,9.72,31.12,21.94,2.98,14.1,18.16,98.35,0.58,17-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-May-2020 - 00:00,33.08,977.74,207.23,104.7,37.55,164.68,260.82,0.71,3.26,10.08,30.67,29.93,4.86,19.88,35.83,81.11,0.77,18-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-May-2020 - 00:00,32.86,976.9,203.32,100.12,37.11,194.37,281.72,0.84,3.8,14.27,28.15,34.84,5.11,22.69,30.76,68.75,0.79,19-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-May-2020 - 00:00,33.58,976.28,247.93,115.52,33.65,195.41,208.01,0.87,4.15,18.72,27.32,40.6,6.51,26.89,35.05,76.88,0.88,20-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-May-2020 - 00:00,33.31,975.9,185.64,70.42,33.16,214.13,296.27,1.1,2.94,16.98,22.92,32.26,6.94,22.82,28.16,81.69,0.61,21-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-May-2020 - 00:00,34.46,975.04,194.89,60.32,32.95,219.5,292.79,1.0,3.04,15.01,23.68,40.15,15.42,33.93,28.02,71.0,0.73,22-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-May-2020 - 00:00,35.82,975.09,208.96,64.56,33.15,208.37,253.23,0.8,4.07,22.72,24.35,45.33,6.87,29.7,26.36,67.64,0.83,23-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-May-2020 - 00:00,37.22,976.23,201.6,50.6,33.1,183.4,256.25,0.89,3.0,14.27,23.24,33.75,5.92,22.78,23.09,50.27,0.58,24-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-May-2020 - 00:00,38.58,976.73,181.17,42.52,31.42,201.18,298.57,1.03,2.31,10.26,23.34,20.78,3.68,14.06,26.52,68.81,0.47,25-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-May-2020 - 00:00,36.91,976.28,196.3,63.26,34.1,207.81,292.09,1.02,3.52,12.36,26.01,32.37,5.18,21.44,34.19,60.83,0.76,26-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-May-2020 - 00:00,37.91,974.79,261.77,49.82,33.27,192.42,246.62,1.02,3.92,22.34,22.1,39.65,24.37,40.94,19.96,39.51,0.92,27-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-May-2020 - 00:00,38.54,973.32,184.32,34.78,33.35,182.8,180.64,1.23,2.42,13.57,23.25,27.83,4.56,18.52,16.46,79.57,0.49,28-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-May-2020 - 00:00,33.95,975.28,248.08,33.45,45.14,161.53,114.17,2.2,1.61,6.79,32.0,14.91,3.1,10.46,17.89,76.23,0.5,29-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-May-2020 - 00:00,29.09,978.56,75.59,21.93,56.06,146.58,123.11,1.76,1.39,7.69,40.62,19.36,3.2,12.88,13.41,66.26,0.53,30-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-May-2020 - 00:00,29.28,980.36,81.55,19.78,55.59,200.96,159.89,1.44,1.61,6.44,54.37,17.34,3.89,12.4,16.55,67.83,0.51,31-May-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-May-2020 - 00:00,26.25,982.28,41.03,15.21,65.04,159.81,155.72,1.21,1.21,6.52,45.64,15.9,3.46,11.29,18.96,63.13,0.48,01-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Jun-2020 - 00:00,29.16,982.58,119.29,35.69,56.53,189.49,110.32,0.66,2.81,17.24,38.02,29.41,4.03,18.94,14.64,86.91,0.78,02-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Jun-2020 - 00:00,31.21,980.52,140.29,39.35,51.52,196.92,185.68,1.0,1.99,13.52,37.2,26.51,4.37,17.66,13.61,71.72,0.58,03-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Jun-2020 - 00:00,32.28,978.6,163.48,39.91,47.85,189.26,199.07,0.77,2.32,13.54,33.93,29.19,5.09,19.69,15.97,78.48,0.6,04-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Jun-2020 - 00:00,29.37,977.88,226.7,68.01,54.88,103.33,183.09,0.84,3.46,19.26,35.24,40.95,10.7,30.51,17.92,54.89,0.87,05-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Jun-2020 - 00:00,30.03,977.92,117.99,31.14,52.08,162.33,168.01,0.86,2.31,15.95,34.8,31.07,5.08,20.67,14.63,67.8,0.67,06-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Jun-2020 - 00:00,30.9,977.34,125.2,32.67,54.3,165.64,130.64,0.91,2.05,9.46,35.96,23.64,4.41,16.17,13.9,71.63,0.64,07-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Jun-2020 - 00:00,30.08,977.11,104.84,37.99,56.0,137.61,162.21,1.04,2.51,15.91,37.54,29.7,5.32,20.14,13.05,57.83,0.73,08-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Jun-2020 - 00:00,32.56,976.55,137.6,41.54,51.09,185.7,206.71,0.84,2.73,16.52,36.98,29.53,4.86,19.66,15.91,74.71,0.76,09-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Jun-2020 - 00:00,35.35,976.29,222.2,57.23,46.73,180.28,181.18,0.76,3.1,19.42,36.19,39.51,5.41,25.43,17.41,69.54,0.9,10-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Jun-2020 - 00:00,34.53,975.64,167.4,39.96,50.43,165.08,230.62,0.8,2.68,16.86,33.33,39.15,15.65,33.6,17.21,45.09,0.85,11-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Jun-2020 - 00:00,34.83,974.65,197.81,44.14,51.06,187.51,228.37,0.63,3.17,20.05,55.5,44.1,11.69,32.96,11.21,38.31,1.06,12-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Jun-2020 - 00:00,35.46,973.46,205.71,59.69,48.6,133.59,132.62,1.06,3.13,16.15,57.83,37.85,4.79,24.03,9.36,48.07,1.13,13-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Jun-2020 - 00:00,33.15,974.22,168.24,47.68,52.52,121.33,163.74,1.11,3.16,14.35,46.0,29.21,4.44,19.16,6.38,48.5,1.1,14-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Jun-2020 - 00:00,34.83,975.56,164.86,59.34,50.37,148.88,165.41,0.84,3.61,21.38,43.24,33.33,4.71,21.57,6.46,60.31,1.08,15-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Jun-2020 - 00:00,36.55,973.59,161.51,43.84,44.3,180.09,222.95,0.87,2.67,12.41,35.76,38.42,8.02,26.97,6.63,62.81,1.0,16-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Jun-2020 - 00:00,36.36,971.4,151.09,36.61,45.2,147.53,136.12,1.0,2.92,15.01,30.98,34.68,4.95,22.48,6.87,73.48,0.99,17-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Jun-2020 - 00:00,35.96,971.12,114.8,29.07,48.24,186.82,125.45,1.36,2.04,9.41,30.97,21.68,3.69,14.55,6.86,71.31,0.85,18-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Jun-2020 - 00:00,36.93,971.62,136.15,32.81,46.71,186.99,188.82,1.18,2.13,9.84,31.86,24.15,4.61,16.6,10.77,65.41,0.89,19-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Jun-2020 - 00:00,36.35,973.34,248.78,48.26,49.34,132.24,200.2,1.45,2.02,9.88,30.94,21.99,4.89,15.69,7.61,45.37,0.92,20-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Jun-2020 - 00:00,32.52,975.24,144.35,27.28,52.07,104.0,,,1.34,8.25,,25.9,6.24,18.86,6.5,49.17,0.79,21-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Jun-2020 - 00:00,32.4,975.24,98.14,31.66,53.89,121.96,,,1.77,11.7,,25.05,3.98,16.57,6.65,67.47,0.85,22-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Jun-2020 - 00:00,32.86,975.01,81.76,33.41,54.93,175.64,,,2.15,13.88,,25.17,4.01,16.65,6.8,74.1,0.93,23-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Jun-2020 - 00:00,33.24,977.0,74.05,24.84,55.92,175.95,,,1.48,8.28,,17.33,3.81,12.34,6.74,46.05,0.81,24-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Jun-2020 - 00:00,31.87,978.09,68.24,25.05,59.91,153.33,,,1.31,7.98,,18.01,4.21,13.01,6.43,40.46,0.8,25-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Jun-2020 - 00:00,32.74,975.46,79.69,24.29,56.54,164.68,228.5,0.99,2.7,10.62,9.13,24.2,4.8,16.79,5.36,37.69,0.89,26-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Jun-2020 - 00:00,33.19,974.4,138.18,46.52,56.21,145.43,208.96,1.09,2.71,22.35,15.89,27.91,6.37,20.04,5.56,37.31,0.93,27-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Jun-2020 - 00:00,34.19,973.06,180.06,34.41,52.42,142.91,265.52,1.26,1.23,8.01,15.61,25.03,8.33,20.11,5.8,25.79,0.75,28-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Jun-2020 - 00:00,36.55,972.28,376.3,51.35,47.81,159.13,264.7,1.16,1.63,13.64,14.58,28.22,9.95,23.12,5.65,19.96,0.77,29-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Jun-2020 - 00:00,35.26,974.34,208.1,34.86,48.11,155.04,217.75,1.35,1.7,10.83,14.12,21.93,7.57,17.84,5.8,41.08,0.72,30-Jun-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Jun-2020 - 00:00,33.39,976.17,109.59,35.41,56.14,160.96,121.42,1.17,1.69,10.29,15.04,21.24,4.02,14.58,5.11,67.55,0.83,01-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Jul-2020 - 00:00,34.6,974.87,156.99,46.75,54.46,125.18,126.53,1.01,2.48,15.38,18.99,23.94,3.87,15.88,5.59,73.95,0.99,02-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Jul-2020 - 00:00,36.21,972.46,181.69,61.74,51.35,146.0,158.92,0.93,2.88,18.85,20.62,26.75,3.91,17.42,5.79,80.96,1.05,03-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Jul-2020 - 00:00,35.64,971.91,185.56,55.96,52.6,145.48,169.65,1.04,2.68,15.25,20.92,30.26,4.47,19.76,5.49,72.86,1.04,04-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Jul-2020 - 00:00,33.55,972.57,111.27,39.29,57.42,169.62,127.59,1.54,1.66,8.99,24.34,17.86,3.66,12.48,5.65,61.81,0.91,05-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Jul-2020 - 00:00,29.79,973.61,67.92,25.26,63.1,137.58,98.34,1.36,1.89,16.6,19.76,20.41,3.44,13.67,5.62,83.87,0.87,06-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
