from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
01-Aug-2020 - 00:00,29.72,976.02,55.84,30.14,69.54,59.37,183.13,0.86,1.13,14.12,20.49,33.01,9.98,25.7,4.35,10.66,1.07,02-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Aug-2020 - 00:00,31.35,974.23,45.64,22.59,66.45,182.19,270.67,0.84,0.8,11.92,18.89,24.11,12.87,23.23,3.72,54.55,1.14,03-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Aug-2020 - 00:00,32.05,970.33,61.7,26.9,63.45,170.71,264.09,0.98,0.58,7.06,21.01,24.85,10.53,21.81,4.56,,0.9,04-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Aug-2020 - 00:00,32.93,968.77,62.16,24.26,57.81,168.27,253.96,0.85,0.96,13.7,16.34,21.57,6.46,16.74,4.91,37.52,0.84,05-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Aug-2020 - 00:00,31.41,970.52,64.43,38.23,65.1,94.11,88.72,0.85,1.06,20.82,16.08,36.27,7.89,25.74,23.36,26.59,1.21,06-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Aug-2020 - 00:00,32.78,973.18,41.05,15.87,59.37,181.88,75.36,1.77,0.69,14.17,17.81,19.25,5.65,14.8,3.66,24.22,0.81,07-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Aug-2020 - 00:00,31.81,975.76,45.23,26.13,61.99,179.86,113.65,1.55,0.53,7.47,15.68,19.81,5.84,15.3,4.39,32.01,0.89,08-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Aug-2020 - 00:00,32.73,973.79,77.03,53.93,61.7,150.28,191.73,0.57,0.79,12.13,17.79,39.92,14.21,32.81,4.7,39.87,1.13,09-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Aug-2020 - 00:00,30.01,973.34,49.74,30.3,71.35,106.88,233.61,0.77,0.75,12.8,19.64,28.47,9.74,23.1,4.95,20.17,1.03,10-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Aug-2020 - 00:00,31.55,974.64,53.02,33.79,66.62,139.59,131.04,1.05,0.84,11.16,20.25,22.36,8.17,18.56,5.62,19.09,0.95,11-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Aug-2020 - 00:00,31.63,974.03,69.09,39.34,65.71,141.74,209.32,0.83,0.75,12.43,18.58,27.43,11.9,24.29,5.49,21.48,1.02,12-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Aug-2020 - 00:00,31.57,972.93,50.26,19.7,65.89,165.78,254.92,1.1,0.37,5.97,15.49,15.82,6.77,13.93,5.39,21.4,0.9,13-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Aug-2020 - 00:00,26.84,973.08,20.12,12.14,81.52,39.5,146.11,0.86,0.94,16.36,13.22,28.1,10.05,23.14,5.93,18.89,1.06,14-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Aug-2020 - 00:00,28.81,972.46,41.35,25.06,74.7,82.8,62.95,1.01,0.99,16.59,12.55,26.91,8.23,21.03,5.61,19.19,1.13,15-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Aug-2020 - 00:00,30.76,972.29,39.97,26.74,69.04,143.72,112.63,1.08,0.59,8.09,13.99,14.85,5.62,12.27,5.67,22.8,0.91,16-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Aug-2020 - 00:00,30.96,973.12,50.31,20.7,68.25,135.3,122.84,0.99,0.45,7.3,14.82,19.64,6.57,15.81,5.71,19.74,0.93,17-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Aug-2020 - 00:00,30.88,973.51,59.7,29.99,70.24,107.17,129.92,1.02,0.69,16.84,16.17,29.53,12.39,25.81,5.36,17.0,1.14,18-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Aug-2020 - 00:00,29.81,973.96,56.83,23.73,73.01,85.88,189.74,0.77,0.7,13.11,17.07,29.84,15.89,28.83,5.37,12.68,1.17,19-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Aug-2020 - 00:00,26.58,974.01,32.48,24.5,82.55,18.22,152.8,0.96,1.05,22.65,16.0,38.74,21.01,37.73,5.26,10.34,1.32,20-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Aug-2020 - 00:00,26.69,976.63,51.06,21.08,79.79,62.08,89.73,0.99,1.02,23.6,14.94,32.81,14.69,29.39,5.53,27.17,1.12,21-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Aug-2020 - 00:00,29.59,978.12,64.46,18.35,67.16,182.84,67.69,1.08,0.91,23.28,16.2,31.09,16.63,30.11,5.29,49.75,1.05,22-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Aug-2020 - 00:00,30.3,977.35,70.22,14.5,63.93,186.91,58.16,1.49,2.02,14.41,16.77,24.57,8.67,19.81,4.56,22.3,0.85,23-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Aug-2020 - 00:00,29.59,975.92,49.73,16.46,67.36,132.51,72.93,1.43,0.67,9.11,21.95,15.48,5.38,12.62,2.58,16.36,0.78,24-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Aug-2020 - 00:00,28.82,976.26,65.21,14.11,69.74,87.95,119.21,1.36,0.74,8.97,20.34,19.56,7.16,16.25,2.57,15.74,0.83,25-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Aug-2020 - 00:00,29.24,978.19,88.83,16.66,68.89,101.01,154.59,1.11,0.96,11.2,20.63,27.22,14.91,26.63,2.98,12.76,0.93,26-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Aug-2020 - 00:00,29.42,979.14,107.34,16.96,66.35,120.73,247.99,0.83,1.41,13.33,21.16,27.67,26.89,36.65,3.27,13.18,1.02,27-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Aug-2020 - 00:00,30.85,978.49,93.12,18.12,63.31,169.41,252.97,0.73,1.67,18.81,21.39,28.71,16.23,28.54,2.78,19.18,0.9,28-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Aug-2020 - 00:00,28.76,976.84,84.84,24.64,70.4,125.02,192.03,0.81,2.64,30.69,22.79,37.16,22.6,38.18,3.43,17.49,1.16,29-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Aug-2020 - 00:00,30.42,976.51,104.76,42.24,66.44,145.77,85.04,0.81,2.57,35.66,21.34,36.24,17.21,33.31,2.92,41.26,1.19,30-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Aug-2020 - 00:00,28.54,976.31,59.65,19.24,68.77,89.06,74.31,1.46,1.38,18.06,21.77,19.08,6.89,15.78,3.27,19.73,0.75,31-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Aug-2020 - 00:00,28.17,978.32,53.66,9.94,69.31,75.6,147.72,1.49,1.05,8.22,21.48,20.32,10.13,19.06,3.13,13.55,0.84,01-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Sep-2020 - 00:00,29.98,979.78,103.56,17.35,62.36,143.1,189.62,1.13,1.56,12.37,18.19,28.36,17.43,29.3,31.88,19.62,0.92,02-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Sep-2020 - 00:00,30.47,981.76,98.45,21.53,63.7,146.0,198.88,0.7,1.66,16.49,18.09,27.43,8.61,21.62,4.67,41.86,0.98,03-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Sep-2020 - 00:00,31.12,982.59,103.38,33.26,63.56,157.43,99.12,1.19,1.93,18.57,24.54,27.98,6.11,19.87,1.56,31.11,0.97,04-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Sep-2020 - 00:00,30.14,981.26,108.18,35.83,67.11,99.37,153.99,0.89,2.0,16.28,26.42,28.59,16.08,28.1,3.09,28.75,1.04,05-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Sep-2020 - 00:00,29.57,979.26,124.79,40.41,68.05,129.65,229.51,0.77,2.23,23.83,26.66,32.23,18.29,32.02,3.75,46.45,0.99,06-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Sep-2020 - 00:00,29.63,978.49,108.48,28.53,68.39,156.12,222.81,0.68,1.91,15.9,28.4,30.66,11.98,26.06,2.8,35.69,1.04,07-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Sep-2020 - 00:00,29.36,979.05,150.36,49.33,69.15,96.84,210.99,0.73,3.66,28.81,30.35,41.49,21.67,39.75,,35.31,1.2,08-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Sep-2020 - 00:00,29.77,979.47,114.36,29.74,66.92,108.58,272.27,0.63,2.04,16.36,25.08,27.93,14.33,26.54,7.75,28.14,1.04,09-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Sep-2020 - 00:00,31.13,979.4,158.01,58.99,64.41,142.26,294.85,0.76,2.25,18.43,33.14,31.06,13.3,27.36,6.81,40.7,1.12,10-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Sep-2020 - 00:00,30.63,976.95,187.12,61.04,63.36,142.77,282.35,0.83,2.97,23.01,30.95,38.49,22.38,38.47,6.12,34.33,1.22,11-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Sep-2020 - 00:00,32.05,977.48,243.36,71.85,57.84,153.36,238.37,0.71,4.67,30.98,30.49,45.56,37.57,54.67,5.81,30.2,1.44,12-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Sep-2020 - 00:00,32.48,979.99,198.89,57.28,56.58,139.96,219.65,0.69,3.99,31.03,36.06,47.12,31.26,50.26,7.29,53.28,1.24,13-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Sep-2020 - 00:00,31.58,979.94,192.85,69.89,61.34,95.61,242.33,0.74,3.46,30.63,37.41,37.24,15.16,32.1,5.58,47.86,1.23,14-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Sep-2020 - 00:00,32.07,978.81,175.71,64.26,60.22,128.53,289.19,0.69,3.06,22.84,36.3,38.16,16.96,34.12,5.22,40.29,1.2,15-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Sep-2020 - 00:00,31.96,978.37,198.64,63.62,59.58,119.78,253.44,0.7,3.38,27.67,33.85,41.11,21.9,39.06,6.14,49.01,1.28,16-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Sep-2020 - 00:00,32.29,978.04,192.55,63.62,58.66,129.53,275.84,0.83,2.71,19.64,37.95,36.13,16.84,32.86,6.26,43.89,1.18,17-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Sep-2020 - 00:00,32.42,977.6,154.41,44.03,57.81,136.49,290.34,0.98,1.88,14.12,35.85,30.03,15.61,28.46,6.68,36.25,0.99,18-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Sep-2020 - 00:00,32.33,976.68,131.97,34.57,57.38,130.9,295.3,1.04,1.58,11.71,33.13,21.8,11.14,20.02,6.22,37.74,0.94,19-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Sep-2020 - 00:00,32.04,976.97,169.71,52.52,58.39,117.63,274.67,0.78,2.68,18.08,33.56,31.59,18.58,31.43,6.39,44.3,1.11,20-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Sep-2020 - 00:00,32.09,976.32,161.26,60.35,58.7,121.25,294.81,1.05,2.54,20.48,34.96,22.24,11.84,20.6,6.32,33.76,1.01,21-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Sep-2020 - 00:00,32.18,975.26,152.39,50.67,56.12,111.77,308.22,0.9,2.22,14.15,31.25,21.34,7.35,15.8,7.13,29.66,1.01,22-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Sep-2020 - 00:00,32.27,975.94,144.15,39.3,58.92,90.42,144.83,0.86,2.7,21.0,31.21,35.69,12.46,29.01,7.53,27.68,1.1,23-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Sep-2020 - 00:00,31.15,976.24,112.7,27.24,61.09,57.24,119.3,1.03,2.39,20.67,31.17,35.08,10.13,26.67,7.21,20.66,1.02,24-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Sep-2020 - 00:00,30.57,978.31,143.54,39.58,59.57,98.57,168.8,0.9,2.62,19.84,30.47,36.57,11.52,28.85,7.31,45.1,1.13,25-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Sep-2020 - 00:00,30.5,977.54,194.88,53.71,56.83,104.81,261.03,0.93,3.11,23.27,29.16,44.3,29.13,47.32,8.04,50.4,1.38,26-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Sep-2020 - 00:00,28.65,977.65,216.25,54.69,57.34,60.61,262.07,0.89,2.81,22.45,28.9,44.18,22.69,42.0,7.04,21.17,1.15,27-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Sep-2020 - 00:00,29.22,980.37,162.4,35.33,55.4,98.66,277.13,0.71,2.59,18.33,28.1,37.01,32.09,45.85,8.55,36.21,1.26,28-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Sep-2020 - 00:00,29.99,981.39,241.72,63.71,53.83,94.54,300.0,0.95,3.08,23.22,31.59,35.42,18.26,33.74,7.64,51.34,1.09,29-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Sep-2020 - 00:00,29.39,981.1,235.11,65.27,56.63,91.78,297.92,1.03,2.76,17.28,35.8,33.9,9.51,25.54,7.7,49.41,1.09,30-Sep-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Sep-2020 - 00:00,29.31,980.06,207.49,56.06,55.32,88.29,298.02,0.99,2.48,15.86,32.12,33.59,8.73,24.99,8.76,50.93,0.98,01-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Oct-2020 - 00:00,29.4,979.59,244.43,61.08,53.6,85.96,260.65,0.92,3.65,25.3,32.84,43.85,28.08,46.21,7.51,39.79,1.34,02-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Oct-2020 - 00:00,29.04,980.22,214.28,68.73,53.96,86.83,265.83,0.81,3.14,16.07,36.24,35.33,9.94,26.9,6.61,54.13,1.13,03-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Oct-2020 - 00:00,27.64,981.51,232.09,91.19,60.21,115.02,265.05,0.74,3.16,14.11,40.28,37.96,10.37,28.64,7.51,49.79,1.17,04-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Oct-2020 - 00:00,31.09,981.72,213.4,61.74,43.42,120.64,318.58,0.81,2.87,17.44,31.45,44.73,12.37,33.87,10.19,79.98,1.09,05-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Oct-2020 - 00:00,27.61,981.77,250.62,72.36,51.46,81.7,288.2,0.95,3.53,24.51,32.46,50.43,29.32,50.73,9.95,44.75,1.29,06-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Oct-2020 - 00:00,27.58,982.17,284.44,78.95,50.98,79.55,262.13,0.82,4.18,27.73,33.9,58.22,38.58,62.42,10.21,39.36,1.44,07-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Oct-2020 - 00:00,27.55,983.97,276.07,91.38,51.99,75.74,264.56,0.78,6.85,35.0,42.32,55.99,29.58,53.88,10.58,33.4,1.54,08-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Oct-2020 - 00:00,28.08,984.31,257.53,83.48,51.36,71.31,294.56,0.86,3.66,20.28,58.19,48.36,17.89,40.31,11.32,57.39,0.98,09-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Oct-2020 - 00:00,27.91,984.56,283.8,88.98,50.83,67.23,272.19,0.63,4.07,22.79,49.34,59.9,22.7,50.34,12.91,46.06,1.03,10-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Oct-2020 - 00:00,27.48,983.26,297.15,104.61,52.79,66.19,277.3,0.68,4.29,25.54,52.87,62.6,19.14,48.91,12.24,49.41,1.26,11-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Oct-2020 - 00:00,27.22,981.42,311.82,102.36,53.72,62.88,277.23,0.74,4.41,22.64,51.16,62.99,50.12,74.36,12.81,46.76,1.47,12-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Oct-2020 - 00:00,27.2,980.03,404.77,121.92,51.9,63.19,254.29,0.56,6.34,34.62,51.45,78.57,102.29,125.18,13.24,47.45,2.22,13-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Oct-2020 - 00:00,28.05,980.81,409.87,140.5,56.27,49.04,146.59,0.6,7.88,58.42,72.96,89.39,96.57,126.26,10.5,33.12,2.27,14-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Oct-2020 - 00:00,29.0,982.37,429.53,135.69,56.51,57.65,143.31,0.52,7.0,48.72,67.65,85.77,76.78,108.15,12.33,49.59,2.53,15-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Oct-2020 - 00:00,28.41,982.98,377.91,143.21,47.1,55.91,224.85,0.64,7.17,51.48,51.16,72.4,50.51,79.69,12.04,39.08,1.81,16-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Oct-2020 - 00:00,26.08,982.76,324.7,107.94,45.66,57.91,237.93,0.57,5.65,40.48,43.17,75.06,76.52,102.3,13.91,48.16,2.39,17-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Oct-2020 - 00:00,25.65,983.47,404.47,136.16,50.31,54.41,245.55,0.51,7.07,49.98,56.18,85.71,102.99,129.57,14.64,44.71,2.07,18-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Oct-2020 - 00:00,25.52,983.47,332.82,120.29,48.8,60.01,286.17,0.63,5.07,32.3,54.11,74.56,57.09,86.2,11.49,35.44,1.47,19-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Oct-2020 - 00:00,25.64,983.05,302.04,109.42,44.68,58.97,299.93,0.75,4.49,26.71,44.83,70.36,35.13,66.05,12.65,43.67,1.22,20-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Oct-2020 - 00:00,24.23,982.77,376.48,115.24,46.61,57.63,250.52,0.59,5.51,39.38,40.9,76.56,113.26,133.07,15.18,38.88,1.99,21-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Oct-2020 - 00:00,25.09,983.88,428.77,131.95,48.39,56.56,209.3,0.5,9.28,73.74,45.94,96.63,219.64,225.68,15.38,40.34,2.86,22-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Oct-2020 - 00:00,24.75,982.61,471.03,156.2,50.93,48.74,160.82,0.5,10.72,91.29,60.74,127.13,184.52,218.05,18.22,31.23,3.24,23-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Oct-2020 - 00:00,23.84,982.27,462.01,213.69,52.91,52.39,228.17,0.59,8.54,63.3,65.86,104.58,135.52,163.63,19.97,49.64,3.13,24-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Oct-2020 - 00:00,23.27,983.3,396.47,183.21,53.78,52.05,259.14,0.62,8.24,65.11,58.43,94.5,135.33,157.88,13.86,43.99,2.69,25-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Oct-2020 - 00:00,23.39,985.73,435.91,191.62,54.61,50.98,205.34,0.51,9.14,64.01,58.26,116.61,153.95,187.46,16.22,35.5,3.09,26-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Oct-2020 - 00:00,24.16,987.02,361.69,170.91,50.38,50.15,239.9,0.61,8.23,52.27,40.11,100.1,113.77,143.92,16.19,46.39,2.31,27-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Oct-2020 - 00:00,21.88,987.08,360.65,181.28,52.65,51.33,232.19,0.69,6.0,34.27,21.29,79.44,107.57,108.45,16.0,42.07,2.21,28-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Oct-2020 - 00:00,21.13,987.57,418.84,189.79,54.99,51.59,262.39,0.52,7.68,53.51,26.38,103.92,164.48,186.89,17.47,40.69,2.94,29-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Oct-2020 - 00:00,21.24,988.43,507.31,265.85,58.81,48.64,221.03,0.47,9.58,67.72,33.56,124.38,234.16,217.88,16.24,30.12,3.76,30-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Oct-2020 - 00:00,21.8,988.11,400.43,232.41,52.98,46.62,271.01,0.62,6.82,45.16,44.45,89.58,65.97,101.4,9.72,30.55,1.71,31-Oct-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Oct-2020 - 00:00,21.33,988.07,443.81,281.67,52.58,48.16,273.12,0.72,5.74,27.98,53.56,74.41,34.54,67.73,10.61,33.05,1.57,01-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Nov-2020 - 00:00,20.52,988.73,381.35,224.14,47.79,48.83,270.95,0.71,5.24,26.39,46.26,72.26,72.81,97.78,13.49,35.85,1.58,02-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Nov-2020 - 00:00,19.6,989.41,387.84,155.67,49.92,48.67,260.6,0.54,6.17,40.86,41.19,86.75,177.07,165.48,14.51,27.35,2.43,03-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Nov-2020 - 00:00,17.08,988.98,496.71,201.05,57.87,21.67,205.5,0.41,9.36,81.29,52.13,79.6,341.14,320.47,19.24,6.96,3.79,04-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Nov-2020 - 00:00,18.92,987.49,517.55,317.97,57.32,40.15,258.84,0.61,8.18,50.63,65.75,60.76,166.12,167.75,15.1,19.52,2.74,05-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Nov-2020 - 00:00,19.87,988.84,585.41,335.49,57.97,44.64,241.07,0.53,7.73,58.66,61.43,72.49,167.47,175.1,15.25,27.72,3.28,06-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Nov-2020 - 00:00,19.93,991.54,493.84,266.82,55.1,43.77,263.35,0.55,8.05,56.57,59.86,74.27,134.61,149.21,12.75,21.0,2.65,07-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Nov-2020 - 00:00,19.81,992.44,598.33,356.56,56.96,42.24,267.97,0.59,7.91,48.99,64.44,76.06,128.08,144.76,16.02,38.68,2.79,08-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Nov-2020 - 00:00,18.76,993.0,595.17,360.27,61.49,39.9,250.03,0.44,9.15,60.35,70.01,89.28,149.74,169.55,14.88,26.83,3.39,09-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Nov-2020 - 00:00,17.96,991.44,815.56,600.4,67.56,39.12,246.72,0.53,10.04,53.86,93.63,90.01,143.08,164.51,11.83,22.28,2.98,10-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Nov-2020 - 00:00,19.16,990.46,699.8,503.76,65.6,39.08,170.27,0.45,10.7,50.99,83.11,85.91,198.31,187.57,11.5,38.78,5.5,11-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Nov-2020 - 00:00,19.8,992.26,336.59,156.04,63.98,38.9,142.9,0.41,9.11,64.52,63.38,83.96,233.18,233.91,10.38,29.26,3.44,12-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Nov-2020 - 00:00,20.06,993.44,364.95,158.33,63.42,37.56,184.99,0.46,9.74,69.24,68.98,108.85,261.69,264.98,9.34,35.92,3.56,13-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Nov-2020 - 00:00,19.76,992.01,407.76,206.27,63.47,38.66,216.39,0.47,8.56,58.72,69.99,90.17,153.53,173.13,7.47,38.51,3.23,14-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Nov-2020 - 00:00,19.16,989.88,597.83,422.9,62.43,38.62,177.98,0.49,8.18,39.55,80.82,95.81,72.28,109.89,10.93,36.83,2.68,15-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Nov-2020 - 00:00,21.04,989.34,380.19,279.46,57.58,34.53,113.25,1.04,4.5,15.76,67.63,46.92,2.74,26.79,15.6,3.23,1.04,16-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Nov-2020 - 00:00,20.44,991.08,138.31,90.09,68.57,45.59,133.3,0.92,2.56,10.98,65.14,38.39,12.96,30.74,6.23,3.24,0.85,17-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Nov-2020 - 00:00,18.98,989.32,159.55,87.94,67.64,47.44,278.59,0.69,3.25,18.29,56.13,47.99,33.56,52.89,6.8,3.29,0.93,18-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Nov-2020 - 00:00,16.72,988.42,242.88,143.34,66.31,39.42,221.15,0.53,4.74,26.94,52.78,66.41,85.03,104.63,8.95,8.61,1.85,19-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Nov-2020 - 00:00,17.02,988.78,306.6,172.82,60.82,47.79,235.3,0.56,6.53,48.53,53.53,79.03,107.22,129.36,8.61,42.66,1.79,20-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Nov-2020 - 00:00,16.87,990.21,259.34,172.08,56.49,44.44,275.99,0.82,4.21,25.38,52.5,65.62,30.23,59.4,8.76,3.13,1.12,21-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Nov-2020 - 00:00,15.53,990.64,270.38,164.71,57.25,44.97,272.62,0.86,3.69,17.76,46.62,61.7,43.2,68.05,8.38,3.12,0.9,22-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Nov-2020 - 00:00,15.1,991.22,291.35,154.36,56.47,43.49,257.52,0.68,4.42,25.51,43.3,66.6,79.45,98.82,8.41,27.76,2.17,23-Nov-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
