from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
09-Feb-2020 - 00:00,227.92,160.29,47.7,33.18,80.88,0.92,,11.97,10-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Feb-2020 - 00:00,288.58,162.17,94.87,35.1,128.89,1.39,,10.96,11-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Feb-2020 - 00:00,360.12,179.06,124.71,37.28,160.64,2.1,,11.54,12-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Feb-2020 - 00:00,254.9,140.8,31.61,31.7,63.32,0.86,,11.54,13-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Feb-2020 - 00:00,142.49,57.33,11.51,27.74,39.25,0.46,,9.77,14-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Feb-2020 - 00:00,126.38,43.58,10.01,27.21,37.22,0.38,,10.98,15-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Feb-2020 - 00:00,128.7,56.16,13.93,29.46,43.39,0.41,,12.63,16-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Feb-2020 - 00:00,202.99,100.51,61.01,35.94,96.96,1.05,,12.94,17-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Feb-2020 - 00:00,231.9,114.57,56.36,35.5,91.84,1.06,,11.26,18-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Feb-2020 - 00:00,195.58,89.96,59.92,35.89,95.8,0.94,,12.36,19-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Feb-2020 - 00:00,237.06,69.76,74.15,33.23,107.4,1.02,,13.97,20-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Feb-2020 - 00:00,220.34,77.33,6.83,29.78,36.61,0.44,,19.55,21-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Feb-2020 - 00:00,73.56,43.04,14.89,25.03,39.92,0.41,,9.36,22-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Feb-2020 - 00:00,127.47,54.95,54.35,28.0,82.35,0.79,,7.36,23-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Feb-2020 - 00:00,176.14,87.23,61.37,29.93,91.3,1.01,,8.99,24-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Feb-2020 - 00:00,150.34,67.05,47.8,28.97,76.78,0.74,,8.53,25-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Feb-2020 - 00:00,201.47,94.8,31.68,29.11,60.8,0.79,,7.93,26-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Feb-2020 - 00:00,254.54,114.76,87.45,29.96,117.41,1.28,,9.19,27-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Feb-2020 - 00:00,170.06,81.95,25.44,26.95,52.39,0.68,,8.43,28-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Feb-2020 - 00:00,164.29,79.53,7.52,22.3,29.58,0.36,8.78,6.36,29-Feb-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-Feb-2020 - 00:00,104.84,45.35,20.25,29.68,44.1,0.26,0.0,12.04,01-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Mar-2020 - 00:00,89.19,35.71,38.0,47.86,75.26,0.41,,12.61,02-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Mar-2020 - 00:00,220.12,91.92,76.39,53.38,127.07,1.08,,11.29,03-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Mar-2020 - 00:00,192.85,76.02,78.32,50.66,128.62,0.98,,9.62,04-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Mar-2020 - 00:00,198.11,71.57,74.95,43.92,118.79,0.9,,15.21,05-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Mar-2020 - 00:00,60.86,27.17,14.81,20.91,35.72,0.2,,11.3,06-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Mar-2020 - 00:00,44.97,16.79,19.57,23.05,42.61,0.17,,9.25,07-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Mar-2020 - 00:00,85.3,38.03,31.88,30.54,62.41,0.26,,9.54,08-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Mar-2020 - 00:00,124.37,60.42,46.26,27.85,74.13,0.53,,10.07,09-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Mar-2020 - 00:00,128.02,57.37,16.67,14.47,31.14,0.29,,9.79,10-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Mar-2020 - 00:00,144.21,58.21,20.2,16.74,36.9,0.26,,16.78,11-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Mar-2020 - 00:00,103.76,49.89,13.43,12.18,25.28,0.18,,15.04,12-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Mar-2020 - 00:00,158.76,44.44,23.66,20.11,43.74,0.26,,9.18,13-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Mar-2020 - 00:00,194.23,45.57,24.96,21.27,46.23,0.2,,9.32,14-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Mar-2020 - 00:00,94.37,37.57,46.3,76.84,120.04,0.33,,6.89,15-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Mar-2020 - 00:00,138.62,55.52,108.16,150.46,212.34,0.86,,14.24,16-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Mar-2020 - 00:00,131.84,54.05,60.57,104.71,164.56,0.77,0.0,10.8,17-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Mar-2020 - 00:00,146.53,54.98,60.12,84.66,144.3,0.82,,12.83,18-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Mar-2020 - 00:00,172.61,76.73,84.78,98.44,163.65,0.86,,12.3,19-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Mar-2020 - 00:00,182.18,69.7,81.01,79.12,145.14,0.96,9.92,13.41,20-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Mar-2020 - 00:00,194.77,82.0,60.25,51.55,111.81,1.18,,17.16,21-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Mar-2020 - 00:00,161.8,61.67,56.17,45.07,87.14,1.19,,14.22,22-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Mar-2020 - 00:00,134.57,71.17,49.45,36.7,84.96,1.12,,18.18,23-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Mar-2020 - 00:00,87.93,42.17,34.67,29.75,67.11,0.84,,17.1,24-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Mar-2020 - 00:00,80.82,48.12,22.26,15.78,39.61,0.84,,14.45,25-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Mar-2020 - 00:00,67.93,34.45,20.7,9.56,39.35,0.76,,13.43,26-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Mar-2020 - 00:00,51.76,27.71,4.99,,7.03,0.67,,11.59,27-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Mar-2020 - 00:00,33.98,17.02,6.48,3.36,21.98,0.63,,12.36,28-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Mar-2020 - 00:00,29.04,16.64,5.51,4.34,12.16,0.61,,14.06,29-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-Mar-2020 - 00:00,49.17,23.21,2.83,4.89,11.4,0.59,,20.13,30-Mar-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
