from date,Benzene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,SR,Temp,WD,WS,SO2,to date,station
01-Jan-2020 - 00:00,29.9,11.73,44.8,1.41,49.62,83.33,75.79,19.49,43.76,92.72,240.92,25.99,161.42,1.09,23.85,02-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Jan-2020 - 00:00,26.28,11.4,20.48,0.95,56.47,67.09,69.65,19.4,40.34,86.68,202.2,27.39,173.9,1.07,29.08,03-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Jan-2020 - 00:00,21.76,10.81,16.57,0.8,44.58,76.59,69.12,18.75,38.16,78.98,219.27,27.21,176.53,0.43,21.12,04-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Jan-2020 - 00:00,18.95,8.91,10.21,0.64,44.74,72.91,67.01,18.13,41.41,70.48,213.27,26.51,167.08,0.26,26.65,05-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Jan-2020 - 00:00,22.31,15.25,6.64,0.93,52.09,102.44,88.52,19.4,25.15,96.4,246.96,28.5,167.41,0.13,66.56,06-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Jan-2020 - 00:00,18.38,10.68,0.0,1.03,47.03,81.51,73.28,19.72,31.45,92.91,251.31,30.82,120.25,0.18,39.01,07-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Jan-2020 - 00:00,24.35,3.36,0.0,0.95,42.75,101.14,82.86,20.74,33.98,77.26,188.43,30.37,182.92,0.28,25.37,08-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Jan-2020 - 00:00,26.67,0.44,0.0,0.89,40.35,99.26,80.48,20.12,29.79,71.26,193.41,29.9,178.56,0.32,22.83,09-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Jan-2020 - 00:00,17.75,1.1,1.28,0.54,39.25,88.29,73.33,18.9,42.2,56.73,247.61,28.17,179.5,0.24,37.77,10-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Jan-2020 - 00:00,16.52,3.9,1.95,0.76,44.67,99.01,82.59,19.93,30.31,71.68,249.96,29.44,102.2,0.16,29.22,11-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Jan-2020 - 00:00,23.55,5.51,4.16,0.91,49.82,73.7,70.13,20.52,32.74,78.01,236.1,31.49,120.63,0.15,36.9,12-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Jan-2020 - 00:00,18.88,5.6,4.16,1.1,43.25,125.29,97.58,21.14,30.19,82.28,212.15,30.4,170.62,0.19,30.12,13-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Jan-2020 - 00:00,3.19,2.64,1.54,0.82,35.85,104.69,81.38,20.82,26.76,59.33,191.25,29.85,189.1,0.33,22.76,14-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Jan-2020 - 00:00,0.05,0.0,0.05,0.42,37.68,27.76,36.3,18.38,36.09,50.22,238.71,30.5,203.47,0.42,51.77,15-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Jan-2020 - 00:00,2.23,0.32,0.45,0.3,39.69,46.73,48.69,17.73,35.93,34.29,255.73,27.39,186.69,0.92,35.77,16-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Jan-2020 - 00:00,10.39,0.46,2.72,0.49,42.15,55.52,55.25,17.68,31.81,52.62,274.49,24.91,176.43,1.32,27.05,17-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Jan-2020 - 00:00,15.82,0.08,5.22,0.41,42.51,45.88,49.67,17.54,43.34,55.92,313.26,24.57,151.67,0.72,31.05,18-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Jan-2020 - 00:00,22.97,0.05,3.55,0.64,55.4,48.3,57.82,19.01,39.68,74.25,273.45,27.37,144.87,0.77,44.27,19-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Jan-2020 - 00:00,24.78,0.09,4.42,0.75,55.27,78.88,76.08,19.74,33.02,80.03,257.59,29.37,147.58,1.08,53.2,20-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Jan-2020 - 00:00,30.52,0.12,4.95,1.06,51.66,110.27,92.9,20.91,32.18,84.93,253.04,30.21,151.0,0.91,37.94,21-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Jan-2020 - 00:00,42.02,0.13,2.92,1.12,51.53,128.24,103.65,21.72,35.54,101.24,236.13,29.84,164.3,0.74,24.46,22-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Jan-2020 - 00:00,35.13,0.16,6.75,0.95,46.17,142.93,109.64,22.44,27.71,83.46,230.57,30.41,180.64,0.68,28.71,23-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Jan-2020 - 00:00,27.98,0.19,4.16,0.82,49.9,78.42,73.0,21.24,30.69,77.06,267.53,31.98,137.4,0.56,58.02,24-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Jan-2020 - 00:00,37.79,1.54,10.02,0.7,45.03,69.31,65.0,22.21,31.9,76.49,263.06,32.44,122.1,0.7,65.83,25-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Jan-2020 - 00:00,28.25,1.73,3.42,0.96,46.54,92.18,79.46,22.4,32.94,93.27,239.77,31.91,148.14,0.9,44.22,26-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Jan-2020 - 00:00,32.59,1.32,3.57,0.91,40.16,116.29,90.57,21.23,34.61,86.57,234.14,31.35,149.85,1.16,35.92,27-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Jan-2020 - 00:00,34.24,1.18,2.28,0.82,35.72,138.47,101.52,22.21,31.61,70.97,248.56,29.51,173.06,1.62,17.97,28-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Jan-2020 - 00:00,18.72,0.03,0.69,0.25,27.69,9.65,18.82,18.38,27.44,42.81,279.84,30.84,195.7,4.23,50.94,29-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Jan-2020 - 00:00,19.03,0.16,1.49,0.3,33.62,35.78,38.97,18.32,29.65,38.3,287.12,27.62,174.93,2.37,30.15,30-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Jan-2020 - 00:00,20.12,2.4,3.16,0.8,44.2,80.23,71.09,21.82,40.18,52.77,272.66,26.69,161.81,1.76,44.56,31-Jan-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Jan-2020 - 00:00,3.59,2.67,2.24,0.45,39.66,20.32,32.78,16.87,34.07,133.33,245.97,26.97,178.32,1.59,20.8,01-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Feb-2020 - 00:00,0.33,0.03,0.03,0.59,59.55,95.61,88.37,17.62,39.9,115.62,241.19,28.6,151.47,0.52,42.62,02-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Feb-2020 - 00:00,0.09,0.0,0.07,,56.41,112.25,96.6,11.09,54.74,134.62,256.6,29.58,139.13,0.72,50.92,03-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Feb-2020 - 00:00,9.58,0.08,1.54,,47.21,116.19,94.02,12.59,55.36,93.05,223.49,28.68,165.92,1.06,39.96,04-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Feb-2020 - 00:00,25.95,0.28,1.05,0.79,43.87,89.15,75.01,12.58,56.44,81.33,230.77,29.08,175.74,1.0,29.51,05-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Feb-2020 - 00:00,18.95,0.18,0.99,0.66,46.17,74.76,68.84,11.83,87.98,94.65,242.42,29.54,173.61,1.1,59.88,06-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Feb-2020 - 00:00,23.89,0.92,2.01,0.82,41.32,109.48,85.63,10.59,81.81,105.06,254.5,28.03,176.15,1.29,28.21,07-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Feb-2020 - 00:00,23.63,0.59,3.76,0.89,38.96,164.84,118.8,9.94,53.58,111.46,215.52,25.41,171.59,1.21,20.42,08-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Feb-2020 - 00:00,24.38,0.48,0.83,0.78,41.86,118.23,92.59,11.59,54.87,123.02,235.77,28.4,150.57,0.81,55.97,09-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Feb-2020 - 00:00,16.74,2.74,0.58,0.7,42.75,65.21,61.36,12.7,50.16,128.79,243.07,30.56,132.18,1.03,60.83,10-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Feb-2020 - 00:00,4.9,4.97,1.95,0.79,39.42,56.57,54.41,13.53,48.5,109.62,243.72,32.08,114.95,1.35,67.96,11-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Feb-2020 - 00:00,0.21,0.0,15.94,0.82,44.42,58.81,58.4,14.62,49.05,98.22,157.96,32.67,117.57,1.17,63.14,12-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Feb-2020 - 00:00,2.75,0.0,23.11,1.01,52.41,138.04,109.84,14.27,39.35,100.04,81.12,32.75,152.46,2.35,61.2,13-Feb-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
