from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
30-Aug-2020 - 00:00,0.49,0.13,1.24,0.54,733.45,24.8,11.97,0.05,92.38,107.99,26.27,2.64,125.19,1.2,0.48,15.08,3.97,4.38,8.28,37.6,10.41,31-Aug-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
31-Aug-2020 - 00:00,1.32,0.66,3.96,1.7,725.5,34.79,15.47,0.02,90.86,137.83,25.94,5.42,167.5,1.8,0.6,28.28,4.21,15.65,19.63,32.58,11.43,01-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-Sep-2020 - 00:00,0.76,0.36,2.79,1.27,733.27,44.36,20.32,0.0,89.08,111.15,25.94,3.99,207.19,1.27,0.53,21.74,3.31,15.06,18.16,37.09,7.12,02-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Sep-2020 - 00:00,0.71,0.5,1.49,0.64,732.23,65.37,28.65,0.0,83.79,141.92,27.67,3.48,299.76,1.02,0.49,17.26,1.78,12.09,13.44,36.3,11.98,03-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Sep-2020 - 00:00,1.99,0.99,4.74,1.97,727.81,67.94,32.0,0.12,91.74,114.58,27.16,8.12,236.35,0.71,0.62,25.39,4.55,16.87,21.22,27.26,10.19,04-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Sep-2020 - 00:00,1.31,0.49,2.95,1.26,727.44,44.06,16.5,0.0,88.96,162.41,27.78,6.11,177.71,0.68,0.57,24.26,4.97,14.33,19.27,35.74,19.57,05-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Sep-2020 - 00:00,0.5,0.14,0.86,0.38,726.67,60.73,21.9,0.0,81.47,217.33,28.4,2.82,277.73,0.81,0.39,20.1,4.23,12.08,16.28,39.05,6.94,06-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Sep-2020 - 00:00,0.83,0.24,1.46,0.64,723.32,101.26,20.61,0.0,73.99,201.62,29.43,3.65,248.92,0.65,0.57,20.97,3.92,13.26,17.14,47.23,12.78,07-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Sep-2020 - 00:00,3.13,1.25,3.44,1.49,725.09,53.45,28.99,0.27,88.69,103.9,26.88,6.8,292.91,1.12,0.71,26.95,5.05,17.43,22.33,32.77,17.03,08-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Sep-2020 - 00:00,4.36,2.4,5.91,2.64,727.46,74.31,42.22,0.0,86.35,148.26,27.47,11.79,306.04,0.93,0.82,27.7,5.29,18.31,23.58,31.47,16.08,09-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Sep-2020 - 00:00,2.13,1.2,3.39,1.46,729.04,87.02,37.47,0.0,72.12,191.94,29.84,7.12,300.96,0.83,0.83,23.41,4.01,15.53,19.31,42.93,20.55,10-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Sep-2020 - 00:00,2.14,1.15,3.16,1.35,734.76,88.57,39.87,0.0,67.95,187.52,30.71,7.03,304.95,1.08,0.65,23.26,4.52,15.1,19.56,42.51,13.38,11-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Sep-2020 - 00:00,2.91,1.63,5.74,2.6,725.38,92.12,38.22,0.0,65.22,156.92,31.08,8.73,280.1,0.78,0.81,31.62,5.0,21.88,26.88,34.62,17.84,12-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Sep-2020 - 00:00,2.48,1.17,5.86,2.43,727.74,69.86,30.91,0.0,58.57,198.79,31.93,8.61,217.76,0.63,0.69,28.2,4.02,19.87,23.8,36.15,13.33,13-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-Sep-2020 - 00:00,1.62,0.57,3.58,1.44,727.01,83.55,35.3,0.0,51.34,191.58,32.17,6.47,189.76,0.61,0.63,23.9,3.49,16.28,19.69,55.81,18.29,14-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Sep-2020 - 00:00,1.76,0.66,3.91,1.57,726.78,80.19,43.01,0.0,50.75,200.22,31.96,6.99,263.91,0.89,0.67,24.87,3.59,17.46,21.02,52.95,16.95,15-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Sep-2020 - 00:00,1.76,0.64,3.34,1.35,723.24,100.31,55.77,0.0,49.45,192.71,32.24,5.61,256.52,0.85,0.63,22.92,3.31,16.76,19.28,70.26,17.66,16-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Sep-2020 - 00:00,2.74,1.25,4.48,2.24,732.45,93.85,46.44,0.0,52.72,176.61,32.49,14.58,242.13,0.82,0.62,27.49,3.64,20.16,23.74,46.73,15.97,17-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
