from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
28-Apr-2020 - 00:00,23.3,989.07,,,59.2,23.8,153.63,1.5,0.0,0.65,2.35,207.6,,,,0.0,17.85,8.9,29-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Apr-2020 - 00:00,29.2,983.0,,,44.6,3.6,194.0,0.8,,,,,,,,0.0,2.2,,30-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Apr-2020 - 00:00,32.55,983.18,134.07,48.29,40.41,81.53,148.83,1.35,,1.31,5.06,144.49,14.05,1.01,8.17,0.44,22.07,12.92,01-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-May-2020 - 00:00,32.16,982.84,149.92,51.43,42.62,172.24,134.19,1.76,,1.7,6.26,100.63,12.68,0.79,7.06,0.5,24.33,10.52,02-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-May-2020 - 00:00,28.65,983.04,93.03,25.95,50.1,88.62,161.87,3.32,,1.07,2.22,80.05,7.99,0.44,4.18,0.57,28.15,8.68,03-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-May-2020 - 00:00,28.61,983.93,73.73,24.31,51.27,123.35,140.46,2.86,,1.01,2.17,81.71,7.49,0.5,3.99,0.13,25.35,9.57,04-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-May-2020 - 00:00,27.66,985.65,52.99,21.58,51.22,178.8,90.46,1.39,,0.93,5.27,80.95,11.0,0.99,6.16,0.4,20.74,10.79,05-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-May-2020 - 00:00,30.58,984.14,146.9,79.75,43.22,175.34,99.02,1.6,,1.92,10.46,88.61,13.69,0.66,7.52,1.05,21.83,11.38,06-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-May-2020 - 00:00,29.89,983.52,163.83,38.82,38.27,123.29,156.01,1.74,,1.34,5.39,76.09,10.65,0.59,5.75,0.57,28.68,9.25,07-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-May-2020 - 00:00,30.11,984.16,89.37,36.88,39.33,173.05,125.0,2.06,,1.28,6.31,79.76,10.67,1.11,6.16,0.54,30.96,11.21,08-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-May-2020 - 00:00,30.04,981.99,128.09,57.25,44.21,94.61,219.38,1.05,,2.16,10.15,59.04,13.12,1.0,7.43,0.49,24.96,13.93,09-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-May-2020 - 00:00,32.21,982.89,122.06,44.1,43.62,136.9,,,,1.8,4.23,,9.89,1.09,5.86,0.43,28.88,12.91,10-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-May-2020 - 00:00,28.67,983.89,114.48,44.15,49.52,78.72,,,,1.67,4.25,,10.41,0.87,5.96,0.62,28.69,13.79,11-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-May-2020 - 00:00,29.31,984.94,87.39,31.22,48.17,158.28,,,,1.52,3.89,,10.02,0.64,5.47,0.46,27.59,13.52,12-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-May-2020 - 00:00,31.26,984.91,97.56,36.32,45.53,164.53,,,,1.7,6.55,,10.75,0.86,6.29,0.51,28.26,14.21,13-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-May-2020 - 00:00,29.76,983.87,180.58,61.03,48.52,75.87,263.04,1.13,,1.92,6.44,4.97,12.15,0.95,7.17,0.58,24.11,14.65,14-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-May-2020 - 00:00,30.61,983.05,105.68,48.49,49.0,177.27,197.74,1.75,,1.24,5.71,5.7,14.41,0.75,7.89,0.95,19.27,8.63,15-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-May-2020 - 00:00,30.96,982.71,135.58,65.98,41.02,180.3,77.87,2.01,,1.33,2.74,5.49,13.91,0.84,8.0,1.12,15.65,11.27,16-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-May-2020 - 00:00,31.68,981.5,202.67,109.85,35.91,185.69,101.73,1.85,,2.32,2.92,9.3,15.36,0.87,8.5,0.78,15.62,13.14,17-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-May-2020 - 00:00,32.51,980.07,181.42,92.19,33.98,146.54,243.34,1.52,,1.91,2.57,15.97,15.06,0.45,7.98,0.9,17.36,12.68,18-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-May-2020 - 00:00,32.18,979.18,198.8,92.65,33.69,176.68,166.49,1.6,,2.09,3.56,16.47,16.56,2.06,10.21,1.34,12.13,14.43,19-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-May-2020 - 00:00,31.97,978.6,278.44,133.49,31.38,174.0,137.37,1.4,,2.83,8.09,18.26,22.36,3.35,14.19,1.13,10.42,14.94,20-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-May-2020 - 00:00,29.02,977.93,274.89,120.93,32.84,32.68,94.56,1.69,,2.41,7.61,24.96,22.4,1.79,12.85,1.5,5.58,22.91,21-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-May-2020 - 00:00,33.02,977.32,214.99,77.05,30.2,192.57,142.27,2.15,,1.86,2.6,20.22,15.33,0.69,8.6,1.25,7.51,19.96,22-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-May-2020 - 00:00,35.06,977.35,167.27,55.25,29.92,177.79,162.58,1.49,,2.08,5.35,20.18,23.27,1.44,13.39,0.87,10.5,14.58,23-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-May-2020 - 00:00,37.25,978.43,204.21,51.2,28.72,170.28,272.8,2.23,,1.84,6.86,20.4,22.26,0.79,12.32,0.57,7.76,12.62,24-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-May-2020 - 00:00,37.89,979.11,172.85,39.57,27.97,180.61,151.22,2.02,,1.28,2.51,18.08,12.25,0.98,7.19,0.46,11.4,11.84,25-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-May-2020 - 00:00,36.17,978.58,192.32,68.08,30.54,170.33,210.51,2.04,,2.26,3.94,21.85,20.29,1.39,11.63,1.0,11.83,15.03,26-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-May-2020 - 00:00,37.91,977.0,219.2,50.93,28.69,177.8,255.32,2.36,,1.86,5.16,19.06,20.8,3.25,13.53,0.74,10.76,11.59,27-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-May-2020 - 00:00,35.4,975.06,161.56,38.62,32.06,44.26,152.99,2.0,,1.33,7.95,20.21,14.65,0.97,8.35,1.13,12.59,14.62,28-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-May-2020 - 00:00,34.49,977.01,242.44,34.48,39.87,155.47,153.33,4.46,,0.85,2.52,18.34,6.99,0.79,4.28,1.79,13.37,8.83,29-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-May-2020 - 00:00,29.42,980.34,57.29,20.47,50.79,141.02,165.14,3.58,,0.71,4.16,16.77,11.97,0.75,6.88,0.48,7.22,7.64,30-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-May-2020 - 00:00,28.25,982.12,42.6,17.52,53.94,108.85,186.13,2.82,,0.59,2.12,16.37,12.72,0.81,7.29,0.5,6.32,7.96,31-May-2020 - 00:00,"Najafgarh, Delhi - DPCC"
31-May-2020 - 00:00,26.58,984.26,34.17,16.62,58.16,127.27,167.68,2.48,,0.76,2.38,16.02,8.21,0.67,4.8,1.2,6.93,9.26,01-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Jun-2020 - 00:00,28.27,984.39,72.66,37.08,55.61,174.44,,,,1.42,4.27,,16.04,1.24,9.42,1.54,7.0,12.14,02-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Jun-2020 - 00:00,30.49,982.68,81.65,35.09,50.16,175.16,,,,1.64,4.03,,13.7,1.55,8.39,0.72,8.17,4.11,03-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Jun-2020 - 00:00,31.75,979.69,83.58,25.06,43.05,48.7,,,,,,,12.1,0.7,6.91,1.08,6.62,8.68,04-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Jun-2020 - 00:00,28.22,979.97,129.51,66.94,54.9,91.05,,,,,,,17.93,2.69,11.59,1.37,8.17,7.41,05-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Jun-2020 - 00:00,28.73,980.03,65.75,33.71,54.02,162.01,174.78,1.23,,1.15,7.29,33.66,15.85,1.17,9.36,0.55,8.01,7.88,06-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Jun-2020 - 00:00,30.53,979.28,70.7,30.73,52.15,167.33,195.16,1.79,,1.36,9.1,31.44,12.0,0.77,6.9,0.6,8.63,9.14,07-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Jun-2020 - 00:00,29.25,979.12,66.86,29.3,55.98,149.07,132.55,1.66,,1.38,9.92,29.96,11.88,0.74,6.72,0.65,6.84,9.22,08-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Jun-2020 - 00:00,31.64,978.66,89.77,35.53,50.91,168.4,155.43,1.2,,1.64,4.98,30.16,12.47,1.05,7.32,0.88,9.18,6.93,09-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Jun-2020 - 00:00,34.4,978.51,136.26,50.42,45.78,177.35,169.71,1.28,,2.05,10.4,31.94,14.01,0.94,8.1,0.71,13.48,12.51,10-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Jun-2020 - 00:00,33.65,977.93,99.27,30.68,48.85,174.45,211.77,1.43,,1.27,11.4,29.4,15.23,4.71,11.73,0.68,11.59,9.83,11-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Jun-2020 - 00:00,33.69,976.88,110.61,33.97,50.8,181.3,177.62,1.14,,1.63,6.56,29.79,11.79,1.11,7.05,0.36,10.92,10.83,12-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Jun-2020 - 00:00,34.71,975.58,160.96,61.85,47.6,166.96,148.24,1.42,,2.67,10.2,33.2,15.52,1.57,9.36,0.91,13.29,11.85,13-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Jun-2020 - 00:00,30.66,976.43,120.04,44.35,58.11,74.73,152.32,1.87,,2.24,9.74,28.26,13.41,0.77,7.54,0.66,10.51,11.29,14-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Jun-2020 - 00:00,33.4,977.77,156.51,75.74,51.14,162.62,69.21,1.33,,2.81,13.04,30.64,15.58,0.83,8.82,0.88,18.98,10.77,15-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Jun-2020 - 00:00,35.47,975.71,135.13,40.89,42.22,174.93,175.34,1.62,,2.04,3.5,27.32,11.21,0.74,6.46,0.75,20.34,12.19,16-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Jun-2020 - 00:00,34.57,973.42,98.86,32.8,46.22,149.09,170.92,1.92,,1.88,7.16,26.95,16.2,1.07,9.26,0.75,21.48,10.35,17-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Jun-2020 - 00:00,35.42,973.06,93.26,29.69,45.58,175.32,160.51,2.57,,1.57,6.05,26.35,11.72,0.69,6.61,0.88,27.65,8.18,18-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Jun-2020 - 00:00,36.5,973.67,113.5,28.67,43.23,173.84,152.8,2.06,,1.34,3.8,26.01,7.98,0.82,4.71,0.65,23.8,6.34,19-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Jun-2020 - 00:00,36.76,975.4,270.71,48.54,43.51,145.11,130.37,2.61,,1.21,3.32,23.74,6.3,0.71,3.68,0.64,18.01,7.65,20-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Jun-2020 - 00:00,32.17,977.43,119.83,26.9,49.23,110.21,183.77,2.17,,0.85,3.5,20.05,6.7,0.75,4.1,0.69,19.18,7.47,21-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Jun-2020 - 00:00,30.27,977.85,76.67,29.03,56.76,159.93,190.16,1.19,,1.11,9.93,34.47,12.68,0.67,7.08,0.36,13.59,9.21,22-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Jun-2020 - 00:00,34.23,976.31,80.0,34.42,46.13,182.4,127.68,1.41,,1.39,13.87,38.16,15.84,1.32,9.32,1.04,19.87,10.7,23-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Jun-2020 - 00:00,33.09,978.86,57.04,22.96,51.83,175.26,151.58,2.44,,1.13,5.06,25.16,8.83,0.71,5.18,4.31,19.12,9.87,24-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Jun-2020 - 00:00,31.97,979.92,56.25,26.35,54.69,138.67,160.59,2.43,,1.03,3.62,23.29,7.64,0.73,4.48,3.5,18.56,9.29,25-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Jun-2020 - 00:00,31.86,977.68,54.56,22.89,54.02,144.7,209.88,1.18,,1.15,3.22,21.41,7.26,0.74,4.26,4.78,17.0,6.7,26-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Jun-2020 - 00:00,32.23,976.71,107.72,41.38,54.27,135.85,253.62,2.03,,2.57,9.86,22.99,10.92,1.46,6.93,1.81,13.38,6.14,27-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Jun-2020 - 00:00,33.54,975.49,144.17,32.91,50.56,133.51,290.66,2.71,,0.94,2.42,23.77,9.26,1.44,5.82,1.56,11.74,7.88,28-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Jun-2020 - 00:00,36.28,974.65,338.73,47.46,44.94,162.13,287.6,2.68,,1.34,9.52,23.45,11.73,3.79,9.13,2.77,10.63,8.2,29-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Jun-2020 - 00:00,34.42,976.58,191.4,35.07,46.78,148.92,178.68,2.23,,1.33,3.32,21.12,8.89,0.89,5.26,3.3,18.03,10.56,30-Jun-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Jun-2020 - 00:00,33.41,978.03,88.44,32.58,50.87,174.26,177.61,2.25,,1.23,5.69,20.83,9.97,0.48,5.51,1.19,40.29,6.81,01-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Jul-2020 - 00:00,34.68,977.27,129.21,46.46,49.99,152.96,174.31,1.92,,1.96,6.13,31.22,8.67,0.55,4.92,2.17,41.16,8.62,02-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Jul-2020 - 00:00,37.59,973.2,182.95,68.59,43.52,112.6,104.65,1.57,,1.4,7.67,45.1,11.88,0.5,6.64,0.59,39.92,11.47,03-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Jul-2020 - 00:00,36.05,973.87,149.37,53.27,45.91,164.03,172.23,2.24,,2.13,7.01,35.17,9.31,1.05,5.68,0.87,49.4,11.28,04-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Jul-2020 - 00:00,33.95,974.4,101.0,42.9,51.59,145.24,169.52,3.08,,1.41,4.87,35.32,6.81,0.67,3.99,0.79,39.77,8.19,05-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Jul-2020 - 00:00,29.96,975.44,50.76,28.64,58.37,161.17,109.96,1.86,0.0,1.36,10.23,31.5,9.21,0.78,5.13,0.85,44.39,9.43,06-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Jul-2020 - 00:00,31.53,974.8,88.74,56.65,57.89,146.55,127.88,1.52,0.02,1.89,11.35,31.99,11.88,0.64,6.63,0.73,30.69,8.88,07-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Jul-2020 - 00:00,29.87,977.64,36.02,16.87,60.06,111.2,153.08,2.62,,0.9,5.17,24.58,7.89,0.75,4.31,0.16,17.99,9.1,08-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Jul-2020 - 00:00,29.52,978.79,32.94,26.97,64.07,129.69,163.76,2.48,,0.73,2.92,24.32,5.91,0.63,3.26,0.3,19.93,9.97,09-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Jul-2020 - 00:00,31.95,975.66,42.89,24.86,60.73,181.64,,,,1.11,10.6,,11.53,1.07,6.73,0.66,21.03,10.83,10-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Jul-2020 - 00:00,33.74,973.3,90.66,29.28,54.62,172.44,275.19,2.24,,0.55,4.98,17.23,9.85,0.79,4.35,0.29,14.97,10.19,11-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Jul-2020 - 00:00,31.65,974.67,45.36,19.74,56.84,175.15,169.06,1.78,,0.49,5.01,12.57,8.45,0.36,3.23,0.19,22.48,10.92,12-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Jul-2020 - 00:00,30.07,976.03,41.62,22.17,59.99,113.49,132.52,1.84,,0.71,5.43,13.12,6.81,0.39,3.47,0.51,19.68,12.15,13-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Jul-2020 - 00:00,31.93,975.9,121.85,30.45,56.03,176.93,170.98,1.54,,0.64,3.35,14.19,8.36,0.57,4.59,0.19,15.42,10.72,14-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Jul-2020 - 00:00,33.74,976.61,127.31,39.82,52.66,178.33,178.17,1.41,,0.79,7.36,14.07,10.04,1.27,6.12,0.16,16.83,9.68,15-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Jul-2020 - 00:00,33.62,977.05,123.43,56.12,51.69,160.85,152.28,2.15,,1.24,6.48,14.81,7.78,0.47,4.15,0.28,29.87,8.95,16-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Jul-2020 - 00:00,32.21,976.36,70.09,35.7,55.12,128.24,150.27,1.89,,1.04,6.66,14.35,11.82,0.33,5.07,0.5,17.26,10.07,17-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Jul-2020 - 00:00,32.0,977.01,92.64,55.73,59.92,99.16,145.24,1.76,,1.85,13.41,17.04,13.57,0.52,5.49,0.41,16.18,10.14,18-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Jul-2020 - 00:00,32.71,978.02,93.86,53.6,57.68,122.81,146.31,1.78,,1.52,10.82,16.19,13.75,,4.77,0.77,27.16,8.6,19-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Jul-2020 - 00:00,30.37,976.88,35.69,21.24,62.85,117.41,177.5,1.54,,0.62,3.93,13.36,8.43,,2.66,0.59,19.95,8.69,20-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Jul-2020 - 00:00,29.8,974.99,52.0,26.53,63.2,129.76,136.37,1.32,,0.8,12.29,13.76,7.76,0.23,3.71,0.42,22.51,10.21,21-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Jul-2020 - 00:00,27.18,978.61,50.9,38.12,72.13,106.32,178.24,1.52,,1.63,20.45,16.49,15.35,0.9,8.42,0.81,9.75,10.6,22-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Jul-2020 - 00:00,26.41,979.29,21.04,16.55,74.56,70.67,188.74,1.48,,0.61,5.3,15.86,6.51,0.56,3.53,0.79,4.79,10.2,23-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Jul-2020 - 00:00,29.58,978.38,41.47,27.71,61.49,165.11,210.82,0.97,,0.77,3.96,19.48,12.68,3.07,8.07,0.52,11.49,11.01,24-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Jul-2020 - 00:00,29.54,980.95,81.83,54.31,63.11,146.3,167.31,1.81,,1.63,11.85,23.12,16.56,2.71,10.02,0.41,12.6,9.97,25-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Jul-2020 - 00:00,30.2,982.55,54.2,31.82,64.09,140.48,143.12,1.44,,1.34,10.41,23.64,11.04,1.85,7.39,0.61,13.54,7.68,26-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Jul-2020 - 00:00,31.9,982.22,70.72,48.87,59.01,174.49,181.93,0.97,,1.24,7.91,21.99,11.87,2.29,8.18,0.71,23.95,5.78,27-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Jul-2020 - 00:00,32.82,979.54,69.49,35.63,57.45,185.64,266.53,1.89,,0.64,5.92,21.56,8.29,2.0,6.04,0.16,15.77,6.99,28-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Jul-2020 - 00:00,33.11,977.33,56.8,19.95,57.14,174.4,234.21,2.12,,0.43,1.9,22.13,9.46,2.18,6.82,0.16,12.08,7.44,29-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Jul-2020 - 00:00,31.35,977.83,83.53,25.21,58.3,161.33,177.42,1.82,,0.98,10.9,20.51,15.97,2.95,10.88,0.35,11.39,8.64,30-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Jul-2020 - 00:00,28.0,979.87,23.64,19.33,65.84,83.8,166.43,1.65,,1.92,8.68,19.11,8.18,1.99,5.98,0.23,15.23,9.9,31-Jul-2020 - 00:00,"Najafgarh, Delhi - DPCC"
31-Jul-2020 - 00:00,31.1,978.9,64.34,33.09,60.25,155.04,155.12,1.15,,1.76,15.22,23.4,,,,0.38,17.79,6.76,01-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Aug-2020 - 00:00,30.49,978.49,55.5,28.8,62.46,127.5,191.06,1.24,,1.26,8.34,20.85,8.54,1.97,6.16,0.54,12.43,9.28,02-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Aug-2020 - 00:00,32.24,976.58,44.02,19.45,59.03,182.82,238.99,1.63,,0.55,3.29,21.02,6.54,1.18,4.13,0.95,12.09,8.55,03-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Aug-2020 - 00:00,32.27,972.56,42.28,19.27,56.76,153.19,256.63,2.04,,0.56,3.26,19.57,6.17,0.85,3.48,1.14,12.12,8.91,04-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Aug-2020 - 00:00,31.63,971.11,48.26,22.42,58.87,154.44,149.86,1.4,,0.81,6.78,19.8,6.82,0.67,3.74,0.97,15.44,10.1,05-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Aug-2020 - 00:00,30.36,972.38,81.76,44.83,64.37,74.25,125.96,1.23,,1.87,22.55,19.37,16.45,3.38,9.85,1.12,8.78,8.71,06-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Aug-2020 - 00:00,32.15,975.08,37.62,14.77,56.14,153.88,146.97,3.16,,0.91,11.32,18.59,7.95,0.66,4.05,0.99,9.74,6.38,07-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Aug-2020 - 00:00,31.44,977.67,43.56,27.55,57.81,152.08,166.04,2.71,,0.66,4.9,16.77,6.71,0.75,3.7,1.09,15.23,6.67,08-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Aug-2020 - 00:00,32.08,976.01,72.85,53.59,59.55,124.99,210.84,0.83,,0.99,6.25,18.36,10.66,2.92,6.62,1.17,18.34,10.31,09-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Aug-2020 - 00:00,30.48,975.47,28.36,19.68,65.26,141.85,200.48,1.4,,0.44,2.66,28.51,3.36,0.25,1.31,0.81,11.76,11.25,10-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Aug-2020 - 00:00,32.45,976.25,45.71,30.24,60.59,175.6,143.13,1.45,,1.02,10.42,32.23,8.37,0.43,4.15,1.13,13.43,9.89,11-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Aug-2020 - 00:00,31.35,976.16,47.0,32.52,63.13,140.39,219.74,1.26,,1.0,9.16,23.69,6.18,0.55,2.88,1.17,11.7,11.48,12-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Aug-2020 - 00:00,31.77,975.16,49.14,16.62,60.75,161.78,224.32,1.84,,0.33,2.58,22.78,3.29,0.45,1.61,0.78,9.42,8.8,13-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Aug-2020 - 00:00,27.16,974.46,17.53,13.78,74.33,31.7,122.06,1.07,,0.9,12.45,21.84,5.74,4.91,6.63,1.06,4.18,10.55,14-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Aug-2020 - 00:00,27.78,973.85,43.43,17.39,73.56,4.24,109.5,1.13,,3.09,32.91,,18.92,4.23,13.25,1.24,4.54,12.32,15-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Aug-2020 - 00:00,30.5,974.17,54.28,41.0,64.82,150.21,164.12,1.88,,0.88,6.62,24.96,6.34,0.9,3.43,1.04,6.58,12.87,16-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Aug-2020 - 00:00,30.3,975.12,41.53,,66.98,138.79,170.21,1.5,,0.71,4.92,25.01,9.15,1.37,5.85,1.12,6.6,10.63,17-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Aug-2020 - 00:00,27.65,975.53,56.75,25.78,70.4,106.57,171.23,1.54,,2.14,17.14,26.05,9.05,2.0,6.38,1.29,6.01,10.81,18-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Aug-2020 - 00:00,29.44,976.14,47.37,25.44,70.51,95.72,214.39,1.23,,1.38,11.02,32.38,16.94,4.37,11.48,1.26,10.47,10.33,19-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Aug-2020 - 00:00,26.92,976.09,37.75,23.83,78.58,18.28,183.57,1.51,,1.41,18.41,25.74,22.58,3.06,14.51,0.94,9.71,10.97,20-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Aug-2020 - 00:00,26.97,978.47,35.24,26.43,76.56,63.81,147.98,1.37,,1.99,23.38,22.34,24.98,8.02,19.62,1.13,15.73,10.04,21-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Aug-2020 - 00:00,29.01,979.81,36.57,15.07,67.03,117.67,125.07,1.59,,3.67,23.68,27.34,18.16,9.18,17.14,1.16,14.36,7.78,22-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Aug-2020 - 00:00,29.93,979.05,32.08,8.98,63.45,158.95,125.01,2.03,,1.5,13.78,28.31,9.26,3.19,7.21,1.17,12.85,11.48,23-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Aug-2020 - 00:00,29.27,977.72,25.41,15.7,66.47,123.26,138.05,2.14,,0.66,5.12,24.75,5.22,0.83,3.36,0.94,12.55,8.72,24-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Aug-2020 - 00:00,28.29,978.06,23.89,10.04,69.85,80.22,166.83,2.52,,0.64,5.2,21.81,5.58,1.27,3.76,1.19,,6.63,25-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Aug-2020 - 00:00,28.84,980.15,31.52,10.65,68.21,107.45,194.44,2.15,,0.82,8.01,20.06,5.98,1.36,4.33,0.89,11.47,6.94,26-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
