from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
27-Jan-2020 - 00:00,14.16,989.03,223.91,145.73,63.63,45.38,136.43,1.33,,3.69,24.82,37.8,51.93,20.11,43.67,1.26,18.26,6.27,28-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Jan-2020 - 00:00,15.12,987.7,114.75,88.67,68.21,61.06,146.54,2.06,,2.08,14.92,35.38,26.67,2.64,16.34,0.96,27.46,5.65,29-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Jan-2020 - 00:00,13.14,993.76,79.24,52.93,67.26,115.5,132.57,1.31,,1.36,9.02,27.86,20.4,3.75,13.89,0.57,25.44,5.74,30-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Jan-2020 - 00:00,11.58,994.63,90.12,65.0,68.75,98.71,202.5,1.53,,1.7,8.61,27.84,24.72,7.04,18.89,0.61,21.0,5.76,31-Jan-2020 - 00:00,"Najafgarh, Delhi - DPCC"
31-Jan-2020 - 00:00,10.32,992.53,105.55,71.07,69.2,107.38,154.09,1.35,,2.0,10.76,26.18,27.13,6.35,19.6,0.66,23.34,6.03,01-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Feb-2020 - 00:00,11.69,995.21,144.4,98.25,66.16,109.37,126.74,1.23,,3.27,27.02,28.15,29.56,20.59,32.51,0.86,28.04,6.66,02-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Feb-2020 - 00:00,10.14,996.75,144.94,94.65,68.7,104.35,203.24,1.47,,2.67,8.53,27.21,26.08,6.47,19.13,0.64,26.52,4.86,03-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Feb-2020 - 00:00,11.57,995.38,147.56,99.83,63.24,123.54,160.21,1.15,,2.44,8.77,25.99,32.65,11.09,26.4,0.73,29.52,5.71,04-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Feb-2020 - 00:00,13.02,993.7,254.5,141.38,59.92,108.28,112.06,1.14,,5.37,40.16,28.49,41.42,43.54,57.52,1.38,31.82,6.64,05-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Feb-2020 - 00:00,10.65,993.83,257.93,172.19,68.58,35.76,167.96,1.22,,2.75,32.21,32.31,34.31,11.82,27.04,1.03,14.35,6.16,06-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Feb-2020 - 00:00,11.61,993.3,125.36,87.48,63.63,119.52,210.67,1.24,,1.82,7.42,27.06,25.21,3.44,16.2,0.86,28.67,6.31,07-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Feb-2020 - 00:00,11.59,995.74,209.19,134.2,65.13,104.24,134.25,1.14,,3.3,31.58,25.05,32.48,19.42,32.74,0.73,29.08,9.1,08-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Feb-2020 - 00:00,12.07,997.79,188.12,134.47,69.33,113.17,168.25,1.5,,1.79,4.25,25.06,22.23,6.95,16.99,0.65,31.07,10.44,09-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Feb-2020 - 00:00,12.57,997.69,168.69,120.9,67.89,119.21,195.92,1.2,,1.84,4.07,28.58,25.67,7.1,19.33,0.57,32.84,10.05,10-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Feb-2020 - 00:00,12.21,996.18,188.73,136.93,69.13,110.77,188.12,1.2,,1.86,5.71,29.52,24.78,7.93,19.51,0.62,32.75,9.46,11-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Feb-2020 - 00:00,13.0,996.43,196.46,139.18,64.11,123.83,183.91,1.23,,2.17,10.3,32.07,28.35,13.7,25.74,0.95,33.51,9.77,12-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Feb-2020 - 00:00,14.36,995.85,230.04,160.35,64.35,118.27,283.33,2.17,,2.55,8.89,32.05,28.68,6.87,20.73,0.66,31.6,7.45,13-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Feb-2020 - 00:00,17.31,992.97,168.77,116.81,59.83,132.43,266.77,2.54,,1.9,4.13,28.13,21.85,1.58,12.91,0.44,28.95,8.01,14-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Feb-2020 - 00:00,15.02,990.19,185.23,119.66,61.94,97.38,248.8,2.89,,1.6,3.34,24.36,21.96,1.58,12.94,0.78,38.6,11.94,15-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Feb-2020 - 00:00,15.4,990.32,176.65,113.81,55.79,142.79,279.49,2.77,,1.98,1.66,20.14,27.27,1.58,15.8,0.76,55.48,26.41,16-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Feb-2020 - 00:00,15.97,993.3,181.77,118.74,57.92,140.73,253.75,1.58,,2.0,3.13,18.56,33.1,2.51,19.64,0.56,56.93,20.53,17-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Feb-2020 - 00:00,10.97,994.13,209.95,143.35,68.18,24.3,275.12,1.27,,2.5,4.93,19.79,46.45,12.3,34.7,0.89,15.74,14.06,18-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Feb-2020 - 00:00,15.45,991.58,155.21,93.4,57.89,141.61,272.44,1.7,,1.73,2.39,21.58,30.33,3.31,23.16,0.89,52.3,12.82,19-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Feb-2020 - 00:00,15.59,989.98,225.24,116.81,60.14,70.43,167.31,2.37,,2.79,17.27,19.64,46.36,41.0,64.78,1.2,46.42,13.52,20-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Feb-2020 - 00:00,20.61,989.41,185.93,77.33,51.17,123.64,158.13,4.07,,1.45,5.06,21.89,18.18,0.85,10.31,0.9,92.55,13.14,21-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Feb-2020 - 00:00,16.68,993.88,80.05,52.84,65.09,50.31,90.82,2.76,,1.32,9.22,24.51,19.87,1.83,11.83,0.51,54.22,9.9,22-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Feb-2020 - 00:00,17.1,997.1,134.0,81.61,64.47,93.34,71.4,1.16,,3.51,19.02,25.99,36.38,9.39,26.83,0.85,29.31,11.42,23-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Feb-2020 - 00:00,18.35,995.01,189.31,129.33,64.29,112.6,133.05,1.23,,3.19,16.77,30.63,24.32,10.22,21.27,0.87,38.97,14.66,24-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Feb-2020 - 00:00,15.85,991.88,159.2,110.73,69.92,54.83,125.96,1.16,,2.74,11.92,27.71,34.81,7.18,23.64,0.76,17.51,13.4,25-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Feb-2020 - 00:00,17.77,990.5,157.49,110.21,68.66,126.25,241.96,1.37,,2.82,4.36,27.63,24.28,4.49,16.57,1.01,41.61,11.96,26-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Feb-2020 - 00:00,18.74,991.17,194.45,115.27,64.65,127.3,185.35,1.34,,3.97,14.21,27.38,37.18,13.98,31.31,0.84,45.15,13.27,27-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Feb-2020 - 00:00,18.3,991.39,190.42,101.0,68.29,53.21,140.91,1.58,,4.7,20.69,26.31,49.11,12.64,35.75,1.02,34.3,9.43,28-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
