from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
24-Jun-2020 - 00:00,30.86,981.55,75.09,35.46,76.85,147.39,96.8,0.89,1.33,32.23,21.8,4.74,14.19,19.4,1.75,29.21,37.6,25-Jun-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
25-Jun-2020 - 00:00,31.78,979.06,95.38,52.71,73.89,207.99,158.19,0.7,1.82,49.59,21.52,5.74,18.11,25.23,1.88,34.25,44.54,26-Jun-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
26-Jun-2020 - 00:00,32.8,977.89,125.38,54.6,66.67,170.65,195.32,1.0,3.04,46.5,23.73,5.39,15.65,21.14,1.84,22.48,34.09,27-Jun-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
27-Jun-2020 - 00:00,34.62,976.66,179.02,35.71,53.59,187.95,237.6,1.08,2.88,40.29,25.43,5.11,17.44,24.95,1.7,13.46,20.68,28-Jun-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
28-Jun-2020 - 00:00,36.3,975.89,343.12,51.81,50.23,203.58,215.04,1.28,2.25,39.01,23.51,7.08,18.69,24.27,1.73,13.71,20.07,29-Jun-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
29-Jun-2020 - 00:00,34.56,978.08,199.48,45.44,57.57,201.92,118.46,0.99,1.66,34.05,21.79,5.41,15.67,21.17,1.7,22.88,27.75,30-Jun-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
30-Jun-2020 - 00:00,32.75,979.67,97.75,43.91,68.22,177.23,102.1,0.88,0.97,19.55,21.25,3.36,11.5,16.48,1.72,48.07,32.96,01-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
01-Jul-2020 - 00:00,34.16,978.23,112.88,48.39,61.26,177.18,102.29,0.91,1.38,34.42,23.46,3.27,12.17,17.87,1.8,41.01,26.57,02-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-Jul-2020 - 00:00,35.71,975.92,140.03,64.07,56.07,187.98,110.54,0.89,1.48,56.35,22.48,3.59,14.33,21.42,1.88,41.42,30.87,03-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Jul-2020 - 00:00,35.6,975.47,133.34,62.74,58.22,178.56,111.85,0.9,1.03,54.78,22.11,3.75,14.66,21.8,1.94,43.61,32.79,04-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Jul-2020 - 00:00,33.28,976.07,83.8,44.22,66.13,193.36,105.08,0.88,0.85,17.02,27.35,3.51,10.98,15.25,1.75,44.1,34.56,05-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Jul-2020 - 00:00,29.39,976.98,77.0,26.3,76.31,173.6,99.85,0.87,1.46,31.53,24.04,3.18,10.67,15.18,1.69,46.21,26.04,06-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Jul-2020 - 00:00,31.24,976.27,77.03,46.93,75.3,170.72,84.21,0.9,0.81,23.81,20.9,4.31,13.44,18.65,1.79,21.37,23.79,07-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Jul-2020 - 00:00,29.63,979.22,55.73,21.79,79.39,163.41,91.17,0.86,0.73,29.2,22.81,5.1,11.3,13.42,1.59,27.21,39.12,08-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Jul-2020 - 00:00,30.41,980.21,63.43,26.25,79.66,125.34,117.58,1.04,0.9,29.69,21.44,4.92,14.37,19.48,1.61,23.02,30.27,09-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Jul-2020 - 00:00,33.25,976.68,80.31,43.5,67.4,186.21,203.69,1.1,2.05,41.79,21.09,6.71,17.62,22.89,1.64,38.98,26.67,10-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Jul-2020 - 00:00,34.64,974.46,78.61,24.62,60.07,202.63,232.22,1.04,1.51,28.03,20.88,4.21,14.94,21.89,1.97,29.77,20.85,11-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Jul-2020 - 00:00,31.0,975.84,81.24,23.19,73.49,164.57,198.08,1.01,1.5,27.99,21.88,3.91,12.98,18.41,4.01,50.32,25.21,12-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
12-Jul-2020 - 00:00,30.14,977.18,65.2,23.01,70.62,158.63,257.13,0.86,1.39,35.77,23.5,4.69,13.99,19.11,1.7,38.3,25.37,13-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
13-Jul-2020 - 00:00,32.46,976.89,135.25,42.81,63.06,230.29,268.07,1.05,2.42,33.18,23.38,5.49,17.5,24.5,2.18,38.48,23.0,14-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
14-Jul-2020 - 00:00,34.36,977.72,154.33,40.09,60.49,195.05,172.43,1.0,1.67,35.57,26.14,5.7,16.92,23.08,3.01,43.38,20.64,15-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
15-Jul-2020 - 00:00,32.68,978.45,89.54,38.21,67.34,195.42,90.33,0.89,1.16,29.03,28.53,3.76,13.05,18.74,1.77,53.14,30.36,16-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
16-Jul-2020 - 00:00,32.46,977.54,72.81,32.65,69.12,149.03,84.62,0.88,1.06,30.96,27.88,4.81,14.02,18.98,1.83,38.16,31.88,17-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
17-Jul-2020 - 00:00,32.65,978.2,87.37,45.96,71.17,159.3,112.57,0.87,0.7,28.33,27.06,4.75,14.63,20.22,1.85,26.09,22.97,18-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
18-Jul-2020 - 00:00,31.91,979.35,69.73,34.81,74.03,142.64,84.85,0.91,0.9,32.89,26.05,5.22,13.89,18.07,1.83,27.53,26.31,19-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
19-Jul-2020 - 00:00,30.25,977.89,70.56,29.29,82.29,134.53,221.87,0.76,1.48,47.37,26.99,6.23,17.77,23.85,2.07,22.41,16.04,20-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
20-Jul-2020 - 00:00,29.47,976.38,60.46,20.61,73.36,130.92,236.03,1.02,2.04,51.26,30.33,4.23,15.7,23.02,1.92,47.36,18.03,21-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
21-Jul-2020 - 00:00,27.08,979.31,58.33,23.28,86.16,131.15,158.78,0.87,1.8,45.59,23.41,5.27,17.49,24.81,2.25,34.3,18.24,22-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
22-Jul-2020 - 00:00,26.93,980.3,85.56,39.52,91.97,81.29,204.65,0.65,3.18,61.87,22.84,9.33,23.13,29.2,5.38,18.59,15.86,23-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
23-Jul-2020 - 00:00,30.07,979.35,93.17,41.21,75.07,228.08,233.87,1.12,2.96,50.59,26.44,7.72,21.8,29.16,2.32,43.0,19.16,24-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
24-Jul-2020 - 00:00,31.14,982.08,90.25,57.63,71.38,211.15,101.79,0.85,1.87,43.93,29.16,6.15,17.54,23.56,2.3,41.9,43.91,25-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
25-Jul-2020 - 00:00,30.64,983.73,64.44,31.04,77.89,139.16,89.73,0.93,1.38,43.29,32.92,5.83,14.75,18.78,1.78,34.91,28.09,26-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
26-Jul-2020 - 00:00,31.11,983.47,94.67,51.73,79.36,157.51,103.71,1.1,1.63,67.03,28.96,7.02,20.54,27.87,5.33,36.56,21.21,27-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
27-Jul-2020 - 00:00,33.16,980.55,109.9,47.82,69.35,231.17,190.98,1.16,2.57,79.61,37.57,11.17,22.36,24.89,2.67,30.56,15.04,28-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
28-Jul-2020 - 00:00,33.83,978.42,85.29,25.19,64.53,212.65,221.9,1.21,1.96,36.62,28.1,5.67,15.67,20.75,2.28,24.23,13.48,29-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
29-Jul-2020 - 00:00,29.89,979.22,70.28,24.96,77.73,110.06,135.66,0.86,2.36,96.86,30.89,10.26,27.95,36.78,2.92,24.48,16.89,30-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
30-Jul-2020 - 00:00,29.26,981.09,80.92,23.02,82.37,167.22,164.86,1.09,2.63,72.48,27.97,7.65,19.85,25.58,2.74,28.71,17.44,31-Jul-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
31-Jul-2020 - 00:00,30.65,980.34,86.88,43.04,81.97,133.67,111.0,1.18,2.57,78.86,28.18,9.08,22.37,28.13,1.8,24.5,22.14,01-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
01-Aug-2020 - 00:00,29.97,979.9,64.8,29.69,80.63,165.33,140.76,0.71,1.74,54.16,26.65,5.94,19.08,26.78,2.11,29.56,18.8,02-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
