from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2020 - 00:00,71.43,117.7,99.26,44.22,19.49,3.12,23.16,389.92,138.36,12.0,20.15,8.42,,4.88,87.83,1.05,116.59,116.8,,02-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
02-Jan-2020 - 00:00,79.5,83.63,53.79,46.51,19.89,2.94,24.16,254.46,53.27,12.68,13.75,6.07,,4.14,80.29,0.91,210.71,134.0,,03-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
03-Jan-2020 - 00:00,60.25,68.43,46.88,49.61,19.04,2.08,25.3,231.34,55.43,7.97,9.79,6.9,,3.84,82.65,0.72,188.68,108.45,,04-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
04-Jan-2020 - 00:00,60.13,49.12,22.56,46.68,14.98,1.78,21.67,198.35,49.19,6.42,7.87,4.38,,2.76,88.72,0.93,218.6,102.31,,05-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
05-Jan-2020 - 00:00,49.6,32.34,8.01,44.38,17.73,1.31,32.62,194.22,61.73,3.92,8.7,7.39,,2.99,81.69,1.36,197.36,94.49,,06-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
06-Jan-2020 - 00:00,53.69,35.1,8.79,42.82,19.08,1.42,25.36,228.93,66.95,4.86,9.54,4.8,,2.37,78.02,1.47,110.98,81.93,,07-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
07-Jan-2020 - 00:00,44.32,26.09,6.16,44.64,22.82,1.43,20.59,140.03,71.98,2.87,4.3,1.06,,0.67,88.96,2.11,125.71,41.66,,08-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
08-Jan-2020 - 00:00,44.14,41.66,23.19,47.48,15.35,1.61,6.88,146.72,93.02,3.45,8.58,2.42,0.52,1.58,99.1,1.73,206.82,11.86,,09-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
09-Jan-2020 - 00:00,39.48,29.94,11.62,44.14,14.77,1.32,19.3,100.61,48.76,2.1,3.54,1.14,,0.99,98.82,2.01,295.64,90.32,,10-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
10-Jan-2020 - 00:00,60.76,51.52,25.08,25.84,14.56,1.57,28.46,119.0,55.16,2.99,7.14,3.92,,1.79,83.11,1.68,275.96,132.29,,11-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
11-Jan-2020 - 00:00,71.39,75.58,47.74,15.13,22.79,1.98,28.58,193.23,78.29,4.08,4.87,2.33,,2.0,70.17,1.08,270.19,128.02,,12-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
12-Jan-2020 - 00:00,67.56,69.78,47.2,20.12,21.0,2.58,26.63,261.23,129.37,8.4,11.47,10.2,0.01,4.96,69.41,1.11,150.65,94.3,,13-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
13-Jan-2020 - 00:00,48.04,38.08,16.19,25.58,20.46,1.97,27.61,195.22,91.71,3.68,5.37,1.93,,1.35,76.99,2.37,184.58,80.27,,14-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
14-Jan-2020 - 00:00,42.74,28.55,13.16,25.23,34.12,1.85,16.35,118.63,49.0,2.09,3.43,1.71,,1.0,98.46,1.77,318.35,64.83,,15-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
15-Jan-2020 - 00:00,45.02,34.9,14.21,20.54,16.29,1.87,16.33,110.06,51.22,2.24,3.96,1.32,0.31,1.14,97.43,1.39,293.35,112.33,,16-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
16-Jan-2020 - 00:00,40.27,31.22,14.65,18.38,20.29,1.94,8.93,107.05,58.53,2.14,5.11,1.47,,0.95,99.05,1.61,295.93,33.81,,17-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
17-Jan-2020 - 00:00,48.44,39.43,20.63,13.81,25.86,2.16,15.71,124.77,54.93,2.41,9.14,3.0,,1.45,98.33,1.47,211.67,106.08,,18-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
18-Jan-2020 - 00:00,51.75,63.03,46.12,12.11,11.67,3.11,11.32,171.16,67.46,4.55,10.59,6.01,,3.18,99.11,0.86,231.7,57.4,,19-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
19-Jan-2020 - 00:00,37.5,25.2,7.0,17.07,11.34,2.7,34.8,174.94,63.12,2.24,2.0,0.68,0.01,0.44,97.19,2.11,294.01,126.47,,20-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
20-Jan-2020 - 00:00,45.45,36.66,18.64,15.62,12.23,3.07,21.86,153.52,55.1,3.17,4.92,1.99,0.01,1.27,98.65,1.02,227.29,68.97,,21-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
21-Jan-2020 - 00:00,59.06,82.56,63.34,22.95,20.6,4.07,23.53,314.71,117.28,7.0,8.59,7.74,,3.45,91.55,1.19,123.83,123.07,,22-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
22-Jan-2020 - 00:00,56.21,78.78,61.62,31.49,13.67,4.1,16.53,232.98,96.11,6.27,14.94,5.94,,3.17,98.39,1.28,256.12,120.74,,23-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
23-Jan-2020 - 00:00,49.75,33.47,11.51,33.18,21.4,3.02,31.74,146.8,44.66,1.49,3.78,1.66,,0.93,75.48,2.64,289.39,136.96,,24-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
24-Jan-2020 - 00:00,67.06,43.32,20.27,32.21,26.9,2.74,28.08,155.61,44.91,2.06,4.3,6.63,,2.54,59.56,2.31,268.83,98.95,,25-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
25-Jan-2020 - 00:00,67.17,51.0,21.22,32.83,17.0,3.29,31.82,210.88,73.06,3.96,5.78,6.85,,3.19,66.0,1.16,205.21,144.19,,26-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
26-Jan-2020 - 00:00,54.74,35.4,8.47,39.58,17.28,3.41,39.67,222.5,86.76,3.7,5.48,5.69,,2.64,70.79,1.12,187.72,161.68,,27-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
27-Jan-2020 - 00:00,59.9,38.03,7.94,41.08,35.91,3.59,47.42,254.26,101.59,3.95,8.89,2.3,,1.35,62.29,2.09,100.41,132.57,,28-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
28-Jan-2020 - 00:00,45.25,25.33,4.66,43.19,25.25,3.66,32.21,211.86,79.04,3.24,5.08,1.39,,0.79,85.81,2.72,100.59,112.72,,29-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
29-Jan-2020 - 00:00,52.39,48.26,28.37,41.48,26.23,3.4,36.95,131.67,48.8,2.44,3.47,2.81,0.05,1.56,77.72,1.41,286.11,215.64,,30-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
30-Jan-2020 - 00:00,52.18,41.6,17.88,33.26,15.55,3.19,29.56,207.8,57.39,2.28,25.69,2.59,,1.69,83.36,1.74,277.27,160.22,,31-Jan-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
31-Jan-2020 - 00:00,54.22,41.23,16.09,32.63,14.51,0.92,34.5,153.42,53.85,2.62,4.83,3.31,0.01,1.75,82.16,1.35,202.31,161.79,,01-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
01-Feb-2020 - 00:00,58.53,48.52,23.0,32.43,19.07,1.08,35.51,206.44,68.56,3.29,8.99,5.42,0.01,2.64,79.73,1.19,196.7,154.8,,02-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
02-Feb-2020 - 00:00,59.93,52.21,26.06,30.58,14.6,1.09,34.27,166.03,64.27,3.31,3.74,2.35,0.01,1.44,80.55,1.25,260.04,167.78,,03-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
03-Feb-2020 - 00:00,60.07,45.08,17.55,33.75,15.24,1.07,42.72,212.79,78.01,3.53,5.17,4.41,,2.15,69.23,1.14,190.13,171.83,,04-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
04-Feb-2020 - 00:00,68.25,64.23,35.63,30.56,21.47,1.36,48.07,298.11,100.47,5.07,6.73,5.14,0.01,2.53,61.67,1.27,132.02,0.0,,05-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
05-Feb-2020 - 00:00,72.36,70.05,40.22,27.59,18.06,1.37,35.25,272.85,102.14,4.64,10.51,8.48,,3.55,66.4,1.44,261.71,131.47,,06-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
06-Feb-2020 - 00:00,64.42,48.98,19.11,31.1,15.22,1.07,41.08,181.84,63.21,3.04,4.45,3.92,,1.9,73.1,1.08,212.11,219.92,,07-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
