from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
07-Feb-2020 - 00:00,68.83,57.27,27.76,28.77,22.46,1.28,44.59,258.25,92.24,3.2,5.3,2.74,,1.38,71.46,1.24,258.65,151.69,,08-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
08-Feb-2020 - 00:00,66.86,48.32,16.8,30.35,18.57,1.16,41.99,208.42,76.7,3.23,3.32,2.74,,1.41,75.67,1.54,253.55,162.91,,09-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
09-Feb-2020 - 00:00,59.93,35.53,5.28,35.0,16.74,1.18,48.6,214.51,77.93,3.44,5.93,3.8,,1.76,70.92,1.15,228.75,162.81,,10-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
10-Feb-2020 - 00:00,70.05,52.26,19.54,31.47,22.89,1.4,44.9,247.04,86.07,3.81,5.94,3.4,,1.85,72.48,1.12,202.29,161.75,,11-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
11-Feb-2020 - 00:00,75.8,56.99,24.89,31.22,29.9,1.67,38.76,327.86,122.26,5.5,9.77,8.52,,3.84,69.66,0.81,238.86,2.72,,12-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
12-Feb-2020 - 00:00,66.81,45.27,12.9,35.29,26.46,1.36,44.22,267.3,99.48,4.38,10.26,5.21,,2.47,74.13,1.83,249.73,19.92,,13-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
13-Feb-2020 - 00:00,55.85,33.97,7.12,35.92,26.58,0.96,45.5,164.52,50.55,2.29,4.5,1.54,,0.75,45.68,2.34,295.59,223.04,,14-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
14-Feb-2020 - 00:00,56.1,37.64,10.39,31.8,23.05,0.86,43.54,189.29,49.4,1.98,5.86,4.48,,1.56,62.26,2.68,312.1,229.83,,15-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
15-Feb-2020 - 00:00,60.51,40.63,13.45,28.06,17.83,0.89,46.38,164.0,39.49,2.23,6.2,4.75,,1.91,50.2,2.2,277.31,197.48,,16-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
16-Feb-2020 - 00:00,69.44,55.43,23.67,29.35,29.79,1.48,44.97,260.77,66.84,4.77,6.73,7.68,,3.47,51.35,1.2,257.07,231.29,,17-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
17-Feb-2020 - 00:00,67.24,51.2,20.03,30.53,25.52,1.33,40.31,268.45,78.24,4.21,7.05,8.24,,3.26,53.73,1.4,263.92,226.97,,18-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
18-Feb-2020 - 00:00,69.25,49.86,17.06,21.5,22.13,1.26,42.92,214.17,54.35,3.97,6.65,7.05,,3.06,48.22,1.68,242.07,236.76,,19-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
19-Feb-2020 - 00:00,35.66,19.94,1.64,35.46,25.33,0.99,69.34,191.01,53.17,2.31,2.79,2.62,,1.01,48.08,2.18,139.6,202.73,,20-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
20-Feb-2020 - 00:00,26.77,14.04,1.0,43.07,17.93,0.86,76.49,204.36,61.3,2.73,1.61,0.54,,0.26,58.02,2.8,134.68,157.31,,21-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
21-Feb-2020 - 00:00,39.62,24.89,5.2,43.42,9.64,0.56,39.45,114.13,51.86,1.66,4.29,1.98,,1.03,87.02,2.5,104.1,81.76,,22-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
22-Feb-2020 - 00:00,53.83,48.31,25.29,30.49,12.69,0.74,24.96,164.37,79.38,3.39,10.44,3.31,,1.5,89.01,0.89,137.59,149.41,,23-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
23-Feb-2020 - 00:00,54.08,44.89,25.1,34.24,25.35,0.77,29.18,204.69,102.23,3.67,8.45,4.59,,1.76,83.41,1.08,222.15,171.45,,24-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
24-Feb-2020 - 00:00,49.23,39.1,19.12,33.62,17.48,0.8,25.96,186.38,88.89,3.31,4.19,1.53,,0.88,85.87,1.18,275.24,196.81,,25-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
25-Feb-2020 - 00:00,52.39,35.68,16.75,29.51,17.22,0.99,35.78,214.64,109.34,4.31,6.05,3.74,,1.78,81.82,1.11,246.8,197.18,,26-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
26-Feb-2020 - 00:00,54.46,35.48,9.93,28.12,12.07,0.88,52.38,238.04,112.24,3.58,6.48,5.38,,2.26,65.43,1.22,172.61,273.66,,27-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
27-Feb-2020 - 00:00,36.19,22.27,4.59,36.5,15.16,0.9,44.61,229.93,112.93,4.94,3.52,2.47,,1.13,73.93,1.45,126.81,200.11,,28-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
28-Feb-2020 - 00:00,18.72,9.94,0.89,42.68,18.74,0.85,58.04,160.78,74.97,2.36,1.55,0.47,,0.22,79.86,2.58,136.57,41.46,,29-Feb-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
29-Feb-2020 - 00:00,27.7,14.77,1.62,41.47,18.41,1.03,44.83,119.04,53.82,1.99,2.2,0.62,,0.3,83.36,2.39,125.09,66.5,,01-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
01-Mar-2020 - 00:00,42.0,26.47,5.85,43.19,16.72,1.13,35.86,88.59,42.86,1.45,4.47,1.35,,0.93,81.88,1.09,168.79,176.46,,02-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
02-Mar-2020 - 00:00,60.25,54.06,32.06,33.42,24.76,1.91,30.03,208.49,104.43,3.74,8.12,4.51,,2.24,84.16,0.69,205.44,168.05,,03-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
03-Mar-2020 - 00:00,61.15,51.25,27.47,33.44,26.44,2.05,32.23,213.94,97.53,3.38,13.42,7.28,,3.08,63.81,0.8,167.38,189.93,,04-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
04-Mar-2020 - 00:00,37.99,23.94,6.63,36.74,20.21,2.01,41.44,206.8,86.0,2.56,4.42,2.92,,1.31,67.48,1.61,155.35,198.68,,05-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
05-Mar-2020 - 00:00,32.78,19.7,3.21,40.36,22.72,1.88,35.55,75.97,43.45,1.23,2.66,0.75,,0.4,75.52,1.93,127.87,127.27,,06-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
06-Mar-2020 - 00:00,35.09,18.87,4.72,27.05,24.78,1.1,32.63,62.05,26.38,0.88,2.77,0.92,,0.51,89.77,3.09,126.74,231.61,,07-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
07-Mar-2020 - 00:00,36.35,30.69,22.26,22.74,28.81,1.39,35.59,101.25,28.44,0.95,2.98,0.72,,0.51,77.47,1.31,198.86,190.7,,08-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
08-Mar-2020 - 00:00,40.97,32.83,14.75,33.17,13.81,1.9,26.63,120.92,48.43,1.77,4.07,2.76,,1.38,77.11,1.52,184.34,266.45,,09-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
09-Mar-2020 - 00:00,46.7,31.44,8.78,27.17,17.63,2.1,29.41,135.78,54.41,1.71,2.61,1.21,,0.83,68.03,2.03,308.81,275.26,,10-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
10-Mar-2020 - 00:00,37.84,23.84,5.08,29.34,15.32,2.43,33.97,161.73,71.39,2.05,2.34,0.75,0.01,0.64,67.33,1.01,157.57,196.53,,11-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
11-Mar-2020 - 00:00,25.37,13.44,1.52,34.32,23.42,2.6,48.13,116.88,48.66,1.13,1.49,0.27,0.01,0.17,66.08,2.3,142.21,218.74,,12-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
12-Mar-2020 - 00:00,38.8,27.17,9.36,28.42,15.92,2.14,33.21,196.32,59.32,1.12,4.22,1.58,0.01,0.71,56.47,1.61,126.68,241.95,,13-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
13-Mar-2020 - 00:00,46.35,30.97,7.71,17.77,15.46,2.19,28.7,244.77,81.69,1.4,6.65,2.26,,1.06,50.49,1.21,172.54,207.68,,14-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
14-Mar-2020 - 00:00,43.49,32.76,13.22,9.87,25.28,2.55,24.01,239.07,71.79,1.86,4.94,1.97,,0.94,69.56,1.42,182.44,222.67,,15-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
15-Mar-2020 - 00:00,49.9,34.88,10.98,11.96,15.72,2.56,43.91,176.95,61.18,1.91,4.43,3.06,0.01,1.46,73.29,0.99,196.07,185.42,,16-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
16-Mar-2020 - 00:00,52.98,40.19,15.6,10.52,18.44,2.7,31.52,151.73,52.59,1.93,5.57,3.07,,1.42,70.51,1.22,187.82,212.38,,17-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
17-Mar-2020 - 00:00,57.16,43.42,16.91,16.51,21.88,2.89,36.54,173.78,56.15,2.32,7.42,1.65,0.01,1.13,66.11,1.32,186.17,263.32,,18-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
18-Mar-2020 - 00:00,59.81,41.8,14.32,28.92,34.63,2.99,37.02,205.64,72.26,2.8,5.43,2.55,,1.4,57.47,1.23,185.74,240.14,,19-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
19-Mar-2020 - 00:00,49.81,27.91,5.04,30.31,28.63,2.12,34.38,211.11,81.7,2.81,10.44,9.67,,3.53,66.03,1.11,145.22,180.92,,20-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
20-Mar-2020 - 00:00,48.56,31.16,9.64,31.12,26.78,1.06,44.16,204.74,80.12,3.08,7.22,3.87,,1.84,56.83,1.13,132.96,183.56,,21-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
21-Mar-2020 - 00:00,49.26,36.97,14.21,25.83,16.1,0.77,41.54,131.56,45.17,1.6,7.3,4.58,,1.85,49.9,1.46,94.46,251.03,,22-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
22-Mar-2020 - 00:00,45.53,32.4,11.4,29.91,22.31,0.92,41.74,189.27,75.52,2.8,12.13,8.43,0.01,2.9,57.94,1.19,117.38,193.88,,23-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
23-Mar-2020 - 00:00,36.38,22.38,4.22,29.46,30.16,0.87,34.58,126.49,53.56,2.4,4.48,0.96,0.01,0.82,53.75,0.62,152.19,191.61,,24-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
24-Mar-2020 - 00:00,23.58,13.53,1.81,31.04,23.24,0.74,38.9,157.46,53.01,1.63,3.9,0.58,,0.51,59.13,1.38,129.43,105.87,,25-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
25-Mar-2020 - 00:00,18.75,10.93,1.44,34.31,12.87,0.64,29.4,,5.77,1.12,2.51,0.43,0.01,0.33,65.89,1.23,157.15,227.99,,26-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
26-Mar-2020 - 00:00,14.46,8.42,1.23,30.61,8.9,0.6,20.18,61.53,43.95,0.96,1.17,0.2,0.01,0.18,77.41,1.86,200.87,92.43,,27-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
27-Mar-2020 - 00:00,10.84,5.8,0.78,31.83,13.37,0.65,26.21,25.92,18.52,0.47,0.79,0.1,0.01,0.07,82.09,1.81,165.5,130.56,,28-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
28-Mar-2020 - 00:00,11.29,7.44,1.93,29.77,9.18,0.47,29.61,24.64,17.6,0.8,2.11,0.32,0.01,0.32,68.27,1.66,158.97,291.86,,29-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
29-Mar-2020 - 00:00,10.18,6.1,1.02,30.5,11.76,0.46,42.42,45.15,32.25,0.69,0.97,0.15,0.01,0.12,60.58,2.33,158.8,282.03,,30-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
30-Mar-2020 - 00:00,10.04,5.99,0.94,29.0,12.97,0.6,44.18,68.55,48.97,1.26,1.24,0.25,0.01,0.17,60.82,1.75,190.58,289.01,,31-Mar-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
31-Mar-2020 - 00:00,6.76,3.73,0.75,27.1,17.42,0.69,54.51,48.81,33.85,1.06,0.99,0.14,0.01,0.11,52.71,1.48,156.03,234.58,,01-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
01-Apr-2020 - 00:00,5.69,3.73,0.96,28.54,10.49,0.64,39.56,37.15,26.54,0.94,1.13,0.22,0.01,0.12,69.12,1.77,178.09,184.04,,02-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
02-Apr-2020 - 00:00,3.39,2.27,0.81,24.94,9.38,0.55,51.26,40.24,27.03,0.66,1.06,0.15,0.01,0.12,54.73,2.2,216.04,217.64,,03-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
03-Apr-2020 - 00:00,2.28,1.93,1.34,22.41,13.6,0.59,56.85,43.14,30.82,1.38,1.14,0.19,0.01,0.15,44.83,1.81,187.96,284.85,,04-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
04-Apr-2020 - 00:00,2.36,4.0,3.5,20.19,12.5,0.65,59.73,42.95,30.67,1.31,1.24,0.24,0.01,0.19,40.95,1.38,200.75,299.3,,05-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
05-Apr-2020 - 00:00,3.02,4.2,3.3,20.43,19.29,1.02,56.73,63.59,44.25,1.95,2.14,0.36,,0.29,42.42,1.18,185.78,156.73,,06-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
06-Apr-2020 - 00:00,3.36,5.9,2.89,22.56,13.19,0.73,50.75,62.1,44.35,1.56,3.03,0.34,,0.32,38.47,1.41,119.82,277.14,,07-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
07-Apr-2020 - 00:00,3.27,5.81,2.83,22.46,13.65,0.67,50.63,49.46,35.32,1.27,1.2,0.16,0.01,0.13,44.85,2.57,98.73,345.37,,08-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
08-Apr-2020 - 00:00,3.26,5.74,2.76,22.24,13.55,0.64,55.7,39.17,27.96,1.09,1.06,0.14,0.01,0.12,48.52,2.4,174.66,299.61,,09-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
09-Apr-2020 - 00:00,3.26,5.72,2.72,22.27,14.19,0.71,60.85,49.39,35.27,1.58,1.88,0.19,0.01,0.15,40.45,1.67,182.6,291.81,,10-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
10-Apr-2020 - 00:00,3.35,5.91,2.9,22.2,13.19,0.8,57.78,67.32,48.08,1.96,1.89,0.31,0.01,0.25,31.01,0.87,183.83,281.1,,11-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
11-Apr-2020 - 00:00,5.18,8.39,4.02,22.02,17.38,0.83,56.95,68.46,48.89,1.69,4.13,0.49,0.01,0.48,31.04,1.54,158.25,275.23,,12-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
12-Apr-2020 - 00:00,5.3,6.33,1.62,23.12,13.43,0.85,50.61,62.74,44.81,2.05,1.33,0.2,0.01,0.18,35.17,1.63,229.84,212.69,,13-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
13-Apr-2020 - 00:00,5.21,6.97,2.07,22.87,12.72,0.91,45.04,92.79,66.28,2.47,3.05,0.44,,0.37,30.71,1.68,185.59,274.85,,14-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
14-Apr-2020 - 00:00,5.22,6.99,2.09,22.95,13.1,0.89,44.36,105.7,75.5,2.19,2.15,0.41,,0.35,29.28,0.74,168.79,215.5,,15-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
15-Apr-2020 - 00:00,5.23,6.6,1.62,22.82,11.36,0.66,46.03,105.05,75.04,1.4,2.1,0.32,0.01,0.25,19.64,1.68,215.68,283.1,,16-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
16-Apr-2020 - 00:00,17.5,13.32,2.46,25.1,14.56,0.8,51.32,84.35,60.25,1.58,1.99,0.23,0.01,0.22,24.38,2.06,212.78,250.54,,17-Apr-2020 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
