from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,to date,station
29-Apr-2020 - 00:00,28.64,155.71,49.59,31.67,0.82,140.43,0.0,48.24,0.49,58.39,0.85,1.0,0.09,2.02,20.8,14.32,13.07,30-Apr-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Apr-2020 - 00:00,31.95,151.54,48.25,31.88,1.09,115.76,0.0,57.43,0.35,61.77,1.33,0.9,0.14,2.22,21.26,17.25,13.47,01-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-May-2020 - 00:00,30.22,135.18,45.86,31.99,1.2,132.21,0.0,52.92,0.35,59.4,0.96,0.83,0.14,2.07,18.82,15.84,12.07,02-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-May-2020 - 00:00,41.25,123.92,40.75,33.5,0.92,135.38,0.0,76.85,0.36,68.36,0.98,0.78,0.14,2.23,21.26,15.78,13.6,03-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-May-2020 - 00:00,38.4,100.48,33.71,34.74,0.84,190.26,0.0,71.2,0.35,59.41,0.63,0.66,0.1,2.19,19.8,14.79,12.68,04-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-May-2020 - 00:00,36.18,96.11,36.34,34.95,1.01,154.21,0.0,64.49,0.35,62.69,0.52,0.62,0.07,2.04,16.12,14.98,10.67,05-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-May-2020 - 00:00,31.67,231.33,36.49,35.01,0.98,163.66,0.0,57.1,0.35,61.84,0.66,0.66,0.1,2.14,16.54,12.14,10.94,06-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-May-2020 - 00:00,30.66,235.61,48.35,33.0,1.97,116.53,0.0,57.64,0.34,55.37,0.29,0.54,0.05,2.04,14.04,17.39,9.64,07-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-May-2020 - 00:00,26.26,248.07,50.76,32.28,1.57,114.03,0.0,48.78,0.32,61.49,0.15,0.39,0.01,1.95,13.06,18.99,8.95,08-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-May-2020 - 00:00,29.6,128.46,52.11,32.57,1.68,146.11,0.0,50.59,0.32,55.94,0.17,0.35,0.02,1.81,14.41,18.61,9.54,09-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-May-2020 - 00:00,27.26,170.01,50.13,32.65,1.31,135.61,0.0,41.04,0.32,64.33,0.16,0.27,0.01,1.78,16.89,16.92,10.85,10-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-May-2020 - 00:00,19.68,63.24,54.69,29.89,1.86,137.86,0.0,33.53,0.33,65.67,0.14,0.23,0.02,1.88,14.13,15.58,9.47,11-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-May-2020 - 00:00,19.03,69.07,47.02,30.99,0.99,129.31,0.0,29.45,0.32,55.99,0.23,0.2,0.03,3.29,23.28,15.26,15.74,12-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-May-2020 - 00:00,30.21,106.09,47.19,32.93,1.16,127.72,0.0,50.91,0.34,65.55,0.3,0.24,0.03,1.9,16.27,15.71,10.58,13-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-May-2020 - 00:00,29.08,108.79,47.35,32.7,1.54,145.8,0.0,44.82,0.36,58.22,0.64,0.37,0.08,1.86,12.84,14.24,8.78,14-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-May-2020 - 00:00,41.63,226.71,47.22,33.61,0.93,147.99,0.0,64.74,0.36,55.6,1.22,0.65,0.26,2.17,21.34,16.13,13.54,15-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-May-2020 - 00:00,33.59,88.81,42.29,35.4,1.23,190.25,0.0,56.84,0.34,64.67,0.54,0.69,0.22,1.86,11.92,12.48,8.28,16-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-May-2020 - 00:00,33.38,238.22,47.59,34.91,1.27,134.93,0.0,53.45,0.34,79.71,0.41,0.65,0.21,1.97,13.97,12.7,9.52,17-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-May-2020 - 00:00,38.06,117.83,65.24,32.31,0.9,164.38,0.0,49.49,0.38,60.34,0.68,0.67,0.24,2.04,21.52,14.11,13.44,18-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-May-2020 - 00:00,42.47,252.71,46.92,34.72,0.98,149.24,0.0,63.16,0.36,63.13,0.89,0.62,0.23,3.16,23.07,18.18,16.06,19-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-May-2020 - 00:00,38.42,183.12,43.5,33.79,0.83,152.71,0.0,55.16,0.38,57.63,1.15,0.56,0.27,2.19,20.23,20.24,12.92,20-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-May-2020 - 00:00,48.88,155.24,32.84,34.7,1.29,244.14,0.0,86.29,0.36,44.32,1.11,0.55,0.27,2.82,25.32,16.41,16.05,21-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-May-2020 - 00:00,53.45,243.92,25.13,34.4,1.16,237.44,0.0,96.57,0.43,44.55,1.58,0.57,0.28,2.71,25.96,14.7,16.32,22-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-May-2020 - 00:00,75.82,188.52,27.77,34.98,0.86,115.08,0.0,119.0,0.6,37.27,3.09,0.78,0.43,4.01,35.47,15.59,22.84,23-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-May-2020 - 00:00,56.72,177.44,26.44,36.19,0.9,77.65,0.0,95.99,0.63,46.43,1.58,0.59,0.35,3.24,26.43,17.28,17.11,24-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-May-2020 - 00:00,53.34,125.36,30.44,37.06,0.77,44.25,0.0,87.17,0.5,60.53,2.25,0.54,0.29,2.54,21.09,17.8,13.62,25-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-May-2020 - 00:00,41.42,329.37,33.29,37.93,0.48,31.81,0.0,61.44,0.47,60.42,1.16,0.53,0.17,2.29,16.31,17.28,10.93,26-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-May-2020 - 00:00,36.82,630.69,41.23,38.05,,,0.0,51.35,0.48,65.34,0.25,0.71,0.12,1.9,11.07,23.67,7.92,27-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-May-2020 - 00:00,36.66,570.79,34.36,38.98,,,0.0,60.86,0.46,65.83,0.47,0.64,0.22,1.84,9.39,21.68,6.93,28-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-May-2020 - 00:00,38.92,216.15,26.82,38.53,,,0.0,73.82,0.45,45.24,0.58,0.45,0.2,2.35,12.11,17.94,8.79,29-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-May-2020 - 00:00,43.6,299.12,29.64,38.58,,,0.0,85.35,0.46,50.94,0.6,0.36,0.16,2.72,15.01,16.2,10.64,30-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-May-2020 - 00:00,21.91,599.42,49.27,35.38,,,0.0,40.16,0.45,64.88,0.21,0.39,0.12,2.02,9.51,21.75,7.17,31-May-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-May-2020 - 00:00,23.65,273.38,60.22,32.92,,,0.0,43.9,0.49,51.7,0.54,0.42,0.18,2.05,14.26,29.59,9.65,01-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Jun-2020 - 00:00,,100.46,75.78,32.16,1.87,161.11,0.0,36.75,0.43,38.96,0.37,0.74,0.19,2.29,24.47,12.83,15.19,02-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Jun-2020 - 00:00,17.08,90.11,69.02,32.36,1.12,175.92,0.0,33.46,0.49,32.9,1.04,1.25,0.34,1.62,17.63,17.45,9.79,03-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Jun-2020 - 00:00,18.91,36.78,85.19,29.22,,,0.49,28.57,0.44,24.42,0.98,1.11,0.32,1.68,14.82,27.76,8.11,04-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Jun-2020 - 00:00,8.96,80.04,64.83,29.38,1.99,245.72,0.0,20.32,0.42,33.65,0.24,0.39,0.12,1.86,8.91,20.9,6.7,05-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Jun-2020 - 00:00,24.13,260.74,59.99,31.03,1.2,203.39,0.0,44.28,0.46,35.29,0.53,0.6,0.26,2.03,13.47,15.06,9.27,06-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Jun-2020 - 00:00,19.35,148.12,56.48,31.81,1.33,223.21,0.0,34.65,0.43,42.97,0.98,0.43,0.18,1.95,9.95,18.74,7.39,07-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Jun-2020 - 00:00,19.76,89.39,54.96,32.0,1.51,254.94,0.0,33.57,0.44,40.96,0.77,0.25,0.07,1.89,10.87,15.47,7.77,08-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Jun-2020 - 00:00,17.59,251.61,50.99,32.64,1.65,230.24,0.0,38.22,0.45,35.62,0.42,0.25,0.1,1.97,11.6,16.76,8.23,09-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Jun-2020 - 00:00,25.13,199.45,49.96,33.18,1.54,237.82,0.0,44.72,0.46,38.18,0.54,0.22,0.08,3.04,14.39,16.78,10.55,10-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Jun-2020 - 00:00,20.93,155.43,64.06,30.94,1.63,215.02,0.02,42.65,0.46,36.26,0.29,0.29,0.03,1.84,13.52,17.66,9.05,11-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Jun-2020 - 00:00,10.68,13.06,79.55,28.8,2.16,193.56,0.06,20.83,0.43,37.78,0.21,0.25,0.07,1.77,9.77,17.65,7.13,12-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Jun-2020 - 00:00,15.62,85.08,82.0,28.27,1.57,223.18,0.07,30.13,0.44,41.87,0.37,0.26,0.09,2.04,10.95,19.46,7.99,13-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Jun-2020 - 00:00,15.14,108.66,73.78,28.97,1.12,184.6,0.02,25.29,0.44,33.61,0.5,0.3,0.11,2.71,14.74,21.14,10.25,14-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Jun-2020 - 00:00,15.8,114.39,77.76,29.17,1.16,200.37,0.3,26.41,0.45,33.54,0.39,0.33,0.13,1.8,10.7,23.08,7.59,15-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Jun-2020 - 00:00,7.82,109.77,92.43,27.61,1.08,206.35,0.05,17.56,0.46,21.33,0.38,0.4,0.16,1.96,8.19,24.53,6.42,16-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Jun-2020 - 00:00,7.7,70.4,81.72,29.07,1.59,203.26,0.0,14.47,0.46,23.42,0.28,0.36,0.14,1.83,7.59,23.91,6.0,17-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Jun-2020 - 00:00,10.75,91.61,84.31,28.6,1.34,153.63,0.0,21.44,0.47,25.06,0.29,0.39,0.16,2.06,9.28,23.93,7.13,18-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Jun-2020 - 00:00,7.98,133.1,71.38,29.7,2.13,203.68,0.0,17.81,0.42,20.75,0.21,0.32,0.11,2.68,8.04,19.41,6.92,19-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Jun-2020 - 00:00,20.75,156.71,72.64,29.88,1.39,205.17,0.0,35.06,0.45,25.01,0.95,0.32,0.12,2.3,13.49,18.09,9.48,20-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Jun-2020 - 00:00,17.62,122.32,65.7,30.3,1.72,238.52,0.0,36.39,0.42,32.99,0.38,0.23,0.08,1.9,8.79,16.61,6.7,21-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Jun-2020 - 00:00,17.43,55.13,72.54,29.45,2.24,231.08,0.12,46.05,0.43,24.46,0.15,0.2,0.07,2.09,6.95,15.72,5.89,22-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Jun-2020 - 00:00,16.08,72.13,85.98,27.8,1.44,202.27,0.23,27.99,0.45,15.53,0.22,0.3,0.12,2.14,9.82,21.39,7.37,23-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Jun-2020 - 00:00,16.57,111.27,89.69,27.37,1.41,168.53,0.07,29.15,0.49,13.6,0.36,0.37,0.15,2.08,10.61,18.25,7.79,24-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Jun-2020 - 00:00,15.54,230.38,74.88,30.08,1.21,150.29,0.0,26.88,0.43,26.65,0.29,0.36,0.16,2.09,7.36,25.27,6.12,25-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Jun-2020 - 00:00,22.05,67.44,73.03,31.14,1.28,155.48,0.0,34.7,0.44,31.39,0.43,0.35,0.12,2.04,9.08,19.2,6.91,26-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Jun-2020 - 00:00,14.88,302.34,69.75,30.98,1.44,147.99,0.0,28.11,0.44,27.15,0.25,0.32,0.11,4.16,5.56,10.46,6.88,27-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Jun-2020 - 00:00,19.15,208.31,77.33,29.95,1.34,178.1,0.11,30.47,0.44,27.03,0.39,0.3,0.12,5.29,6.48,9.38,8.3,28-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Jun-2020 - 00:00,7.36,137.37,81.64,29.25,1.1,196.84,0.01,15.65,0.45,20.5,0.36,0.31,0.12,6.09,10.15,9.04,10.86,29-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Jun-2020 - 00:00,10.93,259.57,79.85,29.46,0.98,185.78,0.0,25.85,0.45,23.42,0.4,0.35,0.15,6.84,11.47,10.25,12.15,30-Jun-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Jun-2020 - 00:00,14.58,214.94,82.59,28.99,1.19,164.21,0.16,29.94,0.46,25.22,0.56,0.53,0.21,5.97,10.23,11.87,10.81,01-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Jul-2020 - 00:00,7.01,252.31,75.09,29.86,1.31,204.11,0.0,20.37,0.47,32.68,0.25,0.34,0.14,7.18,8.64,16.63,10.95,02-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Jul-2020 - 00:00,6.55,346.63,79.52,29.45,1.34,190.0,0.55,20.3,0.53,24.96,0.18,0.29,0.1,7.78,6.6,22.45,10.35,03-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Jul-2020 - 00:00,11.07,206.82,83.07,28.83,1.32,210.18,0.46,21.57,0.51,20.97,0.31,0.45,0.18,5.84,4.08,12.11,7.47,04-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Jul-2020 - 00:00,6.2,107.61,90.37,27.33,1.37,160.52,0.65,15.29,0.48,16.57,0.35,0.57,0.23,6.24,0.94,9.5,5.96,05-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Jul-2020 - 00:00,5.23,275.31,84.97,27.8,1.55,195.16,0.69,15.16,0.48,14.61,0.36,0.47,0.18,5.26,0.32,0.6,4.58,06-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Jul-2020 - 00:00,7.13,152.78,91.06,26.78,1.62,200.24,0.0,16.72,0.46,11.9,0.26,0.36,0.12,5.39,3.07,4.9,7.4,07-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,08-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Jul-2020 - 00:00,9.81,15.0,84.0,29.6,0.81,117.86,0.0,33.47,0.45,12.6,0.49,1.5,0.52,10.54,7.79,23.5,13.29,09-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Jul-2020 - 00:00,3.86,131.35,86.51,27.88,1.8,202.98,1.09,12.09,0.45,16.34,0.23,0.53,0.16,6.37,5.47,11.29,11.13,10-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Jul-2020 - 00:00,6.68,168.71,88.96,27.51,1.64,182.25,0.06,13.07,0.46,13.76,0.24,0.35,0.12,4.94,5.68,9.55,10.48,11-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Jul-2020 - 00:00,12.29,230.61,82.74,28.88,1.36,195.5,0.03,30.09,0.47,13.09,0.26,0.3,0.12,4.72,5.65,9.3,10.25,12-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Jul-2020 - 00:00,11.94,124.02,88.09,28.41,1.3,169.82,0.0,24.79,0.47,14.69,0.33,0.33,0.13,4.66,5.55,9.23,10.17,13-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Jul-2020 - 00:00,8.66,249.31,83.63,28.28,1.4,196.08,0.0,18.57,0.48,15.6,0.23,0.37,0.12,4.75,5.73,9.06,10.34,14-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Jul-2020 - 00:00,10.5,153.3,86.6,28.3,1.02,208.61,0.79,21.01,0.48,14.45,0.3,0.35,0.15,4.91,6.99,8.91,11.66,15-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Jul-2020 - 00:00,4.38,146.59,97.1,26.25,1.2,182.63,0.45,9.16,0.47,14.24,0.27,0.35,0.13,5.09,7.66,8.81,12.59,16-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Jul-2020 - 00:00,4.51,222.15,91.54,27.08,1.31,154.64,0.0,10.7,0.45,15.01,0.26,0.49,0.2,6.46,7.32,8.85,13.49,17-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Jul-2020 - 00:00,7.6,311.23,80.01,28.68,1.16,144.67,0.0,14.56,0.47,16.9,0.25,0.64,0.24,4.89,7.25,9.1,12.19,18-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Jul-2020 - 00:00,9.4,387.83,79.89,29.47,1.12,138.44,0.0,18.9,0.46,20.83,0.23,0.37,0.14,4.23,7.59,9.15,11.84,19-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Jul-2020 - 00:00,12.97,341.38,81.96,29.12,1.22,176.81,3.41,26.25,0.46,14.82,0.4,0.4,0.17,4.69,7.68,9.04,10.9,20-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Jul-2020 - 00:00,12.22,254.54,87.29,28.97,1.12,146.93,0.0,16.84,0.28,21.68,0.24,0.26,0.14,2.83,5.8,11.64,5.3,21-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Jul-2020 - 00:00,6.64,269.21,88.44,28.41,1.28,155.67,0.02,18.86,0.36,16.87,0.24,0.33,0.11,2.88,5.76,11.44,5.3,22-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Jul-2020 - 00:00,9.09,203.29,89.65,27.71,1.12,171.5,0.85,22.88,0.31,13.78,0.34,0.33,0.12,3.02,6.42,12.51,5.75,23-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Jul-2020 - 00:00,4.11,300.65,86.05,26.22,1.8,186.74,0.33,9.51,0.28,15.75,0.19,0.24,0.06,3.38,5.1,12.62,5.18,24-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Jul-2020 - 00:00,5.52,214.99,88.23,27.61,1.14,138.06,0.0,13.93,0.3,15.58,0.31,0.31,0.1,2.81,6.16,11.66,5.43,25-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Jul-2020 - 00:00,9.0,407.76,84.92,28.38,1.42,149.41,0.0,17.39,0.37,20.83,0.21,0.31,0.11,2.75,6.38,12.19,5.51,26-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Jul-2020 - 00:00,15.79,515.08,73.92,29.7,0.73,163.4,0.0,30.01,0.44,19.87,0.38,0.33,0.14,3.26,9.4,12.03,7.58,27-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Jul-2020 - 00:00,14.35,673.77,74.79,30.78,1.05,230.52,0.0,39.8,0.43,14.82,0.45,0.38,0.17,3.14,10.08,10.99,7.6,28-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Jul-2020 - 00:00,15.95,296.4,79.69,29.0,1.48,220.6,0.0,37.13,0.44,15.37,0.33,0.42,0.16,4.52,13.34,11.84,10.55,29-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Jul-2020 - 00:00,20.37,408.52,82.12,27.91,0.77,136.77,0.0,30.93,0.43,23.43,0.74,0.48,0.17,3.02,9.13,7.88,7.0,30-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Jul-2020 - 00:00,20.67,508.07,88.25,28.67,0.96,142.22,0.07,36.86,0.43,17.86,0.63,0.45,0.15,2.72,6.93,8.11,5.68,31-Jul-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Jul-2020 - 00:00,26.14,583.48,79.92,30.16,1.06,146.49,0.0,46.44,0.44,18.81,0.72,0.43,0.17,3.14,9.0,8.06,6.94,01-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Aug-2020 - 00:00,20.46,356.82,86.21,29.2,0.94,161.64,0.0,42.73,0.45,17.2,0.52,0.41,0.16,2.69,9.03,8.75,6.78,02-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Aug-2020 - 00:00,6.48,550.43,78.35,29.89,1.1,198.44,0.05,22.27,0.42,18.47,0.38,0.31,0.12,2.61,26.12,10.51,15.6,03-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Aug-2020 - 00:00,6.29,208.44,93.32,27.01,1.13,186.06,0.11,17.14,0.42,13.54,0.28,0.3,0.11,3.75,28.29,10.44,17.56,04-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Aug-2020 - 00:00,4.88,221.3,83.85,28.43,1.39,190.65,0.02,15.31,0.43,9.72,0.23,0.47,0.18,2.88,32.75,10.22,19.56,05-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Aug-2020 - 00:00,4.63,173.06,85.62,28.39,1.58,198.89,0.0,16.52,0.43,12.17,0.17,0.46,0.14,4.75,43.39,14.79,26.08,06-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Aug-2020 - 00:00,6.54,152.39,85.12,27.89,1.6,154.97,0.03,15.47,0.41,17.96,0.16,0.36,0.08,3.46,32.6,16.35,19.95,07-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Aug-2020 - 00:00,10.03,178.09,82.98,28.9,1.4,155.63,0.0,25.43,0.42,15.14,0.21,0.35,0.11,3.07,21.64,15.07,13.68,08-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Aug-2020 - 00:00,12.25,189.01,81.88,28.81,1.61,227.32,0.0,27.59,0.42,11.75,0.21,0.26,0.09,2.92,20.1,13.5,12.85,09-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Aug-2020 - 00:00,8.14,159.47,94.33,26.87,1.53,236.63,0.17,19.21,0.41,8.0,0.21,0.25,0.09,2.74,17.82,14.39,11.48,10-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Aug-2020 - 00:00,9.43,147.66,98.04,25.9,2.16,221.17,0.42,22.72,0.42,7.91,0.14,0.32,0.09,3.07,16.36,14.41,10.99,11-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Aug-2020 - 00:00,6.98,147.64,92.0,26.31,1.76,226.6,0.01,16.4,0.41,9.53,0.15,0.26,0.08,3.3,13.84,15.23,9.6,12-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Aug-2020 - 00:00,9.41,134.19,86.58,27.7,1.83,232.72,0.02,23.46,0.42,10.92,0.17,0.35,0.11,3.4,15.66,17.07,10.92,13-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Aug-2020 - 00:00,4.55,107.16,93.71,25.99,1.9,232.26,0.2,12.73,0.39,9.35,0.13,0.38,0.13,3.44,13.37,14.65,9.36,14-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Aug-2020 - 00:00,6.45,159.0,91.54,25.86,2.01,230.85,0.15,17.61,0.37,10.92,0.44,0.62,0.32,4.47,13.37,13.31,10.03,15-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Aug-2020 - 00:00,6.74,207.3,91.1,26.09,1.68,223.45,0.09,20.59,0.37,8.22,0.87,1.06,0.63,6.47,14.28,12.92,11.28,16-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Aug-2020 - 00:00,4.96,166.12,96.58,25.67,1.94,225.19,0.15,11.4,0.36,8.65,0.87,1.06,0.63,6.4,13.1,13.12,10.37,17-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Aug-2020 - 00:00,2.88,170.25,98.28,25.23,2.23,221.83,0.24,9.92,0.37,10.67,0.8,1.0,0.6,4.47,11.31,13.54,8.88,18-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Aug-2020 - 00:00,6.63,137.67,95.06,26.11,1.81,219.65,0.01,19.64,0.37,8.63,0.68,0.96,0.43,2.63,12.37,13.26,8.51,19-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Aug-2020 - 00:00,6.81,176.94,90.5,27.04,1.64,231.4,0.07,22.17,0.37,8.04,0.65,0.97,0.34,2.19,11.87,12.54,7.88,20-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Aug-2020 - 00:00,9.33,178.01,92.29,26.89,2.13,228.99,0.3,19.38,0.36,7.6,0.65,0.97,0.34,3.14,12.27,14.08,8.77,21-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Aug-2020 - 00:00,4.1,156.21,91.39,26.67,2.4,201.84,0.1,13.73,0.36,9.8,0.65,0.97,0.34,2.45,10.0,13.1,7.07,22-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Aug-2020 - 00:00,6.71,197.78,82.85,28.32,1.95,174.59,0.0,16.45,0.36,10.35,0.62,0.91,0.47,2.17,11.06,12.23,7.42,23-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
