from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,126.79,234.16,49.02,79.83,128.85,27.55,11.06,1.55,15.39,1.57,6.53,20.74,22.48,66.46,,,0.69,170.59,02-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
02-Jan-2020 - 00:00,131.12,224.32,56.26,41.74,97.95,28.34,7.2,1.22,15.79,1.27,4.87,16.31,24.35,69.09,,,0.64,199.6,03-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
03-Jan-2020 - 00:00,108.58,210.64,55.62,43.48,99.1,32.12,6.83,1.2,19.5,1.12,5.05,17.13,24.02,65.12,,,0.73,218.26,04-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
04-Jan-2020 - 00:00,117.26,221.51,54.6,45.39,100.0,32.62,6.94,1.2,17.32,1.18,4.91,16.67,22.83,65.06,,,0.7,243.21,05-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
05-Jan-2020 - 00:00,98.32,187.9,38.13,55.54,93.67,31.88,8.35,1.16,16.44,1.32,5.39,18.44,24.98,61.79,,0.02,0.79,180.63,06-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
06-Jan-2020 - 00:00,80.19,168.46,47.16,59.4,106.58,29.54,10.88,1.09,14.23,1.22,5.63,19.08,26.93,60.32,,,0.92,181.44,07-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
07-Jan-2020 - 00:00,93.94,199.51,53.64,68.61,122.25,27.06,8.77,1.42,18.29,2.42,6.57,23.27,27.12,66.78,,,0.75,201.3,08-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
08-Jan-2020 - 00:00,77.35,167.11,37.52,70.24,107.77,27.95,5.85,1.12,12.05,1.66,5.04,18.03,26.78,64.82,,0.02,0.67,216.42,09-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
09-Jan-2020 - 00:00,74.13,167.2,52.02,50.42,102.44,25.23,7.8,0.99,17.92,1.29,4.89,15.93,24.6,58.63,,,0.72,227.3,10-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
10-Jan-2020 - 00:00,81.38,203.0,46.2,57.44,103.64,25.03,10.23,1.13,21.07,1.69,5.2,16.19,26.05,56.44,,0.02,0.93,161.86,11-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
11-Jan-2020 - 00:00,92.42,223.05,38.4,82.48,120.89,27.24,11.91,1.34,14.05,0.89,2.64,6.53,27.42,59.01,,,0.89,180.6,12-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
12-Jan-2020 - 00:00,104.33,233.06,31.65,113.45,142.63,27.23,9.81,1.7,13.34,1.26,3.21,8.94,26.89,68.43,,,0.73,205.33,13-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
13-Jan-2020 - 00:00,75.3,157.58,29.1,56.94,86.04,28.57,5.43,0.99,10.06,0.72,2.22,5.99,26.64,75.15,,,0.61,205.76,14-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
14-Jan-2020 - 00:00,43.45,141.7,24.31,54.36,78.6,29.93,5.56,0.84,11.32,0.64,2.03,4.98,25.11,70.07,,0.09,0.76,205.4,15-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
15-Jan-2020 - 00:00,39.91,137.12,35.15,59.44,94.58,27.78,6.17,0.79,11.36,0.46,1.49,3.71,23.78,57.57,,,0.7,257.26,16-Jan-2020 - 00:00,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
