from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,VWS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,23.54,708.56,57.27,99.88,0.0,70.68,50.61,31.02,186.52,0.97,-2.93,0.04,0.14,0.0,0.87,14.85,8.45,48.64,32.74,22.4,1.47,02-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Jan-2020 - 00:00,24.11,708.95,48.2,80.11,0.0,70.82,45.76,31.04,172.61,1.02,-2.94,0.07,0.3,0.0,0.79,13.4,7.1,43.84,29.09,21.27,1.59,03-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Jan-2020 - 00:00,23.96,709.02,46.59,68.19,0.0,71.92,45.61,30.91,206.93,0.77,-2.9,0.02,0.13,0.0,0.64,12.59,6.31,36.83,24.72,23.26,1.01,04-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Jan-2020 - 00:00,23.78,709.02,72.3,127.89,0.0,70.53,46.45,30.91,129.94,0.9,-2.97,0.19,0.9,0.05,1.0,13.51,8.22,49.15,32.83,23.26,1.45,05-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Jan-2020 - 00:00,23.38,709.02,79.64,139.89,0.0,63.21,66.31,30.75,109.9,1.19,-3.08,1.07,3.29,0.27,0.87,13.7,6.69,53.18,33.72,24.99,2.45,06-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Jan-2020 - 00:00,23.4,709.03,70.7,114.68,0.0,64.16,56.75,30.76,159.67,1.04,-3.1,1.31,3.9,0.35,0.77,13.67,6.64,53.54,33.87,23.82,1.91,07-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Jan-2020 - 00:00,24.12,709.05,66.66,107.65,0.0,69.5,48.33,30.95,192.82,0.9,-2.97,0.21,0.38,0.0,0.83,14.9,6.34,48.62,31.02,24.29,1.6,08-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Jan-2020 - 00:00,24.29,709.06,51.76,81.42,0.0,68.36,57.79,30.98,242.79,1.03,-2.96,0.21,1.06,0.02,0.63,12.79,5.79,35.39,23.53,26.64,1.17,09-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Jan-2020 - 00:00,23.65,709.08,56.94,93.17,0.0,72.16,45.09,30.96,189.62,0.66,-2.93,0.59,2.19,0.15,0.86,12.26,7.74,40.2,27.68,23.02,1.54,10-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Jan-2020 - 00:00,23.48,709.08,81.01,143.27,0.0,68.72,56.01,30.85,125.85,1.17,-2.95,0.43,3.21,0.09,0.86,13.52,6.52,46.37,29.97,26.46,2.35,11-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
11-Jan-2020 - 00:00,23.32,709.07,79.31,154.04,0.0,62.23,68.74,30.75,132.42,0.86,-3.05,1.24,5.97,0.35,1.08,14.25,11.62,63.61,43.28,22.74,2.37,12-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
12-Jan-2020 - 00:00,23.12,709.02,78.31,153.22,0.0,59.43,71.38,30.81,127.39,0.53,-3.08,2.15,6.27,0.54,1.03,14.8,6.92,59.99,37.53,28.85,1.93,13-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
13-Jan-2020 - 00:00,23.31,709.15,75.67,147.59,0.0,56.79,70.22,30.85,155.05,0.46,-3.13,2.57,23.68,0.68,1.16,16.42,8.49,65.36,41.67,31.65,2.93,14-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
14-Jan-2020 - 00:00,23.63,709.06,79.82,158.61,0.0,62.15,66.88,30.79,147.03,0.82,-3.03,0.66,1.86,0.13,1.01,19.87,5.4,64.59,38.75,29.6,1.66,15-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
