from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,11.61,996.66,475.22,591.96,77.59,43.34,67.25,0.43,10.54,69.0,57.06,52.41,222.52,216.75,4.12,53.92,19.71,02-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Jan-2020 - 00:00,14.46,996.31,368.88,521.27,73.38,39.4,176.84,0.4,10.49,65.51,56.28,56.33,228.41,245.18,4.41,27.16,22.15,03-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Jan-2020 - 00:00,15.93,994.13,231.83,350.92,72.73,43.69,215.97,0.45,9.39,61.18,53.22,51.77,189.33,181.89,3.15,17.89,18.76,04-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Jan-2020 - 00:00,15.37,993.14,219.62,332.79,72.08,37.7,312.93,0.63,8.64,45.53,48.55,70.56,149.9,176.28,2.83,15.01,15.82,05-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Jan-2020 - 00:00,15.12,993.63,175.46,256.0,64.03,42.43,265.01,0.64,4.8,27.63,43.14,60.46,51.15,73.89,1.68,16.72,15.61,06-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Jan-2020 - 00:00,15.2,994.54,155.27,246.85,65.04,24.07,147.83,0.6,5.71,35.54,41.48,56.62,46.74,68.15,1.77,10.38,17.22,07-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Jan-2020 - 00:00,15.31,992.37,122.26,176.11,79.28,23.49,118.9,0.56,4.66,29.19,43.42,38.61,14.03,31.97,1.33,10.39,14.06,08-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Jan-2020 - 00:00,13.79,990.36,134.92,167.94,95.46,8.72,171.49,0.9,5.0,32.73,45.72,35.16,28.92,42.37,1.57,11.38,12.77,09-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Jan-2020 - 00:00,11.45,995.16,106.0,152.71,82.79,47.77,335.72,2.32,3.93,20.14,31.01,36.71,17.25,33.57,2.02,15.07,11.56,10-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Jan-2020 - 00:00,11.8,995.34,150.22,226.71,76.55,47.44,306.45,0.99,5.44,24.33,36.78,53.64,37.22,58.85,1.4,19.15,13.17,11-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Jan-2020 - 00:00,13.34,995.11,160.22,254.52,61.27,48.96,282.09,0.66,5.89,25.67,40.03,59.87,57.99,79.11,2.45,24.53,17.11,12-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Jan-2020 - 00:00,14.64,992.06,253.17,392.08,66.12,43.62,299.57,0.52,8.91,40.23,50.05,64.19,150.19,163.07,2.95,24.3,17.4,13-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Jan-2020 - 00:00,15.27,987.77,248.04,377.46,76.47,26.74,198.66,1.02,8.04,37.3,59.24,51.14,77.92,90.72,2.33,21.46,16.16,14-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Jan-2020 - 00:00,14.01,991.23,135.44,190.54,83.77,41.41,325.79,1.41,5.46,28.47,46.37,42.72,28.33,45.87,1.4,13.21,12.28,15-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Jan-2020 - 00:00,14.08,992.27,122.08,194.75,78.82,38.0,273.52,1.1,5.77,35.38,41.22,50.81,40.18,59.77,1.58,17.95,14.61,16-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Jan-2020 - 00:00,13.25,991.15,144.92,206.46,85.06,22.69,305.39,1.08,6.47,28.62,41.83,48.32,36.18,55.21,1.67,8.19,14.57,17-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Jan-2020 - 00:00,14.05,992.4,93.75,139.38,89.76,41.73,293.22,1.23,5.25,26.82,33.8,38.14,33.14,47.32,1.64,10.25,12.3,18-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Jan-2020 - 00:00,13.04,994.17,147.79,234.25,87.31,37.53,256.31,0.78,7.4,38.56,38.99,47.94,62.57,76.51,1.92,11.88,12.78,19-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Jan-2020 - 00:00,11.52,994.91,147.15,204.17,82.53,53.94,310.18,1.1,3.89,15.18,38.31,36.8,17.3,33.69,1.44,18.5,11.59,20-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Jan-2020 - 00:00,11.77,993.99,157.64,243.27,89.84,24.4,284.0,0.79,5.1,22.28,38.9,41.01,42.65,56.62,1.88,11.38,12.87,21-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Jan-2020 - 00:00,13.57,994.71,237.19,358.79,85.58,49.68,147.37,0.65,6.31,31.9,46.6,37.92,46.1,57.82,2.06,19.94,13.68,22-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Jan-2020 - 00:00,13.47,996.36,219.83,335.98,84.35,53.38,272.96,0.89,6.9,30.48,45.03,48.57,97.15,105.09,2.47,16.88,13.93,23-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Jan-2020 - 00:00,14.3,994.72,74.44,148.25,57.2,60.29,313.08,1.47,2.58,12.29,33.92,40.14,15.84,34.26,1.15,18.88,12.3,24-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
