from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
24-Jan-2020 - 00:00,14.33,992.17,78.02,161.42,50.26,60.36,302.94,1.06,2.94,13.49,31.86,43.39,33.02,50.04,1.41,21.86,14.6,25-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Jan-2020 - 00:00,14.45,992.46,136.12,244.85,58.96,57.11,288.25,0.53,4.64,24.63,36.75,56.67,81.23,96.23,2.12,21.38,17.61,26-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Jan-2020 - 00:00,15.19,990.7,203.35,316.19,67.0,57.77,290.33,0.67,6.79,29.27,44.75,49.03,110.16,115.99,2.74,24.81,16.87,27-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Jan-2020 - 00:00,16.42,988.17,223.54,349.96,66.09,37.6,128.52,0.6,6.22,34.83,49.47,56.11,86.32,100.24,2.33,20.95,22.38,28-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Jan-2020 - 00:00,15.88,986.49,118.62,153.0,79.66,65.97,111.71,0.93,3.15,44.35,42.23,31.47,8.58,23.75,1.3,22.84,14.72,29-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Jan-2020 - 00:00,16.97,993.53,84.85,169.88,60.19,95.28,245.62,1.01,4.14,24.55,32.54,45.64,49.21,64.42,1.89,30.43,15.44,30-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Jan-2020 - 00:00,15.08,993.55,94.58,172.19,71.17,58.99,322.9,1.23,3.83,18.68,35.05,42.74,34.0,50.48,1.52,16.06,13.49,31-Jan-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
31-Jan-2020 - 00:00,13.74,991.47,92.46,161.75,66.85,63.27,291.83,0.84,3.33,15.26,31.41,44.21,32.38,49.87,1.4,16.08,14.62,01-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Feb-2020 - 00:00,14.23,994.24,117.69,206.35,70.85,59.88,248.04,0.97,4.34,17.98,32.14,48.84,69.71,82.77,1.57,18.44,13.28,02-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Feb-2020 - 00:00,13.73,995.73,131.25,203.58,70.97,59.18,299.26,0.84,3.7,14.72,32.94,49.12,37.78,56.92,1.5,21.46,13.6,03-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Feb-2020 - 00:00,14.61,994.44,143.27,238.79,60.82,60.05,272.32,0.57,4.23,20.5,33.45,55.18,51.73,71.36,1.89,23.92,16.54,04-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Feb-2020 - 00:00,14.6,992.88,218.35,383.33,62.59,54.86,156.71,0.6,6.62,34.76,41.73,60.01,131.54,146.05,2.64,32.76,20.48,05-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Feb-2020 - 00:00,15.38,993.04,148.08,249.02,62.05,55.25,308.59,1.1,4.67,20.06,40.61,56.68,74.62,90.96,1.79,10.44,15.88,06-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Feb-2020 - 00:00,14.46,992.43,133.21,215.73,62.71,58.03,228.88,0.55,3.81,17.87,33.56,49.94,34.84,54.97,1.49,17.71,14.21,07-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Feb-2020 - 00:00,14.4,994.78,193.31,316.83,64.41,47.04,264.41,0.84,5.5,25.9,35.74,62.54,132.98,142.73,2.03,23.28,19.63,08-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Feb-2020 - 00:00,15.25,996.69,154.44,231.98,62.21,56.69,310.89,1.02,3.82,13.77,33.93,47.53,26.61,47.18,1.4,23.64,16.84,09-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Feb-2020 - 00:00,15.46,997.11,156.41,242.95,62.93,59.32,290.59,0.67,4.16,16.53,,50.0,46.25,64.33,1.61,26.54,16.5,10-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Feb-2020 - 00:00,15.42,995.22,192.99,316.7,64.0,60.57,311.31,0.63,4.85,22.17,31.87,62.47,89.42,106.22,2.29,22.71,18.13,11-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Feb-2020 - 00:00,16.09,995.46,177.06,308.56,59.83,59.92,316.95,0.68,6.4,32.18,35.97,65.54,155.3,161.57,2.41,23.24,16.48,12-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Feb-2020 - 00:00,17.64,994.78,186.67,300.5,60.53,59.89,293.47,0.94,4.34,26.64,38.84,56.27,37.43,62.46,1.4,21.81,19.01,13-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Feb-2020 - 00:00,19.87,991.75,101.02,193.16,52.2,61.57,307.12,1.17,2.26,26.97,33.17,41.77,13.4,33.13,0.85,24.96,17.92,14-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Feb-2020 - 00:00,19.57,988.96,71.35,186.04,47.61,64.1,322.66,1.84,2.03,27.69,30.26,37.26,8.89,27.09,0.79,33.5,14.2,15-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Feb-2020 - 00:00,18.57,989.3,86.62,198.67,42.41,66.58,298.72,0.83,2.28,29.88,30.07,48.21,23.07,44.63,0.94,26.97,17.52,16-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Feb-2020 - 00:00,18.99,992.38,130.46,241.52,48.85,65.69,306.96,0.75,2.95,51.58,35.6,55.41,56.27,75.37,1.6,30.29,17.78,17-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Feb-2020 - 00:00,19.48,993.4,153.21,280.96,49.83,67.95,292.51,0.8,3.74,49.36,36.98,64.0,53.52,77.67,1.51,25.14,24.32,18-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Feb-2020 - 00:00,19.17,990.72,126.85,260.4,41.91,70.26,271.88,0.76,2.73,38.97,31.47,60.54,47.09,70.67,1.42,24.95,24.87,19-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Feb-2020 - 00:00,18.91,989.69,137.71,315.94,53.74,44.26,160.78,0.86,4.31,107.01,39.13,48.68,92.12,101.01,1.19,34.73,16.99,20-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Feb-2020 - 00:00,20.83,989.13,103.73,237.06,54.55,58.03,156.54,1.18,2.42,38.49,40.47,32.18,3.99,20.37,0.62,47.46,12.84,21-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Feb-2020 - 00:00,17.2,993.08,53.58,88.62,77.82,22.29,71.85,1.2,1.87,81.84,35.42,25.35,5.5,17.97,0.65,35.65,9.77,22-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Feb-2020 - 00:00,18.85,996.31,71.22,144.41,72.55,61.14,111.92,0.64,2.74,56.78,32.58,36.86,52.23,62.19,1.43,24.21,15.99,23-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Feb-2020 - 00:00,20.51,994.07,96.35,175.9,66.64,61.54,230.77,0.79,3.14,52.1,37.25,41.2,54.52,66.32,0.93,30.57,14.72,24-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Feb-2020 - 00:00,20.34,990.82,65.57,151.34,62.81,72.04,275.27,0.98,2.29,39.35,33.6,46.6,42.21,59.19,0.96,24.67,15.67,25-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Feb-2020 - 00:00,20.47,989.64,134.75,249.02,66.91,74.08,297.63,0.71,2.97,40.15,37.29,50.0,41.59,60.51,1.26,24.53,18.11,26-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Feb-2020 - 00:00,21.02,990.33,136.08,294.04,65.44,94.72,218.42,0.62,3.48,50.52,38.8,50.26,59.44,75.14,1.37,27.74,15.3,27-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Feb-2020 - 00:00,20.88,990.77,101.08,209.65,72.27,78.03,140.32,0.64,2.93,42.12,39.49,38.56,18.07,35.26,0.9,26.06,14.2,28-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Feb-2020 - 00:00,21.14,989.63,84.52,171.48,70.87,92.49,159.84,1.2,2.84,31.63,36.67,25.11,4.3,16.85,0.84,35.15,12.02,29-Feb-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Feb-2020 - 00:00,20.2,988.81,59.19,120.21,75.51,74.15,136.58,1.2,1.96,32.75,33.31,26.01,4.59,17.57,0.55,28.84,10.8,01-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Mar-2020 - 00:00,20.26,989.35,42.73,94.17,73.86,95.96,135.66,0.51,1.8,72.35,31.43,32.61,30.61,42.28,1.06,31.08,11.49,02-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Mar-2020 - 00:00,21.57,988.87,100.29,223.48,73.81,63.75,184.54,0.36,3.41,56.91,41.61,50.47,120.02,124.74,1.98,32.73,15.87,03-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Mar-2020 - 00:00,22.26,987.32,80.1,194.31,59.52,102.6,249.65,0.48,2.7,47.49,37.75,49.76,84.99,95.75,1.27,21.06,14.69,04-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Mar-2020 - 00:00,21.49,986.74,91.23,235.67,59.72,95.09,171.51,0.93,3.41,53.66,40.07,40.58,84.18,90.27,1.17,30.61,15.6,05-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Mar-2020 - 00:00,19.78,986.88,29.83,67.79,71.61,97.55,137.21,0.92,1.36,33.75,31.87,27.27,5.67,19.14,0.58,30.73,10.7,06-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Mar-2020 - 00:00,16.67,985.92,19.15,41.44,85.57,62.74,126.1,0.81,1.03,31.1,28.02,26.88,5.76,19.0,0.53,25.12,8.17,07-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Mar-2020 - 00:00,17.27,990.17,39.54,90.49,81.79,71.83,144.4,0.9,1.08,27.67,30.99,26.9,9.08,21.65,0.72,29.25,9.82,08-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Mar-2020 - 00:00,20.42,991.29,56.37,141.46,57.1,177.22,286.09,0.92,1.14,18.83,92.12,37.55,29.65,44.15,1.42,,16.36,09-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Mar-2020 - 00:00,19.36,988.98,64.4,171.73,58.63,131.06,307.49,1.0,1.19,21.21,25.46,37.77,24.19,39.8,1.02,4.72,11.63,10-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Mar-2020 - 00:00,19.87,987.74,85.19,158.83,57.26,102.14,213.27,0.62,1.41,20.07,30.75,28.03,11.43,24.24,0.93,41.21,16.56,11-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Mar-2020 - 00:00,21.36,985.36,56.4,119.71,65.52,113.78,142.29,1.15,1.19,20.3,33.27,22.98,3.43,15.01,0.79,40.16,12.2,12-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Mar-2020 - 00:00,22.11,987.53,63.21,187.9,60.35,112.69,174.21,0.97,1.29,26.2,28.47,33.68,15.75,30.76,0.95,21.01,17.55,13-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Mar-2020 - 00:00,21.76,989.35,59.94,194.48,50.59,119.53,188.45,0.46,1.34,33.56,27.14,32.76,35.44,46.34,0.75,23.66,17.82,14-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Mar-2020 - 00:00,18.76,990.59,40.52,89.17,79.77,50.77,158.78,0.62,1.04,39.78,27.36,27.42,10.36,23.04,0.68,18.99,12.62,15-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Mar-2020 - 00:00,18.97,992.29,52.92,123.48,67.53,94.12,175.14,0.45,1.11,27.51,25.4,33.21,25.06,38.1,0.81,27.37,14.17,16-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Mar-2020 - 00:00,20.79,992.0,58.33,159.38,62.31,100.53,318.43,0.68,1.21,28.47,26.1,41.37,24.8,42.23,1.07,24.78,14.15,17-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Mar-2020 - 00:00,22.18,991.91,66.35,171.33,58.25,119.11,323.0,0.76,2.21,40.58,30.18,49.01,31.24,51.54,1.37,24.94,17.13,18-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Mar-2020 - 00:00,23.49,990.09,58.33,163.21,54.33,117.58,316.93,0.68,2.8,46.26,27.87,54.69,39.86,61.63,1.75,28.42,18.86,19-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Mar-2020 - 00:00,24.26,987.05,82.51,187.86,59.89,114.49,222.08,0.48,3.0,61.93,30.86,49.94,47.79,65.53,1.73,34.64,21.97,20-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Mar-2020 - 00:00,24.96,986.03,89.32,212.14,56.53,80.61,156.14,0.46,3.45,74.23,31.51,47.32,34.67,53.5,2.0,42.34,26.19,21-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Mar-2020 - 00:00,24.95,986.44,68.48,166.02,49.71,86.83,240.03,0.58,2.56,45.57,28.64,49.71,37.72,57.16,1.85,33.5,20.08,22-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Mar-2020 - 00:00,25.2,988.18,69.02,119.19,51.42,117.89,236.68,0.64,2.0,32.5,28.22,26.98,10.76,23.15,1.35,40.68,19.68,23-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Mar-2020 - 00:00,25.85,987.74,45.77,95.19,47.99,116.19,157.48,0.39,1.46,22.2,24.51,21.78,4.57,15.19,1.42,47.14,20.05,24-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Mar-2020 - 00:00,24.72,986.52,55.06,114.69,56.09,90.82,175.15,0.76,1.92,22.44,28.01,21.42,7.57,17.12,1.34,32.13,19.32,25-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Mar-2020 - 00:00,26.01,986.8,37.38,68.81,57.14,141.07,228.53,0.72,1.29,18.42,29.1,15.76,7.13,14.17,1.19,30.09,12.95,26-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Mar-2020 - 00:00,25.31,988.04,34.98,70.1,55.11,79.8,297.21,0.74,0.87,11.0,24.41,11.11,3.34,8.34,1.11,26.41,15.76,27-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Mar-2020 - 00:00,22.52,989.89,24.26,41.29,70.28,89.45,207.38,0.88,0.69,9.62,22.26,9.93,3.74,8.29,1.07,24.23,13.69,28-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Mar-2020 - 00:00,23.29,990.18,19.04,32.47,64.57,138.16,312.55,1.06,0.63,10.86,21.07,11.39,3.24,8.64,1.06,29.27,15.25,29-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Mar-2020 - 00:00,24.76,988.14,21.75,51.08,50.13,138.46,327.5,1.3,0.56,8.44,18.83,7.58,2.22,5.73,1.06,41.0,13.35,30-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Mar-2020 - 00:00,24.65,988.2,33.59,61.51,48.1,146.44,317.33,0.89,0.73,9.98,19.32,9.17,2.49,6.89,1.02,44.92,16.13,31-Mar-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
31-Mar-2020 - 00:00,25.86,986.94,30.54,59.94,45.62,131.2,296.72,1.16,0.7,10.11,18.55,8.99,2.18,6.49,1.06,46.96,16.71,01-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Apr-2020 - 00:00,26.56,986.05,27.08,57.64,47.82,145.33,275.68,0.92,0.79,11.74,20.54,10.63,3.91,8.68,1.12,39.66,15.76,02-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Apr-2020 - 00:00,26.01,986.48,23.57,53.83,43.26,158.89,331.95,1.3,0.54,7.62,18.92,7.56,2.58,6.06,1.09,45.99,15.7,03-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Apr-2020 - 00:00,25.23,987.75,30.0,61.65,34.03,165.15,313.97,0.86,0.8,9.72,17.39,10.71,1.97,7.3,1.15,52.71,16.87,04-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Apr-2020 - 00:00,26.26,987.7,37.47,69.64,35.47,164.39,320.92,0.83,0.92,13.29,18.44,14.66,2.32,9.69,1.14,47.55,15.18,05-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Apr-2020 - 00:00,27.27,988.37,51.5,89.81,39.19,155.32,172.95,0.67,1.35,17.25,21.71,16.71,2.65,11.04,1.21,53.22,19.1,06-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Apr-2020 - 00:00,29.64,987.12,54.56,106.08,33.84,156.6,265.17,0.79,1.89,22.24,24.1,16.28,4.73,12.51,1.23,56.05,22.32,07-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Apr-2020 - 00:00,27.78,985.23,29.33,92.25,37.77,141.26,280.98,1.35,0.71,8.81,21.71,9.85,1.81,6.72,1.17,48.63,16.24,08-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Apr-2020 - 00:00,27.68,985.87,26.65,75.69,31.25,156.66,323.97,1.11,0.67,10.05,18.77,10.2,1.8,6.89,1.07,48.36,16.62,09-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Apr-2020 - 00:00,27.18,986.36,33.29,72.21,33.23,139.51,297.76,0.61,0.89,11.81,18.54,13.91,2.21,9.2,1.13,49.05,19.06,10-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Apr-2020 - 00:00,29.23,987.24,58.62,109.94,31.07,143.11,274.45,0.52,1.5,20.14,20.97,20.11,4.54,14.4,1.41,46.28,20.15,11-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Apr-2020 - 00:00,30.99,988.06,54.77,117.25,30.79,134.8,197.43,0.68,1.93,22.73,23.63,17.89,4.81,13.45,1.24,59.16,25.51,12-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Apr-2020 - 00:00,30.44,985.99,37.46,87.23,31.97,148.67,301.06,0.76,0.99,11.5,21.88,13.04,2.21,8.74,1.28,48.58,17.25,13-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Apr-2020 - 00:00,31.95,983.95,78.96,153.88,31.5,139.43,282.09,0.59,1.9,18.61,24.72,20.78,4.52,14.74,1.27,38.89,23.38,14-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Apr-2020 - 00:00,32.85,984.32,53.6,136.66,31.09,125.8,194.9,0.39,1.64,25.58,26.61,25.38,8.15,20.19,1.52,41.07,19.39,15-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Apr-2020 - 00:00,32.94,983.92,62.75,197.0,25.54,140.44,251.64,0.56,2.6,17.66,27.85,22.1,7.16,17.6,1.45,35.53,18.01,16-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Apr-2020 - 00:00,32.84,982.71,70.92,182.12,23.2,142.25,298.29,0.71,3.65,39.35,29.16,22.41,5.78,16.64,1.45,43.94,22.35,17-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Apr-2020 - 00:00,31.76,982.3,24.71,85.71,27.34,145.13,211.97,0.93,,,24.39,12.1,1.85,7.93,1.26,54.32,18.87,18-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Apr-2020 - 00:00,29.97,984.15,23.58,115.42,35.53,116.42,87.52,0.91,0.73,11.33,25.19,10.83,1.72,7.16,1.2,51.29,13.55,19-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Apr-2020 - 00:00,28.82,983.77,32.15,64.79,40.95,139.29,293.11,0.84,1.07,13.73,25.38,18.22,4.16,13.09,1.31,41.53,16.33,20-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Apr-2020 - 00:00,27.15,984.7,43.5,101.42,40.79,75.46,231.53,0.96,1.62,22.69,27.25,20.98,12.65,21.46,1.44,29.85,15.48,21-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Apr-2020 - 00:00,28.39,984.96,34.04,84.9,39.44,117.1,228.41,0.71,1.11,13.4,24.57,17.27,3.74,12.23,1.31,49.35,16.15,22-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Apr-2020 - 00:00,29.86,983.57,49.5,107.98,30.85,132.98,240.97,0.54,1.35,21.42,23.65,21.96,9.75,19.62,1.41,47.3,17.39,23-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Apr-2020 - 00:00,30.01,982.69,51.73,115.96,30.16,87.38,178.39,0.69,1.91,21.78,25.37,18.98,2.95,12.49,1.32,44.59,17.24,24-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Apr-2020 - 00:00,30.73,981.23,63.76,124.2,35.48,123.79,161.85,0.57,2.15,17.16,32.33,19.86,3.24,13.22,1.59,56.22,17.37,25-Apr-2020 - 00:00,"Okhla Phase-2, Delhi - DPCC"
