from date,Benzene,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
26-Jan-2020 - 00:00,4.52,0.62,8.92,720.25,37.64,100.32,0.0,45.55,17.9,166.79,0.5,0.69,45.4,11.46,39.25,50.71,34.93,5.42,27-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jan-2020 - 00:00,3.04,0.51,6.3,717.35,34.25,75.26,0.0,48.0,19.72,182.57,0.73,0.79,45.68,9.42,35.54,44.92,38.93,6.59,28-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jan-2020 - 00:00,2.39,3.89,4.01,717.03,35.73,72.18,0.0,48.91,18.43,249.86,1.26,0.71,35.12,4.72,21.0,25.72,64.66,5.88,29-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jan-2020 - 00:00,2.95,4.16,4.67,721.55,35.54,58.7,0.0,46.22,15.58,197.59,0.78,0.99,28.25,11.62,27.56,39.19,40.62,5.62,30-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jan-2020 - 00:00,4.08,0.5,6.99,722.65,35.88,74.42,0.0,49.08,15.09,184.46,0.7,0.92,32.69,20.05,31.91,51.96,45.56,6.28,31-Jan-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Jan-2020 - 00:00,4.78,0.78,8.27,720.66,39.23,90.46,0.0,46.02,14.73,173.78,1.15,0.74,35.88,29.11,35.1,64.22,39.32,6.25,01-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Feb-2020 - 00:00,5.56,0.86,9.53,722.41,47.18,117.81,0.0,46.1,15.09,184.87,1.29,0.73,39.36,24.55,39.88,64.43,36.52,6.1,02-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Feb-2020 - 00:00,3.13,0.35,4.67,723.85,37.94,86.04,0.0,49.37,15.15,171.88,1.81,0.46,35.17,8.74,30.83,39.56,54.19,6.06,03-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Feb-2020 - 00:00,4.86,1.06,9.22,722.64,40.88,106.52,0.0,52.1,14.91,163.32,1.45,0.81,38.29,14.94,38.7,53.65,45.53,6.63,04-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Feb-2020 - 00:00,4.6,0.71,7.87,721.02,44.26,98.48,0.0,53.18,16.25,159.77,1.72,0.73,38.6,11.96,36.79,48.74,48.56,6.65,05-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Feb-2020 - 00:00,3.36,0.39,5.11,721.94,45.75,105.62,0.0,51.88,16.92,168.8,1.92,0.85,35.75,8.94,29.21,38.15,57.54,5.92,06-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Feb-2020 - 00:00,3.75,0.41,5.42,721.23,47.47,100.58,0.0,49.75,15.77,194.73,1.81,0.97,33.87,10.78,32.36,43.14,48.51,6.31,07-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Feb-2020 - 00:00,4.94,1.39,7.45,722.85,40.37,87.15,0.0,37.52,16.19,130.53,1.46,0.82,28.8,11.21,28.2,39.4,51.23,6.28,08-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Feb-2020 - 00:00,4.62,0.65,6.24,724.74,50.19,92.51,0.0,44.46,15.48,168.87,0.84,1.26,34.47,12.26,33.44,45.65,63.93,7.15,09-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Feb-2020 - 00:00,4.78,0.65,7.35,725.0,50.99,102.84,0.0,47.98,15.27,159.78,0.44,0.99,37.31,18.24,42.2,60.45,53.28,6.98,10-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Feb-2020 - 00:00,4.66,0.56,7.38,723.43,47.41,101.47,0.0,47.0,15.87,155.22,0.99,1.13,36.44,5.97,38.85,44.82,56.0,6.46,11-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Feb-2020 - 00:00,5.21,0.97,8.86,723.42,51.72,106.06,0.0,49.26,16.77,159.07,1.48,0.92,40.05,12.37,40.39,52.76,55.65,7.06,12-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Feb-2020 - 00:00,6.43,1.16,10.81,724.06,56.55,124.78,0.0,46.9,18.74,211.78,1.7,0.75,42.22,17.01,45.22,62.23,50.2,6.13,13-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Feb-2020 - 00:00,8.29,0.8,8.98,722.65,86.31,117.51,0.0,42.23,20.5,233.2,2.37,0.74,38.81,10.95,40.34,51.29,56.58,6.27,14-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Feb-2020 - 00:00,6.18,0.4,5.39,720.94,57.11,104.11,0.0,36.38,20.4,182.47,2.08,0.94,30.91,14.54,35.81,50.34,62.58,6.29,15-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Feb-2020 - 00:00,9.12,0.96,8.94,720.84,46.05,126.66,0.0,29.34,19.79,167.28,2.1,0.86,22.85,25.94,37.52,63.44,40.76,7.45,16-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Feb-2020 - 00:00,11.65,1.2,10.45,722.23,52.57,139.58,0.0,27.21,20.47,136.25,2.2,0.74,26.47,34.97,38.61,73.58,36.48,7.33,17-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Feb-2020 - 00:00,13.58,4.1,14.93,722.88,40.68,140.59,0.0,30.11,21.3,165.65,1.62,0.86,32.77,32.52,42.34,74.85,30.46,7.9,18-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Feb-2020 - 00:00,7.65,2.64,11.19,721.27,41.39,124.37,0.0,27.18,20.99,176.03,1.84,0.94,40.26,29.69,36.83,66.53,33.81,8.1,19-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Feb-2020 - 00:00,6.52,3.01,10.12,718.64,50.27,112.94,0.0,27.85,22.0,154.06,2.12,0.57,36.45,21.26,43.75,65.01,36.1,9.34,20-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
