from date,Benzene,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
19-Apr-2020 - 00:00,0.6,0.03,1.01,716.3,29.9,51.52,0.0,28.24,30.48,225.28,1.73,0.81,24.61,2.89,5.68,8.57,80.53,5.98,20-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Apr-2020 - 00:00,0.96,0.67,27.34,716.61,21.92,45.3,0.0,37.67,27.43,133.78,2.62,0.79,25.76,3.19,7.25,10.44,66.79,5.61,21-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Apr-2020 - 00:00,0.7,0.01,0.48,716.75,17.4,49.69,0.0,34.97,29.16,210.27,2.04,0.78,21.76,3.25,7.13,10.37,62.97,5.55,22-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Apr-2020 - 00:00,0.9,0.02,0.29,715.86,20.81,86.72,0.0,26.03,30.91,186.5,1.4,0.82,13.87,3.18,8.96,12.13,64.13,5.88,23-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Apr-2020 - 00:00,1.48,0.7,33.91,715.07,22.5,50.95,0.0,39.49,28.76,109.17,2.19,0.76,15.11,3.21,7.76,10.98,72.93,6.29,24-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Apr-2020 - 00:00,0.16,0.02,1.69,713.82,31.57,50.68,0.0,45.55,28.99,173.79,1.77,0.88,20.29,4.33,13.64,17.97,44.89,10.74,25-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Apr-2020 - 00:00,0.35,0.31,1.57,714.35,24.1,71.13,0.0,57.73,26.84,168.55,2.03,0.52,24.61,4.83,20.15,24.98,32.24,10.02,26-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Apr-2020 - 00:00,0.55,0.49,2.33,715.32,22.25,48.52,0.0,54.18,27.58,200.34,2.21,0.51,29.17,5.04,16.97,22.01,44.67,9.56,27-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Apr-2020 - 00:00,0.55,0.48,2.35,716.44,23.49,58.4,0.0,43.23,29.43,207.82,2.4,0.51,30.26,5.51,15.06,20.57,62.67,8.99,28-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Apr-2020 - 00:00,0.54,0.49,2.36,717.08,22.64,55.81,0.0,35.08,30.48,183.46,1.82,0.54,32.09,6.14,18.17,24.31,57.92,9.26,29-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Apr-2020 - 00:00,0.55,0.49,2.36,716.0,25.3,63.93,0.0,32.99,32.33,188.15,2.21,0.49,32.72,5.72,17.27,22.99,68.32,9.72,30-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Apr-2020 - 00:00,0.54,0.48,2.34,715.79,21.26,56.32,0.0,28.4,32.57,177.13,1.95,0.71,32.87,6.31,16.53,22.84,56.61,10.78,01-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-May-2020 - 00:00,0.55,0.48,2.34,714.57,23.22,79.43,0.0,25.18,33.16,195.43,2.33,0.53,29.95,5.73,22.19,27.91,48.92,10.44,02-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-May-2020 - 00:00,0.55,0.48,2.32,712.99,22.87,76.23,0.0,17.5,35.17,238.35,3.57,0.5,31.38,4.99,17.05,22.05,56.72,10.53,03-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-May-2020 - 00:00,0.54,0.49,2.36,712.84,32.5,75.61,0.0,32.56,34.07,195.66,3.96,0.49,31.32,5.01,13.74,18.75,53.08,9.52,04-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-May-2020 - 00:00,1.22,1.38,2.17,714.81,28.52,54.8,0.0,46.19,29.58,152.03,2.93,0.56,29.24,4.39,13.6,17.99,82.4,10.22,05-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-May-2020 - 00:00,1.36,1.67,1.54,714.71,22.97,47.32,0.0,33.75,31.51,224.56,2.46,0.57,28.42,4.42,16.22,20.64,73.12,9.37,06-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-May-2020 - 00:00,1.38,1.65,1.54,714.04,26.51,48.42,0.0,38.31,28.97,175.68,3.03,0.48,28.56,4.31,15.53,19.84,84.32,9.66,07-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-May-2020 - 00:00,1.39,1.68,1.51,713.75,24.89,46.29,0.0,29.31,31.53,224.82,3.02,0.58,23.83,4.64,18.3,22.94,73.6,10.22,08-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-May-2020 - 00:00,1.37,1.66,1.55,712.99,29.7,67.28,0.0,24.33,33.92,195.44,2.85,0.4,19.69,4.85,19.28,24.13,47.15,10.17,09-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-May-2020 - 00:00,1.38,1.65,1.54,713.51,38.12,81.84,0.0,20.64,35.81,245.78,3.05,0.5,33.72,4.31,15.36,19.66,61.07,10.49,10-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-May-2020 - 00:00,1.38,1.65,1.53,714.05,50.3,107.03,0.0,24.02,34.24,190.64,3.05,0.52,39.06,4.34,16.8,21.14,71.48,10.55,11-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-May-2020 - 00:00,1.38,1.67,1.54,714.29,39.66,67.83,0.0,30.64,32.68,146.27,3.54,0.64,40.27,4.18,14.59,18.74,91.93,15.4,12-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-May-2020 - 00:00,1.39,1.67,1.54,714.75,34.04,67.07,0.0,38.79,31.06,153.94,3.69,0.63,39.27,4.07,15.37,19.43,79.65,10.33,13-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-May-2020 - 00:00,1.37,1.67,1.54,713.73,46.64,63.15,0.0,37.03,32.1,102.99,3.22,0.9,35.76,4.18,13.77,17.92,67.66,10.23,14-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-May-2020 - 00:00,1.38,1.66,1.54,713.31,28.45,75.27,0.0,30.85,33.36,187.73,3.34,0.65,31.08,4.14,10.47,14.62,35.36,8.36,15-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-May-2020 - 00:00,1.31,1.57,1.46,713.27,55.24,121.62,0.0,33.89,33.12,173.81,4.19,0.64,31.91,3.95,8.45,12.4,66.23,6.63,16-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-May-2020 - 00:00,1.3,1.39,1.25,712.93,33.74,70.42,0.0,29.31,33.22,188.01,2.37,0.27,30.03,4.51,9.23,13.74,68.62,5.54,17-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-May-2020 - 00:00,1.3,1.42,1.29,711.96,29.86,73.48,0.0,24.71,33.2,206.4,2.24,0.39,21.05,4.31,13.02,17.33,55.58,5.82,18-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-May-2020 - 00:00,1.37,1.56,1.51,711.81,59.52,205.56,0.0,14.6,33.65,239.42,2.3,0.5,21.97,3.83,8.53,12.36,76.46,5.57,19-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-May-2020 - 00:00,1.37,1.56,1.57,710.93,33.1,84.74,0.0,17.79,33.88,213.05,2.6,0.48,21.62,4.24,11.2,15.44,63.72,6.19,20-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-May-2020 - 00:00,1.35,1.59,1.52,711.0,37.17,151.1,0.0,13.75,34.24,246.41,3.1,0.5,22.49,3.76,8.07,11.83,101.78,6.37,21-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-May-2020 - 00:00,1.36,1.57,1.52,710.88,34.64,75.28,0.0,18.6,34.03,181.96,1.83,0.53,21.22,4.31,14.93,19.24,58.9,6.19,22-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-May-2020 - 00:00,1.38,1.57,1.51,711.46,40.46,111.67,0.0,14.73,36.67,244.02,2.6,0.79,25.76,4.1,10.33,14.43,67.07,6.63,23-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-May-2020 - 00:00,1.24,1.53,1.42,712.31,42.84,144.08,0.0,20.53,36.82,237.39,2.98,0.95,21.97,4.07,8.54,12.61,57.39,6.29,24-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-May-2020 - 00:00,1.16,1.43,1.4,712.57,51.88,149.19,0.0,20.34,36.86,240.93,3.55,1.26,20.24,4.82,8.16,12.98,61.94,10.57,25-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-May-2020 - 00:00,1.15,1.43,1.41,712.36,46.73,111.44,0.0,19.05,37.52,238.05,1.81,0.88,18.83,4.05,9.45,13.5,57.99,6.3,26-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-May-2020 - 00:00,1.16,1.44,1.42,711.38,48.62,105.2,0.0,20.56,37.39,243.37,2.19,0.88,18.86,4.13,8.58,12.72,56.28,6.5,27-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-May-2020 - 00:00,1.16,1.43,1.41,709.87,60.1,127.73,0.0,28.32,37.09,239.86,2.16,0.91,19.26,4.08,7.56,11.64,53.45,6.43,28-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-May-2020 - 00:00,1.17,1.43,1.4,708.89,62.61,161.52,0.0,32.37,36.21,239.27,2.58,1.07,25.6,4.57,8.55,13.12,52.83,8.85,29-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-May-2020 - 00:00,1.16,1.43,1.42,710.45,69.69,205.32,0.0,34.69,34.42,174.69,3.1,0.95,26.27,3.91,7.96,11.87,77.67,6.04,30-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-May-2020 - 00:00,1.16,1.43,1.43,712.99,31.61,81.38,0.0,77.06,25.87,151.41,2.98,1.09,26.26,4.84,10.24,15.08,72.35,4.83,31-May-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-May-2020 - 00:00,1.16,1.43,1.41,714.04,27.26,64.05,0.0,59.3,28.23,216.18,2.49,1.15,26.54,4.82,10.69,15.51,72.56,8.91,01-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Jun-2020 - 00:00,1.16,1.42,1.43,714.37,30.46,69.91,0.05,52.59,29.43,131.98,2.29,1.26,26.74,4.87,13.36,18.23,75.68,7.0,02-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jun-2020 - 00:00,0.67,0.45,4.13,713.36,34.05,168.95,0.0,45.98,29.84,200.17,1.82,1.04,29.72,5.39,15.46,20.85,61.51,6.19,03-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jun-2020 - 00:00,0.92,1.0,4.5,712.57,28.66,80.49,0.01,47.12,30.45,193.71,2.5,0.89,34.81,5.99,14.83,20.81,65.21,7.14,04-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jun-2020 - 00:00,1.16,1.41,1.39,712.73,30.28,52.75,0.07,58.16,28.52,164.59,2.51,0.9,33.42,5.38,13.18,18.56,68.94,7.08,05-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jun-2020 - 00:00,1.16,1.44,1.43,712.62,26.94,55.77,0.03,61.25,27.51,204.05,2.41,1.1,27.9,5.18,15.6,20.77,64.2,8.61,06-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jun-2020 - 00:00,1.17,1.44,1.42,712.49,41.24,95.73,0.0,48.66,30.21,220.22,2.35,1.01,28.6,5.66,17.4,23.07,57.28,8.98,07-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jun-2020 - 00:00,1.16,1.44,1.4,712.74,37.45,56.94,0.11,53.45,30.54,233.86,2.94,0.95,33.67,5.54,11.06,16.59,56.85,7.51,08-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jun-2020 - 00:00,1.15,1.41,1.39,712.51,24.72,56.91,0.0,51.17,31.46,233.05,2.55,0.89,29.22,5.51,12.02,17.53,57.66,8.63,09-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jun-2020 - 00:00,1.17,1.43,1.42,712.95,31.92,66.37,0.0,47.07,33.26,237.7,2.79,0.6,35.11,6.04,13.38,17.79,58.66,4.8,10-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jun-2020 - 00:00,1.3,1.54,1.37,712.49,28.51,71.76,0.0,46.88,33.73,235.82,2.94,0.53,26.81,5.47,11.79,14.26,63.08,5.48,11-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jun-2020 - 00:00,1.21,1.48,1.34,711.32,29.94,62.52,0.0,49.08,33.18,230.17,2.55,0.6,17.41,5.12,10.84,14.97,58.98,5.63,12-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jun-2020 - 00:00,1.13,1.41,1.33,710.26,32.08,63.0,0.06,42.89,34.41,231.37,2.17,0.49,16.55,4.9,10.91,15.8,64.25,5.77,13-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Jun-2020 - 00:00,1.1,1.41,1.33,710.78,31.68,78.11,0.03,50.56,32.91,217.42,1.73,0.59,17.19,5.04,9.8,14.84,63.71,8.04,14-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Jun-2020 - 00:00,1.12,1.44,1.35,711.79,42.28,76.26,0.03,52.5,33.14,142.46,1.81,0.66,17.3,5.04,10.82,15.87,55.49,6.43,15-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Jun-2020 - 00:00,1.13,1.43,1.35,710.93,46.81,89.35,0.0,45.52,34.11,185.95,1.96,0.8,14.88,6.45,19.94,26.39,54.18,5.07,16-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Jun-2020 - 00:00,1.28,0.95,1.78,708.69,54.92,117.83,0.0,36.05,35.77,178.76,2.32,0.76,14.17,5.89,18.8,24.69,47.47,5.18,17-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Jun-2020 - 00:00,1.34,0.71,2.0,708.29,39.87,103.48,0.0,33.43,36.73,237.46,2.8,0.4,19.08,4.59,9.11,13.7,60.2,6.28,18-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Jun-2020 - 00:00,1.35,0.72,2.03,709.91,40.1,70.08,0.0,41.86,35.66,245.79,2.94,0.47,23.74,5.22,7.3,12.52,65.8,6.64,19-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Jun-2020 - 00:00,1.31,1.11,1.71,710.77,25.51,60.22,0.0,45.87,35.13,250.27,2.99,0.45,30.14,5.12,8.99,14.11,58.2,6.94,20-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Jun-2020 - 00:00,1.13,1.43,1.33,710.69,38.57,70.06,0.0,44.72,34.41,235.61,2.94,0.52,35.47,4.33,8.15,12.49,51.21,6.84,21-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Jun-2020 - 00:00,1.12,1.42,1.36,710.17,30.31,60.47,0.0,47.28,33.44,233.45,2.91,0.58,40.4,4.3,8.12,12.42,46.91,6.38,22-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Jun-2020 - 00:00,1.12,1.43,1.35,709.61,26.74,55.09,0.04,53.7,32.2,219.48,2.37,0.6,46.54,4.58,10.84,15.43,44.4,6.56,23-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Jun-2020 - 00:00,0.77,1.15,1.02,710.43,24.84,50.66,0.0,52.73,32.89,240.6,2.75,0.59,47.11,4.86,11.33,16.19,48.45,7.69,24-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Jun-2020 - 00:00,0.56,1.0,0.81,711.37,26.8,53.69,0.15,67.97,29.93,217.41,2.47,0.61,45.92,4.79,11.15,15.94,44.62,6.49,25-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Jun-2020 - 00:00,0.56,0.99,0.82,710.85,23.88,53.76,0.0,68.26,29.54,231.0,2.12,0.53,46.33,4.96,12.64,17.6,54.75,6.41,26-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Jun-2020 - 00:00,0.56,0.99,0.81,710.29,24.51,62.12,0.0,58.3,32.56,245.76,2.52,0.56,47.52,5.25,12.04,17.29,49.99,7.2,27-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jun-2020 - 00:00,0.56,1.0,0.81,709.71,24.06,71.1,0.0,49.28,33.45,240.81,3.01,0.5,44.32,4.28,9.2,13.47,47.1,6.27,28-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jun-2020 - 00:00,0.56,1.0,0.81,708.87,21.45,53.29,0.0,47.34,33.79,239.02,3.25,0.42,41.55,3.61,8.03,11.64,41.85,4.96,29-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jun-2020 - 00:00,0.56,0.99,0.8,709.18,22.75,63.75,0.0,46.41,34.6,250.0,3.25,0.5,41.57,3.5,8.1,11.6,37.9,5.53,30-Jun-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jun-2020 - 00:00,0.93,1.33,1.17,709.21,31.35,74.04,0.0,45.92,34.17,223.56,2.48,0.48,40.47,3.47,11.54,15.01,47.87,6.59,01-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Jul-2020 - 00:00,1.13,1.43,1.36,708.93,40.33,81.83,0.0,51.96,32.47,251.42,3.18,0.63,41.19,3.75,10.38,14.13,69.41,5.69,02-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jul-2020 - 00:00,1.12,1.44,1.35,708.01,43.04,96.37,0.0,51.74,33.58,253.59,3.02,0.34,40.36,3.43,11.53,14.95,71.38,5.95,03-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jul-2020 - 00:00,1.14,1.43,1.35,707.39,34.09,63.58,0.0,49.64,34.44,249.01,3.18,0.41,42.04,3.69,8.66,12.35,60.82,6.72,04-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jul-2020 - 00:00,1.17,1.46,1.38,706.83,31.0,54.43,0.02,58.27,32.08,201.22,2.65,0.48,42.94,3.56,11.89,15.45,50.0,12.71,05-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jul-2020 - 00:00,1.13,1.44,1.36,706.6,30.72,52.91,0.0,59.94,31.61,107.45,2.72,0.69,43.54,3.65,8.85,12.51,78.41,17.63,06-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jul-2020 - 00:00,0.91,1.13,0.95,707.57,29.04,51.26,0.4,70.77,29.27,128.37,2.97,0.69,31.97,4.17,11.87,16.04,63.6,9.45,07-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jul-2020 - 00:00,0.79,1.01,0.8,707.78,20.63,35.31,0.01,67.91,30.61,84.65,3.09,0.52,25.06,4.75,10.71,15.46,53.93,6.15,08-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jul-2020 - 00:00,0.79,1.0,0.82,710.01,16.18,34.13,0.36,70.52,30.7,168.23,3.24,0.5,25.62,4.97,10.43,15.39,38.94,5.94,09-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jul-2020 - 00:00,0.9,1.11,0.97,708.69,15.73,40.93,0.0,69.62,30.13,239.05,3.36,0.51,24.11,5.56,14.85,20.42,35.54,7.54,10-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jul-2020 - 00:00,1.48,1.69,1.88,707.82,19.86,47.07,0.0,59.51,31.45,241.6,4.19,0.28,38.34,5.36,10.46,15.82,44.61,8.43,11-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jul-2020 - 00:00,1.45,1.73,1.88,707.53,19.53,38.92,0.0,63.61,31.44,230.82,4.39,0.62,40.81,6.15,11.24,17.39,33.09,16.0,12-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jul-2020 - 00:00,1.47,1.73,1.91,708.27,19.38,37.1,0.0,72.25,29.75,218.96,3.88,0.7,42.11,6.71,10.31,17.02,23.91,15.05,13-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Jul-2020 - 00:00,1.45,1.73,1.88,708.66,26.45,70.65,0.0,68.11,30.68,213.28,3.15,0.6,42.65,6.74,9.85,16.59,23.01,14.92,14-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Jul-2020 - 00:00,1.46,1.71,1.89,708.93,34.2,65.5,0.01,64.7,31.37,216.85,3.48,0.88,40.4,7.17,15.33,22.5,24.95,19.03,15-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Jul-2020 - 00:00,1.45,1.71,1.88,708.25,24.57,43.57,0.0,52.38,33.87,214.22,3.13,0.67,42.77,6.58,11.94,18.52,39.72,15.01,16-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Jul-2020 - 00:00,1.29,1.54,1.63,707.13,23.01,41.5,0.0,57.31,32.44,141.56,2.52,0.51,37.36,5.09,10.28,15.37,47.42,13.95,17-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Jul-2020 - 00:00,1.13,1.43,1.34,707.61,28.06,45.98,0.0,61.9,32.41,133.96,2.97,0.76,36.45,3.77,6.17,9.93,41.91,15.49,18-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Jul-2020 - 00:00,1.11,1.45,1.35,708.94,21.53,41.88,0.0,54.22,33.76,83.23,3.45,0.86,34.47,3.92,10.49,14.41,36.19,13.77,19-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Jul-2020 - 00:00,1.12,1.44,1.35,709.37,18.05,40.41,0.0,61.18,31.97,94.41,3.42,0.64,33.93,3.51,7.49,11.0,44.76,8.58,20-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Jul-2020 - 00:00,1.13,1.43,1.33,707.75,25.92,62.27,0.0,56.06,32.18,257.75,3.83,0.75,33.49,4.34,10.5,14.84,30.82,10.23,21-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Jul-2020 - 00:00,1.13,1.44,1.35,709.3,33.39,63.29,0.0,61.3,30.47,266.52,4.75,0.64,33.47,4.91,9.18,14.09,33.15,7.24,22-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Jul-2020 - 00:00,1.11,1.44,1.37,710.89,29.01,57.87,0.04,71.1,29.06,252.92,4.42,0.63,34.08,4.87,9.4,14.27,29.61,8.34,23-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Jul-2020 - 00:00,1.11,1.42,1.35,709.86,27.54,66.74,0.0,59.11,31.6,298.17,3.58,0.65,33.78,5.04,11.26,16.3,28.14,9.98,24-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Jul-2020 - 00:00,1.12,1.41,1.34,711.52,24.89,56.64,0.48,82.74,26.17,106.44,4.13,0.76,32.91,5.72,13.75,19.47,28.1,8.38,25-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Jul-2020 - 00:00,1.13,1.44,1.34,712.01,24.15,48.65,0.0,72.98,28.54,1.68,4.49,0.73,35.46,5.95,13.9,19.85,35.9,10.74,26-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Jul-2020 - 00:00,1.12,1.43,1.35,712.55,28.27,57.36,0.01,78.75,28.78,11.52,3.81,0.89,39.95,7.99,15.17,23.16,24.27,8.07,27-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jul-2020 - 00:00,1.11,1.45,1.35,711.87,24.01,56.61,0.0,66.19,30.88,19.43,3.58,0.61,40.71,6.95,13.94,20.89,39.68,7.89,28-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jul-2020 - 00:00,1.12,1.44,1.35,710.34,17.91,43.33,0.0,58.36,31.85,74.51,2.51,0.53,37.35,5.62,12.23,17.85,29.01,7.68,29-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jul-2020 - 00:00,1.12,1.47,1.4,709.82,26.74,56.07,0.0,63.82,31.42,219.41,0.65,0.55,38.41,4.29,11.04,15.33,25.34,8.26,30-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jul-2020 - 00:00,0.78,0.7,1.15,710.66,31.68,62.49,0.1,74.81,29.48,190.68,0.4,0.48,33.87,3.92,13.33,17.25,26.83,7.92,31-Jul-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Jul-2020 - 00:00,0.59,0.38,1.07,710.39,31.26,64.33,0.0,74.23,29.85,174.74,0.33,0.6,35.41,4.25,12.85,17.1,28.89,6.21,01-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Aug-2020 - 00:00,0.59,0.38,1.07,710.02,29.37,60.99,0.28,78.06,29.01,223.78,0.65,0.55,31.41,4.87,14.79,19.5,27.42,7.99,02-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Aug-2020 - 00:00,0.59,0.38,1.06,709.16,30.66,57.19,0.0,74.01,30.36,233.68,0.77,0.59,17.59,2.76,11.87,14.61,24.41,8.55,03-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Aug-2020 - 00:00,0.59,0.38,1.06,706.75,30.98,59.57,0.0,72.77,29.99,213.38,0.97,0.48,14.92,2.47,15.17,17.64,34.69,9.23,04-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Aug-2020 - 00:00,0.59,0.38,1.07,704.75,30.01,62.66,0.0,64.93,31.58,223.28,0.91,0.44,15.22,2.66,14.29,16.94,32.9,10.14,05-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Aug-2020 - 00:00,0.59,0.38,1.05,704.47,35.46,67.82,0.09,74.07,29.83,154.92,0.72,0.45,13.63,2.79,12.95,15.73,29.03,8.38,06-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Aug-2020 - 00:00,0.92,1.1,1.27,707.35,27.48,40.12,0.0,75.85,29.55,64.69,1.35,0.47,26.03,2.61,6.9,9.5,41.08,9.57,07-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Aug-2020 - 00:00,1.19,1.52,1.41,711.24,19.62,36.18,0.06,83.27,28.77,99.55,0.76,0.48,19.7,1.83,8.61,10.44,29.15,6.52,08-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Aug-2020 - 00:00,1.14,1.43,1.34,712.42,12.7,28.42,0.05,84.01,27.5,241.49,0.86,0.57,19.38,1.93,8.97,10.91,21.92,7.23,09-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Aug-2020 - 00:00,1.12,1.42,1.35,711.76,19.37,45.16,0.0,73.86,29.7,240.24,0.68,0.64,19.47,1.9,11.32,13.22,21.81,9.86,10-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
