from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,Toluene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
25-Jan-2020 - 00:00,78.02,144.25,31.01,1.43,16.45,45.86,6.35,0.85,17.64,8.02,1.95,0.55,2.85,4.9,88.77,1.1,177.17,236.35,0.01,26-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-Jan-2020 - 00:00,63.14,103.39,32.93,1.76,17.76,46.19,2.53,0.91,16.54,8.52,2.16,0.7,3.02,4.94,85.29,1.67,247.59,386.86,0.01,27-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-Jan-2020 - 00:00,74.53,120.21,36.71,2.76,20.57,47.67,6.32,1.07,11.73,9.1,2.2,0.51,3.37,6.03,97.58,1.35,145.94,89.84,0.03,28-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-Jan-2020 - 00:00,45.16,87.48,27.98,2.13,14.64,62.88,3.99,0.88,21.38,5.15,1.31,0.37,1.97,3.08,92.18,3.21,126.76,134.75,0.48,29-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
29-Jan-2020 - 00:00,31.27,136.93,27.27,2.33,15.1,51.74,7.46,0.56,16.08,4.29,1.16,0.39,1.96,3.29,88.68,1.25,201.99,366.45,0.01,30-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
30-Jan-2020 - 00:00,27.96,79.5,21.41,2.85,11.85,35.75,7.97,0.47,16.56,5.52,5.57,4.87,6.9,7.65,85.49,2.66,306.6,430.88,0.01,31-Jan-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
31-Jan-2020 - 00:00,36.18,76.67,27.2,2.6,14.67,35.66,7.16,0.63,13.56,5.21,1.51,0.22,2.52,4.19,96.77,1.65,273.65,160.23,0.0,01-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
01-Feb-2020 - 00:00,43.02,122.6,30.43,3.1,16.77,41.29,8.5,0.83,13.29,6.37,1.62,0.47,2.69,4.62,93.97,1.23,263.91,252.9,0.01,02-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
02-Feb-2020 - 00:00,39.26,77.24,28.0,2.62,15.12,38.35,5.2,0.66,19.04,5.42,1.65,0.5,2.55,4.14,91.68,1.98,288.2,362.28,0.01,03-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-Feb-2020 - 00:00,61.31,148.95,37.93,3.12,20.71,38.98,7.51,0.9,18.4,6.95,2.05,0.52,3.32,5.89,81.25,1.49,269.71,434.97,0.0,04-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
