from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,Toluene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
16-Apr-2020 - 00:00,39.05,86.71,20.07,1.11,9.73,24.55,7.32,0.41,19.63,4.05,1.31,0.99,1.86,2.93,31.09,2.41,313.16,463.03,0.0,17-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
17-Apr-2020 - 00:00,24.66,66.36,18.17,0.94,8.49,24.04,6.51,0.35,18.02,2.87,0.97,0.73,1.41,1.98,32.74,2.76,154.25,404.98,0.08,18-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
18-Apr-2020 - 00:00,19.64,51.77,21.63,0.73,9.71,25.46,5.16,0.39,18.66,2.69,0.94,0.78,0.78,1.9,47.48,3.19,103.43,878.46,0.01,19-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
19-Apr-2020 - 00:00,21.83,54.41,23.74,0.68,11.22,25.96,6.15,0.36,15.75,3.07,1.22,1.27,1.03,2.61,38.59,1.46,250.74,454.42,0.0,20-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
20-Apr-2020 - 00:00,44.73,103.52,26.89,0.82,11.42,25.36,5.64,0.55,20.17,4.11,1.33,1.15,1.91,2.91,49.12,1.74,148.45,350.19,0.02,21-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
21-Apr-2020 - 00:00,20.82,50.24,21.3,0.91,9.83,25.61,5.37,0.23,19.5,3.07,1.07,0.78,1.69,2.37,69.38,1.51,226.42,390.06,0.0,22-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
22-Apr-2020 - 00:00,30.95,89.79,17.86,1.48,7.71,23.46,6.88,0.3,16.09,3.34,1.14,1.17,1.72,2.36,33.11,1.31,224.46,483.58,0.0,23-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
23-Apr-2020 - 00:00,41.95,128.18,12.79,2.33,5.34,21.72,7.28,0.45,19.09,4.32,1.26,1.27,1.93,2.62,32.9,2.2,190.68,402.93,0.0,24-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
24-Apr-2020 - 00:00,43.79,131.03,11.13,2.23,4.39,21.5,7.01,0.48,19.9,4.97,2.49,1.92,2.09,3.34,33.53,1.28,167.95,490.52,0.0,25-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
25-Apr-2020 - 00:00,58.59,177.61,11.63,2.26,4.37,22.39,7.04,0.74,21.91,5.62,9.43,1.59,3.05,6.8,48.49,1.71,162.31,317.01,0.0,26-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-Apr-2020 - 00:00,32.79,99.46,32.1,5.28,16.47,35.02,5.14,0.44,22.64,4.47,4.73,0.6,1.92,3.85,70.77,2.75,103.93,58.12,0.02,27-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-Apr-2020 - 00:00,16.18,48.82,11.94,4.51,5.85,31.29,4.16,0.46,24.77,4.03,1.26,0.6,1.54,2.37,75.12,4.74,95.68,446.09,0.0,28-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-Apr-2020 - 00:00,19.9,52.02,10.08,4.4,4.78,29.88,4.83,0.48,23.87,4.61,2.66,1.19,2.02,4.34,56.48,2.12,117.05,460.79,0.0,29-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
29-Apr-2020 - 00:00,42.72,116.38,15.71,3.41,6.93,43.31,6.0,0.58,26.45,4.94,6.81,1.22,3.2,13.34,42.63,1.32,202.94,179.8,0.0,30-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
30-Apr-2020 - 00:00,59.37,156.67,13.47,3.24,5.62,40.55,6.21,0.69,36.87,9.02,11.8,1.78,4.19,19.72,54.48,1.75,161.12,449.89,0.0,01-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
01-May-2020 - 00:00,51.76,140.22,12.98,3.26,5.38,38.19,5.44,0.57,33.22,7.31,7.74,1.55,3.33,12.86,52.13,2.12,163.62,485.58,0.0,02-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
02-May-2020 - 00:00,43.05,138.47,11.5,3.14,4.38,35.4,4.9,0.48,33.63,5.17,2.04,0.7,1.96,4.31,61.93,4.32,109.35,372.77,0.04,03-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-May-2020 - 00:00,27.64,69.7,18.36,2.25,6.86,37.9,6.35,0.38,45.07,3.65,1.31,0.57,1.52,2.82,62.43,3.46,115.89,354.16,0.06,04-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
04-May-2020 - 00:00,14.94,39.82,20.2,2.2,9.11,32.47,9.26,0.22,30.33,3.74,3.16,15.15,3.95,4.6,51.78,1.48,184.96,558.29,0.01,05-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-May-2020 - 00:00,34.47,118.8,22.65,1.95,10.51,34.7,5.51,0.5,33.21,5.51,2.82,0.74,2.92,6.55,49.17,1.74,257.17,451.94,0.0,06-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-May-2020 - 00:00,46.64,145.12,26.56,2.98,13.06,38.1,2.26,0.6,31.22,6.21,2.03,1.26,2.62,5.05,52.8,1.8,145.17,310.67,0.0,07-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-May-2020 - 00:00,26.28,75.06,26.57,3.36,13.35,43.82,7.01,0.35,27.31,4.45,1.54,1.01,2.31,3.91,44.04,1.8,182.89,514.25,0.0,08-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-May-2020 - 00:00,51.93,143.67,30.96,3.86,16.06,61.57,8.8,0.63,26.97,4.93,1.66,1.26,2.37,3.94,30.54,1.21,172.24,508.32,0.0,09-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-May-2020 - 00:00,67.83,184.89,26.56,3.54,13.51,51.31,3.88,0.77,37.98,7.37,2.01,2.3,2.55,4.24,46.43,1.87,123.83,464.33,0.22,10-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-May-2020 - 00:00,38.29,95.93,22.82,3.85,11.06,43.0,2.89,0.58,37.56,4.89,1.26,0.8,1.81,2.76,66.52,3.58,108.93,164.45,0.0,11-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-May-2020 - 00:00,22.84,59.4,26.32,4.27,13.88,41.04,2.36,0.38,33.11,4.54,1.28,0.61,1.96,3.01,62.42,3.73,104.74,428.86,0.0,12-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-May-2020 - 00:00,25.22,63.1,20.65,4.27,11.01,38.76,6.05,0.37,29.81,3.76,1.11,1.03,1.65,2.41,55.6,2.07,120.29,353.85,0.1,13-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
13-May-2020 - 00:00,58.44,146.44,21.49,3.65,10.65,34.9,2.9,0.7,34.29,5.35,1.67,1.48,2.2,3.69,61.72,1.72,180.27,54.93,0.0,14-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
14-May-2020 - 00:00,66.67,147.77,20.94,3.84,10.82,34.4,2.57,0.77,37.53,6.73,1.86,1.54,2.39,4.0,60.86,2.28,103.26,341.95,0.0,15-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
15-May-2020 - 00:00,23.28,92.57,18.17,4.64,10.71,45.55,7.97,0.28,24.32,5.02,4.64,2.49,5.82,6.23,39.63,2.86,299.2,417.17,0.0,16-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
16-May-2020 - 00:00,36.37,131.95,20.14,3.37,10.84,51.49,7.56,0.44,27.56,3.53,1.1,0.2,1.53,2.55,35.46,2.78,315.72,464.04,0.0,17-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
17-May-2020 - 00:00,69.7,183.52,23.37,2.85,11.59,46.42,3.39,0.67,27.33,4.69,1.28,0.28,1.75,2.84,31.36,1.87,258.68,332.39,0.0,18-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
18-May-2020 - 00:00,56.41,165.05,21.46,3.03,11.22,54.14,11.15,0.52,22.32,4.69,1.35,0.28,1.94,3.25,22.4,1.96,314.64,425.29,0.0,19-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
19-May-2020 - 00:00,55.12,140.59,22.81,3.02,11.93,63.18,10.07,0.6,21.56,4.86,1.32,0.28,1.94,3.09,21.26,2.04,256.15,438.21,0.0,20-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
20-May-2020 - 00:00,43.86,122.23,18.47,2.8,9.49,50.12,5.0,0.47,18.72,4.07,1.07,0.25,1.64,2.58,22.72,3.05,306.41,458.31,0.0,21-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
21-May-2020 - 00:00,45.56,146.57,20.07,2.91,10.29,53.98,10.16,0.41,20.16,3.77,0.86,0.2,1.36,2.12,21.02,3.25,300.07,412.75,0.0,22-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
22-May-2020 - 00:00,63.47,174.58,28.64,3.0,14.53,56.8,4.01,0.82,21.42,6.12,1.92,0.94,2.35,4.26,21.0,1.24,228.28,509.59,0.0,23-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
23-May-2020 - 00:00,84.04,224.74,30.96,3.12,16.05,51.01,6.72,0.83,27.37,9.31,2.76,0.93,3.32,6.38,23.09,2.11,164.86,386.79,0.0,24-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
24-May-2020 - 00:00,50.05,146.61,25.02,3.14,13.18,42.9,3.16,0.55,32.99,4.94,1.44,0.4,2.02,3.34,23.96,2.08,248.5,488.79,0.0,25-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
25-May-2020 - 00:00,45.98,133.61,22.76,2.92,11.74,35.44,2.23,0.48,28.51,4.15,1.22,0.27,1.87,3.1,22.4,2.77,255.0,500.63,0.0,26-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-May-2020 - 00:00,48.52,151.26,26.18,2.74,12.56,45.37,8.06,0.68,28.26,4.69,1.58,0.4,2.28,3.98,20.98,2.25,228.05,450.03,0.0,27-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-May-2020 - 00:00,41.93,137.25,25.21,2.51,12.27,53.18,3.18,0.56,33.98,4.83,1.66,1.07,2.13,3.49,31.38,1.98,155.28,487.48,0.0,28-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-May-2020 - 00:00,38.68,281.38,20.49,2.74,10.57,50.12,10.72,0.43,48.91,4.46,1.02,0.25,1.56,2.2,39.84,4.84,110.88,403.55,0.0,29-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
29-May-2020 - 00:00,18.7,137.22,31.62,1.83,13.98,49.16,10.17,0.9,99.81,6.81,8.01,15.18,9.5,9.77,58.26,5.58,117.78,315.79,0.0,30-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
30-May-2020 - 00:00,26.49,85.36,30.15,2.06,14.18,48.54,8.51,0.29,105.24,4.21,1.49,0.66,2.23,3.92,65.34,2.88,124.45,348.43,0.3,31-May-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
31-May-2020 - 00:00,13.6,28.46,24.54,2.54,11.63,48.12,2.79,0.35,96.19,3.57,1.35,0.66,2.02,3.38,78.09,2.75,117.71,312.05,1.32,01-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
01-Jun-2020 - 00:00,19.03,62.02,24.72,2.4,10.68,44.38,11.99,0.82,92.28,3.37,1.31,0.95,2.0,3.74,64.88,1.51,113.33,554.97,0.0,02-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
02-Jun-2020 - 00:00,26.15,90.74,20.93,2.55,9.76,33.61,8.23,0.27,83.44,4.27,1.67,0.86,2.65,4.9,66.35,1.93,225.52,336.52,0.0,03-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-Jun-2020 - 00:00,30.4,91.31,47.56,3.28,22.61,43.84,12.03,0.33,94.75,2.69,1.0,0.54,1.61,2.76,52.24,1.54,168.73,525.61,0.0,04-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
04-Jun-2020 - 00:00,43.31,114.07,20.36,3.24,9.87,39.46,9.4,0.48,74.8,5.14,1.53,0.81,2.32,3.94,60.33,1.75,116.62,314.34,0.0,05-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-Jun-2020 - 00:00,25.5,65.49,14.53,3.08,6.86,36.44,9.32,0.38,78.43,4.35,1.11,0.8,1.83,2.83,68.45,2.3,118.47,426.14,0.0,06-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-Jun-2020 - 00:00,33.27,78.08,16.85,3.1,7.96,32.3,6.67,0.28,74.39,4.77,1.34,1.08,2.07,3.35,67.37,2.52,122.18,399.94,0.0,07-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-Jun-2020 - 00:00,25.66,53.47,16.26,2.65,7.0,31.13,1.64,0.55,67.3,4.27,1.48,0.88,2.15,3.69,83.03,2.24,118.81,325.9,0.74,08-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Jun-2020 - 00:00,30.37,77.54,15.75,2.66,7.89,29.34,9.09,0.41,70.24,4.12,1.48,0.98,2.22,3.75,69.43,1.44,138.65,488.88,0.0,09-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Jun-2020 - 00:00,45.16,132.38,12.49,2.45,6.29,40.14,10.7,0.49,74.41,6.65,4.08,2.02,5.5,6.42,59.65,1.26,176.8,456.32,0.0,10-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Jun-2020 - 00:00,51.09,156.71,12.78,3.53,6.29,48.81,4.15,0.6,75.73,4.77,1.51,1.29,2.25,3.58,58.52,1.68,151.13,376.19,0.0,11-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-Jun-2020 - 00:00,49.02,135.39,14.87,2.09,6.05,55.94,13.65,0.14,99.19,4.7,1.71,2.0,2.28,3.94,44.77,1.27,118.91,538.4,0.0,12-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-Jun-2020 - 00:00,61.41,164.9,16.03,2.15,6.88,54.84,10.17,0.63,85.75,6.66,2.37,2.71,3.14,5.49,56.91,1.58,154.62,401.52,0.0,13-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
13-Jun-2020 - 00:00,49.68,135.94,16.02,2.22,6.72,52.52,7.43,0.41,67.5,5.66,1.81,1.28,2.57,4.26,73.37,2.29,145.25,295.7,0.12,14-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
14-Jun-2020 - 00:00,38.28,88.12,14.84,2.64,6.66,50.5,2.31,0.58,81.3,5.64,2.16,1.84,2.83,4.94,64.27,1.18,182.42,424.56,0.0,15-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
15-Jun-2020 - 00:00,49.81,140.43,16.47,3.33,8.06,46.73,8.98,0.55,93.36,6.35,2.07,1.64,3.0,5.0,51.9,1.67,196.39,478.13,0.0,16-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
16-Jun-2020 - 00:00,44.63,129.24,14.28,3.55,7.0,44.16,5.91,0.52,92.25,5.75,2.0,1.46,3.0,4.67,54.27,2.12,152.76,466.47,0.0,17-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
17-Jun-2020 - 00:00,40.8,123.91,13.73,3.6,6.83,47.14,7.8,0.51,84.36,6.09,2.82,2.12,4.46,7.75,60.45,2.92,111.23,473.61,0.0,18-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
18-Jun-2020 - 00:00,34.6,106.19,13.79,3.68,6.96,51.55,6.71,0.43,93.75,5.51,2.06,1.61,3.21,5.28,55.83,2.36,152.24,459.73,0.0,19-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
19-Jun-2020 - 00:00,58.31,233.41,12.12,2.77,6.46,51.94,11.94,0.45,73.64,5.69,1.57,1.19,2.37,3.67,64.34,2.92,119.3,393.95,0.0,20-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
20-Jun-2020 - 00:00,47.35,188.53,10.78,0.72,5.6,44.09,10.07,0.38,54.7,5.34,4.52,2.52,5.97,6.71,60.34,2.45,186.36,347.9,0.01,21-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
21-Jun-2020 - 00:00,36.48,110.98,11.33,0.91,5.72,41.68,3.77,0.45,42.75,4.39,1.81,1.13,2.69,4.28,68.14,2.01,122.28,284.9,0.39,22-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
22-Jun-2020 - 00:00,25.49,66.98,11.21,1.03,5.83,42.46,10.13,0.4,44.86,4.12,1.66,1.17,2.53,3.93,73.56,1.85,128.7,343.47,0.14,23-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
23-Jun-2020 - 00:00,29.28,71.52,10.95,1.34,4.87,48.61,7.6,0.44,33.62,4.38,1.61,0.68,2.53,3.89,75.12,3.29,111.32,437.46,0.0,24-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
24-Jun-2020 - 00:00,26.85,68.82,10.28,2.51,4.97,42.0,8.61,0.44,29.22,4.27,1.59,0.51,2.44,3.74,80.03,2.96,96.03,377.2,0.49,25-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
25-Jun-2020 - 00:00,25.18,56.99,10.75,3.01,5.63,34.09,7.36,0.42,27.97,4.54,2.02,1.0,2.92,4.74,80.68,1.52,212.54,271.89,1.85,26-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-Jun-2020 - 00:00,35.84,79.92,11.15,3.57,6.27,31.55,7.62,0.53,30.78,4.79,2.26,1.0,3.31,5.61,77.92,1.71,218.59,352.2,0.0,27-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-Jun-2020 - 00:00,46.94,123.91,10.62,3.22,5.73,29.4,11.33,0.28,27.31,4.15,1.43,0.67,2.43,5.2,69.58,2.42,257.3,414.5,0.31,28-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-Jun-2020 - 00:00,81.1,223.26,10.13,2.86,5.18,27.01,3.31,0.41,27.17,4.42,1.52,0.93,2.41,4.12,67.3,2.24,251.17,405.18,0.85,29-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
29-Jun-2020 - 00:00,60.04,210.97,10.88,2.36,5.2,27.91,11.11,0.39,36.88,3.9,1.44,0.85,2.31,3.58,65.13,2.26,166.77,366.75,0.1,30-Jun-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
30-Jun-2020 - 00:00,31.87,112.56,11.05,1.85,4.87,48.34,8.31,0.45,34.95,6.37,5.42,2.3,6.6,7.35,81.66,3.27,107.75,376.93,0.13,01-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
01-Jul-2020 - 00:00,45.28,133.91,10.8,1.81,5.49,47.81,4.29,0.45,38.93,5.05,1.71,0.27,2.46,3.9,64.69,1.82,175.08,381.33,0.0,02-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
02-Jul-2020 - 00:00,59.78,157.1,12.6,1.84,6.27,40.98,3.57,0.37,40.88,4.75,2.06,0.39,2.63,4.4,71.11,1.63,215.78,446.3,0.01,03-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-Jul-2020 - 00:00,67.47,165.59,10.85,1.88,5.56,47.82,9.84,0.48,44.3,5.5,2.08,0.5,2.75,4.36,64.26,1.94,139.17,428.64,0.06,04-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
04-Jul-2020 - 00:00,29.55,97.18,9.68,2.15,5.18,49.63,7.0,0.45,45.25,4.19,1.39,0.15,2.15,3.15,75.16,4.46,112.41,402.24,0.01,05-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-Jul-2020 - 00:00,15.31,36.57,10.92,1.98,5.02,41.97,1.41,0.73,42.04,2.79,1.15,0.13,1.7,2.57,81.44,2.75,100.59,384.16,0.41,06-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-Jul-2020 - 00:00,22.76,48.57,10.38,2.32,5.67,39.16,10.76,0.35,35.9,4.26,1.79,0.22,2.46,4.03,80.3,2.06,90.08,424.55,0.0,07-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-Jul-2020 - 00:00,21.45,52.43,9.45,2.1,5.0,40.4,7.92,0.37,27.86,3.9,1.47,0.15,2.21,3.41,84.19,3.75,108.89,341.11,0.01,08-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Jul-2020 - 00:00,16.89,38.11,9.94,1.96,5.15,49.99,9.47,0.33,23.26,3.57,1.25,0.16,2.09,3.17,94.5,3.35,119.57,167.5,0.06,09-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Jul-2020 - 00:00,25.75,52.05,17.83,3.04,8.24,70.1,4.83,0.57,31.42,3.93,1.64,0.26,2.44,4.2,82.91,0.95,185.6,247.12,0.0,10-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Jul-2020 - 00:00,28.57,81.57,14.83,2.82,7.29,90.11,10.95,0.28,56.21,3.41,1.61,0.19,2.59,4.22,72.49,2.18,264.97,460.97,0.27,11-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-Jul-2020 - 00:00,21.35,62.73,11.27,1.03,5.82,57.95,6.87,0.31,63.15,6.73,7.64,4.22,9.17,10.09,89.55,2.36,143.53,357.13,0.19,12-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-Jul-2020 - 00:00,15.57,45.19,12.29,1.18,6.4,44.76,5.75,0.31,52.26,2.87,1.41,0.16,2.27,3.71,94.84,2.94,186.94,170.8,0.76,13-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
13-Jul-2020 - 00:00,20.41,56.69,12.58,1.09,6.63,41.66,8.35,0.28,31.61,3.61,1.76,0.2,2.78,4.92,85.49,1.43,269.56,566.8,0.0,14-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
14-Jul-2020 - 00:00,29.06,84.9,11.58,1.26,6.22,57.75,9.29,0.23,41.48,2.82,1.13,0.2,1.8,2.86,66.29,1.31,204.78,576.37,0.02,15-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
15-Jul-2020 - 00:00,30.2,79.05,13.92,1.17,7.29,51.7,11.51,0.42,39.88,2.5,0.95,0.14,0.99,1.71,86.65,2.43,99.93,385.45,0.05,16-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
16-Jul-2020 - 00:00,24.74,59.42,12.43,1.6,6.96,48.85,11.87,0.33,33.81,5.1,2.29,0.32,2.51,4.43,87.54,2.84,97.59,351.05,0.0,17-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
17-Jul-2020 - 00:00,26.92,63.65,13.96,1.11,7.33,47.29,7.04,0.46,29.1,5.22,2.39,0.35,2.59,4.54,90.93,2.75,97.13,368.74,0.03,18-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
18-Jul-2020 - 00:00,23.69,59.84,11.8,0.81,5.92,39.49,7.82,0.36,29.62,5.04,2.47,0.34,2.77,4.99,85.77,2.37,104.21,338.28,0.07,19-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
19-Jul-2020 - 00:00,22.67,52.64,12.76,0.81,6.43,29.3,3.25,0.37,32.72,4.88,2.61,0.36,2.85,4.97,90.01,1.85,220.14,351.61,0.06,20-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
20-Jul-2020 - 00:00,15.35,44.02,10.24,1.1,5.38,25.56,7.82,0.29,48.76,4.17,2.1,0.35,2.48,3.98,86.07,2.14,214.06,310.8,0.18,21-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
21-Jul-2020 - 00:00,11.53,27.67,8.87,1.45,4.98,24.72,6.34,0.32,37.26,3.82,1.55,0.25,2.16,3.01,98.88,2.47,141.15,103.5,1.29,22-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
22-Jul-2020 - 00:00,18.35,58.64,16.3,1.25,8.42,34.68,7.95,0.47,26.19,4.94,2.51,0.27,3.21,5.25,96.5,1.59,186.86,153.5,0.1,23-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
23-Jul-2020 - 00:00,29.17,83.09,13.33,1.19,6.71,48.98,9.67,0.38,27.05,7.77,6.77,2.67,7.97,9.79,80.94,1.61,241.53,531.15,0.0,24-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
24-Jul-2020 - 00:00,34.01,94.78,11.08,1.82,5.57,67.34,12.24,0.45,34.67,5.67,2.67,0.34,3.28,5.38,88.86,2.29,112.46,335.78,0.08,25-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
25-Jul-2020 - 00:00,22.35,45.4,13.57,1.71,6.35,75.07,9.44,0.33,23.33,4.28,2.08,0.26,2.57,4.2,91.04,2.24,98.47,328.19,0.06,26-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-Jul-2020 - 00:00,28.01,64.91,10.68,0.93,4.64,63.64,3.31,0.39,24.57,5.25,2.83,0.39,3.16,5.48,85.67,1.42,179.54,361.63,0.0,27-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-Jul-2020 - 00:00,30.32,72.97,10.2,0.69,4.08,69.88,5.14,0.42,24.74,4.89,2.61,0.44,3.23,5.41,83.68,1.74,264.75,406.83,0.0,28-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-Jul-2020 - 00:00,29.48,85.92,9.92,1.03,4.3,107.72,10.23,0.38,27.36,4.26,2.29,0.33,2.87,4.57,81.32,2.12,251.1,430.42,0.0,29-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
29-Jul-2020 - 00:00,26.45,78.04,9.58,1.66,4.8,124.25,11.11,0.37,27.21,4.62,2.52,0.47,2.87,4.52,91.37,2.05,124.67,259.13,0.08,30-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
30-Jul-2020 - 00:00,13.43,32.93,8.65,2.49,4.67,92.14,7.77,0.48,37.02,6.16,6.43,3.79,7.7,8.38,97.84,2.07,138.96,118.72,0.66,31-Jul-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
31-Jul-2020 - 00:00,31.76,76.92,13.65,1.96,6.83,78.39,11.16,0.48,32.85,5.79,3.31,0.47,3.81,5.91,93.03,1.33,107.54,380.6,0.0,01-Aug-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
01-Aug-2020 - 00:00,23.53,69.62,16.42,2.02,8.57,70.61,12.44,0.52,17.48,5.64,4.13,0.55,4.34,7.39,96.6,1.14,162.4,234.53,0.02,02-Aug-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
