from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
01-Jan-2020 - 00:00,17.0,27.64,3.23,11.66,0.69,7.8,11.36,0.33,1.33,3.32,95.74,148.31,14.26,114.28,80.32,0.0,94.56,3.67,30.88,02-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Jan-2020 - 00:00,15.37,27.41,4.07,11.49,0.8,5.0,6.86,0.41,0.86,3.4,89.61,146.5,12.71,81.84,91.86,0.0,120.65,3.18,31.21,03-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Jan-2020 - 00:00,13.8,24.22,3.07,9.83,0.66,12.99,7.54,0.41,0.27,3.07,77.24,120.39,12.34,67.58,84.23,0.0,117.62,2.76,31.22,04-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Jan-2020 - 00:00,22.98,23.88,3.89,15.39,0.73,13.63,11.15,0.46,0.64,4.27,115.44,178.16,12.04,123.04,74.81,0.0,73.79,3.83,31.15,05-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Jan-2020 - 00:00,16.4,18.72,2.84,11.03,0.47,12.92,6.27,0.23,1.07,2.76,56.7,106.45,11.99,134.55,68.2,0.0,76.52,3.78,30.96,06-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Jan-2020 - 00:00,16.72,15.94,3.03,11.35,0.39,13.75,18.53,0.17,1.57,3.5,37.81,87.45,16.17,141.25,50.27,0.0,124.92,3.42,31.01,07-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Jan-2020 - 00:00,21.52,17.48,3.09,13.96,0.47,17.0,25.44,0.15,2.15,3.47,45.88,104.56,20.95,129.29,50.82,0.0,178.55,3.19,31.13,08-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Jan-2020 - 00:00,14.26,18.23,2.88,9.91,0.43,19.66,12.8,0.14,1.73,2.09,59.97,119.25,19.44,111.85,64.58,0.0,250.39,3.92,31.17,09-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Jan-2020 - 00:00,11.68,20.8,3.02,8.67,0.45,14.4,7.41,0.29,0.27,3.04,71.41,125.0,8.95,128.71,66.99,0.0,70.33,5.13,31.06,10-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Jan-2020 - 00:00,14.67,19.97,2.95,10.2,0.47,15.57,7.4,0.25,0.54,2.99,60.56,117.67,7.85,150.48,61.73,0.0,67.98,4.43,31.1,11-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
