from date,PM2.5,PM10,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,BP,AT,WS,WD,to date,station
01-Jan-2020 - 00:00,204.2,371.62,40.67,57.98,13.46,106.92,17.35,2.09,,1.39,16.04,69.4,743.0,14.15,0.53,251.34,02-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Jan-2020 - 00:00,127.92,289.44,,,,,13.11,1.46,,1.11,18.27,67.2,743.0,17.23,0.57,247.85,03-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Jan-2020 - 00:00,91.98,244.48,,,,,13.73,1.43,52.95,0.99,20.08,66.6,743.0,18.54,0.48,190.66,04-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Jan-2020 - 00:00,113.33,298.69,21.0,36.44,1.53,56.72,13.19,1.26,19.53,0.98,18.33,70.29,743.0,17.54,0.6,188.95,05-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Jan-2020 - 00:00,105.79,274.11,19.34,33.08,2.1,56.78,17.32,0.89,39.34,0.62,12.07,65.09,743.0,16.91,0.83,162.43,06-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Jan-2020 - 00:00,96.65,231.07,18.9,30.35,3.34,58.84,14.74,0.9,20.05,0.68,12.89,77.09,743.0,15.85,0.67,185.56,07-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Jan-2020 - 00:00,53.28,114.96,9.07,12.26,3.08,43.45,9.58,0.8,19.58,0.51,14.39,86.75,742.74,16.42,0.6,284.22,08-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Jan-2020 - 00:00,68.98,113.03,15.68,23.75,3.81,54.49,3.35,0.74,11.79,0.51,14.8,96.25,742.21,15.2,0.62,208.0,09-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Jan-2020 - 00:00,75.72,105.71,10.69,16.23,2.48,41.95,6.29,0.77,28.82,0.42,15.72,83.91,742.9,13.39,0.94,175.05,10-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Jan-2020 - 00:00,100.65,164.71,15.28,24.74,2.57,42.98,11.2,0.81,34.13,0.56,16.79,74.92,743.0,13.92,0.89,169.32,11-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
