from date,PM2.5,PM10,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,BP,AT,WS,WD,to date,station
11-Jan-2020 - 00:00,147.59,231.17,20.5,33.94,2.95,54.03,15.04,1.03,43.72,0.67,17.94,70.4,743.0,14.89,0.73,175.45,12-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Jan-2020 - 00:00,148.49,282.6,26.93,41.66,6.2,69.26,12.53,1.47,33.35,1.0,20.76,70.39,742.62,14.94,0.49,182.02,13-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Jan-2020 - 00:00,157.0,337.0,24.38,40.42,3.55,100.22,3.32,1.69,11.69,1.23,24.7,98.33,742.0,12.6,0.48,199.83,14-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Jan-2020 - 00:00,62.45,132.45,12.96,20.68,2.42,55.97,7.75,,14.48,0.61,10.11,93.11,742.34,16.13,0.62,209.75,17-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Jan-2020 - 00:00,30.52,74.07,8.59,12.05,2.63,35.75,9.5,,21.27,0.38,10.06,88.54,742.74,15.82,0.7,197.29,18-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-Jan-2020 - 00:00,51.94,135.79,18.7,26.7,5.48,34.86,14.02,1.27,11.78,0.54,9.79,88.91,743.0,13.99,0.55,183.62,19-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Jan-2020 - 00:00,78.27,197.49,12.64,19.82,2.52,43.02,9.87,0.82,22.44,0.5,9.09,86.38,743.0,13.01,0.89,161.34,20-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Jan-2020 - 00:00,95.1,241.26,16.43,25.41,3.54,48.71,12.34,1.14,22.63,0.53,9.42,82.68,743.0,14.05,0.72,140.69,21-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Jan-2020 - 00:00,114.69,275.38,24.31,33.65,7.85,56.4,12.68,1.34,10.68,0.8,12.31,91.48,743.0,13.63,0.47,202.44,22-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Jan-2020 - 00:00,78.69,201.21,19.89,29.91,4.86,44.97,11.5,1.26,20.42,0.76,10.29,83.03,743.0,14.04,0.81,171.92,23-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Jan-2020 - 00:00,35.52,136.95,10.2,16.86,1.47,35.72,13.8,1.07,31.19,0.35,6.25,59.48,743.0,15.21,1.29,163.39,24-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Jan-2020 - 00:00,46.83,161.21,14.73,25.11,1.64,39.86,14.72,0.92,37.08,0.38,6.44,50.47,742.52,16.46,1.18,157.97,25-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Jan-2020 - 00:00,155.86,280.27,26.08,41.18,5.08,55.04,16.64,1.27,19.43,0.62,10.98,72.54,742.83,13.35,0.52,212.61,26-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Jan-2020 - 00:00,251.69,366.94,33.55,51.45,7.56,57.64,16.31,1.46,28.62,0.84,11.17,68.28,742.23,16.41,0.65,150.52,27-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Jan-2020 - 00:00,200.92,290.2,25.36,39.75,5.14,60.34,17.16,1.09,21.41,0.87,12.44,74.66,742.0,16.42,0.55,203.1,28-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Jan-2020 - 00:00,96.57,126.07,10.28,16.03,2.42,42.15,10.07,0.82,24.67,0.43,13.65,79.58,742.0,17.14,0.74,244.02,29-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-Jan-2020 - 00:00,58.93,100.36,14.92,22.56,3.86,34.81,10.54,1.0,23.69,0.46,13.17,76.17,742.72,17.12,0.62,213.54,30-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-Jan-2020 - 00:00,46.26,114.34,10.19,16.46,1.72,31.76,12.14,0.72,32.63,0.66,8.89,64.77,743.0,16.9,1.05,174.5,31-Jan-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
31-Jan-2020 - 00:00,84.23,140.68,14.33,23.77,2.03,33.6,15.25,1.03,32.35,1.07,8.15,71.97,742.33,14.33,0.87,171.56,01-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Feb-2020 - 00:00,101.38,154.24,24.64,37.13,5.97,41.46,10.41,0.6,35.31,1.11,10.38,76.83,742.8,13.95,0.67,185.51,02-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Feb-2020 - 00:00,96.52,186.78,21.73,37.81,1.95,39.65,11.42,1.2,42.12,1.11,8.92,73.28,743.0,15.1,0.9,164.77,03-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Feb-2020 - 00:00,89.39,192.98,25.49,44.29,2.32,43.73,11.57,0.88,54.06,1.18,9.91,58.75,743.0,16.84,0.73,170.73,04-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Feb-2020 - 00:00,120.37,215.15,24.51,40.35,3.69,45.97,12.12,0.9,45.92,1.21,11.67,62.97,742.93,15.92,0.49,223.33,05-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Feb-2020 - 00:00,109.05,183.67,22.1,38.12,2.19,40.48,15.61,0.84,51.79,1.11,9.74,57.08,743.0,17.19,0.91,176.14,06-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Feb-2020 - 00:00,116.68,191.38,24.85,42.9,2.45,40.91,12.66,1.0,53.87,1.12,10.22,59.69,742.74,16.01,0.69,165.73,07-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Feb-2020 - 00:00,139.27,207.17,23.49,38.61,3.58,45.71,15.28,0.76,52.95,1.26,11.65,59.21,743.0,16.13,0.66,190.24,08-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Feb-2020 - 00:00,116.93,189.42,20.25,35.33,1.74,39.99,12.88,0.94,56.7,,,62.01,743.0,17.15,0.9,176.43,09-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Feb-2020 - 00:00,125.85,208.83,24.93,43.4,2.23,40.33,13.89,0.9,62.6,,,56.53,743.03,17.89,0.71,163.31,10-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Feb-2020 - 00:00,131.84,218.92,26.89,47.02,2.27,42.08,12.07,1.04,59.26,,,58.4,743.0,17.82,0.72,162.06,11-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-Feb-2020 - 00:00,143.91,231.58,28.49,47.95,3.62,44.2,16.43,0.75,64.01,,,56.82,743.0,18.24,0.66,174.71,12-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Feb-2020 - 00:00,122.65,230.42,20.91,36.96,1.49,42.41,13.76,0.92,65.15,,,57.97,743.0,19.79,1.03,160.19,13-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Feb-2020 - 00:00,72.6,198.0,16.91,29.49,1.45,38.73,14.24,0.85,50.78,,,58.5,742.44,21.36,1.27,157.54,14-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Feb-2020 - 00:00,57.85,193.67,15.26,26.84,1.15,33.08,11.52,0.67,58.83,,,52.54,742.0,20.73,1.5,165.25,15-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Feb-2020 - 00:00,67.48,163.88,18.22,32.18,1.32,36.9,14.37,0.84,63.4,,,46.35,742.0,20.37,1.19,161.21,16-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Feb-2020 - 00:00,134.1,236.33,35.76,59.47,5.03,52.0,14.12,0.95,50.18,,,56.54,742.69,20.56,0.69,161.61,17-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Feb-2020 - 00:00,105.27,212.62,29.19,50.36,2.91,45.93,15.74,0.69,61.63,,,51.09,743.0,21.54,0.9,153.01,18-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-Feb-2020 - 00:00,91.58,200.81,24.74,42.07,2.85,45.01,19.46,0.82,68.02,,,44.74,742.33,21.02,1.03,150.14,19-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Feb-2020 - 00:00,110.84,200.19,25.5,40.89,4.61,65.31,9.52,0.72,55.75,,,55.74,742.15,20.61,0.69,241.15,20-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Feb-2020 - 00:00,147.75,231.5,20.39,34.19,2.69,75.4,6.85,1.0,46.06,,,73.5,742.0,18.09,0.69,315.25,21-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Feb-2020 - 00:00,45.97,90.2,13.78,23.2,1.96,39.03,13.21,0.35,70.43,1.03,17.33,50.31,742.17,24.72,0.77,199.58,25-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Feb-2020 - 00:00,120.39,210.16,22.75,37.66,3.27,48.1,16.34,0.83,52.87,1.16,12.77,69.41,742.12,21.65,0.54,196.7,26-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Feb-2020 - 00:00,92.58,163.21,15.07,25.14,2.05,45.86,28.98,1.27,57.71,1.15,8.04,73.15,742.43,20.75,0.62,182.95,27-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Feb-2020 - 00:00,93.48,152.17,11.75,18.82,2.09,43.46,11.74,0.89,53.68,1.14,8.76,77.26,742.46,20.6,0.56,286.19,28-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Feb-2020 - 00:00,84.24,140.67,11.24,17.81,2.1,39.99,11.53,0.8,47.82,1.06,8.67,77.7,742.23,20.82,0.79,297.96,29-Feb-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-Feb-2020 - 00:00,80.63,131.84,10.49,16.51,2.02,37.2,12.86,0.76,45.56,1.06,8.26,76.78,742.07,20.94,0.82,289.83,01-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Mar-2020 - 00:00,60.6,138.52,17.33,31.33,0.81,47.22,15.74,0.92,78.94,1.13,6.99,51.67,742.02,26.42,0.56,162.11,03-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Mar-2020 - 00:00,75.96,170.07,17.91,29.62,2.6,37.84,21.58,0.73,57.79,1.08,6.35,54.55,742.0,23.86,0.68,173.19,04-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Mar-2020 - 00:00,113.57,221.15,29.97,43.74,8.15,46.1,13.73,0.92,30.66,1.14,7.55,65.98,742.0,21.83,0.49,209.78,05-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,06-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Mar-2020 - 00:00,4.69,16.19,4.11,6.06,0.93,23.4,14.26,,56.96,,,,,,,,07-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Mar-2020 - 00:00,23.11,43.97,9.46,15.0,1.82,23.69,6.14,,41.42,,,,,,,,08-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Mar-2020 - 00:00,46.58,93.92,16.25,24.51,3.95,28.59,9.88,,45.78,,,,,,,,09-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Mar-2020 - 00:00,47.97,122.62,10.96,19.29,0.86,24.91,10.72,,53.67,,,,,,,,10-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Mar-2020 - 00:00,63.98,137.04,10.86,18.61,1.18,31.5,17.63,,57.28,,,,,,,,11-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-Mar-2020 - 00:00,54.84,111.17,8.82,13.42,2.06,36.63,11.4,,56.15,,,,,,,,12-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Mar-2020 - 00:00,63.39,134.02,8.61,13.86,1.5,33.41,13.47,,47.69,,,,,,,,13-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Mar-2020 - 00:00,40.57,92.67,8.93,13.18,2.36,31.42,9.3,,45.23,,,,,,,,14-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Mar-2020 - 00:00,16.56,43.96,7.82,11.27,2.24,23.39,8.24,,52.2,,,,,,,,15-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Mar-2020 - 00:00,36.16,93.88,14.73,22.07,3.67,25.37,11.13,,50.77,,,,,,,,16-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Mar-2020 - 00:00,46.11,121.81,10.21,17.77,0.93,26.1,12.84,,67.45,,,,,,,,17-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Mar-2020 - 00:00,49.23,137.08,10.86,18.78,1.02,25.81,16.32,,72.61,,,,,,,,18-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-Mar-2020 - 00:00,54.22,142.92,10.34,17.85,0.98,28.5,16.93,,75.64,,,,,,,,19-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Mar-2020 - 00:00,84.5,180.71,14.5,24.36,1.84,34.06,19.82,,67.93,,,,,,,,20-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Mar-2020 - 00:00,117.05,224.7,23.99,39.46,3.58,35.68,21.93,,22.56,,,,,,,,21-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,22-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,25-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,26-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,27-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,26-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,27-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,28-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,29-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,30-Apr-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,01-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-May-2020 - 00:00,,,,,,,,,,,,,,,,,02-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,,,,,03-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-May-2020 - 00:00,,,,,,,,,,,,,,,,,04-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-May-2020 - 00:00,,,,,,,,,,,,,,,,,05-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-May-2020 - 00:00,,,,,,,,,,,,,,,,,06-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-May-2020 - 00:00,,,,,,,,,,,,,,,,,07-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-May-2020 - 00:00,,,,,,,,,,,,,,,,,08-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-May-2020 - 00:00,,,,,,,,,,,,,,,,,09-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-May-2020 - 00:00,,,,,,,,,,,,,,,,,10-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-May-2020 - 00:00,,,,,,,,,,,,,,,,,11-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-May-2020 - 00:00,,,,,,,,,,,,,,,,,12-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-May-2020 - 00:00,,,,,,,,,,,,,,,,,13-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-May-2020 - 00:00,,,,,,,,,,,,,,,,,14-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-May-2020 - 00:00,,,,,,,,,,,,,,,,,15-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-May-2020 - 00:00,,,,,,,,,,,,,,,,,16-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-May-2020 - 00:00,,,,,,,,,,,,,,,,,17-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-May-2020 - 00:00,,,,,,,,,,,,,,,,,18-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-May-2020 - 00:00,,,,,,,,,,,,,,,,,19-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-May-2020 - 00:00,,,,,,,,,,,,,,,,,20-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-May-2020 - 00:00,,,,,,,,,,,,,,,,,21-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-May-2020 - 00:00,,,,,,,,,,,,,,,,,22-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-May-2020 - 00:00,,,,,,,,,,,,,,,,,23-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-May-2020 - 00:00,,,,,,,,,,,,,,,,,24-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-May-2020 - 00:00,,,,,,,,,,,,,,,,,25-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-May-2020 - 00:00,,,,,,,,,,,,,,,,,26-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-May-2020 - 00:00,,,,,,,,,,,,,,,,,28-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-May-2020 - 00:00,,,,,,,,,,,,,,,,,29-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-May-2020 - 00:00,,,,,,,,,,,,,,,,,30-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-May-2020 - 00:00,,,,,,,,,,,,,,,,,31-May-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
31-May-2020 - 00:00,,,,,,,,,,,,,,,,,01-Jun-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,02-Jun-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,03-Jun-2020 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
