from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Eth-Benzene,Toluene,MP-Xylene,Xylene,RH,WS,WD,SR,RF,to date,station
05-Feb-2020 - 00:00,10.79,34.85,24.06,112.83,14.5,1.6,10.95,179.2,118.53,,0.0,,0.0,,70.47,1.71,266.69,337.56,0.0,06-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Feb-2020 - 00:00,10.66,33.46,22.81,103.8,12.95,1.36,8.11,186.12,91.79,,0.0,,0.0,,70.7,1.33,232.24,347.77,0.0,07-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Feb-2020 - 00:00,11.21,34.22,23.02,109.25,14.46,1.54,10.92,234.62,139.37,,0.0,,0.0,,69.6,1.3,228.13,316.41,0.0,08-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Feb-2020 - 00:00,9.46,28.51,19.06,97.07,13.13,1.33,12.2,161.87,99.77,,0.0,,0.0,,75.13,2.15,281.57,380.06,0.0,09-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Feb-2020 - 00:00,10.83,32.67,21.85,104.04,14.18,1.42,12.35,189.98,100.4,,0.0,,0.0,,58.13,1.48,267.92,361.93,0.0,10-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Feb-2020 - 00:00,10.98,34.6,23.61,103.17,13.64,1.5,9.25,222.55,121.02,,0.0,,0.0,,71.91,1.41,260.18,328.71,0.0,11-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Feb-2020 - 00:00,11.71,37.5,25.79,110.98,14.85,1.57,9.01,215.3,136.69,,0.0,,0.0,,70.12,1.15,264.62,333.0,0.0,12-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Feb-2020 - 00:00,10.29,31.81,21.52,104.7,14.62,1.43,10.46,201.1,115.82,,0.0,,0.0,,70.63,2.18,270.1,319.51,0.0,13-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Feb-2020 - 00:00,8.98,28.98,19.87,109.28,12.46,1.21,11.32,127.61,63.3,,0.0,,0.0,,65.74,2.46,277.55,253.25,0.0,14-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Feb-2020 - 00:00,8.22,25.43,17.21,89.61,15.91,1.11,11.77,131.03,59.86,2.46,0.21,0.15,0.35,0.71,63.84,2.95,275.89,264.13,0.0,15-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Feb-2020 - 00:00,9.82,32.12,22.56,105.83,14.16,1.08,8.53,121.48,52.43,1.29,0.02,0.23,0.03,0.55,54.28,2.27,268.67,323.57,0.0,16-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Feb-2020 - 00:00,11.33,37.25,25.92,124.41,15.07,1.3,8.81,152.16,80.02,,0.0,,0.0,,53.96,1.69,265.83,354.55,0.0,17-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Feb-2020 - 00:00,11.39,37.59,26.2,128.35,15.17,1.38,9.49,178.34,101.71,,0.0,,0.0,,59.19,1.79,268.95,352.05,0.0,18-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Feb-2020 - 00:00,10.88,36.41,25.53,129.37,16.44,1.28,9.27,167.14,78.2,,0.0,,0.0,,50.44,1.95,257.46,350.84,0.0,19-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Feb-2020 - 00:00,9.97,36.72,26.75,134.57,18.0,1.48,12.75,184.77,106.26,,0.0,,0.0,,64.81,2.07,111.48,329.15,0.0,20-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Feb-2020 - 00:00,9.2,32.3,23.1,127.39,15.23,1.38,14.63,174.55,90.14,,0.0,,0.0,,70.41,2.49,104.23,290.96,0.0,21-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Feb-2020 - 00:00,8.86,32.55,23.69,131.06,13.13,1.28,13.66,98.29,48.02,,0.0,,0.0,,85.87,2.47,71.77,110.54,0.0,22-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-Feb-2020 - 00:00,9.88,38.14,28.27,138.07,13.05,1.42,8.73,113.48,55.88,,0.0,,0.0,,83.45,1.47,131.42,292.65,0.0,23-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Feb-2020 - 00:00,10.75,42.24,31.5,150.35,15.34,1.64,12.41,168.6,91.88,,0.0,,0.0,,77.04,1.29,187.61,309.1,0.0,24-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Feb-2020 - 00:00,10.95,39.25,28.28,142.33,14.72,1.43,13.21,136.45,60.42,,0.0,,0.0,,72.81,1.38,240.38,346.46,0.0,25-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Feb-2020 - 00:00,10.84,40.22,29.36,144.31,14.83,1.57,11.15,171.47,98.02,,0.0,,0.0,,77.98,1.46,256.64,306.33,0.0,26-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Feb-2020 - 00:00,10.2,37.64,27.32,102.35,12.41,1.55,10.61,210.14,109.78,3.16,0.78,5.68,0.87,1.48,73.93,1.4,192.36,327.31,0.0,27-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Feb-2020 - 00:00,10.2,47.93,37.76,87.2,5.8,1.48,11.34,153.67,78.16,2.29,0.18,9.09,0.4,0.18,83.42,1.79,99.02,295.11,0.0,28-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-Feb-2020 - 00:00,9.13,44.47,35.41,86.51,5.57,1.26,11.62,145.55,30.83,2.0,0.14,8.25,0.26,0.12,84.25,2.44,97.68,298.03,0.0,29-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-Feb-2020 - 00:00,7.92,41.01,33.22,89.74,4.88,0.75,11.56,135.48,44.74,1.92,0.14,8.17,0.26,0.11,82.07,2.45,96.57,291.74,0.0,01-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Mar-2020 - 00:00,9.69,50.81,41.29,96.69,9.26,0.73,7.64,84.08,43.83,1.17,0.29,14.4,0.65,0.31,76.24,1.14,117.71,282.09,0.0,02-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Mar-2020 - 00:00,11.43,60.36,49.15,101.93,2.83,1.15,9.62,168.05,76.36,1.94,0.82,24.7,1.2,0.55,80.98,0.9,205.99,342.24,0.0,03-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Mar-2020 - 00:00,9.82,46.89,37.12,83.87,3.13,1.2,10.35,170.97,94.84,2.05,1.58,20.44,1.84,0.83,71.27,1.11,203.31,360.61,0.0,04-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Mar-2020 - 00:00,9.82,41.4,31.48,83.11,3.75,1.03,12.58,160.65,84.5,1.44,0.39,16.08,0.58,0.25,75.23,1.9,148.71,248.5,0.0,05-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Mar-2020 - 00:00,8.3,31.69,23.22,73.61,2.05,0.83,11.65,72.03,31.85,0.67,0.21,8.68,0.51,0.19,81.81,2.6,115.34,234.26,0.0,06-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Mar-2020 - 00:00,8.52,30.23,21.47,68.14,1.31,0.81,11.01,49.24,22.93,0.34,0.14,8.45,0.26,0.1,92.11,2.69,94.73,244.43,0.0,07-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Mar-2020 - 00:00,9.23,37.82,28.47,80.2,1.1,0.97,5.99,83.31,37.85,0.79,0.22,13.78,0.47,0.19,90.05,1.32,131.5,247.63,0.0,08-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Mar-2020 - 00:00,9.74,39.49,29.6,79.93,2.95,1.14,7.87,89.52,45.5,1.33,0.36,17.46,0.58,0.23,77.08,1.56,254.29,391.68,0.0,09-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Mar-2020 - 00:00,9.34,33.79,24.22,76.71,2.23,1.07,8.25,93.36,43.79,0.7,0.28,14.55,0.46,0.18,68.93,2.35,280.4,441.41,0.0,10-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Mar-2020 - 00:00,11.3,36.4,24.69,76.16,3.67,1.27,8.15,124.61,73.09,1.07,0.52,20.82,0.7,0.29,63.86,1.32,181.81,409.96,0.0,11-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Mar-2020 - 00:00,7.76,25.65,17.7,59.87,6.89,1.24,13.5,114.48,51.88,1.1,0.4,9.41,0.57,0.33,76.11,2.74,109.12,290.66,0.0,12-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Mar-2020 - 00:00,5.91,24.59,18.61,75.1,5.16,1.22,7.61,147.36,47.8,1.12,0.28,10.78,0.54,0.25,77.89,1.66,160.16,416.16,0.0,13-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Mar-2020 - 00:00,15.61,33.27,19.07,41.04,4.73,0.65,11.24,201.67,87.53,1.2,1.48,8.6,0.38,1.08,49.47,1.48,135.56,360.39,0.0,14-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Mar-2020 - 00:00,20.77,57.2,35.45,85.44,7.27,0.93,7.7,98.15,40.04,0.87,0.61,15.22,0.75,0.35,81.95,1.6,175.02,322.5,0.0,15-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Mar-2020 - 00:00,29.79,76.92,45.53,79.47,8.62,1.06,9.76,118.93,34.47,,0.0,,0.0,,73.32,1.37,181.24,403.38,0.0,16-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Mar-2020 - 00:00,21.21,54.48,32.14,62.31,10.27,0.91,9.47,124.58,36.51,1.02,0.39,10.4,0.42,0.7,74.94,1.69,282.82,320.38,0.0,17-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Mar-2020 - 00:00,6.68,23.42,16.56,60.78,7.65,1.12,10.95,122.26,28.41,1.18,0.96,14.2,1.06,0.49,66.01,1.76,286.69,416.8,0.0,18-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Mar-2020 - 00:00,6.59,22.55,15.75,55.09,8.79,1.28,9.57,146.02,34.61,1.39,0.95,16.25,1.2,0.56,64.26,1.71,254.6,404.43,0.0,19-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Mar-2020 - 00:00,7.55,27.57,19.86,80.54,10.97,1.39,9.77,163.08,70.79,1.52,1.07,18.73,1.34,0.65,62.93,1.25,201.03,411.6,0.0,20-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Mar-2020 - 00:00,6.96,26.67,19.57,82.35,13.32,1.51,9.71,184.59,87.79,1.83,0.51,14.27,0.83,0.41,68.24,1.59,133.53,378.33,0.0,21-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Mar-2020 - 00:00,7.19,26.1,18.73,79.79,14.19,1.33,10.73,131.83,55.34,1.26,0.57,16.62,0.9,0.44,58.08,1.2,168.8,384.01,0.0,22-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-Mar-2020 - 00:00,6.99,26.76,19.63,86.0,16.97,1.43,10.79,159.1,81.61,1.87,0.81,18.17,1.11,0.56,57.8,1.43,236.77,401.44,0.0,23-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Mar-2020 - 00:00,6.76,24.69,17.76,74.26,17.15,1.33,8.24,102.06,29.54,1.18,0.48,19.84,0.73,0.34,58.31,1.09,185.65,395.98,0.0,24-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Mar-2020 - 00:00,6.22,22.35,15.97,69.49,20.19,1.38,8.64,128.93,43.38,1.64,0.35,15.5,0.58,0.27,62.13,1.48,163.87,216.16,0.0,25-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Mar-2020 - 00:00,6.31,26.21,19.82,85.88,19.95,1.24,8.1,83.93,29.14,1.0,0.35,16.78,0.57,0.26,63.44,1.44,206.39,425.99,0.0,26-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Mar-2020 - 00:00,5.69,25.38,19.68,86.85,20.91,1.13,8.08,72.91,17.15,0.67,0.21,12.54,0.34,0.15,66.09,2.28,278.58,251.14,0.0,27-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Mar-2020 - 00:00,5.43,23.96,18.51,83.94,22.1,1.08,8.7,57.99,24.34,0.46,0.15,10.49,0.24,0.11,76.08,2.11,191.81,242.52,0.0,28-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-Mar-2020 - 00:00,5.83,24.76,18.88,85.6,22.74,1.01,9.04,54.74,18.85,0.51,0.22,13.77,0.35,0.16,65.9,2.11,255.61,458.88,0.0,29-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-Mar-2020 - 00:00,5.74,22.38,16.53,78.9,22.42,1.01,11.09,69.12,23.83,0.43,0.17,11.38,0.29,0.13,55.86,2.61,291.91,458.17,0.0,30-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
30-Mar-2020 - 00:00,6.01,22.52,16.38,75.96,22.55,1.05,11.29,78.29,38.06,0.57,0.2,12.9,0.34,0.15,54.08,2.38,286.55,461.45,0.0,31-Mar-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
31-Mar-2020 - 00:00,6.45,22.81,16.17,74.34,24.12,1.08,11.53,85.39,32.37,0.66,0.24,14.13,0.4,0.18,50.15,1.82,236.29,355.0,0.0,01-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Apr-2020 - 00:00,6.19,23.17,16.84,78.58,25.86,1.06,9.83,78.24,26.87,0.47,0.21,13.2,0.32,0.14,55.34,1.72,261.71,420.6,0.0,02-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Apr-2020 - 00:00,5.78,22.49,16.6,79.79,28.04,1.05,10.23,72.28,29.48,0.53,0.15,9.47,0.25,0.11,49.8,2.6,274.43,477.3,0.0,03-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Apr-2020 - 00:00,6.29,22.41,15.94,73.75,26.58,1.04,10.87,75.56,26.12,0.56,0.22,13.51,0.37,0.16,41.81,2.12,287.6,443.03,0.0,04-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Apr-2020 - 00:00,6.91,23.49,16.37,72.68,26.36,1.09,8.69,82.13,30.16,0.75,0.33,18.07,0.51,0.23,40.28,1.77,255.42,468.06,0.0,05-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Apr-2020 - 00:00,6.77,23.41,16.43,74.94,29.48,1.19,10.49,104.95,50.41,1.07,0.31,15.28,0.53,0.3,41.46,1.52,206.87,413.23,0.0,06-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Apr-2020 - 00:00,6.97,25.93,18.8,79.79,33.28,1.42,5.54,116.13,63.91,3.04,0.43,19.59,0.64,0.33,57.43,1.1,141.54,220.06,0.0,07-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Apr-2020 - 00:00,6.1,13.73,7.27,32.22,6.48,1.12,13.15,128.15,38.88,0.61,0.14,11.09,0.22,0.15,32.34,2.67,174.06,449.33,0.0,08-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Apr-2020 - 00:00,6.53,22.21,15.48,65.48,7.29,0.81,11.26,76.46,28.64,0.53,0.15,9.55,0.24,0.11,35.15,2.33,289.78,434.62,0.0,09-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Apr-2020 - 00:00,6.79,22.21,15.18,66.48,6.94,0.9,10.07,89.3,33.77,0.8,0.28,14.87,0.42,0.19,36.16,2.07,284.38,440.03,0.0,10-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Apr-2020 - 00:00,8.08,27.13,18.78,74.42,7.02,1.12,6.7,135.59,50.5,1.35,0.53,17.9,0.8,0.36,49.31,1.08,264.17,325.53,0.0,11-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Apr-2020 - 00:00,6.61,20.98,14.11,67.41,10.72,0.98,18.05,130.73,48.4,1.01,0.18,9.52,0.31,0.17,27.06,1.51,232.92,592.17,0.0,12-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Apr-2020 - 00:00,6.43,21.42,14.77,70.06,10.79,0.94,11.11,114.85,33.19,0.95,0.23,11.86,0.36,0.17,33.29,2.15,287.1,455.91,0.0,13-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Apr-2020 - 00:00,6.96,23.66,16.48,75.35,12.21,1.04,9.73,151.6,51.48,1.12,0.36,15.69,0.58,0.26,30.98,1.89,269.26,435.24,0.0,14-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Apr-2020 - 00:00,6.73,25.64,18.77,86.68,14.77,1.15,9.72,221.79,74.54,1.52,0.4,14.84,0.69,0.32,30.55,1.01,201.97,354.27,0.0,15-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Apr-2020 - 00:00,6.7,24.27,17.39,83.44,17.59,1.2,7.41,259.48,97.41,2.84,0.4,12.67,0.72,0.34,25.88,1.55,172.36,357.35,0.0,16-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Apr-2020 - 00:00,6.6,23.9,17.13,82.63,16.25,1.1,12.48,216.95,92.58,1.57,0.44,13.92,0.71,0.32,24.26,1.72,271.85,396.43,0.0,17-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Apr-2020 - 00:00,6.36,20.92,14.34,72.32,16.01,0.97,14.43,144.75,53.53,0.85,0.31,12.46,0.49,0.21,22.79,1.58,175.98,439.64,0.0,18-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Apr-2020 - 00:00,4.79,14.49,9.34,41.9,8.06,0.98,11.48,167.87,28.88,0.8,0.15,6.76,0.27,0.13,31.23,2.12,99.36,460.21,0.0,19-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Apr-2020 - 00:00,4.62,13.43,8.6,34.94,11.09,0.99,10.75,103.52,89.55,1.02,0.23,10.57,0.39,0.19,34.25,1.78,207.21,494.14,0.0,20-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Apr-2020 - 00:00,5.93,20.56,14.44,62.35,13.11,1.08,7.57,115.46,56.39,1.34,0.31,13.14,0.54,0.25,40.7,1.71,203.61,144.94,0.0,21-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Apr-2020 - 00:00,6.26,23.43,17.03,72.58,13.58,1.15,8.46,158.99,61.14,1.75,0.33,18.26,0.52,0.25,50.31,1.25,205.5,536.12,0.0,22-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
