from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Eth-Benzene,Toluene,MP-Xylene,Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2020 - 00:00,13.25,46.56,33.31,113.64,3.76,2.36,5.91,343.81,272.17,17.32,9.43,1.35,13.55,6.53,89.73,1.2,126.11,267.7,0.0,02-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Jan-2020 - 00:00,13.66,46.96,33.33,124.75,2.88,2.3,6.48,295.27,216.5,16.73,9.74,1.67,15.41,7.57,80.93,0.96,125.31,253.03,0.0,03-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Jan-2020 - 00:00,12.7,44.35,31.65,133.74,2.75,1.88,5.47,191.59,145.94,12.35,12.51,2.03,15.84,7.81,83.06,1.16,148.6,261.67,0.0,04-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Jan-2020 - 00:00,12.37,43.59,31.22,133.46,3.14,1.59,7.14,165.28,125.47,8.06,4.87,1.1,7.98,3.83,85.88,1.22,254.2,237.9,0.0,05-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Jan-2020 - 00:00,10.61,31.67,21.05,103.02,3.73,1.49,9.35,175.88,130.42,6.47,4.4,0.89,6.76,3.33,76.83,1.45,259.37,287.27,0.0,06-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Jan-2020 - 00:00,10.42,29.78,19.36,100.27,3.75,1.5,6.52,177.47,129.19,6.49,3.42,0.8,6.03,2.82,78.03,1.38,172.18,206.43,0.0,07-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Jan-2020 - 00:00,8.83,27.09,18.25,104.6,3.63,1.49,5.84,130.37,104.06,5.97,1.78,0.46,3.84,1.71,91.42,1.58,110.71,110.46,0.0,08-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Jan-2020 - 00:00,8.71,29.61,20.9,114.5,1.83,1.59,3.06,135.13,114.21,7.9,3.26,0.7,5.41,2.4,98.77,1.45,197.14,40.19,0.0,09-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Jan-2020 - 00:00,6.65,21.0,14.35,97.24,2.24,1.26,10.69,81.01,63.29,3.45,1.42,0.29,2.63,1.04,92.45,2.47,287.39,241.3,0.0,10-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Jan-2020 - 00:00,6.61,20.89,14.28,87.71,1.01,1.28,6.22,75.33,58.73,3.78,3.16,0.53,4.39,1.66,99.13,2.28,284.93,64.88,0.0,11-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Jan-2020 - 00:00,10.48,31.42,20.76,113.76,3.31,1.73,9.8,231.84,168.86,,0.0,,0.0,,60.54,1.24,190.25,343.54,0.0,13-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Jan-2020 - 00:00,8.85,28.83,19.97,125.47,3.92,1.84,8.7,197.53,156.58,,0.0,,0.0,,89.07,1.77,104.12,201.32,0.0,14-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Jan-2020 - 00:00,8.3,26.85,18.55,129.95,2.15,1.58,6.96,119.19,90.38,,0.0,,0.0,,92.85,1.84,293.39,230.22,0.0,15-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Jan-2020 - 00:00,9.17,28.45,19.28,124.12,2.72,1.68,6.7,135.1,98.21,,0.0,,0.0,,90.19,1.46,275.88,258.93,0.0,16-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Jan-2020 - 00:00,9.81,32.85,23.05,137.23,2.76,1.91,2.06,166.69,126.95,,0.0,,0.0,,98.35,1.11,271.57,84.23,0.0,17-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Jan-2020 - 00:00,13.28,40.75,27.47,58.12,8.64,1.05,5.08,346.24,243.62,14.79,3.21,0.83,7.58,5.03,96.3,0.97,82.94,4.85,0.0,22-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-Jan-2020 - 00:00,9.99,36.12,26.13,102.57,10.56,1.74,12.44,153.75,115.2,10.49,9.2,1.07,15.09,6.44,94.21,1.73,279.46,209.82,0.0,23-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Jan-2020 - 00:00,8.25,25.26,17.02,89.23,11.54,1.17,19.31,111.37,54.1,3.13,0.57,0.4,0.99,1.34,72.04,2.88,281.3,333.42,0.0,24-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Jan-2020 - 00:00,8.94,26.83,17.89,87.99,12.32,1.12,15.3,92.94,47.91,,0.0,,0.0,,61.23,2.35,264.08,329.28,0.0,25-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Jan-2020 - 00:00,10.64,33.17,22.53,98.12,14.0,1.39,13.48,161.65,98.7,,0.0,,0.0,,65.36,1.4,253.7,351.43,0.0,26-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Jan-2020 - 00:00,11.23,36.14,24.91,103.48,15.88,1.52,10.63,210.05,131.97,,0.0,,0.0,,72.03,1.21,245.65,302.98,0.0,27-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Jan-2020 - 00:00,10.61,36.06,25.45,114.14,13.42,1.57,9.25,184.93,119.84,,0.0,,0.0,,78.61,1.49,104.62,254.35,0.0,28-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-Jan-2020 - 00:00,9.57,30.08,20.52,103.8,14.07,1.55,9.9,175.08,116.33,,0.0,,0.0,,90.17,1.97,95.9,194.78,0.0,29-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-Jan-2020 - 00:00,10.85,34.0,23.17,107.9,13.07,1.4,10.5,132.51,64.72,,0.0,,0.0,,80.17,1.47,184.25,256.49,0.0,30-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
30-Jan-2020 - 00:00,10.11,32.4,22.3,102.65,11.64,1.4,9.86,113.51,64.38,,0.0,,0.0,,79.73,2.05,277.37,346.21,0.0,31-Jan-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
31-Jan-2020 - 00:00,10.09,31.5,21.42,98.66,13.62,1.41,8.95,165.4,80.25,,0.0,,0.0,,75.99,1.72,223.43,349.51,0.0,01-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Feb-2020 - 00:00,10.99,35.02,24.03,108.82,12.88,1.5,10.08,159.4,93.46,,0.0,,0.0,,76.07,1.33,213.21,333.23,0.0,02-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Feb-2020 - 00:00,9.81,30.91,21.11,98.5,11.7,1.41,10.77,132.13,74.48,,0.0,,0.0,,77.46,1.87,280.43,348.09,0.0,03-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Feb-2020 - 00:00,10.9,33.73,22.83,102.76,11.5,1.42,8.18,147.99,89.17,,0.0,,0.0,,71.2,1.27,214.16,347.47,0.0,04-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Feb-2020 - 00:00,11.2,36.5,25.31,111.99,13.34,1.62,8.37,210.04,123.98,,0.0,,0.0,,71.62,1.1,147.31,320.99,0.0,05-Feb-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
