from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,220.8,278.04,18.39,58.27,76.66,14.62,,2.08,19.04,5.38,3.13,0.47,5.97,3.76,14.24,86.66,0.31,198.81,755.61,32.54,0.0,02-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
02-Jan-2020 - 00:00,215.93,263.55,22.42,71.79,88.41,14.62,,2.12,18.44,11.22,6.52,0.91,11.73,7.98,15.01,87.83,0.32,100.23,755.62,32.49,0.0,03-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
03-Jan-2020 - 00:00,149.74,190.44,18.09,67.36,82.17,14.62,,1.67,23.54,3.81,2.38,0.35,4.67,2.4,16.32,86.97,0.46,104.26,755.62,33.02,0.0,04-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
04-Jan-2020 - 00:00,75.33,105.25,15.11,80.63,95.74,14.62,,1.05,10.45,5.91,8.38,0.89,13.41,10.28,14.35,94.59,0.31,228.19,755.62,32.86,0.0,05-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
05-Jan-2020 - 00:00,78.12,98.91,15.87,64.61,80.49,14.62,,0.95,24.76,4.81,5.66,0.56,8.53,6.78,14.03,90.92,1.29,269.07,755.61,32.17,0.0,06-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
06-Jan-2020 - 00:00,120.39,167.4,18.7,40.77,59.47,14.62,,1.39,21.52,8.12,7.03,1.17,12.02,8.53,13.27,90.34,0.47,177.57,755.61,32.17,0.0,07-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
07-Jan-2020 - 00:00,179.51,250.67,21.44,82.49,103.93,14.62,,2.06,14.34,12.82,9.54,1.87,17.53,11.85,13.66,90.09,0.19,161.72,755.61,32.13,0.0,08-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
08-Jan-2020 - 00:00,176.4,250.87,21.17,75.71,96.88,14.62,,2.11,22.37,12.83,7.35,1.85,14.25,8.78,14.73,88.38,0.61,107.13,755.6,32.13,0.0,09-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
09-Jan-2020 - 00:00,98.05,121.05,20.29,74.76,95.05,14.62,,1.35,27.09,6.68,4.77,0.92,8.64,6.27,15.93,92.21,1.05,151.06,755.61,32.1,0.0,10-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
10-Jan-2020 - 00:00,81.77,104.29,17.79,67.49,85.28,14.62,,3.73,15.65,4.79,5.07,0.66,8.0,6.4,14.09,89.82,1.3,269.52,755.62,32.1,0.0,11-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
11-Jan-2020 - 00:00,63.07,81.16,20.45,74.46,94.91,14.62,,5.76,14.09,3.99,5.11,0.66,7.99,6.46,12.82,80.47,0.92,260.72,755.61,32.1,0.0,12-Jan-2020 - 00:00,"Samanpura, Patna - BSPCB"
