from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,AT,RH,WS,WD,SR,BP,RF,to date,station
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Apr-2020 - 00:00,28.4,0.48,15.26,0.84,23.64,12.0,33.91,13.05,68.82,192.36,30.6,44.54,0.47,,28.29,737.32,0.0,26-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Apr-2020 - 00:00,29.06,0.09,17.72,1.33,14.69,8.89,36.82,10.0,46.73,136.94,24.68,67.25,1.47,,59.94,740.49,0.0,27-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Apr-2020 - 00:00,29.35,0.0,23.14,1.27,11.48,7.14,31.43,6.32,28.08,53.29,25.54,69.14,2.04,,133.5,743.34,0.0,28-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Apr-2020 - 00:00,29.51,0.7,27.76,1.31,12.44,7.69,27.52,9.12,37.65,74.65,28.02,60.92,1.28,1.0,137.36,743.34,0.0,29-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Apr-2020 - 00:00,29.14,0.0,18.7,1.29,11.27,7.04,25.2,17.81,69.14,147.35,30.43,57.04,0.92,,128.8,740.49,0.0,30-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Apr-2020 - 00:00,28.88,0.0,16.17,1.27,11.73,7.28,24.5,12.55,54.32,133.91,30.78,55.79,0.97,,126.88,739.82,0.0,01-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-May-2020 - 00:00,28.99,0.1,13.38,1.32,12.3,7.62,27.53,11.55,54.23,142.94,30.82,60.08,1.47,1.0,127.09,738.04,0.0,02-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-May-2020 - 00:00,28.81,0.0,9.96,1.3,9.5,6.11,24.49,9.01,31.92,112.35,29.98,60.18,2.07,1.0,125.98,737.94,0.0,03-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-May-2020 - 00:00,29.53,0.33,8.03,1.37,11.09,7.01,23.4,7.57,33.83,81.73,27.59,68.86,1.65,1.0,83.77,739.14,0.0,04-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-May-2020 - 00:00,28.85,0.04,6.26,1.25,13.28,8.09,20.74,12.96,25.05,58.55,27.77,63.07,1.23,1.0,128.95,740.53,0.0,05-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-May-2020 - 00:00,28.79,0.4,2.94,1.35,15.31,9.24,20.15,19.84,48.0,109.73,30.84,52.4,1.15,1.0,132.75,738.98,0.0,06-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-May-2020 - 00:00,28.77,0.07,2.09,1.3,12.69,7.79,19.83,14.75,47.19,158.35,29.78,51.81,1.24,1.0,105.3,738.51,0.0,07-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-May-2020 - 00:00,28.85,0.01,0.95,1.33,10.6,6.71,18.09,15.47,24.98,84.84,25.7,55.93,1.64,1.0,107.59,739.77,0.0,08-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-May-2020 - 00:00,28.13,0.82,,1.28,11.37,7.09,19.89,13.75,41.23,126.33,35.35,39.08,1.46,1.0,140.88,736.71,0.0,09-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-May-2020 - 00:00,28.49,0.33,1.4,1.25,9.84,6.23,23.15,14.15,63.85,146.05,30.97,58.72,1.01,1.0,119.93,738.81,0.0,10-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-May-2020 - 00:00,28.89,0.0,,1.35,11.79,7.36,25.03,8.72,41.7,120.93,27.46,62.65,1.78,1.0,73.29,739.77,0.0,11-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-May-2020 - 00:00,28.82,2.2,1.33,1.21,11.73,7.22,20.73,10.3,37.14,82.24,27.03,65.47,1.52,1.0,143.25,740.9,0.0,12-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-May-2020 - 00:00,28.12,0.77,,1.33,10.88,6.86,22.26,11.49,40.2,91.68,32.49,51.87,1.29,1.0,157.22,739.7,0.0,13-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-May-2020 - 00:00,28.45,0.04,0.4,1.2,13.62,8.2,25.84,16.09,64.14,174.1,29.64,61.38,0.93,1.0,83.35,739.03,0.0,14-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-May-2020 - 00:00,28.51,0.22,1.03,1.31,22.89,13.24,24.77,13.25,50.05,117.95,26.81,69.65,0.47,1.0,70.2,738.55,0.0,15-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,16-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-May-2020 - 00:00,28.14,0.06,,1.28,17.35,10.27,16.61,10.54,34.8,112.26,35.66,29.54,1.69,,181.65,735.74,0.0,17-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-May-2020 - 00:00,28.31,0.01,2.1,1.26,25.52,14.6,19.22,20.99,74.62,177.25,33.65,36.97,0.99,1.0,116.92,735.03,0.0,18-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-May-2020 - 00:00,28.2,0.01,3.2,1.28,28.72,16.27,19.39,24.53,85.66,195.22,33.39,35.6,1.07,1.0,132.54,734.17,0.0,19-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-May-2020 - 00:00,27.9,0.03,3.2,1.27,32.05,17.99,20.34,23.37,76.66,199.8,33.92,32.14,1.0,1.0,132.33,733.64,0.0,20-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-May-2020 - 00:00,27.9,0.01,2.9,1.2,25.71,14.65,19.4,19.21,51.26,154.55,33.38,29.69,1.54,,143.3,733.1,0.0,21-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-May-2020 - 00:00,27.61,0.07,,1.21,23.24,13.35,16.86,14.33,33.34,160.0,34.71,29.01,1.53,1.0,146.42,732.33,0.0,22-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-May-2020 - 00:00,27.58,0.02,2.15,1.29,30.53,17.28,18.89,32.73,76.73,228.17,36.34,28.76,0.95,,139.02,732.43,0.0,23-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-May-2020 - 00:00,29.66,0.12,3.23,1.31,22.66,12.74,24.16,25.2,75.29,253.32,36.95,31.16,1.14,1.0,128.72,733.61,0.0,24-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-May-2020 - 00:00,29.6,0.03,1.57,1.27,19.74,11.51,23.38,16.05,42.85,199.41,37.99,30.24,1.45,,137.4,734.19,0.0,25-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-May-2020 - 00:00,29.63,0.0,1.12,1.28,25.93,14.84,21.56,20.47,51.94,180.72,37.18,31.45,1.54,,142.83,733.75,0.0,26-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-May-2020 - 00:00,29.68,0.01,1.89,1.4,30.32,16.92,21.78,10.76,37.41,213.17,38.01,30.14,1.54,,139.6,732.22,0.0,27-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-May-2020 - 00:00,29.27,0.0,1.27,1.28,14.41,8.71,22.99,13.27,32.24,190.26,37.32,33.15,1.5,,134.01,730.69,0.0,28-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-May-2020 - 00:00,29.45,0.0,0.9,1.25,9.78,6.22,24.02,7.33,27.93,269.7,32.87,52.16,2.41,,120.54,732.9,0.0,29-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-May-2020 - 00:00,28.73,0.35,1.1,1.2,11.83,7.25,22.92,5.2,21.07,64.21,28.37,66.61,2.32,,105.68,735.98,0.0,30-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-May-2020 - 00:00,29.02,0.0,0.8,1.28,11.43,7.12,28.38,5.2,21.78,47.65,27.73,70.66,1.48,,132.64,738.01,0.0,31-May-2020 - 00:00,"Sector - 125, Noida - UPPCB"
31-May-2020 - 00:00,28.78,0.01,0.9,1.34,11.51,7.21,26.35,3.28,16.84,33.65,25.61,78.74,1.55,77.49,113.05,739.68,0.0,01-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Jun-2020 - 00:00,29.21,0.05,1.0,1.29,16.35,9.75,25.49,12.97,50.32,86.36,28.08,71.69,0.83,70.04,127.26,739.74,0.0,02-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Jun-2020 - 00:00,29.09,0.08,0.72,1.28,16.34,9.73,28.27,10.36,49.52,106.05,29.71,65.72,1.05,6.52,116.86,738.02,0.0,03-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Jun-2020 - 00:00,29.29,0.0,0.93,1.15,23.82,13.61,28.36,11.34,51.08,136.16,31.57,57.65,0.9,3.88,98.76,735.6,0.0,04-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Jun-2020 - 00:00,29.09,0.95,1.79,1.31,22.21,12.76,33.48,10.1,46.85,135.19,29.41,66.09,1.01,3.48,63.64,735.09,0.0,05-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Jun-2020 - 00:00,29.19,0.01,0.93,1.24,15.15,9.07,31.65,9.07,45.97,92.71,29.03,67.27,1.0,1.0,110.34,735.32,0.0,06-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-Jun-2020 - 00:00,29.21,0.0,1.2,1.26,10.01,6.35,25.7,5.8,28.71,57.68,29.22,68.05,1.16,1.0,166.64,735.14,0.0,07-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Jun-2020 - 00:00,29.2,0.7,,1.29,14.91,8.97,23.66,9.51,38.05,99.05,31.11,61.46,1.34,1.0,157.54,734.02,0.0,08-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Jun-2020 - 00:00,29.54,0.01,1.28,1.22,19.08,11.13,24.92,15.57,44.73,108.32,31.87,59.58,1.15,1.0,131.19,733.9,0.0,09-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Jun-2020 - 00:00,29.48,0.53,1.04,1.13,16.16,9.52,26.0,24.59,71.12,173.07,34.36,54.9,1.01,,140.24,733.63,0.0,10-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Jun-2020 - 00:00,29.44,0.46,0.61,1.24,19.35,11.31,25.78,18.95,73.63,198.33,35.95,52.4,0.83,,167.0,733.29,0.0,11-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Jun-2020 - 00:00,29.31,0.0,0.99,1.14,25.0,12.82,40.03,18.15,80.3,153.63,36.7,50.47,0.92,,179.3,731.32,0.0,12-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Jun-2020 - 00:00,29.82,0.0,0.98,1.2,16.6,9.79,35.4,10.24,89.02,151.93,34.68,60.26,0.79,1.0,126.18,730.8,0.0,13-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Jun-2020 - 00:00,29.0,0.0,0.88,1.18,16.6,9.79,27.44,7.2,90.6,170.0,32.24,68.48,0.98,1.0,76.67,731.61,0.0,14-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Jun-2020 - 00:00,28.95,0.0,1.71,1.19,21.61,12.46,28.47,13.4,94.28,191.63,33.57,64.49,0.95,1.0,78.44,732.35,0.0,15-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Jun-2020 - 00:00,28.84,0.0,1.26,1.22,15.38,9.17,27.05,14.17,75.62,,35.31,55.4,1.1,1.0,133.71,730.95,0.0,16-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Jun-2020 - 00:00,28.69,0.0,0.38,1.2,12.38,7.55,22.29,12.96,55.51,,35.4,54.44,1.22,1.0,131.73,728.69,0.0,17-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Jun-2020 - 00:00,29.01,0.0,2.1,1.29,9.43,6.05,20.28,10.4,45.81,,34.22,61.79,1.56,,138.13,728.47,0.0,18-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Jun-2020 - 00:00,28.95,0.0,1.2,1.2,10.05,6.32,20.22,9.36,52.38,,35.0,59.46,1.23,1.0,133.99,728.93,0.0,19-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Jun-2020 - 00:00,29.17,0.0,0.97,1.26,10.13,6.41,17.91,6.95,92.96,,34.72,63.55,1.5,1.0,110.81,730.75,0.0,20-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Jun-2020 - 00:00,28.8,0.0,0.6,1.17,17.88,10.32,17.63,3.42,44.9,,29.51,73.5,1.28,1.0,34.05,732.6,0.0,21-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,22-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,23-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,24-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,25-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,26-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,27-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,28-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,29-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,30-Jun-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,01-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,02-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,03-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Jul-2020 - 00:00,32.22,0.0,,1.34,14.65,8.02,35.33,2.66,74.17,,35.77,61.2,1.27,,62.6,727.4,0.0,04-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Jul-2020 - 00:00,31.8,0.0,,1.25,10.32,6.51,27.36,5.56,61.73,93.13,33.81,67.48,2.0,,157.07,729.38,0.0,05-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Jul-2020 - 00:00,30.3,0.0,1.8,1.25,8.12,5.33,22.64,5.34,75.3,97.45,27.71,86.96,2.52,,19.0,731.5,0.0,06-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-Jul-2020 - 00:00,30.88,0.0,,1.24,10.4,6.54,20.04,2.95,57.33,79.43,31.24,77.26,1.12,1.0,120.09,729.98,0.0,07-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Jul-2020 - 00:00,29.54,0.0,1.35,1.34,10.42,6.63,19.71,4.16,27.98,39.95,28.42,83.9,2.12,1.0,80.14,732.86,0.0,08-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Jul-2020 - 00:00,30.14,0.0,0.61,1.16,11.5,7.06,21.14,3.97,38.09,46.67,29.47,84.61,1.43,1.0,81.65,733.81,0.0,09-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Jul-2020 - 00:00,30.74,0.0,1.56,1.23,16.37,9.69,25.29,4.61,50.5,67.97,30.98,79.71,0.74,1.0,51.57,730.31,0.0,10-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Jul-2020 - 00:00,31.47,0.0,1.28,1.19,14.33,8.59,26.03,5.67,42.01,73.5,33.54,69.61,1.6,1.0,128.28,728.33,0.0,11-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,12-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,13-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,14-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,15-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,16-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,17-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,18-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,19-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,20-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,21-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,22-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Jul-2020 - 00:00,23.02,,12.78,10.25,17.98,17.89,0.91,7.04,13.41,43.97,26.98,87.44,1.01,3.36,38.31,732.5,0.0,23-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Jul-2020 - 00:00,21.6,,29.29,11.11,13.34,14.14,6.54,10.36,38.46,87.91,29.32,78.9,0.9,24.07,125.5,732.64,0.0,24-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Jul-2020 - 00:00,21.41,,25.06,11.1,10.43,10.05,9.65,10.3,49.02,104.16,29.74,80.4,1.32,142.4,102.34,735.39,0.0,25-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Jul-2020 - 00:00,22.71,,21.69,11.1,4.64,8.57,9.82,8.42,29.49,66.56,29.49,84.33,1.35,160.66,97.84,737.15,0.0,26-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Jul-2020 - 00:00,23.24,,29.85,11.13,8.53,11.46,8.07,8.67,48.28,100.98,31.31,77.57,0.82,192.32,136.74,736.65,0.0,27-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Jul-2020 - 00:00,23.42,,22.63,11.04,8.34,11.73,7.68,11.33,35.67,113.93,32.81,71.94,1.49,75.93,127.9,733.91,0.0,28-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Jul-2020 - 00:00,29.6,,20.04,11.01,7.47,12.58,7.54,4.97,23.36,89.86,33.61,69.49,1.25,22.76,428.42,731.47,0.0,29-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Jul-2020 - 00:00,32.25,,18.87,11.08,2.13,8.62,9.93,6.75,20.45,69.31,30.25,80.8,1.04,74.28,601.38,731.94,0.0,30-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Jul-2020 - 00:00,27.0,,30.89,11.12,12.96,15.02,6.8,4.68,20.85,68.67,29.29,79.45,0.83,147.47,610.55,734.3,0.0,31-Jul-2020 - 00:00,"Sector - 125, Noida - UPPCB"
31-Jul-2020 - 00:00,32.86,,23.11,10.97,6.98,11.73,8.69,6.47,30.58,71.03,29.67,85.74,0.71,99.04,599.02,733.6,0.0,01-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Aug-2020 - 00:00,27.66,,22.77,11.1,7.73,9.5,10.12,7.07,29.07,60.1,28.63,88.5,0.69,1.44,604.26,733.19,0.0,02-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Aug-2020 - 00:00,23.76,,6.74,10.98,8.43,12.05,7.92,8.71,30.85,69.85,26.83,92.9,0.4,1.55,602.35,733.0,0.0,03-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,04-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Aug-2020 - 00:00,30.28,,21.64,10.92,,0.0,14.0,4.6,21.3,73.55,32.25,72.5,0.75,,605.46,724.75,0.0,05-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Aug-2020 - 00:00,30.75,,20.14,11.07,,0.0,14.0,9.62,29.57,74.06,30.36,82.0,1.1,,603.76,726.56,0.0,06-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,07-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,08-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,09-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,10-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Aug-2020 - 00:00,33.99,,21.07,11.09,,0.01,14.0,19.05,25.83,49.4,30.2,86.03,0.69,1.0,596.82,731.23,0.0,11-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Aug-2020 - 00:00,34.13,,22.18,11.08,,0.0,14.0,20.94,46.33,81.02,30.08,87.28,0.62,1.0,596.34,730.76,0.0,12-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Aug-2020 - 00:00,34.34,,22.96,11.08,,0.0,14.0,21.36,20.85,63.11,30.51,83.84,1.38,1.0,566.03,729.86,0.0,13-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Aug-2020 - 00:00,33.59,,17.17,11.07,,0.0,14.0,8.4,14.74,30.11,27.31,92.42,1.02,1.0,242.55,729.42,0.0,14-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Aug-2020 - 00:00,35.9,,19.06,11.06,0.1,3.51,14.27,5.09,15.21,33.94,28.12,90.44,1.38,1.65,127.83,728.94,0.0,15-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Aug-2020 - 00:00,38.24,,22.55,11.07,7.66,10.99,14.7,10.75,25.48,43.56,29.82,85.84,1.01,1.82,85.47,728.94,0.0,16-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Aug-2020 - 00:00,37.92,,17.11,11.06,9.4,13.99,14.7,12.03,18.41,35.42,30.03,85.66,0.95,2.21,114.12,729.94,0.0,17-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Aug-2020 - 00:00,39.24,,14.5,11.08,9.41,14.01,14.7,10.05,22.86,44.73,28.98,90.53,0.85,3.31,40.73,730.23,0.0,18-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Aug-2020 - 00:00,39.44,,12.88,11.04,9.4,13.77,14.68,8.55,21.86,57.67,29.81,86.6,0.85,9.61,57.75,730.75,0.0,19-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Aug-2020 - 00:00,37.63,,13.77,11.07,9.41,14.0,14.7,12.08,15.82,35.63,27.07,95.4,0.74,12.79,28.8,730.77,0.0,20-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Aug-2020 - 00:00,36.54,,22.12,11.07,9.4,14.01,14.7,15.51,12.94,27.01,,94.22,0.81,2.49,44.7,733.41,0.0,21-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Aug-2020 - 00:00,38.57,,15.76,11.07,9.42,14.01,14.7,20.36,12.31,37.13,,83.05,1.28,1.87,98.98,734.71,0.0,22-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Aug-2020 - 00:00,39.97,,19.73,11.07,9.4,14.0,14.7,20.19,6.67,27.54,,79.85,1.98,2.21,99.39,733.9,0.0,23-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Aug-2020 - 00:00,40.79,,19.35,11.07,9.4,14.01,14.7,21.26,11.93,29.33,,85.02,2.07,2.8,86.82,732.53,0.0,24-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Aug-2020 - 00:00,40.68,,19.84,11.07,9.4,14.01,14.7,22.52,10.8,28.03,,86.07,1.4,4.98,82.22,732.97,0.0,25-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Aug-2020 - 00:00,42.12,,18.67,11.08,9.4,14.0,14.7,23.06,13.5,31.23,,85.06,0.87,6.86,76.8,734.99,0.0,26-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Aug-2020 - 00:00,46.08,,17.74,11.07,9.41,14.01,14.7,23.08,16.05,55.71,,80.81,1.08,5.88,94.04,736.05,0.0,27-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Aug-2020 - 00:00,50.52,,25.09,11.08,9.4,14.01,14.7,22.18,19.59,65.87,,78.53,1.03,4.12,98.55,735.36,0.0,28-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Aug-2020 - 00:00,50.09,,8.19,11.08,9.36,13.98,14.71,24.2,29.93,81.32,,86.64,0.71,6.73,66.7,733.45,0.0,29-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,30-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,31-Aug-2020 - 00:00,"Sector - 125, Noida - UPPCB"
31-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,01-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Sep-2020 - 00:00,27.07,,8.47,11.08,9.41,14.0,14.7,7.39,16.91,59.39,31.03,77.07,0.9,20.02,614.05,737.18,0.0,02-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Sep-2020 - 00:00,27.11,,9.87,11.08,9.4,14.0,14.7,10.44,16.58,51.0,31.08,75.44,0.73,23.06,614.06,738.28,0.0,03-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Sep-2020 - 00:00,27.45,,16.38,10.95,9.44,13.92,14.7,11.45,29.74,71.03,30.11,80.06,1.39,24.34,613.42,739.24,0.0,04-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Sep-2020 - 00:00,26.72,,8.89,11.15,9.4,14.06,14.69,3.84,38.94,81.69,30.03,81.45,0.91,27.46,614.91,737.59,0.0,05-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Sep-2020 - 00:00,26.58,,10.33,32.17,18.95,20.83,16.21,3.19,26.3,70.26,29.81,79.94,0.99,23.89,615.01,735.84,0.0,06-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
