from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,AT,RH,WS,WD,SR,BP,RF,to date,station
27-Jan-2020 - 00:00,29.61,1.78,18.17,3.44,80.29,44.45,68.4,19.21,219.64,355.35,15.55,75.1,0.96,58.1,55.4,744.64,0.0,28-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Jan-2020 - 00:00,29.54,1.01,24.51,3.06,44.24,25.2,47.41,10.63,114.11,162.84,15.68,80.63,1.49,53.35,59.99,743.35,0.19,29-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Jan-2020 - 00:00,29.61,1.37,22.78,3.16,57.26,32.13,38.72,8.3,69.21,123.01,15.21,74.88,1.06,25.83,86.06,749.09,0.0,30-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Jan-2020 - 00:00,29.57,1.02,20.51,1.66,63.4,34.85,37.81,8.65,79.66,153.64,14.96,74.37,1.28,15.76,93.78,749.86,0.0,31-Jan-2020 - 00:00,"Sector - 125, Noida - UPPCB"
31-Jan-2020 - 00:00,29.55,1.14,24.98,2.75,60.55,33.52,33.78,10.55,82.6,157.02,13.45,71.31,1.21,20.55,94.97,747.74,0.0,01-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Feb-2020 - 00:00,29.56,1.41,29.41,3.02,58.37,32.76,37.81,10.9,108.07,186.84,13.62,76.02,0.79,39.72,79.55,750.35,0.0,02-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Feb-2020 - 00:00,29.48,1.22,30.72,3.31,58.29,32.8,37.64,7.94,113.81,191.55,13.43,76.06,1.07,16.91,103.59,752.03,0.0,03-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Feb-2020 - 00:00,29.63,1.99,26.91,4.66,83.01,45.93,38.92,10.23,152.74,278.21,13.91,70.59,0.75,26.31,92.29,750.92,0.0,04-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Feb-2020 - 00:00,29.72,1.93,32.38,4.65,78.33,42.94,46.64,13.23,200.34,372.3,14.06,69.32,0.5,54.48,83.59,749.01,0.0,05-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Feb-2020 - 00:00,29.59,1.35,25.76,3.45,68.56,38.39,42.25,11.49,137.29,241.69,14.92,69.35,1.04,24.88,88.57,749.3,0.0,06-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
