from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
27-Jun-2020 - 00:00,37.35,971.78,130.88,43.83,56.54,203.64,16.79,240.03,0.89,2.61,3.37,15.4,30.38,27.49,39.37,36.39,13.86,28-Jun-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Jun-2020 - 00:00,38.8,971.76,254.21,65.47,52.94,208.18,19.41,198.4,0.9,3.52,2.94,20.52,44.39,33.66,54.12,35.51,11.05,29-Jun-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Jun-2020 - 00:00,37.52,971.77,151.31,58.7,58.48,208.96,87.27,133.17,0.69,1.57,5.05,13.63,9.21,21.39,18.89,62.23,19.27,30-Jun-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Jun-2020 - 00:00,35.82,971.81,76.93,45.61,66.23,206.11,24.71,76.16,0.96,1.14,2.93,24.68,5.74,23.54,17.2,81.49,12.35,01-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Jul-2020 - 00:00,36.92,971.79,90.97,54.88,61.35,214.88,48.52,89.22,0.54,1.11,3.5,20.57,5.26,26.37,18.32,96.26,10.96,02-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Jul-2020 - 00:00,38.29,971.78,110.77,68.84,57.02,206.38,28.74,127.47,0.36,1.32,4.16,25.33,8.49,37.39,26.81,103.77,12.06,03-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Jul-2020 - 00:00,38.06,971.8,116.49,70.45,58.55,207.99,32.22,89.65,0.99,1.8,3.88,29.14,6.7,32.95,22.99,100.44,12.29,04-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Jul-2020 - 00:00,36.11,972.02,70.97,48.75,64.99,207.21,23.77,77.82,1.64,1.13,2.49,26.81,5.69,20.69,15.65,82.99,11.03,05-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Jul-2020 - 00:00,33.57,973.42,49.21,30.62,71.77,199.14,17.35,126.65,0.74,1.15,2.02,20.35,8.99,26.12,21.22,98.82,16.73,06-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Jul-2020 - 00:00,34.69,973.55,70.29,51.68,71.69,216.89,39.8,92.19,0.56,3.4,3.67,23.63,9.41,28.87,23.04,60.56,15.38,07-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Jul-2020 - 00:00,33.51,973.6,32.33,19.78,74.5,208.39,40.74,71.99,1.23,0.85,4.41,22.21,8.12,18.03,16.21,41.96,9.74,08-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Jul-2020 - 00:00,34.14,973.58,42.06,29.83,74.34,190.62,17.42,99.22,1.21,1.24,2.38,19.87,10.2,23.78,20.96,44.18,8.75,09-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Jul-2020 - 00:00,36.64,972.97,63.98,44.78,64.47,206.17,18.97,182.71,0.37,1.29,2.75,19.05,17.83,38.26,34.89,62.24,13.35,10-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Jul-2020 - 00:00,37.45,972.65,58.33,26.94,60.21,210.26,8.67,232.24,0.72,1.06,1.29,19.38,30.34,33.2,42.4,53.42,9.41,11-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Jul-2020 - 00:00,32.28,973.77,35.52,15.11,77.2,173.77,7.38,214.61,0.66,1.02,0.85,18.34,14.62,23.4,24.36,67.97,7.87,12-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Jul-2020 - 00:00,35.62,972.56,45.4,23.21,60.29,210.92,15.35,244.67,0.47,1.83,1.68,16.99,14.34,30.97,28.1,91.33,11.49,13-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Jul-2020 - 00:00,36.57,972.61,95.26,39.38,59.63,208.51,12.67,214.4,0.42,1.65,1.77,17.47,24.28,33.13,37.42,66.35,10.32,14-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Jul-2020 - 00:00,37.56,971.86,114.35,44.32,59.08,208.34,23.06,185.44,0.46,1.24,1.81,20.58,16.95,29.94,29.73,68.66,10.11,15-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Jul-2020 - 00:00,35.94,971.79,73.92,51.0,65.41,207.5,34.42,84.92,1.51,1.4,2.81,20.65,5.6,21.32,15.91,78.97,12.26,16-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Jul-2020 - 00:00,35.59,972.64,59.29,38.72,67.02,201.11,35.73,79.52,1.55,1.05,2.48,18.0,5.25,17.41,13.54,57.72,12.48,17-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Jul-2020 - 00:00,35.62,973.43,71.37,50.3,68.68,201.56,42.79,86.99,1.44,2.2,2.5,15.37,6.3,16.34,13.83,55.82,13.4,18-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Jul-2020 - 00:00,35.37,973.46,55.85,35.5,69.77,197.39,28.11,89.84,1.04,0.76,2.16,12.94,3.86,13.04,10.09,50.52,12.98,19-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Jul-2020 - 00:00,34.57,973.52,55.73,30.52,73.88,165.24,18.67,183.69,0.46,2.08,1.74,12.39,16.92,22.41,25.72,47.44,9.64,20-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Jul-2020 - 00:00,33.89,973.44,46.04,19.82,68.44,199.86,7.49,229.35,0.64,2.44,0.84,10.99,16.16,22.37,25.07,68.39,8.9,21-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Jul-2020 - 00:00,31.97,973.99,40.2,25.24,79.09,186.39,18.21,162.67,0.79,2.08,1.61,9.92,8.63,17.95,16.59,55.69,8.79,22-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Jul-2020 - 00:00,31.84,974.16,49.76,30.6,82.4,192.28,16.6,176.1,0.49,0.93,1.7,17.61,26.55,26.72,35.86,39.01,8.64,23-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Jul-2020 - 00:00,34.71,973.07,82.01,47.45,68.93,214.07,16.69,214.98,0.41,1.61,1.79,39.57,59.37,75.31,88.45,57.29,12.83,24-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Jul-2020 - 00:00,34.81,973.42,76.71,47.45,68.16,210.94,45.57,83.14,1.09,2.34,3.34,71.87,21.2,63.08,50.83,70.64,12.24,25-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Jul-2020 - 00:00,34.3,973.65,68.64,29.49,73.06,195.73,26.58,75.39,1.02,0.78,2.5,52.7,12.23,33.78,27.94,57.28,10.39,26-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Jul-2020 - 00:00,35.46,973.55,88.81,45.29,68.55,205.41,17.82,123.0,0.51,1.55,2.11,56.34,31.65,68.29,62.13,67.77,9.72,27-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Jul-2020 - 00:00,37.13,972.55,101.76,46.27,62.01,203.5,47.18,222.73,0.67,1.76,2.6,56.58,83.39,71.41,106.0,60.59,8.69,28-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Jul-2020 - 00:00,37.36,971.78,61.17,24.22,60.56,204.2,16.43,227.88,0.68,1.22,1.02,28.77,54.14,36.39,63.5,53.41,9.14,29-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Jul-2020 - 00:00,34.07,972.63,52.44,28.54,71.66,162.0,26.55,124.55,0.84,1.63,2.47,20.88,18.57,27.42,29.73,51.75,8.45,30-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Jul-2020 - 00:00,33.89,973.52,56.53,23.83,72.65,198.71,15.55,144.04,0.68,1.36,1.87,17.99,16.84,21.14,24.97,46.97,9.64,31-Jul-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
31-Jul-2020 - 00:00,34.57,973.62,75.98,50.7,74.21,194.51,45.08,93.03,0.61,1.67,4.04,19.1,10.4,21.05,19.68,57.82,12.37,01-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Aug-2020 - 00:00,34.27,972.9,59.54,33.82,73.35,199.18,21.97,146.31,0.48,3.06,2.75,29.68,22.04,35.63,36.92,25.37,9.44,02-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Aug-2020 - 00:00,36.17,972.63,58.78,26.82,66.31,194.81,9.97,236.7,0.5,1.81,1.64,23.96,37.85,35.5,49.75,18.9,8.7,03-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Aug-2020 - 00:00,36.58,971.79,62.34,29.71,63.63,201.89,23.12,231.23,0.49,1.1,1.74,25.51,49.62,36.68,59.05,23.4,10.55,04-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Aug-2020 - 00:00,36.4,971.78,60.97,30.45,64.0,193.32,14.26,181.83,0.43,0.6,1.51,23.03,13.49,32.14,27.56,22.24,7.95,05-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Aug-2020 - 00:00,34.66,972.8,79.38,47.32,73.98,195.79,26.36,107.08,0.51,3.82,2.48,24.41,29.07,36.45,43.09,24.97,11.66,06-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Aug-2020 - 00:00,35.87,973.41,50.22,25.47,64.87,209.58,54.95,75.1,2.49,1.15,3.47,50.49,15.29,45.66,36.75,20.51,14.3,07-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Aug-2020 - 00:00,35.33,972.77,43.72,24.07,67.33,196.49,19.2,82.59,2.2,1.65,2.52,48.1,17.85,58.91,45.89,23.67,12.69,08-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Aug-2020 - 00:00,36.89,971.79,82.63,55.19,63.27,194.14,15.2,155.57,0.35,1.33,1.43,52.93,75.65,112.19,124.4,33.44,12.78,09-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Aug-2020 - 00:00,34.59,973.52,57.52,38.59,76.1,193.44,5.3,195.32,0.41,1.65,0.8,53.93,79.74,65.81,103.97,27.87,11.16,10-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Aug-2020 - 00:00,34.77,972.89,58.34,38.23,74.09,193.14,5.3,94.91,1.0,0.84,0.8,37.95,24.87,38.68,40.85,18.11,11.06,11-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Aug-2020 - 00:00,35.52,971.81,71.63,48.04,71.08,196.0,5.3,162.91,0.41,1.32,0.8,60.52,84.2,100.53,123.4,19.65,9.8,12-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Aug-2020 - 00:00,35.38,971.8,60.29,25.94,72.22,198.24,5.3,207.36,0.53,0.81,0.8,46.91,69.29,60.82,100.13,18.86,6.56,13-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Aug-2020 - 00:00,31.97,974.05,28.31,17.79,87.62,167.51,5.3,160.86,0.52,1.7,0.8,44.11,51.51,52.1,69.71,19.38,10.28,14-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Aug-2020 - 00:00,33.13,972.07,45.89,24.85,80.64,184.71,5.3,78.64,1.2,1.65,0.8,34.7,26.45,47.3,46.72,16.24,13.76,15-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Aug-2020 - 00:00,34.57,969.95,50.28,33.82,74.84,191.6,5.3,84.28,1.37,0.9,0.8,49.36,22.91,52.77,46.75,18.74,9.74,16-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Aug-2020 - 00:00,34.74,971.67,39.55,22.48,74.03,190.96,5.3,87.77,1.23,1.65,0.8,44.59,30.04,49.36,50.74,25.75,9.91,17-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Aug-2020 - 00:00,34.22,973.44,56.24,34.1,79.73,160.96,5.3,110.7,0.81,2.26,0.8,49.14,66.7,69.6,95.63,24.59,10.54,18-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Aug-2020 - 00:00,34.58,971.72,67.38,43.33,76.2,175.34,6.9,151.49,0.51,1.1,1.06,74.83,73.17,86.5,111.03,15.34,16.31,19-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Aug-2020 - 00:00,31.68,973.2,35.94,25.38,87.51,106.21,14.5,131.91,0.58,1.65,0.73,53.79,80.14,79.97,111.55,14.76,27.9,20-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Aug-2020 - 00:00,31.38,973.84,35.52,22.78,84.37,142.82,34.2,84.15,0.57,1.66,1.8,31.74,35.39,62.07,61.91,25.71,19.88,21-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Aug-2020 - 00:00,33.62,973.64,49.42,21.59,74.49,197.57,38.95,85.76,1.29,2.15,2.89,12.23,19.99,18.34,26.05,40.19,12.98,22-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Aug-2020 - 00:00,34.19,973.51,46.07,21.83,69.88,203.89,45.19,74.23,2.26,1.79,3.49,22.38,15.74,28.5,27.99,26.36,6.21,23-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
