from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,144.22,263.65,77.55,71.72,149.27,40.25,9.35,2.52,3.51,2.13,9.99,2.83,24.36,23.44,14.04,86.33,0.2,199.86,754.58,57.04,0.0,02-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
02-Jan-2020 - 00:00,138.18,242.5,68.89,65.95,134.84,42.94,10.83,2.36,3.8,2.14,10.05,2.94,24.4,25.65,14.92,87.28,0.27,148.73,754.58,59.75,0.01,03-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
03-Jan-2020 - 00:00,102.59,181.31,62.49,37.35,99.84,39.03,7.36,1.36,4.19,1.59,8.59,1.97,20.47,21.4,16.1,86.7,0.39,114.96,754.58,61.16,0.0,04-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
04-Jan-2020 - 00:00,58.38,106.07,52.91,57.56,110.47,30.59,8.48,1.15,3.24,0.98,6.13,1.25,14.97,16.7,14.09,94.39,0.14,229.37,754.5,37.4,0.0,05-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
05-Jan-2020 - 00:00,54.58,105.85,51.09,31.56,82.66,26.41,7.25,0.81,3.48,0.79,5.48,0.86,13.24,16.27,13.85,90.63,0.36,249.44,754.54,49.32,0.0,06-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
06-Jan-2020 - 00:00,89.93,179.51,73.63,54.46,128.09,29.96,8.02,1.45,3.55,1.15,6.78,1.5,16.4,17.49,13.07,90.08,0.31,190.84,754.6,65.27,0.0,07-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
07-Jan-2020 - 00:00,127.51,246.86,81.14,83.01,164.16,35.35,8.25,2.09,3.3,1.75,9.27,2.38,22.01,21.31,13.55,90.19,0.19,197.42,754.66,80.6,0.0,08-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
08-Jan-2020 - 00:00,122.29,223.71,63.6,69.11,132.37,38.22,12.01,1.82,3.51,1.77,11.16,2.44,25.38,26.35,14.62,88.26,0.35,144.91,754.62,71.47,0.28,09-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
09-Jan-2020 - 00:00,84.05,81.11,51.53,36.98,88.52,33.77,9.29,1.02,3.28,0.99,6.99,1.33,17.04,20.04,15.75,91.3,0.49,140.42,754.55,51.79,0.07,10-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
10-Jan-2020 - 00:00,51.99,57.15,53.1,52.99,106.05,27.59,10.46,1.02,3.21,0.82,6.49,1.14,15.76,18.66,13.82,90.01,0.4,250.85,754.51,41.31,0.0,11-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
