from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,AT,RH,RF,BP,SR,to date,station
13-Jan-2020 - 00:00,56.29,102.67,8.7,1.1,9.8,4.11,4.71,0.78,71.72,,,,,128.32,1.33,20.27,60.38,0.0,949.9,214.78,14-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
14-Jan-2020 - 00:00,56.6,102.95,8.66,1.09,9.75,4.08,5.0,0.93,77.9,,,,,142.04,1.39,20.28,59.88,0.0,949.9,239.91,15-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
15-Jan-2020 - 00:00,71.2,103.75,8.76,1.11,9.86,4.13,6.46,0.98,88.58,,,,,187.3,1.15,20.33,60.36,0.0,949.9,334.48,16-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
16-Jan-2020 - 00:00,55.24,103.69,8.58,1.07,9.65,4.13,5.73,0.92,75.85,,,,,140.55,1.22,19.88,65.87,0.0,949.9,281.47,17-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
17-Jan-2020 - 00:00,56.27,97.83,8.67,1.09,9.75,4.11,5.68,0.8,67.72,,,,,163.28,1.08,20.2,68.05,0.0,949.9,311.16,18-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
18-Jan-2020 - 00:00,51.79,83.51,8.8,1.1,9.9,4.13,7.7,0.92,60.9,,,,,180.53,1.39,20.52,66.34,0.0,949.9,375.88,19-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
19-Jan-2020 - 00:00,21.19,47.04,8.54,1.1,9.64,4.22,7.84,0.67,54.47,,,,,205.94,1.44,21.04,69.22,0.0,949.9,390.23,20-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
20-Jan-2020 - 00:00,32.12,68.62,8.56,1.1,9.66,4.14,8.3,0.75,64.57,,,,,173.03,1.4,21.22,60.16,0.0,949.9,338.94,21-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
21-Jan-2020 - 00:00,35.27,70.78,8.19,1.08,9.27,4.16,8.76,0.59,97.27,,,,,172.3,2.21,20.9,52.25,0.0,949.9,340.37,22-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
22-Jan-2020 - 00:00,28.23,79.73,8.35,1.08,9.43,4.1,7.86,0.6,80.02,0.92,0.64,0.43,0.12,171.42,2.0,20.91,50.44,0.0,949.9,319.44,23-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
23-Jan-2020 - 00:00,28.76,61.92,8.51,1.1,9.61,4.21,6.76,0.72,74.21,0.92,0.63,0.43,0.12,164.05,2.1,20.94,57.54,0.0,949.9,312.86,24-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
24-Jan-2020 - 00:00,45.1,75.75,9.09,1.12,10.21,4.27,7.23,0.8,74.43,0.92,0.63,0.43,0.12,158.39,1.85,20.89,55.62,0.0,949.9,298.04,25-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
25-Jan-2020 - 00:00,33.71,75.14,9.14,1.11,10.26,4.19,9.51,0.88,82.97,0.92,0.63,0.43,0.12,143.31,1.58,20.72,42.15,0.0,949.9,262.57,26-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
26-Jan-2020 - 00:00,27.57,76.43,9.12,1.11,10.23,4.17,10.21,0.88,88.49,0.92,0.63,0.43,0.12,169.07,1.31,20.76,37.96,0.0,949.9,317.55,27-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
27-Jan-2020 - 00:00,34.46,90.83,9.1,1.11,10.21,4.24,8.49,0.95,82.82,0.92,0.63,0.43,0.12,173.57,1.01,20.7,59.02,0.0,949.9,346.1,28-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
28-Jan-2020 - 00:00,24.92,77.33,9.19,1.13,10.32,4.38,7.94,0.88,75.62,0.92,0.63,0.43,0.12,148.78,1.22,20.67,69.46,0.0,949.9,301.97,29-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
29-Jan-2020 - 00:00,37.11,85.6,13.53,5.28,18.64,3.83,5.29,0.72,63.41,0.92,0.63,0.43,0.12,140.03,1.28,20.46,64.31,0.0,949.9,293.67,30-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
30-Jan-2020 - 00:00,39.24,69.54,16.65,11.2,27.85,4.28,2.44,0.68,42.62,0.92,0.63,0.43,0.12,137.02,1.15,21.01,57.33,0.0,949.9,240.06,31-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
31-Jan-2020 - 00:00,39.68,76.27,19.05,12.89,31.94,3.89,2.85,0.75,40.67,0.92,0.63,0.43,0.12,182.88,1.13,21.03,62.83,0.0,949.9,213.76,01-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
01-Feb-2020 - 00:00,41.55,75.81,18.37,11.91,30.28,4.06,2.51,0.68,35.29,0.92,0.63,0.43,0.12,184.51,1.38,20.63,73.63,0.0,949.9,214.76,02-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
02-Feb-2020 - 00:00,54.4,91.83,19.37,12.57,31.94,4.16,3.16,0.7,41.1,0.92,0.64,0.43,0.12,245.97,1.3,20.66,69.86,0.0,949.9,214.96,03-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
03-Feb-2020 - 00:00,48.55,72.14,17.75,9.35,27.09,4.32,2.8,0.67,46.2,0.92,0.63,0.43,0.12,218.7,1.43,20.87,59.9,0.0,949.9,214.02,04-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
04-Feb-2020 - 00:00,42.2,72.77,17.69,7.68,25.38,4.09,3.36,0.7,45.99,0.92,0.63,0.43,0.12,217.75,1.27,20.63,52.93,0.0,949.9,214.56,05-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
05-Feb-2020 - 00:00,39.02,65.71,16.18,6.57,22.75,4.31,3.29,0.67,48.45,0.92,0.63,0.43,0.12,187.1,1.26,20.63,56.23,0.0,949.9,214.43,06-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
06-Feb-2020 - 00:00,43.67,67.64,17.89,7.44,25.33,4.43,2.62,0.71,44.98,0.92,0.63,0.43,0.12,169.25,1.02,20.8,69.76,0.0,949.9,213.59,07-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
07-Feb-2020 - 00:00,41.03,66.0,18.82,7.75,26.57,4.46,2.51,0.62,41.51,0.92,0.63,0.43,0.12,103.55,1.23,20.37,74.56,0.0,949.9,214.74,08-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
08-Feb-2020 - 00:00,21.62,47.4,17.09,6.68,23.77,4.59,2.65,0.57,36.63,0.92,0.63,0.43,0.12,86.83,1.55,20.44,50.41,0.0,949.9,214.91,09-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
09-Feb-2020 - 00:00,21.53,44.61,17.35,6.86,24.2,4.45,2.61,0.59,37.95,0.92,0.63,0.43,0.12,184.96,1.67,20.33,58.07,0.0,949.9,215.04,10-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
10-Feb-2020 - 00:00,35.58,62.31,15.54,5.77,21.31,4.68,3.08,0.67,46.76,0.92,0.64,0.43,0.12,255.54,1.89,20.91,58.88,0.0,949.9,213.77,11-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
11-Feb-2020 - 00:00,37.18,66.35,13.95,5.26,19.22,4.84,3.31,0.61,63.74,0.92,0.63,0.43,0.12,263.7,2.19,20.92,51.6,0.0,949.9,214.04,12-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
12-Feb-2020 - 00:00,31.54,58.92,14.82,5.56,20.37,4.84,3.05,0.65,68.04,0.92,0.64,0.43,0.12,254.92,2.29,20.99,48.83,0.0,949.9,213.77,13-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
13-Feb-2020 - 00:00,33.28,60.76,13.41,4.95,18.39,4.9,2.91,0.64,69.25,0.92,0.63,0.43,0.12,232.74,2.28,21.07,52.29,0.0,949.9,213.6,14-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
14-Feb-2020 - 00:00,45.84,77.63,17.53,5.95,23.47,4.18,3.04,0.72,58.79,0.92,0.63,0.43,0.12,206.34,1.32,21.13,51.94,0.0,949.9,213.16,15-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
15-Feb-2020 - 00:00,50.51,79.77,16.76,5.43,22.05,4.23,3.86,0.74,67.19,0.92,0.63,0.43,0.12,212.56,1.39,21.3,46.57,0.0,949.9,212.59,16-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
16-Feb-2020 - 00:00,51.49,81.32,56.33,18.04,74.37,3.3,5.62,0.82,80.85,0.92,0.63,0.43,0.12,213.03,1.38,21.45,39.77,0.0,949.9,212.3,17-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
19-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
27-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
28-Feb-2020 - 00:00,43.08,81.59,16.23,4.48,20.71,19.23,2.93,0.7,61.56,,,,,,,,,,849.94,,29-Feb-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
29-Feb-2020 - 00:00,44.49,79.29,17.83,5.01,22.84,21.45,2.97,0.67,50.22,,,,,,,,,,860.55,,01-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
01-Mar-2020 - 00:00,46.87,74.83,19.72,5.3,25.02,23.57,2.91,0.7,48.42,,,,,,,,,,875.48,,02-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
02-Mar-2020 - 00:00,48.89,74.15,19.0,5.19,24.19,22.63,2.48,0.68,37.9,,,,,,,,,,876.33,,03-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
03-Mar-2020 - 00:00,39.94,68.59,19.34,5.34,24.68,23.19,2.48,0.67,38.77,,,,,,,,,,876.89,,04-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
04-Mar-2020 - 00:00,36.78,66.69,16.15,4.7,20.84,19.56,2.56,0.59,45.02,,,,,,,,,,877.49,,05-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
05-Mar-2020 - 00:00,28.18,56.96,14.91,4.38,19.29,18.22,2.62,0.53,37.14,,,,,,,,,,877.55,,06-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
06-Mar-2020 - 00:00,23.78,53.61,13.83,4.22,18.05,16.93,2.52,0.46,32.44,,,,,,,,,,875.49,,07-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
07-Mar-2020 - 00:00,26.17,57.06,13.92,4.16,18.09,16.91,2.55,0.54,30.84,,,,,,,,,,877.54,,08-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
08-Mar-2020 - 00:00,27.48,57.01,15.73,4.31,20.04,18.77,2.57,0.57,38.03,,,,,,,,,,872.29,,09-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
09-Mar-2020 - 00:00,28.37,59.53,16.53,4.51,21.05,19.75,2.55,0.58,34.36,,,,,,,,,,871.7,,10-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
10-Mar-2020 - 00:00,27.02,59.05,15.2,4.18,19.38,18.22,2.44,0.5,31.26,,,,,,,,,,873.57,,11-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
11-Mar-2020 - 00:00,27.08,58.17,15.5,4.38,19.88,18.81,2.46,0.51,35.58,,,,,,,,,,874.14,,12-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
12-Mar-2020 - 00:00,24.98,53.99,15.32,4.24,19.56,18.44,2.47,0.46,40.96,,,,,,,,,,874.61,,13-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
13-Mar-2020 - 00:00,22.15,55.3,15.47,4.2,19.67,18.28,2.61,0.45,38.5,,,,,,,,,,876.59,,14-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
14-Mar-2020 - 00:00,27.26,60.99,14.65,3.83,18.48,17.2,3.26,0.48,45.25,,,,,,,,,,874.17,,15-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
15-Mar-2020 - 00:00,31.51,63.61,13.84,3.72,17.56,16.4,3.33,0.49,57.53,,,,,,,,,,873.12,,16-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
16-Mar-2020 - 00:00,32.58,65.41,12.55,3.41,15.96,14.91,3.17,0.47,55.33,,,,,,,,,,873.73,,17-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
17-Mar-2020 - 00:00,31.45,64.91,13.16,3.51,16.67,15.47,2.94,0.47,40.89,,,,,,,,,,877.16,,18-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
18-Mar-2020 - 00:00,32.36,60.47,12.51,3.38,15.88,14.69,4.52,0.43,48.97,,,,,,,,,,877.27,,19-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
19-Mar-2020 - 00:00,33.32,63.1,11.99,3.22,15.21,14.18,3.02,0.43,45.82,,,,,,,,,,877.81,,20-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
20-Mar-2020 - 00:00,32.9,66.38,13.06,3.52,16.57,15.46,3.08,0.42,57.06,,,,,,,,,,877.75,,21-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
21-Mar-2020 - 00:00,25.74,60.23,13.1,3.44,16.54,15.38,3.21,0.4,49.97,,,,,,,,,,878.01,,22-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
22-Mar-2020 - 00:00,28.92,69.06,12.9,3.51,16.41,15.3,3.31,0.42,53.01,,,,,,,,,,876.98,,23-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
23-Mar-2020 - 00:00,36.72,74.89,14.89,3.67,18.56,17.12,3.05,0.44,52.6,,,,,,,,,,875.46,,24-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
24-Mar-2020 - 00:00,36.48,70.37,18.79,4.12,22.92,21.47,2.69,0.43,45.23,,,,,,,,,,874.68,,25-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
25-Mar-2020 - 00:00,33.6,65.44,18.08,4.26,22.34,20.96,2.62,0.39,38.68,,,,,,,,,,873.38,,26-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
26-Mar-2020 - 00:00,28.67,60.31,17.87,4.78,22.6,21.16,2.86,0.39,44.65,,,,,,,,,,870.63,,27-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
27-Mar-2020 - 00:00,34.35,67.46,22.35,4.98,27.33,25.51,3.15,0.43,39.16,,,,,,,,,,873.35,,28-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
28-Mar-2020 - 00:00,30.23,61.92,20.8,4.65,25.43,23.73,3.13,0.45,42.14,,,,,,,,,,874.58,,29-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
29-Mar-2020 - 00:00,28.37,57.55,18.04,4.09,22.06,20.71,3.15,0.42,41.54,,,,,,,,,,870.34,,30-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
30-Mar-2020 - 00:00,29.7,60.78,20.14,4.69,24.82,23.28,2.63,0.42,42.12,,,,,,,,,,871.04,,31-Mar-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
31-Mar-2020 - 00:00,25.95,53.9,20.42,4.43,24.85,23.23,3.37,0.44,43.82,,,,,,,,,,873.24,,01-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
01-Apr-2020 - 00:00,27.98,60.8,18.92,3.93,22.84,21.22,3.15,0.39,56.22,,,,,,,,,,877.03,,02-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
02-Apr-2020 - 00:00,29.7,64.17,19.15,4.17,23.32,21.84,3.2,0.41,47.75,,,,,,,,,,877.23,,03-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
03-Apr-2020 - 00:00,29.83,64.26,19.51,4.18,23.7,22.19,2.67,0.44,42.56,,,,,,,,,,877.29,,04-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
04-Apr-2020 - 00:00,28.91,65.78,20.24,3.99,24.22,22.66,2.38,0.43,35.56,,,,,,,,,,876.58,,05-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
05-Apr-2020 - 00:00,26.92,65.59,20.73,4.1,24.83,23.41,2.45,0.36,39.62,,,,,,,,,,877.06,,06-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
06-Apr-2020 - 00:00,23.43,58.44,21.31,4.2,25.52,23.97,2.5,0.37,39.57,,,,,,,,,,873.28,,07-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
07-Apr-2020 - 00:00,21.02,39.86,27.36,4.44,31.8,29.1,2.43,0.38,34.92,,,,,,,,,,878.07,,08-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
08-Apr-2020 - 00:00,19.63,46.09,28.17,4.5,32.68,29.76,2.41,0.37,42.14,,,,,,,,,,875.3,,09-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
10-Apr-2020 - 00:00,21.89,53.28,25.39,3.88,29.27,26.63,2.58,0.37,63.83,,,,,,,,,,872.66,,11-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
11-Apr-2020 - 00:00,20.42,50.92,25.69,3.94,29.63,26.77,2.64,0.4,52.93,,,,,,,,,,873.12,,12-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
12-Apr-2020 - 00:00,21.3,50.89,24.57,3.72,28.29,25.68,2.7,0.39,50.35,,,,,,,,,,873.41,,13-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
13-Apr-2020 - 00:00,26.0,60.11,23.11,3.36,26.47,24.08,3.06,0.37,61.02,,,,,,,,,,873.72,,14-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
14-Apr-2020 - 00:00,24.99,65.76,23.21,3.36,26.57,24.12,3.17,0.33,60.28,,,,,,,,,,874.95,,15-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
15-Apr-2020 - 00:00,25.42,64.19,22.52,3.33,25.85,23.53,2.7,0.33,50.7,,,,,,,,,,872.78,,16-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
16-Apr-2020 - 00:00,25.84,64.41,24.03,3.39,27.41,25.13,2.49,0.34,36.48,,,,,,,,,,871.9,,17-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
17-Apr-2020 - 00:00,25.1,64.58,24.48,3.48,27.96,25.6,2.56,0.34,47.81,,,,,,,,,,872.2,,18-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
18-Apr-2020 - 00:00,24.04,59.93,23.55,3.27,26.8,24.65,2.48,0.37,37.53,,,,,,,,,,872.42,,19-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
19-Apr-2020 - 00:00,21.85,57.9,25.6,3.07,28.67,26.54,2.56,0.37,52.38,,,,,,,,,,873.4,,20-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
20-Apr-2020 - 00:00,21.34,54.43,19.25,2.74,21.99,20.41,2.55,0.35,35.77,,,,,,,,,,873.81,,21-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
21-Apr-2020 - 00:00,20.46,52.43,21.89,2.99,24.88,22.96,2.49,0.39,22.01,,,,,,,,,,871.97,,22-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
22-Apr-2020 - 00:00,16.77,45.96,23.32,2.64,25.95,23.95,2.49,0.38,23.49,,,,,,,,,,872.1,,23-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
23-Apr-2020 - 00:00,17.89,48.95,25.15,2.79,27.93,25.82,2.24,0.41,16.11,,,,,,,,,,872.02,,24-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
24-Apr-2020 - 00:00,20.94,58.05,25.43,2.76,28.19,25.89,2.48,0.37,15.41,,,,,,,,,,872.09,,25-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
25-Apr-2020 - 00:00,21.18,55.27,27.92,2.74,30.66,28.13,2.44,0.37,14.39,,,,,,,,,,872.1,,26-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
26-Apr-2020 - 00:00,18.51,49.81,28.2,2.8,31.0,28.44,2.47,0.38,20.73,,,,,,,,,,872.23,,27-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
27-Apr-2020 - 00:00,17.2,45.79,22.71,2.61,25.32,23.28,2.54,0.34,21.15,,,,,,,,,,872.46,,28-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
28-Apr-2020 - 00:00,20.67,55.99,23.33,2.64,25.97,23.73,2.42,0.37,23.35,,,,,,,,,,872.1,,29-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
29-Apr-2020 - 00:00,18.86,51.32,24.61,2.6,27.21,25.07,2.37,0.32,17.75,,,,,,,,,,872.31,,30-Apr-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-May-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
01-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-May-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
