from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,AT,RH,RF,BP,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
03-Jan-2020 - 00:00,45.52,84.85,9.18,1.14,10.32,4.29,5.39,0.73,52.22,,,,,141.0,1.37,21.48,65.67,0.0,949.44,325.99,04-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
04-Jan-2020 - 00:00,29.55,54.65,9.56,1.18,10.74,4.37,5.35,0.74,46.28,,,,,167.85,1.34,20.43,68.2,0.0,949.15,284.46,05-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
05-Jan-2020 - 00:00,27.97,64.27,9.41,1.15,10.56,4.26,5.31,0.87,58.15,,,,,151.95,1.62,20.36,61.86,0.0,949.59,298.84,06-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
06-Jan-2020 - 00:00,40.53,63.37,8.75,1.11,9.86,4.29,5.01,0.73,66.38,,,,,182.76,2.04,20.74,76.29,0.0,949.79,364.18,07-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
07-Jan-2020 - 00:00,24.89,52.38,8.89,1.11,10.0,4.21,5.22,0.76,57.67,,,,,167.34,1.82,20.57,70.96,0.0,949.69,332.72,08-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
08-Jan-2020 - 00:00,25.39,46.36,8.8,1.12,9.92,4.21,4.91,0.74,57.92,,,,,167.33,1.25,20.62,69.27,0.0,949.67,348.63,09-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
09-Jan-2020 - 00:00,37.32,67.43,8.81,1.12,9.93,4.18,4.89,0.82,56.43,,,,,163.7,1.15,20.66,72.07,0.0,949.66,326.08,10-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
10-Jan-2020 - 00:00,44.68,69.57,8.65,1.1,9.75,4.23,5.45,0.83,87.51,,,,,164.4,2.11,20.63,65.4,0.0,949.84,325.24,11-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
11-Jan-2020 - 00:00,45.87,73.89,8.42,1.1,9.52,4.16,6.18,0.78,87.59,,,,,158.59,2.25,20.19,60.71,0.0,949.9,298.83,12-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
12-Jan-2020 - 00:00,44.17,84.69,8.58,1.08,9.66,4.11,5.16,0.86,76.56,,,,,152.05,2.1,19.89,62.18,0.0,949.9,270.67,13-Jan-2020 - 00:00,"Kalyana Nagara, Chikkamagaluru - KSPCB"
