from date,PM10,PM2.5,NOx,CO,SO2,to date,station
01-Jan-2020 - 00:00,127.88,19.3,10.08,0.64,18.97,02-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jan-2020 - 00:00,83.59,9.08,34.52,0.41,17.92,03-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jan-2020 - 00:00,57.28,9.2,108.47,0.3,16.95,04-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jan-2020 - 00:00,86.26,10.76,131.24,0.24,15.94,05-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jan-2020 - 00:00,125.42,10.38,102.07,0.31,16.14,06-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jan-2020 - 00:00,124.74,11.23,86.03,0.44,17.27,07-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jan-2020 - 00:00,128.27,12.84,101.16,0.21,17.75,08-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jan-2020 - 00:00,74.94,10.47,135.89,0.26,17.2,09-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Jan-2020 - 00:00,66.81,10.12,113.75,0.27,17.18,10-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Jan-2020 - 00:00,87.51,7.21,30.42,0.2,18.83,11-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Jan-2020 - 00:00,118.78,11.36,15.9,0.44,22.44,12-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Jan-2020 - 00:00,192.79,17.08,23.74,0.72,23.12,13-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Jan-2020 - 00:00,159.33,12.73,57.1,0.75,23.32,14-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Jan-2020 - 00:00,137.2,13.3,140.04,0.54,19.48,15-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Jan-2020 - 00:00,107.75,18.95,210.45,0.79,16.33,16-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Jan-2020 - 00:00,174.3,25.8,188.18,0.84,17.34,17-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Jan-2020 - 00:00,92.01,16.44,193.09,0.83,17.94,18-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Jan-2020 - 00:00,52.56,5.53,175.73,0.27,17.16,19-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Jan-2020 - 00:00,49.53,6.3,171.78,0.23,16.54,20-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Jan-2020 - 00:00,212.88,10.15,94.22,0.37,19.3,21-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Jan-2020 - 00:00,157.67,11.43,35.12,0.3,22.6,22-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Jan-2020 - 00:00,119.92,16.96,87.62,0.4,19.47,23-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Jan-2020 - 00:00,81.56,10.19,114.77,0.29,18.93,24-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Jan-2020 - 00:00,105.09,15.0,80.24,0.33,22.18,25-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Jan-2020 - 00:00,132.04,8.84,62.21,0.61,24.07,26-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Jan-2020 - 00:00,196.05,16.3,73.94,0.76,25.58,27-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Jan-2020 - 00:00,88.91,6.06,110.1,0.54,25.22,28-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Jan-2020 - 00:00,132.0,7.94,210.14,0.41,22.08,29-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Jan-2020 - 00:00,124.74,11.0,268.51,0.45,16.69,30-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Jan-2020 - 00:00,106.23,10.96,238.96,0.37,15.54,31-Jan-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-Jan-2020 - 00:00,84.03,10.85,152.04,0.48,19.89,01-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Feb-2020 - 00:00,147.98,10.54,111.45,0.55,20.12,02-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Feb-2020 - 00:00,197.51,13.19,94.57,0.61,20.08,03-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Feb-2020 - 00:00,149.61,10.38,51.94,0.47,18.99,04-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Feb-2020 - 00:00,138.19,12.23,28.04,0.37,20.48,05-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
