from date,PM2.5,PM10,RF,AT,SR,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,WD,WS,to date,station
01-Jan-2020 - 00:00,379.14,423.98,0.0,13.15,53.36,7.96,95.76,70.65,115.44,49.71,2.76,14.92,8.44,81.1,9.24,31.18,79.76,751.81,222.07,0.83,02-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Jan-2020 - 00:00,322.2,438.12,0.0,16.17,52.34,7.76,96.3,70.87,115.99,54.59,3.46,15.9,9.67,78.28,12.87,30.94,76.69,751.52,201.33,0.61,03-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Jan-2020 - 00:00,208.91,312.93,0.0,17.62,56.04,4.4,88.11,64.32,105.85,52.97,2.77,21.26,6.84,59.85,10.33,30.77,76.57,749.25,194.74,0.71,04-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Jan-2020 - 00:00,323.7,469.38,0.0,17.03,40.59,3.8,90.67,81.13,116.87,56.35,3.22,57.11,8.37,60.9,10.89,30.87,77.65,748.29,176.36,1.24,05-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Jan-2020 - 00:00,197.57,290.1,0.0,16.69,49.5,11.09,19.82,73.74,55.3,49.46,1.41,46.0,3.42,49.86,3.96,30.99,71.66,748.8,161.3,1.88,06-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Jan-2020 - 00:00,175.83,266.1,0.0,16.14,27.99,14.2,31.69,67.68,61.76,45.89,1.59,44.78,3.76,34.17,4.14,31.08,76.53,749.82,175.55,1.59,07-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Jan-2020 - 00:00,144.01,191.69,0.0,16.16,30.3,12.52,18.46,54.36,43.92,46.99,1.26,18.07,3.33,22.5,3.11,31.04,86.49,747.73,268.59,1.44,08-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Jan-2020 - 00:00,154.53,178.42,0.0,14.95,17.1,13.83,26.58,52.45,49.48,48.21,1.33,13.07,2.31,14.0,1.41,31.04,94.14,745.65,214.35,1.08,09-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Jan-2020 - 00:00,114.36,152.6,0.0,12.23,50.09,12.16,14.43,50.95,38.24,37.94,1.06,16.67,2.79,20.92,2.27,31.16,87.81,750.5,169.33,2.63,10-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Jan-2020 - 00:00,158.47,236.27,0.0,12.94,62.15,12.04,25.08,66.6,55.83,38.06,1.54,15.86,4.2,32.21,3.9,31.13,82.99,750.68,160.46,1.88,11-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Jan-2020 - 00:00,182.43,294.42,0.0,14.74,61.2,9.91,36.41,77.42,70.77,38.52,1.97,33.88,5.04,35.54,5.44,30.9,71.95,750.38,159.84,1.12,12-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Jan-2020 - 00:00,265.41,396.44,0.0,16.68,60.21,10.77,71.3,84.69,103.02,45.41,2.65,48.19,8.17,52.69,9.71,30.6,71.82,747.44,164.4,0.92,13-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Jan-2020 - 00:00,239.19,328.2,0.0,16.6,39.77,8.06,29.75,68.67,60.72,48.63,1.82,23.71,4.7,25.29,4.32,30.71,80.28,743.02,194.83,2.67,14-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Jan-2020 - 00:00,189.04,241.02,0.0,14.79,46.09,10.86,35.04,64.17,61.33,49.12,1.44,13.65,4.2,27.68,3.54,31.08,88.34,746.59,184.7,3.76,15-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Jan-2020 - 00:00,170.51,237.48,0.0,15.01,55.47,11.43,21.86,72.26,56.16,50.79,1.3,11.65,3.78,33.24,3.46,31.17,84.51,747.66,186.42,2.76,16-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Jan-2020 - 00:00,183.57,234.28,0.0,14.12,33.1,9.99,28.26,73.75,62.2,48.23,1.27,8.19,4.18,41.33,4.08,31.25,88.37,746.53,192.54,1.82,17-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Jan-2020 - 00:00,120.2,155.79,0.0,14.97,52.34,11.63,29.0,67.19,59.31,49.49,1.25,7.09,3.38,28.47,3.84,31.18,91.93,747.72,175.25,1.62,18-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Jan-2020 - 00:00,185.01,267.19,0.0,13.59,46.94,12.39,33.07,73.22,64.97,48.26,1.53,8.42,4.83,35.01,4.49,31.29,91.17,749.59,183.59,1.38,19-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Jan-2020 - 00:00,162.05,227.35,0.0,12.61,61.6,11.05,23.95,70.09,55.93,43.73,1.29,13.09,3.32,21.47,2.99,31.38,87.0,750.27,154.19,2.16,20-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Jan-2020 - 00:00,202.23,314.23,0.0,13.56,43.42,10.32,39.29,76.56,72.66,44.99,1.97,10.75,4.45,27.03,4.7,31.35,89.25,749.28,142.46,1.39,21-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Jan-2020 - 00:00,259.62,393.12,0.0,15.0,54.38,7.55,55.76,73.28,83.47,49.85,2.21,23.14,5.09,32.14,6.01,31.19,88.98,750.03,204.9,1.08,22-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Jan-2020 - 00:00,230.05,343.5,0.0,14.35,58.14,6.42,49.37,81.43,83.45,50.54,2.07,20.39,6.1,36.23,5.8,31.33,88.98,751.75,169.89,2.0,23-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Jan-2020 - 00:00,75.28,164.28,0.0,15.76,71.26,10.04,18.88,66.56,50.75,39.7,0.9,20.45,2.31,20.43,2.58,31.29,67.6,750.0,162.19,3.25,24-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Jan-2020 - 00:00,92.93,190.6,0.0,16.24,69.78,11.51,17.34,73.24,53.04,37.46,1.13,21.99,2.62,23.66,2.55,31.67,61.97,747.46,154.89,2.6,25-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Jan-2020 - 00:00,183.37,316.16,0.0,16.23,63.74,12.2,48.51,91.31,86.96,42.62,1.68,29.58,4.8,37.52,5.32,31.24,68.76,747.86,162.76,1.2,26-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Jan-2020 - 00:00,272.29,397.53,0.0,16.73,60.53,11.28,57.81,83.09,90.18,47.94,2.39,30.7,6.01,34.14,5.86,31.03,75.28,746.06,153.7,1.1,27-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Jan-2020 - 00:00,261.98,394.72,0.0,17.42,40.83,7.25,118.61,90.04,143.28,53.71,3.37,21.43,7.54,37.81,9.57,31.17,76.2,743.64,184.14,1.7,28-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Jan-2020 - 00:00,113.56,151.42,0.13,17.14,48.36,11.7,15.17,57.61,42.98,51.81,1.03,15.47,2.62,16.25,2.62,31.22,83.2,742.4,249.41,2.21,29-Jan-2020 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
