from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Temp,RH,WS,WD,VWS,BP,SR,RF,PM10,PM2.5,to date,station
11-Jan-2020 - 00:00,59.21,20.53,24.2,83.33,60.18,0.81,29.8,5.25,1.38,1.46,2.13,0.48,15.77,73.36,3.38,329.18,-0.02,,149.93,0.0,338.97,116.11,12-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
12-Jan-2020 - 00:00,67.34,19.73,32.88,100.21,53.04,0.98,31.36,7.44,1.38,1.46,2.38,0.53,16.41,68.7,3.18,323.92,-0.01,,163.65,0.0,359.5,142.78,13-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
13-Jan-2020 - 00:00,83.32,20.3,38.86,122.18,74.73,1.48,32.3,9.12,1.45,2.0,3.14,0.68,16.98,61.88,3.65,281.6,-0.01,,170.76,0.0,428.27,209.53,14-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
14-Jan-2020 - 00:00,102.31,18.2,96.83,199.14,47.85,2.05,31.98,17.21,2.59,4.78,6.62,1.39,18.3,61.59,2.77,219.45,0.0,,163.92,0.0,499.77,228.89,15-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
15-Jan-2020 - 00:00,127.64,19.18,121.6,249.24,74.58,2.71,31.39,22.6,3.56,5.98,8.61,1.82,19.64,63.34,2.19,216.22,-0.0,,138.05,0.0,539.5,224.48,16-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
16-Jan-2020 - 00:00,110.06,21.49,90.7,178.24,47.5,2.1,32.45,22.89,3.3,6.01,9.29,1.94,21.08,63.54,2.56,152.58,-0.01,,158.76,0.0,433.29,164.91,17-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
17-Jan-2020 - 00:00,105.74,20.92,100.64,205.3,57.96,2.0,28.24,29.51,3.07,5.71,9.29,1.84,21.92,63.57,2.3,177.1,0.01,,160.09,0.0,387.33,148.63,18-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
18-Jan-2020 - 00:00,97.97,20.09,77.04,175.01,62.03,1.83,26.14,18.06,2.29,4.99,7.47,1.54,22.01,58.32,2.25,230.84,0.01,,171.18,0.0,346.65,126.61,19-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
19-Jan-2020 - 00:00,62.27,22.29,35.32,97.59,37.92,0.92,25.73,9.94,1.69,3.46,5.0,1.03,20.85,68.76,2.26,233.63,-0.0,,161.49,0.0,264.11,99.04,20-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
20-Jan-2020 - 00:00,51.46,22.29,13.42,64.88,36.24,0.81,27.34,4.49,1.29,1.41,2.33,0.53,18.41,68.39,2.72,281.03,-0.03,,146.06,0.0,186.41,74.11,21-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
21-Jan-2020 - 00:00,72.96,20.15,49.41,122.37,34.83,1.23,28.04,8.51,1.82,3.08,4.34,0.98,18.28,64.16,2.19,185.84,-0.0,,179.97,0.0,307.4,119.39,22-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
22-Jan-2020 - 00:00,103.17,17.86,82.29,174.13,50.92,1.61,28.14,12.85,2.18,3.4,5.18,1.07,19.26,65.85,2.72,206.83,0.01,,163.51,0.0,359.31,165.5,23-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
23-Jan-2020 - 00:00,82.75,22.4,25.49,108.24,52.81,1.26,25.48,12.61,1.9,2.72,4.2,0.93,19.61,69.53,2.75,241.33,0.0,,93.86,0.0,338.33,165.16,24-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
24-Jan-2020 - 00:00,74.89,19.38,28.07,102.95,62.68,1.07,26.86,8.08,1.61,2.09,3.37,0.75,18.7,52.11,3.21,279.75,-0.02,,199.02,0.0,290.77,126.8,25-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
25-Jan-2020 - 00:00,74.79,19.29,34.53,109.72,49.32,1.22,27.54,6.03,1.39,1.57,2.43,0.56,17.54,51.22,3.42,226.82,-0.0,,193.25,0.0,271.08,121.22,26-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
26-Jan-2020 - 00:00,89.23,19.2,81.53,170.76,40.92,2.4,32.11,11.15,1.87,3.17,4.75,1.02,18.07,59.13,3.69,284.83,-0.0,,170.33,0.0,366.54,166.76,27-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
27-Jan-2020 - 00:00,89.06,20.14,46.2,135.26,52.23,2.24,29.32,10.36,1.51,2.39,4.18,0.93,17.99,61.13,3.71,261.92,-0.01,,178.82,0.0,388.06,204.16,28-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
28-Jan-2020 - 00:00,88.06,22.07,48.3,136.34,40.16,1.64,33.72,15.45,2.0,3.41,5.92,1.29,20.1,61.43,3.78,149.79,0.01,,151.51,0.0,339.1,168.99,29-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
29-Jan-2020 - 00:00,37.04,27.8,6.36,43.39,24.39,0.59,34.25,7.0,1.46,1.34,2.43,0.58,20.64,79.98,4.45,130.54,-0.01,,106.38,0.01,142.72,72.68,30-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
30-Jan-2020 - 00:00,45.2,25.15,19.05,64.25,31.87,1.03,26.17,6.18,1.55,1.21,2.18,0.53,20.09,89.78,3.2,138.02,-0.0,,79.13,0.21,172.33,90.05,31-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
31-Jan-2020 - 00:00,63.92,19.97,36.22,100.14,44.23,1.09,29.83,8.61,1.86,2.04,3.38,0.77,19.14,71.02,3.81,282.08,-0.03,,181.07,0.0,245.66,120.52,01-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
01-Feb-2020 - 00:00,62.08,18.83,31.84,93.92,34.59,1.02,36.14,7.06,1.69,1.69,3.05,0.71,19.13,57.11,3.48,150.93,-0.01,,201.77,0.0,242.61,112.62,02-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
02-Feb-2020 - 00:00,73.21,18.29,43.42,116.63,52.16,1.08,31.49,11.16,1.74,2.69,4.43,0.93,18.39,53.53,3.76,261.95,-0.04,,192.77,0.0,249.89,124.14,03-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
03-Feb-2020 - 00:00,70.11,18.44,33.77,103.88,50.64,0.96,30.52,7.44,1.31,1.67,3.28,0.73,18.16,48.2,2.97,127.83,-0.03,,216.55,0.0,305.97,123.28,04-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
04-Feb-2020 - 00:00,77.53,17.58,34.86,112.39,37.8,1.03,30.83,7.82,1.56,2.0,3.44,0.78,18.73,50.83,2.05,182.71,0.0,,196.09,0.0,289.12,116.82,05-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
05-Feb-2020 - 00:00,88.52,19.1,43.45,131.97,19.2,1.18,32.64,10.66,1.67,2.81,4.05,0.89,20.89,55.02,1.85,228.67,0.01,,143.55,0.0,361.52,152.82,06-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
06-Feb-2020 - 00:00,69.78,22.69,31.66,101.45,18.02,1.07,29.02,8.35,1.58,2.34,3.43,0.74,20.8,57.99,1.65,151.65,-0.0,,168.41,0.0,292.63,125.84,07-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
07-Feb-2020 - 00:00,64.33,23.66,15.4,79.73,14.86,0.91,26.34,8.71,1.62,1.81,3.1,0.67,19.72,54.46,1.86,136.99,0.0,,97.0,0.0,271.92,118.27,08-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
08-Feb-2020 - 00:00,63.27,25.2,13.15,76.43,13.96,1.17,19.2,8.44,1.41,1.74,2.73,0.6,17.82,68.65,2.28,298.83,-0.0,,47.81,0.0,324.66,151.55,09-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
09-Feb-2020 - 00:00,65.76,21.65,24.65,90.4,15.82,0.91,25.36,7.19,1.19,1.24,2.09,0.48,19.49,58.85,2.36,213.4,-0.02,,193.42,0.0,273.88,122.75,10-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
10-Feb-2020 - 00:00,89.87,18.5,54.64,134.0,15.13,1.32,24.45,8.43,1.31,1.61,2.85,0.62,18.71,53.56,2.67,284.01,-0.01,,206.95,0.0,327.6,143.81,11-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
11-Feb-2020 - 00:00,90.8,18.88,58.13,148.93,14.08,1.33,23.68,12.75,2.02,4.03,5.31,1.1,19.29,50.29,2.68,211.64,-0.03,,217.59,0.0,341.26,161.29,12-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
12-Feb-2020 - 00:00,103.71,19.41,78.72,182.42,14.38,1.69,22.69,13.92,2.18,3.54,5.08,1.12,19.43,51.23,2.86,287.97,-0.02,,209.4,0.0,406.93,182.86,13-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
13-Feb-2020 - 00:00,99.29,21.17,43.68,142.93,14.6,1.46,23.98,13.24,1.91,3.41,5.02,1.06,20.57,48.11,2.65,220.93,-0.01,,202.95,0.0,359.24,158.76,14-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
14-Feb-2020 - 00:00,106.03,21.45,73.23,179.26,17.94,1.78,24.55,15.8,1.96,4.58,6.49,1.37,22.18,53.72,2.55,230.74,-0.0,,198.05,0.0,379.21,165.92,15-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
15-Feb-2020 - 00:00,78.05,21.2,34.54,112.59,15.42,1.54,24.13,8.01,1.45,1.87,3.09,0.7,22.35,50.12,2.89,257.66,-0.02,,220.62,0.0,291.96,110.87,16-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
16-Feb-2020 - 00:00,81.42,17.29,40.61,121.98,14.75,1.11,24.12,13.62,1.78,2.8,4.61,0.99,22.36,52.74,2.44,247.28,0.0,,187.31,0.0,316.14,130.41,17-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
17-Feb-2020 - 00:00,80.56,17.38,37.62,118.1,16.88,1.2,25.76,11.58,1.61,2.41,4.44,0.91,22.79,54.92,2.35,229.61,0.0,,186.24,0.0,333.73,133.8,18-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
18-Feb-2020 - 00:00,71.8,24.67,17.99,89.78,14.4,1.1,26.05,11.01,1.57,2.49,3.95,0.87,22.66,65.09,2.62,264.76,0.0,,189.58,0.0,289.2,133.89,19-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
19-Feb-2020 - 00:00,50.56,24.34,11.3,61.86,16.54,0.63,28.99,6.41,1.29,1.69,2.83,0.63,23.06,70.68,2.29,238.82,0.01,,185.5,0.0,213.46,97.98,20-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
20-Feb-2020 - 00:00,42.24,22.05,7.51,49.74,18.08,0.49,28.01,3.8,1.16,1.08,1.86,0.44,23.97,66.25,2.23,222.72,0.01,,181.62,0.0,161.26,69.9,21-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
21-Feb-2020 - 00:00,73.94,27.67,49.99,123.89,23.05,1.15,23.56,11.46,6.81,2.42,4.5,1.31,24.18,57.2,1.88,197.83,0.01,,182.54,0.0,292.95,118.56,22-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
22-Feb-2020 - 00:00,70.51,20.12,14.44,84.95,54.04,1.05,28.69,8.57,0.82,1.83,3.1,0.67,24.25,49.55,2.31,152.7,-0.01,,199.75,0.0,316.87,133.05,23-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
23-Feb-2020 - 00:00,54.44,19.79,24.53,78.98,37.7,0.9,24.86,9.23,0.58,1.32,2.51,0.51,24.07,58.33,2.22,209.28,0.0,,173.74,0.0,263.34,117.19,24-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
24-Feb-2020 - 00:00,73.42,19.9,34.48,107.9,67.39,1.16,21.58,11.99,0.98,2.3,4.18,0.96,22.94,64.86,2.13,150.73,-0.01,,84.27,0.0,333.52,145.7,25-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
25-Feb-2020 - 00:00,67.37,20.95,24.04,91.46,45.07,1.04,17.16,10.26,0.93,2.15,3.31,0.84,20.42,77.95,3.55,221.6,-0.0,,47.6,0.02,231.28,113.76,26-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
26-Feb-2020 - 00:00,47.93,20.59,17.15,65.05,40.68,0.77,23.13,8.22,0.67,1.35,2.2,0.57,21.74,68.3,3.16,222.51,-0.0,,183.6,0.0,168.24,69.86,27-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
27-Feb-2020 - 00:00,48.18,20.11,8.9,57.01,27.95,1.06,24.95,4.92,0.65,1.18,1.87,0.41,22.62,63.53,2.85,182.45,0.01,,141.75,0.0,154.61,65.96,28-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
28-Feb-2020 - 00:00,52.59,20.05,12.83,65.42,28.78,0.88,24.98,5.09,0.72,1.11,1.9,0.43,22.57,59.78,3.03,210.87,-0.0,,184.54,0.0,201.71,89.89,29-Feb-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
29-Feb-2020 - 00:00,66.8,17.08,36.03,102.83,44.08,0.98,24.32,8.19,1.0,1.93,3.01,0.63,23.38,52.53,2.85,140.12,-0.0,,220.23,0.0,231.46,97.02,01-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
01-Mar-2020 - 00:00,73.36,17.05,37.76,111.12,56.68,1.16,25.04,9.92,0.83,2.1,3.81,0.8,24.29,57.18,2.88,256.44,0.01,,194.66,0.0,278.14,122.82,02-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
02-Mar-2020 - 00:00,73.19,18.82,27.34,100.52,67.39,1.16,22.27,11.92,0.78,2.44,4.32,1.0,25.52,58.34,2.93,258.26,0.0,,177.33,0.0,329.4,143.93,03-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
03-Mar-2020 - 00:00,48.56,19.25,8.39,56.93,24.29,0.75,17.03,7.08,0.67,1.04,1.78,0.4,23.89,69.51,4.25,174.84,-0.02,,162.85,0.21,232.3,105.47,04-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
04-Mar-2020 - 00:00,47.1,18.54,13.07,60.18,27.28,0.63,13.49,5.28,1.0,0.81,1.44,0.34,23.64,71.08,4.48,224.82,-0.01,,164.19,0.0,158.95,70.95,05-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
05-Mar-2020 - 00:00,50.16,15.79,20.56,70.71,30.61,0.72,11.19,6.44,1.0,0.84,1.47,0.33,22.76,71.67,3.25,224.14,0.01,,181.06,0.05,128.05,53.35,06-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
06-Mar-2020 - 00:00,40.32,21.36,15.66,55.96,16.02,0.57,8.53,8.17,1.13,1.16,1.98,0.44,24.45,71.69,2.67,156.9,0.01,,150.54,0.0,118.31,47.73,07-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
07-Mar-2020 - 00:00,36.67,18.86,9.61,46.29,24.59,0.72,11.41,5.42,1.02,0.79,1.38,0.32,23.4,81.67,3.07,160.06,0.0,,128.15,0.25,105.69,47.73,08-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
08-Mar-2020 - 00:00,50.0,15.32,18.74,68.75,33.37,0.83,13.58,4.89,0.99,0.8,1.56,0.35,24.77,70.12,3.88,276.04,-0.01,,194.17,0.0,158.51,59.7,09-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
09-Mar-2020 - 00:00,46.5,13.72,15.38,61.88,28.85,0.94,18.69,6.19,1.09,0.97,1.98,0.43,24.31,52.85,2.99,266.21,-0.01,,244.95,0.0,203.23,84.6,10-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
10-Mar-2020 - 00:00,40.59,20.83,7.72,47.89,21.12,0.79,20.21,6.67,0.86,0.97,2.21,0.5,24.65,51.9,2.34,239.0,-0.0,,239.45,0.0,178.55,74.29,11-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
11-Mar-2020 - 00:00,41.74,17.03,5.98,47.72,28.3,0.58,21.47,5.01,0.47,0.84,1.65,0.33,25.97,59.39,2.32,251.8,-0.0,,194.4,0.0,168.0,62.94,12-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
12-Mar-2020 - 00:00,46.64,16.86,8.7,55.34,37.21,0.72,15.64,5.47,0.5,1.14,1.73,0.37,26.37,65.05,2.28,221.93,0.01,,203.11,0.0,191.68,78.77,13-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
13-Mar-2020 - 00:00,45.93,16.59,8.61,54.54,35.72,0.75,19.74,8.62,0.73,1.6,2.3,0.46,27.88,61.63,2.52,200.29,0.01,,219.45,0.0,176.48,72.81,14-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
14-Mar-2020 - 00:00,26.3,16.7,4.27,30.57,28.43,0.37,21.76,2.72,0.29,0.35,0.84,0.16,25.29,58.7,3.34,136.58,-0.06,,227.38,0.0,147.93,60.94,15-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
15-Mar-2020 - 00:00,,,,,38.69,0.43,14.88,5.12,0.29,0.45,1.37,0.22,23.77,63.82,3.04,268.87,-0.03,,247.41,0.0,107.03,36.13,16-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
16-Mar-2020 - 00:00,52.16,12.04,7.39,59.55,32.76,0.75,13.29,7.41,1.29,1.19,2.72,0.9,25.94,62.54,2.87,281.51,-0.01,,189.23,0.0,195.88,75.16,17-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
17-Mar-2020 - 00:00,49.54,12.53,8.56,58.1,17.61,0.76,21.02,6.81,0.93,1.54,2.46,0.59,27.14,52.86,3.01,158.56,-0.0,,202.97,0.0,195.66,75.13,18-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
18-Mar-2020 - 00:00,72.56,14.34,17.95,90.5,43.24,0.92,19.31,6.98,0.85,1.92,2.77,0.62,26.7,51.15,3.46,218.03,-0.01,,213.88,0.0,244.62,97.81,19-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
19-Mar-2020 - 00:00,64.99,13.37,18.28,83.26,42.5,0.86,21.03,8.18,0.86,2.21,3.02,0.69,27.07,44.58,2.38,214.75,-0.0,,229.59,0.0,236.04,97.13,20-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
20-Mar-2020 - 00:00,67.16,13.06,13.25,80.4,57.26,0.75,17.22,5.03,0.66,1.12,1.77,0.39,26.38,45.9,3.04,274.4,-0.04,,242.86,0.0,170.76,62.39,21-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
21-Mar-2020 - 00:00,40.53,15.79,6.0,46.52,18.1,0.36,19.25,3.66,0.33,0.59,1.23,0.27,27.08,58.17,2.63,195.53,-0.0,,242.33,0.01,129.43,50.87,22-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
22-Mar-2020 - 00:00,24.28,13.59,4.01,28.29,7.07,0.23,18.1,1.6,0.21,0.19,0.46,0.1,24.17,61.98,2.84,167.14,-0.04,,231.23,0.05,50.78,22.7,23-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
23-Mar-2020 - 00:00,25.35,14.43,4.18,29.52,10.46,0.39,19.68,2.7,0.23,0.28,0.68,0.15,26.12,62.92,2.27,170.44,0.0,,246.25,0.0,86.95,35.06,24-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
24-Mar-2020 - 00:00,19.48,14.9,3.73,23.21,11.92,0.41,19.01,2.03,0.19,0.19,0.52,0.12,26.94,62.46,2.36,158.04,0.0,,230.08,0.0,78.87,32.13,25-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
25-Mar-2020 - 00:00,24.04,13.99,4.41,28.45,17.78,0.65,18.39,4.67,0.29,0.63,1.19,0.26,27.54,63.48,2.8,260.68,0.01,,221.01,0.0,123.53,51.37,26-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
26-Mar-2020 - 00:00,19.96,14.87,3.76,23.63,12.16,0.56,26.23,3.81,0.2,0.34,0.73,0.17,28.84,56.39,2.8,248.58,-0.0,,263.02,0.0,118.98,41.56,27-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
27-Mar-2020 - 00:00,19.36,14.11,3.41,22.75,13.95,0.38,30.36,3.05,0.16,0.23,0.59,0.13,29.63,47.38,3.05,277.0,0.0,,269.96,0.0,124.33,31.6,28-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
28-Mar-2020 - 00:00,18.83,14.4,3.38,22.21,10.57,0.46,31.82,2.91,0.17,0.21,0.53,0.12,30.26,48.94,3.19,281.81,-0.01,,257.35,0.0,103.97,41.24,29-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
29-Mar-2020 - 00:00,19.93,13.43,3.17,23.09,10.87,0.48,32.5,3.28,0.17,0.21,0.56,0.12,29.4,46.38,3.17,304.18,-0.03,,275.41,0.0,101.32,42.3,30-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
30-Mar-2020 - 00:00,22.01,13.16,3.44,25.44,12.06,0.48,34.8,3.3,0.17,0.24,0.58,0.13,29.36,39.91,2.79,298.38,-0.01,,268.62,0.0,100.34,39.14,31-Mar-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
31-Mar-2020 - 00:00,21.83,13.75,3.56,25.38,14.21,0.61,33.63,3.44,0.19,0.29,0.72,0.17,29.79,39.95,2.95,273.81,-0.01,,270.48,0.0,113.19,45.61,01-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
01-Apr-2020 - 00:00,16.09,15.35,3.23,19.32,7.92,0.36,37.07,1.79,0.15,0.11,0.31,0.07,30.2,56.53,3.05,239.1,0.03,,252.81,0.0,107.55,47.01,02-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
02-Apr-2020 - 00:00,16.82,12.37,3.01,19.83,7.56,0.37,31.41,1.65,0.16,0.13,0.29,0.07,29.57,61.82,2.61,230.54,0.02,,240.4,0.0,85.0,41.39,03-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
03-Apr-2020 - 00:00,18.62,13.44,3.26,21.89,9.44,0.54,46.24,2.34,0.18,0.19,0.44,0.11,30.56,57.16,2.41,241.77,0.0,,235.96,0.0,105.62,51.37,04-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
04-Apr-2020 - 00:00,21.22,12.78,3.23,24.45,14.4,0.5,59.9,3.19,0.18,0.23,0.61,0.14,30.85,46.43,2.43,179.14,0.0,,238.04,0.0,134.95,64.99,05-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
05-Apr-2020 - 00:00,15.84,13.73,2.99,18.82,7.28,0.44,62.26,1.9,0.13,0.08,0.25,0.06,30.29,55.12,2.81,264.3,0.01,,212.68,0.0,102.61,42.61,06-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
06-Apr-2020 - 00:00,19.92,12.69,3.14,23.04,10.88,0.39,49.3,2.05,0.16,0.17,0.42,0.1,30.65,48.18,3.13,262.35,0.01,,274.8,0.0,96.4,41.3,07-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
07-Apr-2020 - 00:00,16.38,13.36,3.14,19.51,8.02,0.35,43.74,1.44,0.12,0.11,0.25,0.06,30.61,51.4,3.27,219.31,0.04,,258.0,0.0,97.32,43.1,08-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
08-Apr-2020 - 00:00,18.1,11.75,2.98,21.08,9.7,0.3,46.86,1.4,0.12,0.1,0.22,0.06,29.46,45.99,3.17,234.82,0.01,,171.84,0.0,80.61,28.0,09-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
09-Apr-2020 - 00:00,18.65,11.04,2.76,21.41,10.4,0.31,57.18,1.19,0.11,0.08,0.18,0.05,29.05,44.13,2.53,246.46,0.01,,254.47,0.0,58.63,25.77,10-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
10-Apr-2020 - 00:00,15.02,11.57,2.69,17.7,7.86,0.3,34.0,0.98,0.11,0.08,0.19,0.05,29.41,64.75,2.8,214.2,0.02,,255.84,0.0,61.38,23.45,11-Apr-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
