from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Temp,RH,WS,WD,VWS,BP,SR,RF,PM10,PM2.5,to date,station
01-Jan-2020 - 00:00,85.04,29.97,45.68,130.71,63.28,1.46,30.49,16.4,2.28,3.85,6.04,1.3,18.47,65.03,3.12,298.6,-0.0,,148.16,0.0,459.3,225.52,02-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
02-Jan-2020 - 00:00,68.69,31.14,26.02,94.59,39.42,1.23,29.16,10.07,1.95,2.31,3.67,0.78,19.53,69.14,2.44,234.88,0.01,,108.68,0.0,394.48,195.75,03-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
03-Jan-2020 - 00:00,42.2,31.93,11.93,54.12,25.08,0.58,21.28,6.65,1.85,2.66,3.24,0.69,17.0,89.58,2.84,184.19,0.08,,38.37,0.25,133.42,85.45,04-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
04-Jan-2020 - 00:00,55.35,26.49,53.59,108.8,23.52,1.55,16.43,9.77,1.86,2.42,3.49,0.83,16.88,91.71,2.11,221.19,0.03,,48.07,0.0,194.03,120.42,05-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
05-Jan-2020 - 00:00,60.09,24.64,61.97,122.07,42.66,1.45,15.38,15.79,1.98,3.53,5.67,1.18,16.58,91.28,2.9,270.13,0.03,,62.97,0.0,338.35,183.73,06-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
06-Jan-2020 - 00:00,65.17,24.26,65.21,130.35,23.98,1.32,28.95,12.64,1.57,2.52,4.58,0.96,16.77,74.17,3.08,221.62,0.07,,168.95,0.0,415.31,185.0,07-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
07-Jan-2020 - 00:00,60.58,28.04,20.3,80.9,36.03,1.42,32.01,7.73,1.39,1.98,2.86,0.59,15.97,77.53,3.4,272.67,-0.02,,150.67,0.0,454.52,178.5,08-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
08-Jan-2020 - 00:00,69.21,24.47,59.18,128.93,26.69,1.25,31.47,11.49,2.03,3.41,4.66,0.97,18.27,72.52,2.65,191.61,-0.0,,161.16,0.0,475.0,196.96,09-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
09-Jan-2020 - 00:00,70.18,27.4,39.14,109.32,31.79,1.22,25.12,10.79,1.94,2.57,3.94,0.86,18.57,75.81,2.63,172.17,0.01,,88.47,0.0,366.44,144.13,10-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
10-Jan-2020 - 00:00,61.17,24.0,22.17,83.35,53.09,0.76,27.36,10.29,1.63,2.41,3.39,0.73,17.57,71.57,3.61,331.93,-0.03,,146.18,0.0,330.15,128.53,11-Jan-2020 - 00:00,"Ghusuri, Howrah - WBPCB"
